doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Vor,Vor,PROPN,PERSON_B
text1,1,2,gut,gut,NOUN,
text1,1,3,einem,einem,PROPN,
text1,1,4,Jahr,Jahr,PROPN,PERSON_B
text1,1,5,kaufte,kaufte,NOUN,
text1,1,6,Elon,Elon,PROPN,PERSON_B
text1,1,7,Musk,Musk,PROPN,PERSON_I
text1,1,8,Twitter,Twitter,PROPN,PERSON_I
text1,1,9,.,.,PUNCT,
text1,2,1,Was,be,AUX,
text1,2,2,kann,kann,PROPN,
text1,2,3,schon,schon,PROPN,
text1,2,4,schiefgehen,schiefgehen,PROPN,
text1,2,5,",",",",PUNCT,
text1,2,6,wenn,wenn,PROPN,PERSON_B
text1,2,7,der,der,PROPN,PERSON_I
text1,2,8,reichste,reichste,PROPN,
text1,2,9,Mensch,Mensch,PROPN,PERSON_B
text1,2,10,der,der,NOUN,
text1,2,11,Welt,Welt,PROPN,PERSON_B
text1,2,12,die,die,NOUN,
text1,2,13,bedeutendste,bedeutendste,NOUN,
text1,2,14,Meinungs-,Meinungs-,PROPN,PERSON_B
text1,2,15,und,und,PROPN,
text1,2,16,Kommunikationsplattform,Kommunikationsplattform,PROPN,ORG_B
text1,2,17,übernimmt,übernimmt,PROPN,
text1,2,18,?,?,PUNCT,
text1,3,1,Selbstverständlich,Selbstverständlich,PROPN,GPE_B
text1,3,2,wurden,wurden,VERB,TIME_B
text1,3,3,alle,alle,NOUN,
text1,3,4,Befürchtungen,Befürchtungen,PROPN,ORG_B
text1,3,5,bestätigt,bestätigt,PROPN,
text1,3,6,und,und,VERB,
text1,3,7,es,es,PROPN,
text1,3,8,kam,kam,PROPN,
text1,3,9,sogar,sogar,PROPN,
text1,3,10,noch,noch,PROPN,
text1,3,11,schlimmer,schlimmer,PROPN,
text1,3,12,:,:,PUNCT,
text1,3,13,Musk,Musk,PROPN,
text1,3,14,machte,machte,NOUN,
text1,3,15,die,die,VERB,
text1,3,16,Plattform,Plattform,PROPN,
text1,3,17,innerhalb,innerhalb,ADJ,
text1,3,18,kurzer,kurzer,NOUN,
text1,4,1,Zeit,Zeit,PROPN,ORG_B
text1,4,2,für,für,NOUN,
text1,4,3,viele,viele,PROPN,
text1,4,4,Menschen,Menschen,PROPN,ORG_B
text1,4,5,unbenutzbar,unbenutzbar,NOUN,
text1,4,6,und,und,PROPN,
text1,4,7,verschob,verschob,PROPN,
text1,4,8,den,den,VERB,
