doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Schweden,Schweden,PROPN,
text1,1,2,hat,hat,NOUN,
text1,1,3,seit,seit,NOUN,
text1,1,4,gestern,gestern,PROPN,
text1,1,5,ein,ein,PROPN,
text1,1,6,Gesetz,Gesetz,PROPN,ORG_B
text1,1,7,",",",",PUNCT,
text1,1,8,das,das,PROPN,ORG_B
text1,1,9,sich,sich,ADJ,
text1,1,10,als,als,AUX,
text1,1,11,Lex,Lex,PROPN,NORP_B
text1,1,12,OnlyFans,OnlyFans,PROPN,NORP_I
text1,1,13,bezeichnen,bezeichnen,VERB,
text1,1,14,lässt,lässt,ADV,
text1,1,15,.,.,PUNCT,
text1,2,1,Demnach,Demnach,PROPN,
text1,2,2,macht,macht,NOUN,ORG_B
text1,2,3,sich,sich,ADJ,ORG_I
text1,2,4,strafbar,strafbar,NOUN,ORG_I
text1,2,5,",",",",PUNCT,
text1,2,6,wer,wer,NOUN,
text1,2,7,für,für,NOUN,
text1,2,8,sexuelle,sexuelle,NOUN,
text1,2,9,Dienstleistungen,Dienstleistungen,PROPN,ORG_B
text1,2,10,zahlt,zahlt,NOUN,
text1,2,11,",",",",PUNCT,
text1,2,12,die,die,VERB,
text1,2,13,„,„,PUNCT,
text1,2,14,über,über,PROPN,
text1,2,15,Distanz,Distanz,PROPN,ORG_B
text1,2,16,",",",",PUNCT,
text1,2,17,ohne,ohne,PROPN,
text1,2,18,Kontakt,Kontakt,PROPN,ORG_B
text1,2,19,ausgeübt,ausgeübt,NOUN,
text1,2,20,werden,werden,PROPN,
text1,2,21,“,"""",PUNCT,
text1,2,22,.,.,PUNCT,
text1,3,1,Möchte,Möchte,PROPN,ORG_B
text1,3,2,man,man,NOUN,
text1,3,3,beispielsweise,beispielsweise,NOUN,
text1,3,4,Aufnahmen,aufnahman,NOUN,
text1,3,5,bei,bei,VERB,
text1,3,6,seinen,seinen,NOUN,PERSON_B
text1,3,7,liebsten,liebsten,NOUN,PERSON_I
text1,3,8,Creator*innen,creator*innen,NOUN,PERSON_I
text1,3,9,via,via,ADP,
text1,3,10,Snapchat,Snapchat,PROPN,
text1,3,11,oder,oder,NOUN,
text1,3,12,OnlyFans,OnlyFans,PROPN,NORP_B
text1,3,13,bestellen,bestellen,AUX,
text1,3,14,und,und,ADJ,
