doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,„,„,PUNCT,
text1,1,2,Sie,Sie,PROPN,
text1,1,3,werden,werden,PROPN,
text1,1,4,viel,viel,PROPN,PERSON_B
text1,1,5,von,von,PROPN,PERSON_I
text1,1,6,dem,dem,PROPN,PERSON_I
text1,1,7,",",",",PUNCT,
text1,1,8,was,be,AUX,
text1,1,9,Sie,Sie,PROPN,ORG_B
text1,1,10,vermutet,vermutet,NOUN,
text1,1,11,haben,haben,NOUN,
text1,1,12,",",",",PUNCT,
text1,1,13,nicht,nicht,PROPN,
text1,1,14,finden,finden,PROPN,
text1,1,15,“,"""",PUNCT,
text1,1,16,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,kündigte,kündigte,PROPN,
text1,2,3,CDU,CDU,PROPN,ORG_B
text1,2,4,-,-,PUNCT,ORG_I
text1,2,5,Parteichef,Parteichef,PROPN,ORG_I
text1,2,6,Friedrich,Friedrich,PROPN,ORG_I
text1,2,7,Merz,Merz,PROPN,ORG_I
text1,2,8,bei,bei,VERB,
text1,2,9,der,der,PROPN,
text1,2,10,heutigen,heutigen,NOUN,
text1,2,11,Pressekonferenz,Pressekonferenz,PROPN,ORG_B
text1,3,1,i,I,PRON,
text1,3,2,m,m,VERB,
text1,3,3,Paul,Paul,PROPN,PERSON_B
text1,3,4,-,-,PUNCT,PERSON_I
text1,3,5,Löbe,Löbe,PROPN,PERSON_I
text1,3,6,-,-,PUNCT,PERSON_I
text1,3,7,Haus,Haus,PROPN,PERSON_I
text1,3,8,des,des,X,PERSON_I
text1,3,9,Bundestags,bundestag,VERB,PERSON_I
text1,3,10,an,an,PRON,
text1,3,11,.,.,PUNCT,
text1,4,1,Gemeinsam,Gemeinsam,PROPN,
text1,4,2,mit,mit,VERB,
text1,4,3,Markus,Markus,PROPN,PERSON_B
text1,4,4,Söder,Söder,PROPN,PERSON_I
text1,4,5,(,(,PUNCT,
text1,4,6,CSU,CSU,PROPN,ORG_B
text1,4,7,),),PUNCT,
text1,4,8,sowie,sowie,NOUN,
text1,4,9,den,den,VERB,
text1,4,10,SPD,SPD,PROPN,ORG_B
text1,4,11,-,-,PUNCT,ORG_I
text1,4,12,Vorsitzenden,Vorsitzenden,PROPN,ORG_I
text1,4,13,Saskia,Saskia,PROPN,
text1,4,14,Esken,Esken,PROPN,
text1,4,15,und,und,PROPN,
text1,4,16,Lars,Lars,PROPN,GPE_B
text1,4,17,Klingbeil,Klingbeil,PROPN,GPE_I
text1,4,18,stellte,stellte,PROPN,
text1,4,19,er,er,INTJ,
text1,4,20,dort,dort,NOUN,
text1,4,21,den,den,VERB,
text1,4,22,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text1,4,23,vor,vor,NOUN,
text1,4,24,.,.,PUNCT,
text1,5,1,Das,Das,PROPN,
text1,5,2,144,144,NUM,CARDINAL_B
text1,5,3,-,-,PUNCT,
text1,5,4,seitige,seitige,NOUN,
text1,5,5,Papier,Papier,PROPN,ORG_B
text1,5,6,soll,soll,NOUN,
text1,5,7,die,die,VERB,
text1,5,8,Grundlage,Grundlage,PROPN,
text1,5,9,für,für,NOUN,
text1,5,10,eine,eine,NOUN,
text1,5,11,künftige,künftige,PROPN,
text1,5,12,",",",",PUNCT,
text1,5,13,schwarz,schwarz,PROPN,
text1,5,14,-,-,PUNCT,
text1,5,15,rote,rote,VERB,
text1,5,16,Regierung,Regierung,PROPN,GPE_B
text1,5,17,bilden,bilden,PROPN,
text1,5,18,.,.,PUNCT,
text1,6,1,Zuvor,Zuvor,PROPN,
text1,6,2,müssen,müssen,PROPN,PERSON_B
text1,6,3,ihm,ihm,PROPN,PERSON_I
text1,6,4,noch,noch,PROPN,
text1,6,5,die,die,VERB,
text1,6,6,Mitglieder,Mitglieder,PROPN,ORG_B
text1,6,7,der,der,PROPN,ORG_I
text1,6,8,SPD,SPD,PROPN,ORG_I
text1,6,9,sowie,sowie,NOUN,
text1,6,10,die,die,VERB,
text1,6,11,entsprechenden,entsprechenden,PROPN,
text1,6,12,Gremien,Gremien,PROPN,PERSON_B
text1,6,13,von,von,PROPN,PERSON_I
text1,6,14,CDU,CDU,PROPN,PERSON_I
text1,6,15,und,und,PROPN,
text1,6,16,CSU,CSU,PROPN,ORG_B
text1,6,17,zustimmen,zustimman,NOUN,
text1,6,18,.,.,PUNCT,
text3,1,1,Was,be,AUX,
text3,1,2,das,das,PROPN,
text3,1,3,für,für,PROPN,
text3,1,4,Innenpolitik,Innenpolitik,PROPN,
text3,1,5,",",",",PUNCT,
text3,1,6,Grundrechte,Grundrechte,PROPN,PERSON_B
