doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Seit,Seit,PROPN,
text1,1,2,der,der,PROPN,
text1,1,3,vorigen,vorigen,PROPN,
text1,1,4,Folge,Folge,PROPN,PRODUCT_B
text1,1,5,sind,sind,NOUN,
text1,1,6,viele,viele,PROPN,
text1,1,7,neue,neue,PROPN,ORG_B
text1,1,8,Leute,Leute,PROPN,ORG_I
text1,1,9,ins,in,NOUN,ORG_I
text1,1,10,Team,Team,PROPN,ORG_I
text1,1,11,gekommen,gekomman,NOUN,
text1,1,12,.,.,PUNCT,
text1,2,1,Eine,eine,NOUN,
text1,2,2,dieser,dieser,NOUN,
text1,2,3,Personen,Personen,PROPN,GPE_B
text1,2,4,könnt,könnt,NOUN,
text1,2,5,ihr,ihr,NOUN,
text1,2,6,in,in,ADP,
text1,2,7,diesem,diesem,PROPN,
text1,2,8,Podcast,Podcast,PROPN,
text1,2,9,kennenlernen,kennenlernen,NOUN,
text1,2,10,:,:,PUNCT,
text1,2,11,unser,unser,NOUN,
text1,2,12,neuer,neuer,PROPN,
text1,2,13,–,–,PUNCT,
text1,2,14,und,und,VERB,
text1,2,15,erster,erster,NOUN,
text1,2,16,–,–,PUNCT,
text1,2,17,Volontär,Volontär,PROPN,ORG_B
text1,2,18,Timur,Timur,PROPN,ORG_I
text1,2,19,.,.,PUNCT,
text1,3,1,Er,er,INTJ,
text1,3,2,erzählt,erzählt,ADJ,
text1,3,3,über,über,PROPN,
text1,3,4,sich,sich,PROPN,
text1,3,5,und,und,PROPN,
text1,3,6,das,das,PROPN,ORG_B
text1,3,7,",",",",PUNCT,
text1,3,8,was,be,AUX,
text1,3,9,ihn,ihn,NOUN,
text1,3,10,in,in,ADP,
text1,3,11,seinen,seinen,NOUN,
text1,3,12,ersten,ersten,NOUN,
text1,4,1,Wochen,Wochen,PROPN,ORG_B
text1,4,2,bei,bei,VERB,ORG_I
text1,4,3,netzpolitik.org,netzpolitik.org,SYM,ORG_I
text1,4,4,überrascht,überrascht,NOUN,ORG_I
text1,4,5,hat,hat,NOUN,
text1,4,6,.,.,PUNCT,
text3,1,1,Außerdem,Außerdem,PROPN,ORG_B
text3,1,2,sprechen,sprechen,PROPN,
text3,1,3,wir,wir,PROPN,
text3,1,4,über,über,PROPN,
text3,1,5,das,das,PROPN,PERSON_B
text3,1,6,Thema,Thema,PROPN,PERSON_I
text3,1,7,",",",",PUNCT,
text3,1,8,das,das,PROPN,ORG_B
text3,1,9,uns,un,VERB,ORG_I
text3,1,10,diese,diese,ADJ,NORP_B
text3,1,11,Woche,Woche,PROPN,
text3,1,12,am,be,AUX,
text3,1,13,meisten,meisten,ADJ,PERSON_B
text3,1,14,beschäftigt,beschäftigt,PROPN,PERSON_I
text3,1,15,hat,hat,PROPN,
text3,1,16,:,:,PUNCT,
text3,1,17,die,die,VERB,
text3,1,18,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,19,.,.,PUNCT,
text3,2,1,Zwei,Zwei,PROPN,PERSON_B
text3,2,2,Jahre,Jahre,PROPN,PERSON_I
text3,2,3,nach,nach,PROPN,
text3,2,4,der,der,PROPN,
text3,2,5,letzten,letzten,VERB,
text3,2,6,Folge,Folge,PROPN,
text3,2,7,mit,mit,VERB,
text3,2,8,diesem,diesem,PROPN,
text3,2,9,Schwerpunkt,Schwerpunkt,PROPN,ORG_B
text3,2,10,berichtet,berichtet,NOUN,
text3,2,11,Markus,Markus,PROPN,PERSON_B
text3,2,12,",",",",PUNCT,
text3,2,13,wo,will,AUX,
text3,2,14,wir,wir,PROPN,
text3,2,15,heute,heute,VERB,
text3,2,16,stehen,stehen,ADV,
text3,2,17,",",",",PUNCT,
text3,2,18,und,und,ADJ,
text3,2,19,wie,wie,NOUN,
text3,2,20,er,er,INTJ,
text3,2,21,es,es,PROPN,
text3,2,22,weiter,weiter,PROPN,
text3,2,23,aushält,aushält,PROPN,
text3,2,24,",",",",PUNCT,
text3,2,25,beständig,beständig,PROPN,
text3,2,26,über,über,PROPN,
text3,2,27,diesen,diesen,PROPN,
text3,2,28,netzpolitischen,netzpolitischen,PROPN,
text3,2,29,Dauerbrenner,Dauerbrenner,PROPN,ORG_B
text3,2,30,zu,zu,NOUN,
text3,2,31,berichten,berichten,NOUN,
text3,2,32,.,.,PUNCT,
text5,1,1,In,in,ADP,
text5,1,2,dieser,dieser,NOUN,
text5,1,3,Folge,Folge,PROPN,PERSON_B
text5,1,4,:,:,PUNCT,PERSON_I
text5,1,5,Timur,Timur,PROPN,PERSON_I
text5,1,6,Vorkul,Vorkul,PROPN,PERSON_I
