doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,ORG_B
text1,1,2,Protest,Protest,PROPN,ORG_I
text1,1,3,gegen,gegen,NOUN,
text1,1,4,die,die,VERB,
text1,1,5,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,6,zeigt,zeigt,PROPN,PERSON_I
text1,1,7,",",",",PUNCT,
text1,1,8,dass,dass,NOUN,
text1,1,9,zivilgesellschaftliches,zivilgesellschaftliche,NOUN,PERSON_B
text1,1,10,Engagement,Engagement,PROPN,PERSON_I
text1,1,11,",",",",PUNCT,
text1,1,12,Aktionen,Aktionen,PROPN,PERSON_B
text1,1,13,",",",",PUNCT,
text1,1,14,Petitionen,Petitionen,PROPN,GPE_B
text1,1,15,",",",",PUNCT,
text1,1,16,Anrufe,Anrufe,PROPN,PERSON_B
text1,1,17,und,und,VERB,
text1,1,18,Briefe,Briefe,PROPN,ORG_B
text1,1,19,eine,eine,NOUN,
text1,1,20,Wirkung,Wirkung,PROPN,PERSON_B
text1,1,21,haben,haben,NOUN,
text1,1,22,.,.,PUNCT,
text1,2,1,Alle,Alle,PROPN,PERSON_B
text1,2,2,",",",",PUNCT,
text1,2,3,die,die,VERB,
text1,2,4,sich,sich,NOUN,
text1,2,5,in,in,ADP,
text1,2,6,den,den,NOUN,
text1,2,7,letzten,letzten,ADJ,
text1,2,8,Tagen,Tagen,PROPN,PERSON_B
text1,2,9,",",",",PUNCT,
text1,2,10,Wochen,Wochen,PROPN,
text1,2,11,und,und,PROPN,
text1,2,12,Jahren,Jahren,PROPN,PERSON_B
text1,2,13,engagiert,engagiert,ADJ,
text1,2,14,haben,haben,NOUN,
text1,2,15,",",",",PUNCT,
text1,2,16,spüren,spüren,PROPN,
text1,2,17,gerade,gerade,VERB,
text1,2,18,Selbstwirksamkeit,Selbstwirksamkeit,PROPN,PERSON_B
text1,2,19,.,.,PUNCT,
text3,1,1,Sie,Sie,PROPN,
text3,1,2,belegen,belegen,NOUN,
text3,1,3,",",",",PUNCT,
text3,1,4,dass,dass,NOUN,
text3,1,5,mit,mit,VERB,
text3,1,6,Fakten,Fakten,PROPN,PERSON_B
text3,1,7,",",",",PUNCT,
text3,1,8,guten,guten,VERB,
text3,1,9,Argumenten,Argumenten,PROPN,
text3,1,10,und,und,NOUN,
text3,1,11,zivilgesellschaftlichen,zivilgesellschaftlichen,PROPN,
text3,1,12,Bündnissen,Bündnissen,PROPN,ORG_B
text3,1,13,Änderungen,Änderungen,PROPN,ORG_I
text3,1,14,möglich,möglich,NOUN,
text3,1,15,sind,sind,NOUN,
text3,1,16,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,
text3,2,2,ist,ist,PROPN,
text3,2,3,eine,eine,PROPN,
text3,2,4,wichtige,wichtige,PROPN,
text3,2,5,demokratische,demokratische,PROPN,
text3,2,6,Erfahrung,Erfahrung,PROPN,
text3,2,7,",",",",PUNCT,
text3,2,8,die,die,VERB,
text3,2,9,wir,wir,NOUN,
text3,2,10,in,in,ADP,
text3,2,11,letzter,letzter,NOUN,
text3,2,12,Zeit,Zeit,PROPN,FAC_B
text3,2,13,viel,viel,PROPN,FAC_I
text3,2,14,zu,zu,PROPN,FAC_I
text3,2,15,selten,selten,VERB,
text3,2,16,machen,machen,NOUN,
text3,2,17,.,.,PUNCT,
text3,3,1,Und,und,NOUN,
text3,3,2,die,die,VERB,
text3,3,3,Erfahrung,Erfahrung,PROPN,ORG_B
text3,3,4,",",",",PUNCT,
text3,3,5,dass,dass,NOUN,
text3,3,6,es,es,X,
text3,3,7,sich,sich,PROPN,
text3,3,8,lohnt,lohnt,NOUN,
text3,3,9,",",",",PUNCT,
text3,3,10,sich,sich,ADJ,
text3,3,11,zu,zu,ADJ,
text3,3,12,verbünden,verbünden,VERB,
text3,3,13,und,und,ADJ,
text3,3,14,eine,eine,NOUN,
text3,3,15,wache,wache,NOUN,
text3,3,16,Gesellschaft,Gesellschaft,PROPN,ORG_B
text3,3,17,wichtige,wichtige,PROPN,
text3,3,18,politische,politische,NOUN,
text3,3,19,Anliegen,Anliegen,PROPN,ORG_B
text3,3,20,auch,auch,ADJ,
text3,3,21,durchsetzen,durchsetzen,ADJ,
text3,3,22,kann,kann,NOUN,
text3,3,23,.,.,PUNCT,
text3,4,1,Lasst,Lasst,PROPN,PERSON_B
text3,4,2,Euch,Euch,PROPN,PERSON_I
text3,4,3,nichts,nicht,NOUN,
text3,4,4,anderes,andere,NOUN,
text3,4,5,erzählen,erzählen,VERB,
text3,4,6,.,.,PUNCT,
text5,1,1,Seit,Seit,PROPN,
text5,1,2,vergangenem,vergangenem,PROPN,
text5,1,3,Mittwoch,Mittwoch,PROPN,
text5,1,4,ist,ist,ADJ,
text5,1,5,ein,ein,PROPN,
text5,1,6,Sturm,Sturm,PROPN,PERSON_B
text5,1,7,über,über,NOUN,
text5,1,8,die,die,PROPN,
text5,1,9,Bundesregierung,Bundesregierung,PROPN,GPE_B
text5,1,10,in,in,ADP,
text5,1,11,Sachen,Sachen,PROPN,GPE_B
text5,1,12,Chatkontrolle,Chatkontrolle,PROPN,GPE_I
text5,1,13,hereingebrochen,hereingebrochen,NOUN,
text5,1,14,.,.,PUNCT,
text5,2,1,Die,die,VERB,
text5,2,2,hatte,hatte,PROPN,PERSON_B
text5,2,3,sich,sich,PROPN,PERSON_I
text5,2,4,",",",",PUNCT,
text5,2,5,nicht,nicht,PROPN,
text5,2,6,wie,wie,NOUN,
text5,2,7,die,die,VERB,
text5,2,8,Vorgängerregierung,Vorgängerregierung,PROPN,
text5,2,9,gegen,gegen,NOUN,
text5,2,10,die,die,VERB,
text5,2,11,Überwachungspläne,Überwachungspläne,PROPN,
text5,2,12,der,der,PROPN,
text5,2,13,EU,EU,PROPN,ORG_B
text5,2,14,positioniert,positioniert,NOUN,
text5,2,15,–,–,PUNCT,
text5,2,16,und,und,ADJ,
text5,2,17,man,man,NOUN,
text5,2,18,konnte,konnte,NOUN,PERSON_B
text5,2,19,aus,aus,PROPN,PERSON_I
text5,2,20,Regierungskreisen,Regierungskreisen,PROPN,PERSON_I
text5,2,21,sogar,sogar,PROPN,
text5,2,22,hören,hören,PROPN,
text5,2,23,",",",",PUNCT,
text5,2,24,dass,dass,NOUN,
text5,2,25,eine,eine,NOUN,
text5,2,26,Zustimmung,Zustimmung,PROPN,PRODUCT_B
text5,2,27,zur,zur,NOUN,
text5,2,28,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text5,2,29,geplant,geplant,VERB,
text5,2,30,war,war,NOUN,
text5,2,31,.,.,PUNCT,
text7,1,1,Das,Das,PROPN,
text7,1,2,ist,ist,PROPN,
text7,1,3,nun,nun,PROPN,
text7,1,4,vorbei,vorbei,PROPN,
text7,1,5,.,.,PUNCT,
text7,2,1,Noch,Noch,PROPN,
text7,2,2,nie,nie,PROPN,
text7,2,3,war,war,PROPN,
text7,2,4,die,die,VERB,
text7,2,5,Ablehnung,Ablehnung,PROPN,PERSON_B
text7,2,6,der,der,NOUN,PERSON_I
text7,2,7,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text7,2,8,in,in,ADP,
text7,2,9,Deutschland,Deutschland,PROPN,GPE_B
text7,3,1,so,so,ADV,
text7,3,2,breit,breit,ADP,
text7,3,3,wie,wie,PROPN,
text7,3,4,heute,heute,PROPN,
text7,3,5,",",",",PUNCT,
text7,3,6,über,über,PROPN,
text7,3,7,alle,alle,PROPN,
text7,3,8,Parteien,Parteien,PROPN,PRODUCT_B
text7,3,9,hinweg,hinweg,NOUN,
text7,3,10,.,.,PUNCT,
text7,4,1,Man,Man,PROPN,
text7,4,2,musste,musste,VERB,
text7,4,3,sich,sich,PROPN,
text7,4,4,ja,ja,PROPN,
text7,4,5,fast,fast,PROPN,
text7,4,6,ungläubig,ungläubig,ADJ,
text7,4,7,die,die,VERB,
text7,4,8,Augen,Augen,PROPN,PERSON_B
text7,4,9,reiben,reiben,NOUN,
text7,4,10,",",",",PUNCT,
text7,4,11,wer,wer,NOUN,
text7,4,12,jetzt,jetzt,NOUN,
text7,4,13,alles,alle,NOUN,
text7,4,14,gegen,gegen,NOUN,
text7,4,15,die,die,VERB,
text7,4,16,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text7,4,17,ist,ist,NOUN,
text7,4,18,.,.,PUNCT,
text7,5,1,Das,Das,PROPN,
text7,5,2,ist,ist,PROPN,
text7,5,3,ein,ein,PROPN,
text7,5,4,wunderbarer,wunderbarer,PROPN,
text7,5,5,Erfolg,Erfolg,PROPN,GPE_B
text7,5,6,",",",",PUNCT,
text7,5,7,der,der,PROPN,
text7,5,8,die,die,VERB,
text7,5,9,elementare,elementare,NOUN,
text7,6,1,Wichtigkeit,Wichtigkeit,PROPN,ORG_B
text7,6,2,privater,privater,NOUN,
text7,6,3,",",",",PUNCT,
text7,6,4,vertraulicher,vertraulicher,ADJ,
text7,6,5,und,und,NOUN,
text7,6,6,verschlüsselter,verschlüsselter,NOUN,
text7,6,7,Kommunikation,kommunikation,NOUN,ORG_B
text7,6,8,und,und,NOUN,
text7,6,9,ihre,ihre,ADJ,
text7,6,10,Bedeutung,Bedeutung,PROPN,
text7,6,11,für,für,NOUN,
text7,6,12,die,die,VERB,
text7,6,13,Demokratie,Demokratie,PROPN,
text7,6,14,untermauert,untermauert,NOUN,
text7,6,15,.,.,PUNCT,
text7,7,1,Das,Das,PROPN,
text7,7,2,war,war,PROPN,
text7,7,3,ein,ein,PROPN,
text7,7,4,guter,guter,NOUN,
text7,7,5,Tag,Tag,PROPN,
text7,7,6,für,für,NOUN,
text7,7,7,Grund-,Grund-,PROPN,
text7,8,1,und,und,PROPN,
