doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Datenschutzbehörden,Datenschutzbehörden,PROPN,
text1,1,3,des,des,X,
text1,1,4,Bundes,Bundes,PROPN,
text1,1,5,und,und,ADJ,
text1,1,6,der,der,NOUN,
text1,1,7,Länder,Länder,PROPN,PERSON_B
text1,1,8,lehnen,lehnen,NOUN,PERSON_I
text1,1,9,in,in,ADP,
text1,1,10,einem,einem,PROPN,
text1,1,11,gemeinsamen,gemeinsaman,NOUN,
text1,1,12,Appell,Appell,PROPN,PERSON_B
text1,1,13,(,(,PUNCT,
text1,1,14,PDF,PDF,PROPN,ORG_B
text1,1,15,),),PUNCT,
text1,1,16,die,die,VERB,
text1,1,17,in,in,ADP,
text1,1,18,der,der,PROPN,
text1,1,19,EU,EU,PROPN,ORG_B
text1,1,20,geplante,geplante,VERB,
text1,1,21,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,22,ab,ab,PROPN,
text1,1,23,.,.,PUNCT,
text1,2,1,Sie,Sie,PROPN,
text1,2,2,führe,führe,PROPN,
text1,2,3,zu,zu,PROPN,
text1,2,4,einer,einer,PROPN,
text1,2,5,unverhältnismäßigen,unverhältnismäßigen,PROPN,
text1,2,6,und,und,PROPN,
text1,2,7,anlasslosen,anlasslosen,PROPN,
text1,2,8,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,2,9,.,.,PUNCT,
text1,3,1,Die,die,AUX,
text1,3,2,Datenschutzbeauftragten,Datenschutzbeauftragten,PROPN,
text1,3,3,fordern,fordern,NOUN,
text1,3,4,den,den,VERB,
text1,3,5,EU,EU,PROPN,ORG_B
text1,3,6,-,-,PUNCT,ORG_I
text1,3,7,Gesetzgeber,Gesetzgeber,PROPN,ORG_I
text1,3,8,auf,auf,PROPN,
text1,3,9,",",",",PUNCT,
text1,3,10,bei,bei,PROPN,
text1,3,11,der,der,PROPN,
text1,3,12,beabsichtigten,beabsichtigten,VERB,
text1,3,13,Regulierung,Regulierung,PROPN,PERSON_B
text1,3,14,„,„,PUNCT,
text1,3,15,die,die,VERB,
text1,3,16,Grenzen,Grenzen,PROPN,ORG_B
text1,3,17,der,der,PROPN,ORG_I
text1,3,18,Rechtsstaatlichkeit,Rechtsstaatlichkeit,PROPN,ORG_I
text1,3,19,einzuhalten,einzuhalten,NOUN,
text1,3,20,und,und,VERB,
text1,3,21,insbesondere,insbesondere,ADV,
text1,3,22,Erforderlichkeit,Erforderlichkeit,PROPN,ORG_B
text1,3,23,und,und,VERB,
text1,3,24,Verhältnismäßigkeit,Verhältnismäßigkeit,PROPN,
text1,3,25,zu,zu,ADJ,
text1,3,26,wahren,wahren,NOUN,
text1,3,27,“,"""",PUNCT,
text1,3,28,.,.,PUNCT,
text3,1,1,Hintergrund,Hintergrund,PROPN,ORG_B
text3,1,2,ist,ist,ADJ,
text3,1,3,ein,ein,NOUN,
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,Jahr,Jahr,PROPN,PERSON_B
text3,2,4,2022,2022,NUM,PERSON_I
text3,2,5,von,von,PROPN,PERSON_I
text3,2,6,der,der,PROPN,PERSON_I
text3,2,7,EU,EU,PROPN,ORG_B
text3,2,8,-,-,PUNCT,
text3,2,9,Kommission,Kommission,PROPN,
text3,2,10,vorgelegter,vorgelegter,NOUN,
text3,2,11,Gesetzentwurf,Gesetzentwurf,PROPN,
text3,2,12,zur,zur,PROPN,
text3,2,13,Bekämpfung,Bekämpfung,PROPN,PERSON_B
text3,2,14,von,von,PROPN,PERSON_I
text3,2,15,sexualisierter,sexualisierter,NOUN,
text3,2,16,Gewalt,Gewalt,PROPN,PERSON_B
text3,2,17,gegen,gegen,NOUN,
text3,2,18,Kinder,Kinder,PROPN,
text3,2,19,.,.,PUNCT,
text3,3,1,Dieser,Dieser,PROPN,
text3,3,2,wird,wird,PROPN,
text3,3,3,derzeit,derzeit,PROPN,
text3,4,1,i,I,PRON,
text3,4,2,m,m,VERB,
text3,4,3,Rat,Rat,PROPN,PERSON_B
text3,4,4,der,der,PROPN,PERSON_I
text3,4,5,EU,EU,PROPN,ORG_B
text3,4,6,verhandelt,verhandelt,NOUN,
text3,4,7,–,–,PUNCT,
text3,4,8,und,und,VERB,
text3,4,9,es,es,X,
