doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Während,während,VERB,
text1,1,2,sich,sich,PRON,
text1,1,3,die,die,VERB,
text1,1,4,Mär,Mär,PROPN,ORG_B
text1,1,5,vom,vom,NOUN,ORG_I
text1,1,6,Ideal,Ideal,PROPN,ORG_I
text1,1,7,eines,eine,VERB,
text1,1,8,besinnlichen,besinnlichen,PROPN,
text1,1,9,Jahresendes,Jahresendes,PROPN,NORP_B
text1,1,10,hartnäckig,hartnäckig,NOUN,
text1,1,11,hält,hält,NOUN,
text1,1,12,",",",",PUNCT,
text1,1,13,ist,ist,ADJ,
text1,1,14,der,der,PROPN,
text1,1,15,Dezember,Dezember,PROPN,PRODUCT_B
text1,1,16,für,für,NOUN,
text1,1,17,uns,un,VERB,
text1,1,18,so,so,ADV,
text1,1,19,ziemlich,ziemlich,PROPN,
text1,1,20,die,die,NOUN,
text1,1,21,anstrengendste,anstrengendste,NOUN,
text1,1,22,Zeit,Zeit,PROPN,ORG_B
text1,1,23,des,des,X,ORG_I
text1,1,24,Jahres,Jahres,PROPN,ORG_I
text1,1,25,.,.,PUNCT,
text1,2,1,Es,es,INTJ,
text1,2,2,fehlen,fehlen,VERB,
text1,2,3,immer,immer,NOUN,
text1,2,4,noch,noch,PROPN,
text1,2,5,jede,jede,VERB,
text1,2,6,Menge,Menge,PROPN,PERSON_B
text1,2,7,Euros,Euros,PROPN,PERSON_I
text1,2,8,",",",",PUNCT,
text1,2,9,um,um,INTJ,
text1,2,10,uns,un,VERB,
text1,2,11,ausfinanzieren,ausfinanzieren,PROPN,
text1,2,12,",",",",PUNCT,
text1,2,13,weil,weil,PROPN,
text1,2,14,Menschen,Menschen,PROPN,ORG_B
text1,2,15,nun,nun,NOUN,ORG_I
text1,2,16,einmal,einmal,ADJ,
text1,2,17,traditionell,traditionell,NOUN,
text1,2,18,eher,eher,ADJ,
text1,2,19,zum,zum,NOUN,PERSON_B
text1,2,20,Jahresende,Jahresende,PROPN,PERSON_I
text1,2,21,spenden,spenden,VERB,
text1,2,22,.,.,PUNCT,
text1,3,1,Es,Es,PROPN,
text1,3,2,müssen,müssen,PROPN,
text1,3,3,Texte,Texte,PROPN,PRODUCT_B
text1,3,4,vorproduziert,vorproduziert,PROPN,
text1,3,5,werden,werden,PROPN,
text1,3,6,",",",",PUNCT,
text1,3,7,damit,damit,PROPN,
text1,3,8,ihr,ihr,VERB,
text1,3,9,auch,auch,PROPN,
text1,3,10,über,über,PROPN,
text1,3,11,die,die,PROPN,
text1,3,12,Weihnachtsfeiertage,Weihnachtsfeiertage,PROPN,PERSON_B
text1,3,13,was,be,AUX,
text1,3,14,von,von,PROPN,
text1,3,15,uns,uns,PROPN,
text1,3,16,lesen,lesen,ADJ,
text1,3,17,könnt,könnt,PROPN,
text1,3,18,und,und,PROPN,
text1,3,19,nicht,nicht,PROPN,PERSON_B
text1,3,20,auf,auf,PROPN,PERSON_I
text1,3,21,dem,dem,PROPN,ORG_B
text1,3,22,Trockenen,Trockenen,PROPN,ORG_I
text1,3,23,sitzt,sitzt,NOUN,
text1,3,24,.,.,PUNCT,
text1,4,1,Und,und,NOUN,
text1,4,2,dann,dann,NOUN,
text1,4,3,",",",",PUNCT,
text1,4,4,als,al,NOUN,
text1,4,5,Sahnehäubchen,sahnehäubchen,ADV,GPE_B
text1,4,6,",",",",PUNCT,
text1,4,7,sind,sind,NOUN,
text1,4,8,viele,viele,PROPN,
text1,4,9,von,von,PROPN,
text1,4,10,uns,un,VERB,
text1,4,11,auch,auch,ADJ,
text1,4,12,noch,noch,PROPN,
text1,4,13,auf,auf,PROPN,
text1,4,14,dem,dem,PROPN,ORG_B
text1,4,15,Chaos,Chaos,PROPN,ORG_I
text1,4,16,Communication,Communication,PROPN,ORG_I
text1,4,17,Congress,Congress,PROPN,ORG_I
text1,4,18,.,.,PUNCT,
text1,5,1,Halten,halten,NOUN,
text1,5,2,und,und,VERB,
text1,5,3,hören,hören,PROPN,
text1,5,4,Vorträge,Vorträge,PROPN,GPE_B
text1,5,5,",",",",PUNCT,
text1,6,1,schmieden,schmieden,PROPN,
text1,6,2,neue,neue,NOUN,
text1,6,3,Pläne,Pläne,PROPN,PERSON_B
text1,6,4,und,und,PROPN,
text1,6,5,Kontakte,Kontakte,PROPN,PERSON_B
text1,6,6,und,und,NOUN,
text1,6,7,lernen,lernen,NOUN,
text1,6,8,jede,jede,VERB,
text1,6,9,Menge,Menge,PROPN,PERSON_B
text1,6,10,Neues,Neues,PROPN,PERSON_I
text1,6,11,dazu,dazu,NOUN,
text1,6,12,.,.,PUNCT,
text3,1,1,Auch,auch,NOUN,
text3,1,2,wenn,wenn,VERB,
text3,1,3,es,es,X,
text3,1,4,stressig,stressig,ADJ,
text3,1,5,war,war,NOUN,
text3,1,6,–,–,PUNCT,
text3,1,7,der,der,PROPN,
text3,1,8,Dezember,Dezember,PROPN,DATE_B
text3,1,9,war,war,NOUN,
text3,1,10,dann,dann,NOUN,
text3,1,11,zum,zum,NOUN,PERSON_B
text3,1,12,Glück,Glück,PROPN,PERSON_I
text3,1,13,doch,doch,ADJ,
text3,1,14,meist,meist,ADJ,
text3,1,15,geprägt,geprägt,PROPN,PERSON_B
text3,1,16,von,von,PROPN,PERSON_I
text3,1,17,diesem,diesem,PROPN,PERSON_I
text3,1,18,positiven,positiven,PROPN,
text3,1,19,sogenannten,sogenannten,VERB,
text3,1,20,Eustress,Eustress,PROPN,ORG_B
text3,1,21,.,.,PUNCT,
text3,2,1,Der,Der,PROPN,PERSON_B
text3,2,2,heftet,heftet,NOUN,
text3,2,3,einem,einem,PROPN,PERSON_B
text3,2,4,so,so,ADV,
text3,2,5,kleine,kleine,ADJ,
text3,2,6,Flügelchen,Flügelchen,PROPN,PERSON_B
text3,2,7,an,an,PRON,
text3,2,8,",",",",PUNCT,
text3,2,9,mit,mit,VERB,
text3,2,10,denen,denen,ADJ,
text3,2,11,man,man,NOUN,
text3,2,12,dann,dann,VERB,
text3,2,13,ganzen,ganzen,NOUN,
text3,2,14,Berg,Berg,PROPN,PERSON_B
text3,2,15,an,an,DET,
text3,2,16,Aufgaben,Aufgaben,PROPN,ORG_B
text3,2,17,überwinden,überwinden,ADJ,
text3,2,18,kann,kann,NOUN,
text3,2,19,.,.,PUNCT,
text3,3,1,Und,Und,PROPN,
text3,3,2,dabei,dabei,VERB,
text3,3,3,hatten,hatten,ADJ,
text3,3,4,wir,wir,NOUN,
text3,3,5,zwischendurch,zwischendurch,NOUN,
text3,3,6,jede,jede,VERB,
text3,3,7,Menge,Menge,PROPN,PERSON_B
text3,3,8,Spaß,Spaß,PROPN,PERSON_I
text3,3,9,und,und,PROPN,
text3,3,10,das,das,PROPN,
text3,3,11,lag,lag,PROPN,
text3,3,12,nicht,nicht,PROPN,
text3,3,13,zuletzt,zuletzt,PROPN,
text3,3,14,an,an,DET,
text3,3,15,unserer,unserer,NOUN,
text3,3,16,Bullshit,Bullshit,PROPN,ORG_B
text3,3,17,-,-,PUNCT,ORG_I
text3,3,18,Busters,Busters,PROPN,ORG_I
text3,3,19,-,-,PUNCT,ORG_I
text3,3,20,Spendenkampagne,Spendenkampagne,PROPN,ORG_I
text3,3,21,.,.,PUNCT,
text3,4,1,Dabei,Dabei,NOUN,
text3,4,2,haben,haben,NOUN,
text3,4,3,wir,wir,NOUN,
text3,4,4,gelernt,gelernt,VERB,
text3,4,5,:,:,PUNCT,
text3,4,6,Wenn,Wenn,PROPN,PERSON_B
text3,4,7,wir,wir,NOUN,
text3,4,8,eines,eine,NOUN,
text3,4,9,so,so,SCONJ,
text3,4,10,richtig,richtig,PROPN,
text3,4,11,gut,gut,NOUN,
text3,4,12,können,können,PROPN,
text3,4,13,",",",",PUNCT,
text3,4,14,dann,dann,PROPN,
text3,4,15,ist,ist,VERB,
text3,4,16,es,es,X,
text3,4,17,",",",",PUNCT,
text3,4,18,uns,uns,VERB,
text3,4,19,selbst,selbst,ADJ,
text3,4,20,nicht,nicht,NOUN,
text3,4,21,zu,zu,NOUN,
text3,4,22,ernst,ernst,VERB,
text3,4,23,zu,zu,PROPN,
text3,4,24,nehmen,nehman,NOUN,
text3,4,25,.,.,PUNCT,
text5,1,1,I,I,PRON,
text5,1,2,m,m,VERB,
text5,1,3,Overall,overall,ADJ,
text5,1,4,und,und,NOUN,
text5,1,5,mit,mit,NOUN,
text5,1,6,selbstgebastelten,selbstgebastelten,VERB,
text5,1,7,Accessoires,accessoire,NOUN,
text5,1,8,ausgestattet,ausgestattet,NOUN,
text5,1,9,Videoclips,Videoclips,PROPN,
text5,1,10,drehen,drehen,NOUN,
text5,1,11,und,und,VERB,
text5,1,12,uns,un,NOUN,
text5,1,13,dabei,dabei,NOUN,
text5,1,14,zum,zum,NOUN,
text5,1,15,Obst,Obst,PROPN,
text5,1,16,machen,machen,NOUN,
text5,1,17,?,?,PUNCT,
text5,2,1,Kein,Kein,PROPN,PERSON_B
text5,2,2,Problem,Problem,PROPN,PERSON_I
text5,2,3,!,!,PUNCT,
text5,3,1,Mit,mit,NOUN,ORG_B
text5,3,2,dem,dem,ADJ,ORG_I
text5,3,3,Feuerlöscherschlauch,Feuerlöscherschlauch,PROPN,ORG_I
text5,3,4,gegen,gegen,NOUN,
text5,3,5,Cookie,Cookie,PROPN,ORG_B
text5,3,6,-,-,PUNCT,ORG_I
text5,3,7,Monster,Monster,PROPN,ORG_I
text5,3,8,und,und,PROPN,
text5,3,9,Chatkontrolle,Chatkontrolle,PROPN,
text5,3,10,antreten,antreten,PROPN,
text5,3,11,?,?,PUNCT,
text5,4,1,Natürlich,Natürlich,PROPN,PERSON_B
text5,4,2,!,!,PUNCT,
text5,5,1,Einen,Einen,PROPN,PERSON_B
text5,5,2,ernsthaften,ernsthaften,ADJ,
text5,5,3,Spendenaufruf,Spendenaufruf,PROPN,PERSON_B
text5,5,4,in,in,ADP,
text5,5,5,die,die,ADJ,
text5,5,6,Kamera,Kamera,PROPN,PERSON_B
text5,5,7,sagen,sagen,NOUN,
text5,5,8,",",",",PUNCT,
text5,5,9,während,während,VERB,
text5,5,10,man,man,NOUN,
text5,5,11,so,so,ADV,
text5,5,12,aussieht,aussieht,ADJ,
text5,5,13,",",",",PUNCT,
text5,5,14,als,al,NOUN,
text5,5,15,hätte,hätte,PROPN,
text5,5,16,einen,einen,NOUN,
text5,5,17,die,die,VERB,
text5,5,18,80er,80er,ADV,GPE_B
text5,5,19,-,-,PUNCT,GPE_I
text5,5,20,Zeitmaschine,zeitmaschine,ADJ,GPE_I
text5,5,21,ausgespuckt,ausgespuckt,NOUN,
text5,5,22,?,?,PUNCT,
text5,6,1,Ok,ok,INTJ,
text5,6,2,",",",",PUNCT,
text5,6,3,das,das,PROPN,ORG_B
text5,6,4,hat,hat,PROPN,
text5,6,5,nicht,nicht,PROPN,
text5,6,6,geklappt,geklappt,NOUN,
text5,6,7,.,.,PUNCT,
text5,7,1,Was,be,AUX,
text5,7,2,stattdessen,stattdessen,NOUN,
text5,7,3,dabei,dabei,VERB,
text5,7,4,rausgekommen,rausgekomman,NOUN,
text5,7,5,ist,ist,NOUN,
text5,7,6,",",",",PUNCT,
text5,7,7,fanden,fanden,NOUN,
text5,7,8,wir,wir,NOUN,
text5,7,9,dann,dann,NOUN,
text5,7,10,aber,aber,PROPN,
