doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Seit,Seit,PROPN,
text1,1,2,sechs,sechs,PROPN,
text1,1,3,Ratspräsidentschaften,Ratspräsidentschaften,PROPN,
text1,1,4,steckt,steckt,NOUN,
text1,1,5,die,die,VERB,
text1,1,6,umstrittene,umstrittene,NOUN,
text1,1,7,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,8,-,-,PUNCT,ORG_I
text1,1,9,Verordnung,Verordnung,PROPN,ORG_I
text1,1,10,in,in,ADP,
text1,1,11,den,den,NOUN,
text1,1,12,Verhandlungen,Verhandlungen,PROPN,ORG_B
text1,1,13,des,des,X,ORG_I
text1,1,14,EU,EU,PROPN,ORG_I
text1,1,15,-,-,PUNCT,ORG_I
text1,1,16,Rates,Rates,PROPN,ORG_I
text1,1,17,fest,fest,ADV,
text1,1,18,–,–,PUNCT,
text1,1,19,und,und,VERB,
text1,1,20,auch,auch,ADJ,
text1,1,21,der,der,NOUN,
text1,1,22,polnische,polnische,NOUN,
text1,1,23,Kompromissvorschlag,Kompromissvorschlag,PROPN,GPE_B
text1,1,24,ist,ist,VERB,
text1,1,25,zuletzt,zuletzt,PROPN,PERSON_B
text1,1,26,gescheitert,gescheitert,PROPN,PERSON_I
text1,1,27,.,.,PUNCT,
text1,2,1,Der,Der,PROPN,PERSON_B
text1,2,2,Vorschlag,Vorschlag,PROPN,PERSON_I
text1,2,3,hatte,hatte,PROPN,
text1,2,4,beinhaltet,beinhaltet,NOUN,
text1,2,5,",",",",PUNCT,
text1,2,6,dass,dass,PROPN,
text1,2,7,das,das,PROPN,PERSON_B
text1,2,8,Scannen,Scannen,PROPN,PERSON_I
text1,2,9,von,von,PROPN,PERSON_I
text1,2,10,Nachrichten,Nachrichten,PROPN,PERSON_I
text1,2,11,durch,durch,NOUN,
text1,2,12,die,die,VERB,
text1,2,13,Anbieter,Anbieter,PROPN,PERSON_B
text1,2,14,nur,nur,VERB,
text1,2,15,noch,noch,PROPN,
text1,2,16,auf,auf,PROPN,
text1,2,17,freiwilliger,freiwilliger,NOUN,
text1,2,18,Basis,Basis,PROPN,ORG_B
text1,2,19,geschieht,geschieht,NOUN,
text1,2,20,.,.,PUNCT,
text1,3,1,Damit,Damit,PROPN,ORG_B
text1,3,2,wäre,wäre,NOUN,
text1,3,3,die,die,VERB,
text1,3,4,generelle,generelle,NOUN,
text1,3,5,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,6,von,von,PROPN,PERSON_I
text1,3,7,Chats,Chats,PROPN,PERSON_I
text1,3,8,vom,vom,NOUN,
text1,3,9,Tisch,Tisch,PROPN,PERSON_B
text1,3,10,gewesen,gewesen,NOUN,
text1,3,11,.,.,PUNCT,
text3,1,1,Der,Der,PROPN,PERSON_B
text3,1,2,Verband,Verband,PROPN,PERSON_I
text3,1,3,europäischer,europäischer,NOUN,
text3,1,4,Digitalorganisationen,Digitalorganisationen,PROPN,PERSON_B
text3,1,5,EDri,EDri,PROPN,PERSON_I
text3,1,6,hat,hat,NOUN,
text3,1,7,den,den,VERB,
text3,1,8,polnischen,polnischen,NOUN,
text3,1,9,Vorschlag,Vorschlag,PROPN,ORG_B
text3,1,10,als,al,NOUN,
text3,1,11,„,„,PUNCT,
text3,1,12,echte,echte,PROPN,
text3,1,13,Brücke,Brücke,PROPN,PERSON_B
text3,1,14,“,"""",PUNCT,PERSON_I
text3,1,15,zwischen,zwischen,PROPN,PERSON_I
text3,1,16,den,den,NOUN,PERSON_I
text3,1,17,beiden,beiden,PROPN,
text3,1,18,Positionen,Positionen,PROPN,PERSON_B
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,EU,EU,PROPN,PERSON_B
text3,2,4,-,-,PUNCT,PERSON_I
text3,2,5,Rat,Rat,PROPN,PERSON_I
text3,2,6,bezeichnet,bezeichnet,NOUN,
text3,2,7,.,.,PUNCT,
text3,3,1,Diese,Diese,PROPN,NORP_B
text3,3,2,Brücke,Brücke,PROPN,PERSON_B
text3,3,3,hätten,hätten,VERB,PERSON_I
text3,3,4,nun,nun,NOUN,PERSON_I
text3,3,5,aber,aber,PROPN,
text3,3,6,16,16,NUM,CARDINAL_B
text3,4,1,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text3,4,2,verbrannt,verbrannt,NOUN,
text3,4,3,mit,mit,VERB,
text3,4,4,ihrer,ihrer,NOUN,
text3,4,5,Haltung,Haltung,PROPN,GPE_B
text3,4,6,.,.,PUNCT,
text3,5,1,Doch,Doch,PROPN,
text3,5,2,es,es,X,
text3,5,3,könnte,könnte,NOUN,
text3,5,4,sich,sich,PROPN,
text3,5,5,demnächst,demnächst,PROPN,
text3,5,6,durch,durch,PROPN,
text3,5,7,nationale,nationale,NOUN,
text3,5,8,Regierungswechsel,Regierungswechsel,PROPN,ORG_B
text3,5,9,auch,auch,ADJ,
text3,5,10,eine,eine,NOUN,
text3,5,11,Mehrheit,Mehrheit,PROPN,GPE_B
text3,5,12,für,für,ADV,
text3,5,13,die,die,VERB,
text3,5,14,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text3,5,15,abzeichnen,abzeichnen,NOUN,PERSON_I
text3,5,16,–,–,PUNCT,
text3,5,17,hierbei,hierbei,VERB,
text3,5,18,kommt,kommt,PROPN,
text3,5,19,es,es,PROPN,
text3,5,20,vor,vor,NOUN,
text3,5,21,allem,allem,NOUN,
text3,5,22,auf,auf,PROPN,
text3,5,23,große,große,NOUN,
text3,5,24,Länder,Länder,PROPN,PERSON_B
text3,5,25,wie,wie,NOUN,
text3,5,26,Deutschland,Deutschland,PROPN,GPE_B
text3,5,27,an,an,NOUN,
text3,5,28,.,.,PUNCT,
text5,1,1,I,I,PRON,
text5,1,2,m,m,VERB,
