doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,europäische,europäische,NOUN,
text1,1,3,Zivilgesellschaft,Zivilgesellschaft,PROPN,NORP_B
text1,1,4,verstärkt,verstärkt,ADJ,
text1,1,5,ihren,ihren,NOUN,
text1,1,6,Protest,protest,NOUN,NORP_B
text1,1,7,gegen,gegen,NOUN,
text1,1,8,die,die,VERB,
text1,1,9,von,von,PROPN,PERSON_B
text1,1,10,der,der,PROPN,PERSON_I
text1,1,11,EU,EU,PROPN,ORG_B
text1,1,12,-,-,PUNCT,ORG_I
text1,1,13,Kommission,Kommission,PROPN,ORG_I
text1,1,14,geplante,geplante,NOUN,
text1,1,15,Chatkontrolle,Chatkontrolle,PROPN,
text1,1,16,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,Netzwerk,Netzwerk,PROPN,ORG_B
text1,2,3,European,European,PROPN,ORG_I
text1,2,4,Digital,Digital,PROPN,ORG_I
text1,2,5,Rights,Rights,PROPN,ORG_I
text1,2,6,(,(,PUNCT,
text1,2,7,EDRi,EDRi,NOUN,
text1,2,8,),),PUNCT,
text1,2,9,",",",",PUNCT,
text1,2,10,dem,dem,INTJ,NORP_B
text1,2,11,europaweit,europaweit,ADJ,
text1,2,12,verschiedene,verschiedene,NOUN,
text1,2,13,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,PERSON_B
text1,2,14,angehören,angehören,PROPN,
text1,2,15,",",",",PUNCT,
text1,2,16,hat,hat,NOUN,
text1,2,17,die,die,VERB,
text1,2,18,Kampagne,Kampagne,PROPN,PERSON_B
text1,2,19,unter,unter,NOUN,
text1,2,20,dem,dem,PROPN,
text1,2,21,Motto,Motto,PROPN,
text1,2,22,„,„,NOUN,
text1,2,23,Stop,stop,VERB,
text1,2,24,scanning,scan,VERB,
text1,2,25,me,I,PRON,
text1,2,26,“,"""",PUNCT,
text1,2,27,gestartet,gestartet,NOUN,
text1,2,28,.,.,PUNCT,
text1,3,1,Gemeinsam,Gemeinsam,PROPN,
text1,3,2,mit,mit,VERB,
text1,3,3,13,13,NUM,CARDINAL_B
text1,3,4,weiteren,weiteren,NOUN,
text1,3,5,Organisationen,Organisationen,PROPN,PERSON_B
text1,3,6,hat,hat,NOUN,
text1,3,7,EDRi,EDRi,NOUN,
text1,3,8,dazu,dazu,NOUN,
text1,3,9,eine,eine,NOUN,
text1,3,10,Website,Website,PROPN,
text1,3,11,ins,in,NOUN,
text1,3,12,Leben,Leben,PROPN,ORG_B
text1,3,13,gerufen,gerufen,NOUN,
text1,3,14,",",",",PUNCT,
text1,3,15,auf,auf,PROPN,ORG_B
text1,3,16,der,der,PROPN,
text1,3,17,sie,sie,PROPN,
text1,3,18,die,die,VERB,
text1,3,19,europäischen,europäischen,ADJ,
text1,3,20,Gesetzgeber,Gesetzgeber,PROPN,PERSON_B
text1,3,21,:,:,PUNCT,
text1,3,22,innen,innen,NOUN,
text1,3,23,auffordern,auffordern,NOUN,
text1,3,24,",",",",PUNCT,
text1,3,25,das,das,PROPN,PERSON_B
text1,3,26,Vorhaben,Vorhaben,PROPN,PERSON_I
text1,3,27,zu,zu,PROPN,
text1,3,28,stoppen,stoppen,PROPN,
text1,3,29,und,und,PROPN,
text1,3,30,den,den,NOUN,
text1,3,31,Gesetzesentwurf,Gesetzesentwurf,PROPN,PERSON_B
text1,3,32,zurückzuziehen,zurückzuziehen,PROPN,PERSON_I
text1,3,33,.,.,PUNCT,
text3,1,1,Darüber,Darüber,PROPN,PERSON_B
text3,1,2,hinaus,hinaus,NOUN,
text3,1,3,hat,hat,NOUN,
text3,1,4,das,das,PROPN,ORG_B
text3,1,5,Bündnis,Bündnis,PROPN,ORG_I
text3,1,6,eine,eine,NOUN,
text3,1,7,Analyse,Analyse,PROPN,ORG_B
text3,1,8,des,des,PROPN,ORG_I
text3,1,9,Verordnungsvorschlags,Verordnungsvorschlags,PROPN,ORG_I
text3,1,10,der,der,PROPN,ORG_I
text3,1,11,Kommission,Kommission,PROPN,ORG_I
text3,1,12,veröffentlicht,veröffentlicht,NOUN,
text3,1,13,.,.,PUNCT,
text3,2,1,In,in,ADP,
text3,2,2,dem,dem,ADJ,
text3,2,3,52,52,NUM,CARDINAL_B
text3,2,4,-,-,PUNCT,
text3,2,5,seitigen,seitigen,NOUN,
text3,2,6,Dokument,Dokument,PROPN,
text3,2,7,legen,legen,NOUN,
text3,2,8,die,die,NOUN,
text3,2,9,Autor,autor,NOUN,
text3,2,10,:,:,PUNCT,
text3,2,11,innen,innen,NOUN,
text3,2,12,dar,dar,NOUN,
text3,2,13,",",",",PUNCT,
text3,2,14,warum,warum,NOUN,
text3,2,15,die,die,VERB,
text3,2,16,unter,unter,NOUN,
text3,2,17,dem,dem,ADJ,
text3,2,18,Namen,Namen,PROPN,PERSON_B
text3,2,19,Chatkontrolle,Chatkontrolle,PROPN,PERSON_I
text3,2,20,bekannte,bekannte,VERB,
text3,2,21,Gesetzesinitiative,gesetzesinitiative,ADJ,
text3,2,22,gegen,gegen,NOUN,
text3,2,23,europäisches,europäische,VERB,
text3,2,24,Recht,Recht,PROPN,ORG_B
text3,2,25,verstößt,verstößt,NOUN,
text3,2,26,und,und,VERB,
text3,2,27,obendrein,obendrein,ADP,PERSON_B
text3,2,28,das,das,PROPN,PERSON_I
text3,2,29,Ziel,Ziel,PROPN,PERSON_I
text3,2,30,des,des,PROPN,PERSON_I
text3,2,31,Kinderschutzes,Kinderschutzes,PROPN,PERSON_I
text3,2,32,verfehlt,verfehlt,NOUN,
text3,2,33,.,.,PUNCT,
text5,1,1,Die,die,VERB,
text5,1,2,Analyse,Analyse,PROPN,
text5,1,3,stellt,stellt,PROPN,
text5,1,4,zudem,zudem,PROPN,
text5,1,5,die,die,VERB,
text5,1,6,Ergebnisse,Ergebnisse,PROPN,
text5,1,7,einer,einer,NOUN,
text5,1,8,Anfrage,Anfrage,PROPN,ORG_B
text5,1,9,des,des,PROPN,ORG_I
text5,1,10,Irish,Irish,PROPN,ORG_I
text5,1,11,Council,Council,PROPN,ORG_I
text5,1,12,for,for,ADP,ORG_I
text5,1,13,Civil,Civil,PROPN,ORG_I
text5,1,14,Liberties,Liberties,PROPN,ORG_I
text5,1,15,(,(,PUNCT,
text5,1,16,ICCL,ICCL,PROPN,ORG_B
text5,1,17,),),PUNCT,
text5,1,18,bei,bei,PROPN,
text5,1,19,der,der,NOUN,
text5,1,20,irischen,irischen,NOUN,
text5,2,1,Polizei,Polizei,PROPN,ORG_B
text5,2,2,vor,vor,NOUN,
text5,2,3,.,.,PUNCT,
text5,3,1,Die,die,VERB,
text5,3,2,Anfrage,anfrage,NOUN,
text5,3,3,ergab,ergab,NOUN,
text5,3,4,",",",",PUNCT,
text5,3,5,dass,dass,PROPN,
text5,3,6,das,das,PROPN,ORG_B
text5,3,7,automatisierte,automatisierte,PROPN,ORG_I
text5,3,8,Scannen,Scannen,PROPN,PERSON_B
text5,3,9,von,von,PROPN,PERSON_I
text5,3,10,Nachrichten,Nachrichten,PROPN,PERSON_I
text5,3,11,auf,auf,PROPN,
text5,3,12,Darstellungen,Darstellungen,PROPN,ORG_B
text5,3,13,sexualisierter,sexualisierter,NOUN,
text5,3,14,Gewalt,Gewalt,PROPN,PERSON_B
text5,3,15,gegen,gegen,NOUN,
text5,4,1,Kinder,Kinder,PROPN,
text5,4,2,zu,zu,PROPN,
text5,4,3,zahlreichen,zahlreichen,PROPN,
text5,4,4,Falschmeldungen,Falschmeldungen,PROPN,ORG_B
text5,4,5,führt,führt,NOUN,
text5,4,6,.,.,PUNCT,
text5,5,1,Diese,diese,ADJ,NORP_B
text5,5,2,würden,würden,ADJ,GPE_B
text5,5,3,nicht,nicht,NOUN,
text5,5,4,nur,nur,AUX,
text5,5,5,die,die,VERB,
text5,5,6,Behörden,Behörden,PROPN,GPE_B
text5,5,7,überlasten,überlasten,NOUN,
text5,5,8,",",",",PUNCT,
text5,5,9,sondern,sondern,ADJ,
text5,5,10,vor,vor,NOUN,
text5,5,11,allem,allem,NOUN,
text5,5,12,das,das,PROPN,ORG_B
text5,5,13,eigentliche,eigentliche,PROPN,ORG_I
text5,5,14,Ziel,Ziel,PROPN,ORG_I
text5,5,15,des,des,PROPN,ORG_I
text5,5,16,Kinderschutzes,Kinderschutzes,PROPN,ORG_I
text5,5,17,aushebeln,aushebeln,PROPN,
text5,5,18,",",",",PUNCT,
text5,5,19,weil,weil,PROPN,PERSON_B
text5,5,20,tatsächlich,tatsächlich,PROPN,PERSON_I
text5,5,21,strafbare,strafbare,NOUN,PERSON_I
text5,5,22,Inhalte,Inhalte,PROPN,NORP_B
text5,5,23,dann,dann,NOUN,
text5,5,24,nur,nur,VERB,
text5,5,25,unzureichend,unzureichend,ADJ,
text5,5,26,verfolgt,verfolgt,ADV,
text5,5,27,werden,werden,PROPN,
text5,5,28,können,können,NOUN,
text5,5,29,.,.,PUNCT,
text5,6,1,Dem,Dem,PROPN,PERSON_B
text5,6,2,Kampagnenbündnis,Kampagnenbündnis,PROPN,PERSON_I
text5,6,3,zufolge,zufolge,PROPN,
text5,6,4,enthielten,enthielten,NOUN,
text5,6,5,in,in,ADP,
text5,6,6,Irland,Irland,PROPN,GPE_B
text5,6,7,i,I,PRON,
text5,6,8,m,m,VERB,
text5,7,1,Jahr,Jahr,PROPN,PERSON_B
text5,7,2,2020,2020,NUM,PERSON_I
text5,7,3,lediglich,lediglich,NOUN,
