doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Wenn,Wenn,PROPN,
text1,1,2,man,man,NOUN,
text1,1,3,Menschen,Menschen,PROPN,PERSON_B
text1,1,4,fragt,fragt,NOUN,
text1,1,5,",",",",PUNCT,
text1,1,6,was,be,AUX,
text1,1,7,die,die,ADJ,
text1,1,8,drängenden,drängenden,VERB,
text1,1,9,Themen,Themen,PROPN,PERSON_B
text1,1,10,des,des,X,
text1,1,11,nächsten,nächsten,NOUN,
text1,1,12,Jahres,Jahres,PROPN,PERSON_B
text1,1,13,sein,sein,PROPN,
text1,1,14,werden,werden,PROPN,
text1,1,15,",",",",PUNCT,
text1,2,1,stehen,stehen,PROPN,GPE_B
text1,2,2,netzpolitische,netzpolitische,PROPN,
text1,2,3,Dinge,Dinge,PROPN,GPE_B
text1,2,4,vermutlich,vermutlich,VERB,
text1,2,5,nicht,nicht,PROPN,
text1,2,6,auf,auf,PROPN,
text1,2,7,Platz,Platz,PROPN,PRODUCT_B
text1,2,8,1,1,NUM,PRODUCT_I
text1,2,9,der,der,NOUN,PRODUCT_I
text1,2,10,meistgenannten,meistgenannten,ADJ,
text1,2,11,Schlagwörter,Schlagwörter,PROPN,PERSON_B
text1,2,12,.,.,PUNCT,
text1,3,1,Klar,Klar,PROPN,ORG_B
text1,3,2,",",",",PUNCT,
text1,3,3,denn,denn,NOUN,
text1,3,4,auf,auf,PROPN,
text1,3,5,der,der,PROPN,
text1,3,6,Welt,Welt,PROPN,PERSON_B
text1,3,7,gibt,gibt,PROPN,PERSON_I
text1,3,8,es,es,PROPN,
text1,3,9,gleich,gleich,PROPN,
text1,3,10,mehrere,mehrere,PROPN,
text1,3,11,bedrohliche,bedrohliche,NOUN,
text1,3,12,Kriege,Kriege,PROPN,ORG_B
text1,3,13,.,.,PUNCT,
text1,4,1,Viele,Viele,PROPN,
text1,4,2,machen,machen,PROPN,
text1,4,3,sich,sich,PROPN,
text1,4,4,Sorgen,Sorgen,PROPN,ORG_B
text1,4,5,um,um,INTJ,
text1,4,6,ihre,ihre,ADJ,
text1,4,7,Arbeitsplätze,Arbeitsplätze,PROPN,PERSON_B
text1,4,8,.,.,PUNCT,
text1,5,1,Andere,Andere,PROPN,
text1,5,2,fürchten,fürchten,VERB,
text1,5,3,sich,sich,ADJ,
text1,5,4,vor,vor,VERB,
text1,5,5,einem,einem,PROPN,PERSON_B
text1,5,6,weiteren,weiteren,NOUN,PERSON_I
text1,5,7,Rechtsruck,Rechtsruck,PROPN,PERSON_B
text1,5,8,.,.,PUNCT,
text1,6,1,Es,es,INTJ,
text1,6,2,gibt,gibt,NOUN,
text1,6,3,jede,jede,VERB,
text1,6,4,Menge,Menge,PROPN,PERSON_B
text1,6,5,Krisen,Krisen,PROPN,PERSON_I
text1,6,6,gleichzeitig,gleichzeitig,NOUN,PERSON_I
text1,6,7,.,.,PUNCT,
text1,7,1,Warum,Warum,PROPN,
text1,7,2,sollte,sollte,ADJ,
text1,7,3,man,man,NOUN,
text1,7,4,sich,sich,PROPN,
text1,7,5,da,da,PROPN,
text1,7,6,mit,mit,NOUN,
text1,7,7,Breitbandausbau,Breitbandausbau,NOUN,PERSON_B
text1,7,8,und,und,VERB,
text1,7,9,digitalen,digitalen,ADJ,
text1,7,10,Identitäten,Identitäten,PROPN,
text1,7,11,beschäftigen,beschäftigen,NOUN,
text1,7,12,?,?,PUNCT,
text3,1,1,Doch,Doch,PROPN,PERSON_B
text3,1,2,Netzpolitik,Netzpolitik,PROPN,PERSON_I
text3,1,3,ist,ist,VERB,
text3,1,4,keine,keine,NOUN,
text3,1,5,losgelöste,losgelöste,NOUN,
text3,1,6,Insel,Insel,PROPN,GPE_B
text3,1,7,.,.,PUNCT,
text3,2,1,Fragen,Fragen,PROPN,PERSON_B
text3,2,2,von,von,PROPN,PERSON_I
text3,2,3,Technologie,Technologie,PROPN,PERSON_I
text3,2,4,und,und,PROPN,
text3,2,5,Digitalisierung,Digitalisierung,PROPN,
text3,2,6,berühren,berühren,NOUN,
text3,2,7,fast,fast,VERB,
text3,2,8,alle,alle,NOUN,
text3,2,9,diese,diese,ADJ,NORP_B
text3,2,10,großen,großen,NOUN,
text3,2,11,Themen,Themen,PROPN,WORK_OF_ART_B
text3,2,12,–,–,PUNCT,
text3,2,13,genau,genau,NOUN,
text3,2,14,wie,wie,NOUN,
text3,2,15,umgekehrt,umgekehrt,NOUN,
text3,2,16,.,.,PUNCT,
text3,3,1,Daher,Daher,PROPN,
text3,3,2,hier,hi,ADJ,
text3,3,3,unser,unser,NOUN,
text3,3,4,Blick,Blick,PROPN,ORG_B
