doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,manchmal,manchmal,ADJ,
text3,1,2,fokussiert,fokussiert,NOUN,
text3,1,3,sich,sich,PROPN,
text3,1,4,unsere,unsere,NOUN,
text3,1,5,Berichterstattung,Berichterstattung,PROPN,GPE_B
text3,1,6,zur,zur,NOUN,
text3,1,7,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,8,darauf,darauf,PROPN,
text3,1,9,",",",",PUNCT,
text3,1,10,ob,ob,PROPN,
text3,1,11,das,das,PROPN,
text3,1,12,Thema,Thema,PROPN,
text3,1,13,noch,noch,PROPN,
text3,1,14,auf,auf,PROPN,
text3,1,15,der,der,PROPN,
text3,1,16,Tagesordnung,Tagesordnung,PROPN,GPE_B
text3,1,17,i,i,PROPN,
text3,1,18,m,m,VERB,
text3,1,19,EU,EU,PROPN,PERSON_B
text3,1,20,-,-,PUNCT,PERSON_I
text3,1,21,Rat,Rat,PROPN,PERSON_I
text3,1,22,steht,steht,VERB,
text3,1,23,oder,oder,NOUN,
text3,1,24,nicht,nicht,PROPN,
text3,1,25,.,.,PUNCT,
text3,2,1,Das,Das,PROPN,
text3,2,2,liegt,liegt,PROPN,PERSON_B
text3,2,3,daran,daran,PROPN,PERSON_I
text3,2,4,",",",",PUNCT,
text3,2,5,dass,dass,NOUN,
text3,2,6,die,die,VERB,
text3,2,7,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text3,2,8,immer,immer,NOUN,
text3,2,9,wieder,wieder,NOUN,
text3,2,10,von,von,PROPN,PERSON_B
text3,2,11,der,der,PROPN,PERSON_I
text3,2,12,Agenda,Agenda,PROPN,PERSON_I
text3,2,13,herunter,herunter,NOUN,
text3,2,14,genommen,genommen,VERB,
text3,2,15,wird,wird,PROPN,
text3,2,16,",",",",PUNCT,
text3,2,17,wenn,wenn,PROPN,
text3,2,18,sich,sich,PROPN,
text3,2,19,die,die,VERB,
text3,2,20,Mitgliedsstaaten,Mitgliedsstaaten,PROPN,
text3,2,21,nicht,nicht,NOUN,
text3,2,22,einig,einig,NOUN,
text3,2,23,sind,sind,NOUN,
text3,2,24,.,.,PUNCT,
text3,3,1,Für,Für,PROPN,
text3,3,2,Gegner,Gegner,PROPN,
text3,3,3,:,:,PUNCT,
text3,3,4,innen,innen,NOUN,
text3,3,5,des,des,X,
text3,3,6,Überwachungsprojektes,Überwachungsprojektes,PROPN,NORP_B
text3,3,7,ist,ist,AUX,
text3,3,8,also,also,ADV,
text3,3,9,die,die,VERB,
text3,3,10,Aussage,Aussage,PROPN,
text3,3,11,„,„,PUNCT,
text3,3,12,von,von,PROPN,
text3,3,13,der,der,NOUN,
text3,3,14,Tagesordnung,Tagesordnung,PROPN,
text3,3,15,gestrichen,gestrichen,PROPN,
text3,3,16,“,"""",PUNCT,
text3,3,17,etwa,etwa,NOUN,
text3,3,18,gleichbedeutend,gleichbedeutend,VERB,
text3,3,19,mit,mit,VERB,
text3,3,20,„,„,PUNCT,
text3,3,21,weiterhin,weiterhin,PROPN,
text3,3,22,verhindert,verhindert,NOUN,
text3,3,23,“,"""",PUNCT,
text3,3,24,.,.,PUNCT,
text3,4,1,Und,Und,PROPN,
text3,4,2,das,das,PROPN,
text3,4,3,ist,ist,ADJ,
text3,4,4,gut,gut,PROPN,
text3,4,5,.,.,PUNCT,
text3,5,1,So,so,ADV,
text3,5,2,wie,wie,PROPN,
text3,5,3,es,es,X,
text3,5,4,aussieht,aussieht,PROPN,
text3,5,5,",",",",PUNCT,
text3,5,6,steht,steht,VERB,
text3,5,7,das,das,PROPN,PERSON_B
text3,5,8,Thema,Thema,PROPN,PERSON_I
text3,5,9,erst,erst,NOUN,
text3,6,1,i,I,PRON,
text3,6,2,m,m,VERB,
text3,6,3,Dezember,Dezember,PROPN,PERSON_B
text3,6,4,wieder,wieder,NOUN,
text3,6,5,auf,auf,PROPN,
text3,6,6,der,der,PROPN,
text3,6,7,Tagesordnung,Tagesordnung,PROPN,GPE_B
text3,6,8,.,.,PUNCT,
text3,7,1,Wir,Wir,PROPN,
text3,7,2,bleiben,bleiben,PROPN,
text3,7,3,dran,dran,PROPN,
text3,7,4,!,!,PUNCT,
text5,1,1,Ein,Ein,PROPN,
text5,1,2,schönes,schöne,VERB,
text5,1,3,Herbstwochenende,Herbstwochenende,PROPN,
text5,1,4,wünscht,wünscht,NOUN,
text5,1,5,Euch,Euch,PROPN,
text5,1,6,allen,allen,NOUN,
text7,1,1,*,*,PUNCT,
text7,1,2,Markus,markus,NOUN,
text7,1,3,*,*,PUNCT,
