doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,Europäische,Europäische,PROPN,ORG_I
text1,1,3,Kommission,Kommission,PROPN,ORG_I
text1,1,4,könnte,könnte,NOUN,
text1,1,5,Plattformen,Plattformen,PROPN,
text1,1,6,wie,wie,NOUN,
text1,2,1,Facebook,Facebook,PROPN,
text1,2,2,",",",",PUNCT,
text1,2,3,WhatsApp,WhatsApp,PROPN,ORG_B
text1,2,4,oder,oder,NOUN,
text1,2,5,Signal,Signal,PROPN,ORG_B
text1,2,6,bald,bald,ADJ,
text1,2,7,das,das,PROPN,
text1,2,8,Durchleuchten,Durchleuchten,PROPN,
text1,2,9,von,von,PROPN,
text1,2,10,Inhalten,Inhalten,PROPN,
text1,2,11,und,und,NOUN,
text1,2,12,Nachrichten,Nachrichten,PROPN,
text1,2,13,ihrer,ihrer,NOUN,
text1,2,14,Nutzer,Nutzer,PROPN,
text1,2,15,:,:,PUNCT,
text1,2,16,innen,innen,NOUN,
text1,2,17,vorschreiben,vorschreiben,NOUN,
text1,2,18,.,.,PUNCT,
text1,3,1,Durchsetzen,Durchsetzen,PROPN,
text1,3,2,soll,soll,PROPN,
text1,3,3,das,das,PROPN,ORG_B
text1,3,4,ein,ein,PROPN,ORG_I
text1,3,5,Vorschlag,Vorschlag,PROPN,ORG_I
text1,3,6,für,für,NOUN,
text1,3,7,eine,eine,NOUN,
text1,3,8,EU,EU,PROPN,ORG_B
text1,3,9,-,-,PUNCT,
text1,3,10,Verordnung,Verordnung,PROPN,
text1,3,11,zur,zur,NOUN,PERSON_B
text1,3,12,Bekämpfung,Bekämpfung,PROPN,PERSON_I
text1,3,13,von,von,PROPN,PERSON_I
text1,3,14,Kindesmissbrauch,Kindesmissbrauch,PROPN,PERSON_I
text1,3,15,",",",",PUNCT,
text1,3,16,den,den,VERB,
text1,3,17,die,die,NOUN,
text1,3,18,Kommission,Kommission,PROPN,PERSON_B
text1,3,19,am,be,AUX,
text1,3,20,morgigen,morgigen,NOUN,
text1,3,21,Mittwoch,Mittwoch,PROPN,
text1,3,22,vorstellen,vorstellen,PROPN,
text1,3,23,will,will,AUX,
text1,3,24,.,.,PUNCT,
text1,4,1,Gegen,Gegen,PROPN,ORG_B
text1,4,2,die,die,VERB,
text1,4,3,Vorschriften,Vorschriften,PROPN,PERSON_B
text1,4,4,formiert,formiert,ADJ,PERSON_I
text1,4,5,sich,sich,NOUN,
text1,4,6,allerdings,allerding,NOUN,
text1,4,7,bereits,bereit,VERB,
text1,4,8,seit,seit,NOUN,
text1,4,9,Monaten,Monaten,PROPN,PERSON_B
text1,4,10,Widerstand,Widerstand,PROPN,PERSON_I
text1,4,11,.,.,PUNCT,
text3,1,1,Nach,Nach,PROPN,ORG_B
text3,1,2,Vorstellungen,Vorstellungen,PROPN,ORG_I
text3,1,3,der,der,PROPN,
text3,1,4,EU,EU,PROPN,ORG_B
text3,1,5,-,-,PUNCT,ORG_I
text3,1,6,Kommission,Kommission,PROPN,ORG_I
text3,1,7,sollen,sollen,NOUN,
text3,1,8,Plattformen,Plattformen,PROPN,
text3,1,9,künftig,künftig,NOUN,
text3,1,10,Maßnahmen,Maßnahmen,PROPN,
text3,1,11,zur,zur,PROPN,PERSON_B
text3,1,12,Bekämpfung,Bekämpfung,PROPN,PERSON_I
text3,1,13,von,von,PROPN,PERSON_I
text3,1,14,Kindesmissbrauch,Kindesmissbrauch,PROPN,PERSON_I
text3,1,15,angeordnet,angeordnet,NOUN,
text3,1,16,werden,werden,PROPN,
text3,1,17,können,können,PROPN,
text3,1,18,.,.,PUNCT,
text3,2,1,Der,Der,PROPN,ORG_B
text3,2,2,Vorschlag,Vorschlag,PROPN,ORG_I
text3,2,3,unterscheidet,unterscheidet,NOUN,
text3,2,4,drei,drei,VERB,
text3,2,5,Arten,Arten,PROPN,PERSON_B
text3,2,6,von,von,PROPN,PERSON_I
text3,2,7,sexualisiertem,sexualisiertem,NOUN,
text3,2,8,Missbrauch,Missbrauch,PROPN,
text3,2,9,:,:,PUNCT,
text3,2,10,die,die,VERB,
text3,2,11,Verbreitung,Verbreitung,PROPN,PERSON_B
text3,2,12,bereits,bereit,VERB,
text3,2,13,bekannter,bekannter,PROPN,
text3,2,14,Missbrauchsdarstellungen,Missbrauchsdarstellungen,PROPN,PERSON_B
text3,2,15,",",",",PUNCT,
text3,2,16,bislang,bislang,PROPN,
text3,2,17,unbekanntes,unbekannte,VERB,
text3,2,18,Material,Material,PROPN,
text3,2,19,und,und,NOUN,
text3,2,20,die,die,VERB,
text3,2,21,entsprechende,entsprechende,ADJ,
text3,2,22,Kontaktaufnahme,Kontaktaufnahme,PROPN,PERSON_B
text3,2,23,zu,zu,NOUN,PERSON_I
text3,2,24,Kindern,Kindern,PROPN,PERSON_I
text3,2,25,.,.,PUNCT,
text3,3,1,Für,für,NOUN,
text3,3,2,jede,jede,VERB,
text3,3,3,dieser,dieser,PROPN,
text3,3,4,drei,drei,PROPN,
text3,3,5,Kategorien,Kategorien,PROPN,GPE_B
text3,3,6,soll,soll,NOUN,
text3,3,7,es,es,X,
text3,3,8,verschiedene,verschiedene,NOUN,
text3,3,9,Indikatoren,Indikatoren,PROPN,ORG_B
text3,3,10,geben,geben,PROPN,
text3,3,11,",",",",PUNCT,
text3,3,12,die,die,VERB,
text3,3,13,in,in,ADP,
text3,3,14,einer,einer,NOUN,
text3,3,15,Datenbank,Datenbank,PROPN,PERSON_B
text3,3,16,verzeichnet,verzeichnet,NOUN,
text3,3,17,sind,sind,NOUN,
text3,3,18,.,.,PUNCT,
text5,1,1,#,#,SYM,MONEY_B
text5,1,2,#,#,NOUN,MONEY_I
