doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,verpflichtende,verpflichtende,NOUN,
text1,1,3,Chatkontrolle,Chatkontrolle,PROPN,
text1,1,4,ist,ist,ADP,
text1,1,5,vorerst,vorerst,ADJ,
text1,1,6,gestoppt,gestoppt,NOUN,
text1,1,7,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,EU,EU,PROPN,
text1,2,3,-,-,PUNCT,
text1,2,4,Staaten,Staaten,PROPN,
text1,2,5,finden,finden,NOUN,
text1,2,6,keine,keine,NOUN,
text1,2,7,gemeinsame,gemeinsame,PROPN,
text1,2,8,Position,Position,PROPN,ORG_B
text1,2,9,zum,zum,NOUN,PERSON_B
text1,2,10,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_I
text1,2,11,der,der,PROPN,
text1,2,12,EU,EU,PROPN,ORG_B
text1,2,13,-,-,PUNCT,ORG_I
text1,2,14,Kommission,Kommission,PROPN,ORG_I
text1,2,15,.,.,PUNCT,
text1,3,1,Trotz,trotz,NOUN,ORG_B
text1,3,2,vieler,vieler,NOUN,
text1,3,3,Verhandlungen,Verhandlungen,PROPN,ORG_B
text1,3,4,wird,wird,NOUN,
text1,3,5,sich,sich,PROPN,
text1,3,6,der,der,PROPN,
text1,3,7,Rat,Rat,PROPN,
text1,3,8,dieses,diese,VERB,
text1,3,9,Jahr,Jahr,PROPN,PERSON_B
text1,3,10,nicht,nicht,NOUN,
text1,3,11,mehr,mehr,NOUN,
text1,3,12,einigen,einigen,NOUN,
text1,3,13,.,.,PUNCT,
text1,4,1,Damit,Damit,PROPN,ORG_B
text1,4,2,wird,wird,PROPN,
text1,4,3,das,das,PROPN,PERSON_B
text1,4,4,Gesetz,Gesetz,PROPN,PERSON_I
text1,4,5,vor,vor,VERB,
text1,4,6,der,der,NOUN,
text1,4,7,EU,EU,PROPN,ORG_B
text1,4,8,-,-,PUNCT,ORG_I
text1,4,9,Wahl,Wahl,PROPN,ORG_I
text1,4,10,i,I,PRON,
text1,4,11,m,m,VERB,
text1,4,12,Juni,Juni,PROPN,PERSON_B
text1,4,13,voraussichtlich,voraussichtlich,NOUN,
text1,4,14,nicht,nicht,PROPN,
text1,4,15,mehr,mehr,NOUN,
text1,4,16,beschlossen,beschlossen,PROPN,
text1,4,17,.,.,PUNCT,
text1,5,1,Die,die,VERB,
text1,5,2,notwendige,notwendige,ADJ,
text1,6,1,Zeit,Zeit,PROPN,
text1,6,2,für,für,NOUN,
text1,6,3,eine,eine,NOUN,
text1,6,4,Einigung,Einigung,PROPN,WORK_OF_ART_B
text1,6,5,ist,ist,ADJ,
text1,6,6,abgelaufen,abgelaufen,NOUN,
text1,6,7,.,.,PUNCT,
text3,1,1,In,in,ADP,
text3,1,2,den,den,NOUN,
text3,1,3,letzten,letzten,VERB,
