doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Spendenfinanzierte,Spendenfinanzierte,PROPN,PERSON_B
text1,1,2,Projekte,Projekte,PROPN,PERSON_I
text1,1,3,müssen,müssen,PROPN,
text1,1,4,sich,sich,PROPN,
text1,1,5,zurecht,zurecht,PROPN,ORG_B
text1,1,6,fragen,fragen,PROPN,ORG_I
text1,1,7,lassen,lassen,PROPN,
text1,1,8,",",",",PUNCT,
text1,1,9,wie,wie,PROPN,
text1,1,10,sie,sie,PROPN,
text1,1,11,wirken,wirken,PROPN,
text1,1,12,und,und,PROPN,
text1,1,13,was,be,AUX,
text1,1,14,sie,sie,PROPN,
text1,1,15,verändern,verändern,ADJ,
text1,1,16,.,.,PUNCT,
text1,2,1,Löst,Löst,PROPN,
text1,2,2,mein,mein,NOUN,
text1,2,3,Geld,Geld,PROPN,PERSON_B
text1,2,4,ordentlich,ordentlich,NOUN,
text1,2,5,was,be,AUX,
text1,2,6,aus,aus,ADP,
text1,2,7,?,?,PUNCT,
text1,3,1,Tut,tut,NOUN,
text1,3,2,sich,sich,NOUN,
text1,3,3,was,be,AUX,
text1,3,4,politisch,politisch,ADJ,
text1,3,5,?,?,PUNCT,
text1,4,1,Hilft,Hilft,PROPN,
text1,4,2,meine,meine,NOUN,
text1,4,3,Unterstützung,Unterstützung,PROPN,
text1,4,4,dabei,dabei,NOUN,
text1,4,5,",",",",PUNCT,
text1,4,6,eine,eine,NOUN,
text1,4,7,Veränderung,Veränderung,PROPN,PERSON_B
text1,4,8,herbeizuführen,herbeizuführen,NOUN,PERSON_I
text1,4,9,?,?,PUNCT,
text3,1,1,Wir,Wir,PROPN,
text3,1,2,können,können,PROPN,
text3,1,3,nackte,nackte,PROPN,PERSON_B
text3,1,4,Zahlen,Zahlen,PROPN,PERSON_I
text3,1,5,wie,wie,NOUN,
text3,1,6,die,die,VERB,
text3,1,7,Anzahl,Anzahl,PROPN,PERSON_B
text3,1,8,der,der,NOUN,PERSON_I
text3,1,9,Texte,Texte,PROPN,PERSON_I
text3,1,10,anschauen,anschauen,NOUN,
text3,1,11,oder,oder,PROPN,
text3,1,12,zählen,zählen,PROPN,
text3,1,13,",",",",PUNCT,
text3,1,14,wie,wie,PROPN,
text3,1,15,oft,oft,PROPN,
text3,1,16,wir,wir,PROPN,
text3,1,17,zitiert,zitiert,PROPN,
text3,1,18,werden,werden,PROPN,
text3,1,19,.,.,PUNCT,
text3,2,1,Wir,Wir,PROPN,
text3,2,2,können,können,PROPN,
text3,2,3,erfassen,erfassen,PROPN,
text3,2,4,",",",",PUNCT,
text3,2,5,wie,wie,NOUN,
text3,2,6,viele,viele,PROPN,
text3,2,7,Klicks,Klicks,PROPN,LOC_B
text3,2,8,ein,ein,NOUN,LOC_I
text3,3,1,Artikel,Artikel,PROPN,
text3,3,2,ungefähr,ungefähr,PROPN,
text3,3,3,bekommt,bekommt,PROPN,
text3,3,4,.,.,PUNCT,
text3,4,1,Das,Das,PROPN,
text3,4,2,sind,sind,NOUN,
text3,4,3,alles,alle,VERB,
text3,4,4,spannende,spannende,VERB,
text3,4,5,Kennzahlen,Kennzahlen,PROPN,PERSON_B
text3,4,6,",",",",PUNCT,
text3,4,7,aber,aber,PROPN,
text3,4,8,Erfolg,Erfolg,PROPN,GPE_B
text3,4,9,und,und,PROPN,
text3,4,10,Wirksamkeit,Wirksamkeit,PROPN,PERSON_B
text3,4,11,von,von,PROPN,PERSON_I
text3,4,12,gemeinwohlorientiertem,gemeinwohlorientiertem,NOUN,
text3,4,13,Journalismus,Journalismus,PROPN,PERSON_B
text3,4,14,lassen,lassen,NOUN,
text3,5,1,sich,sich,PROPN,
text3,5,2,nicht,nicht,PROPN,
text3,5,3,nur,nur,VERB,
text3,5,4,an,an,DET,
text3,5,5,der,der,ADJ,
text3,5,6,blanken,blanken,ADJ,
text3,5,7,Reichweite,Reichweite,PROPN,GPE_B
