doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,es,es,VERB,
text3,1,2,gibt,gibt,PROPN,
text3,1,3,Tage,Tage,PROPN,
text3,1,4,",",",",PUNCT,
text3,1,5,da,da,PROPN,
text3,1,6,scheint,scheint,NOUN,
text3,1,7,es,es,PROPN,
text3,1,8,nur,nur,NOUN,
text3,1,9,ein,ein,PROPN,
text3,1,10,Thema,Thema,PROPN,
text3,1,11,zu,zu,PROPN,
text3,1,12,geben,geben,NOUN,
text3,1,13,.,.,PUNCT,
text3,2,1,Heute,Heute,PROPN,
text3,2,2,ist,ist,VERB,
text3,2,3,so,so,ADV,
text3,2,4,einer,einer,NOUN,
text3,2,5,.,.,PUNCT,
text3,3,1,Das,Das,PROPN,
text3,3,2,Thema,Thema,PROPN,
text3,3,3,ist,ist,NOUN,
text3,3,4,",",",",PUNCT,
text3,3,5,das,das,PROPN,PERSON_B
text3,3,6,könnt,könnt,PROPN,PERSON_I
text3,3,7,ihr,ihr,PROPN,
text3,3,8,unschwer,unschwer,NOUN,
text3,3,9,auf,auf,PROPN,
text3,3,10,der,der,PROPN,PERSON_B
text3,3,11,Startseite,Startseite,PROPN,PERSON_I
text3,3,12,erkennen,erkennen,NOUN,
text3,3,13,:,:,PUNCT,
text3,3,14,Chatkontrolle,Chatkontrolle,PROPN,
text3,3,15,.,.,PUNCT,
text3,4,1,Schon,Schon,PROPN,
text3,4,2,bald,bald,ADJ,
text3,4,3,soll,soll,PROPN,
text3,4,4,sich,sich,PROPN,
text3,4,5,die,die,VERB,
text3,5,1,Bundesregierung,Bundesregierung,PROPN,ORG_B
text3,5,2,auf,auf,PROPN,ORG_I
text3,5,3,eine,eine,NOUN,
text3,5,4,Position,Position,PROPN,
text3,5,5,für,für,NOUN,
text3,5,6,eine,eine,NOUN,
text3,5,7,sehr,sehr,PROPN,
text3,5,8,wichtige,wichtige,PROPN,
text3,5,9,Abstimmung,Abstimmung,PROPN,ORG_B
text3,5,10,i,I,PRON,
text3,5,11,m,m,VERB,
text3,5,12,EU,EU,PROPN,PERSON_B
text3,5,13,-,-,PUNCT,PERSON_I
text3,5,14,Rat,Rat,PROPN,PERSON_I
text3,5,15,einigen,einigen,NOUN,
text3,5,16,.,.,PUNCT,
text3,6,1,Die,die,VERB,
text3,6,2,ist,ist,NOUN,
text3,6,3,am,be,AUX,
text3,6,4,14,14,NUM,DATE_B
text3,6,5,.,.,PUNCT,
text3,7,1,Oktober,Oktober,PROPN,
text3,7,2,.,.,PUNCT,
text5,1,1,Aber,Aber,PROPN,PERSON_B
text5,1,2,nicht,nicht,NOUN,
text5,1,3,nur,nur,VERB,
text5,1,4,bei,bei,PROPN,
text5,1,5,uns,un,VERB,
text5,1,6,ist,ist,VERB,
text5,1,7,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text5,1,8,*,*,PROPN,PERSON_I
text5,1,9,das,das,PROPN,PERSON_I
text5,1,10,*,*,PROPN,PERSON_I
text5,1,11,Thema,Thema,PROPN,PERSON_I
text5,1,12,des,des,X,PERSON_I
text5,1,13,Tages,tage,NOUN,PERSON_I
text5,1,14,.,.,PUNCT,
text5,2,1,Auf,Auf,PROPN,PERSON_B
text5,2,2,Social,Social,PROPN,PERSON_I
text5,2,3,-,-,PUNCT,PERSON_I
text5,2,4,Media,Media,PROPN,PERSON_I
text5,2,5,-,-,PUNCT,PERSON_I
text5,2,6,Plattformen,Plattformen,PROPN,PERSON_I
text5,2,7,–,–,PUNCT,
text5,2,8,von,von,PROPN,
text5,2,9,der,der,NOUN,
text5,2,10,Mastodon,Mastodon,PROPN,ORG_B
text5,2,11,-,-,PUNCT,ORG_I
text5,2,12,Timeline,Timeline,PROPN,ORG_I
text5,2,13,bis,bis,X,
text5,2,14,zum,zum,PROPN,
text5,2,15,LinkedIn,LinkedIn,PROPN,ORG_B
text5,2,16,-,-,PUNCT,ORG_I
text5,2,17,Business,Business,PROPN,ORG_I
text5,2,18,-,-,PUNCT,ORG_I
text5,2,19,Profil,Profil,PROPN,ORG_I
text5,2,20,–,–,PUNCT,
text5,2,21,teilen,teilen,PROPN,
text5,2,22,sehr,sehr,NOUN,
text5,2,23,viele,viele,PROPN,
text5,3,1,Menschen,Menschen,PROPN,GPE_B
text5,3,2,ihre,ihre,ADJ,GPE_I
text5,3,3,Sorge,Sorge,PROPN,GPE_I
text5,3,4,und,und,PROPN,
text5,3,5,ihren,ihren,PROPN,
text5,3,6,Unmut,Unmut,PROPN,PRODUCT_B
text5,3,7,.,.,PUNCT,
text5,4,1,Das,Das,PROPN,
text5,4,2,darf,darf,PROPN,ORG_B
text5,4,3,nicht,nicht,PROPN,ORG_I
text5,4,4,ungehört,ungehört,VERB,
text5,4,5,bleiben,bleiben,PROPN,
text5,4,6,!,!,PUNCT,
text7,1,1,Viele,Viele,PROPN,PERSON_B
text7,1,2,Grüße,Grüße,PROPN,PERSON_I
text7,1,3,",",",",PUNCT,
text9,1,1,*,*,PUNCT,
text9,1,2,anna,anna,NOUN,
text9,1,3,*,*,PUNCT,
text11,1,1,#,#,SYM,
text11,1,2,#,#,NOUN,
text11,1,3,Schreibe,Schreibe,PROPN,PERSON_B
text11,1,4,eine,eine,NOUN,
text11,1,5,Ergänzung,Ergänzung,PROPN,
text11,1,6,!,!,PUNCT,
