doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,Berlin,Berlin,PROPN,GPE_B
text1,1,3,haben,haben,NOUN,
text1,1,4,Gegner,Gegner,PROPN,
text1,1,5,:,:,PUNCT,
text1,1,6,innen,innen,NOUN,
text1,1,7,der,der,NOUN,
text1,1,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,9,gegen,gegen,NOUN,
text1,1,10,die,die,VERB,
text1,1,11,Pläne,Pläne,PROPN,ORG_B
text1,1,12,der,der,PROPN,
text1,1,13,EU,EU,PROPN,ORG_B
text1,1,14,-,-,PUNCT,ORG_I
text1,1,15,Kommission,Kommission,PROPN,ORG_I
text1,1,16,erstmals,erstmal,VERB,
text1,1,17,auch,auch,ADJ,
text1,1,18,auf,auf,PROPN,
text1,1,19,der,der,NOUN,
text1,1,20,Straße,Straße,PROPN,GPE_B
text1,1,21,protestiert,protestiert,PROPN,
text1,1,22,.,.,PUNCT,
text1,2,1,Der,Der,PROPN,PERSON_B
text1,2,2,Vorschlag,Vorschlag,PROPN,PERSON_I
text1,2,3,der,der,PROPN,
text1,2,4,EU,EU,PROPN,ORG_B
text1,2,5,-,-,PUNCT,ORG_I
text1,2,6,Kommission,Kommission,PROPN,ORG_I
text1,2,7,zur,zur,NOUN,
text1,2,8,Bekämpfung,Bekämpfung,PROPN,
text1,2,9,sexualisierter,sexualisierter,NOUN,
text1,2,10,Gewalt,Gewalt,PROPN,PERSON_B
text1,2,11,gegen,gegen,NOUN,
text1,2,12,Kinder,Kinder,PROPN,NORP_B
text1,2,13,sieht,sieht,VERB,
text1,2,14,vor,vor,NOUN,
text1,2,15,",",",",PUNCT,
text1,2,16,dass,dass,NOUN,
text1,2,17,Anbieter,Anbieter,PROPN,PERSON_B
text1,2,18,auch,auch,PROPN,
text1,2,19,private,private,ADJ,
text1,2,20,Chatnachrichten,Chatnachrichten,PROPN,
text1,2,21,nach,nach,NOUN,
text1,2,22,solchen,solchen,ADV,
text1,2,23,Inhalten,Inhalten,PROPN,WORK_OF_ART_B
text1,2,24,durchsuchen,durchsuchen,VERB,WORK_OF_ART_I
text1,2,25,sollen,sollen,NOUN,
text1,2,26,.,.,PUNCT,
text1,3,1,Die,die,VERB,ORG_B
text1,3,2,Kampagne,Kampagne,PROPN,ORG_I
text1,3,3,Chatkontrolle,Chatkontrolle,PROPN,ORG_I
text1,3,4,Stoppen,Stoppen,PROPN,ORG_I
text1,3,5,!,!,PROPN,
text1,3,6,hatte,hatte,PROPN,PERSON_B
text1,3,7,deshalb,deshalb,PROPN,PERSON_I
text1,3,8,bereits,bereit,NOUN,
text1,3,9,am,be,AUX,
text1,3,10,Montag,Montag,PROPN,
text1,3,11,zu,zu,ADJ,
text1,3,12,dem,dem,INTJ,
text1,3,13,Straßenprotest,Straßenprotest,PROPN,PRODUCT_B
text1,3,14,vor,vor,NOUN,
text1,3,15,dem,dem,ADJ,
