doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,I,I,PRON,
text1,1,2,m,m,VERB,
text1,1,3,Mai,Mai,PROPN,PERSON_B
text1,1,4,hat,hat,NOUN,
text1,1,5,die,die,VERB,
text1,1,6,EU,EU,PROPN,ORG_B
text1,1,7,-,-,PUNCT,ORG_I
text1,1,8,Kommission,Kommission,PROPN,ORG_I
text1,1,9,ihren,ihren,NOUN,
text1,1,10,Vorschlag,Vorschlag,PROPN,ORG_B
text1,1,11,für,für,NOUN,
text1,1,12,eine,eine,NOUN,
text1,1,13,Verordnung,Verordnung,PROPN,PERSON_B
text1,1,14,zur,zur,NOUN,
text1,1,15,Bekämpfung,Bekämpfung,PROPN,
text1,1,16,von,von,PROPN,
text1,2,1,Kindesmissbrauch,Kindesmissbrauch,PROPN,
text1,2,2,vorgelegt,vorgelegt,VERB,
text1,2,3,.,.,PUNCT,
text1,3,1,Darin,Darin,PROPN,GPE_B
text1,3,2,enthalten,enthalten,VERB,
text1,3,3,sind,sind,NOUN,
text1,3,4,zahlreiche,zahlreiche,NOUN,
text1,4,1,Verpflichtungen,Verpflichtungen,PROPN,PERSON_B
text1,4,2,für,für,NOUN,
text1,4,3,Internetdienstleister,Internetdienstleister,PROPN,PERSON_B
text1,4,4,",",",",PUNCT,
text1,4,5,darunter,darunter,ADJ,
text1,4,6,Maßnahmen,Maßnahmen,PROPN,ORG_B
text1,4,7,",",",",PUNCT,
text1,4,8,um,um,INTJ,
text1,4,9,das,das,PROPN,
text1,4,10,Risiko,Risiko,PROPN,
text1,4,11,von,von,PROPN,
text1,4,12,sexualisierter,sexualisierter,NOUN,
text1,4,13,Gewalt,Gewalt,PROPN,PERSON_B
text1,4,14,und,und,PROPN,
text1,4,15,Grooming,Grooming,PROPN,
text1,4,16,zu,zu,NOUN,
text1,4,17,bewerten,bewerten,NOUN,
text1,4,18,.,.,PUNCT,
text1,5,1,Wird,Wird,PROPN,
text1,5,2,dieses,diese,VERB,
text1,5,3,Risiko,Risiko,PROPN,PERSON_B
text1,5,4,als,al,NOUN,
text1,5,5,„,„,PUNCT,
text1,5,6,hoch,hoch,NOUN,
text1,5,7,“,"""",PUNCT,
text1,5,8,bewertet,bewertet,NOUN,
text1,5,9,",",",",PUNCT,
text1,5,10,können,können,PROPN,
text1,5,11,Behörden,Behörden,PROPN,GPE_B
text1,5,12,sogenannte,sogenannte,PROPN,
text1,5,13,Aufdeckungsanordnungen,Aufdeckungsanordnungen,PROPN,PRODUCT_B
text1,5,14,erlassen,erlassen,VERB,
text1,5,15,.,.,PUNCT,
text1,6,1,Dann,Dann,PROPN,
text1,6,2,müssen,müssen,PROPN,
text1,6,3,die,die,VERB,
text1,6,4,Firmen,Firmen,PROPN,PERSON_B
text1,6,5,Filtertechnologien,Filtertechnologien,PROPN,PERSON_I
text1,6,6,einsetzen,einsetzen,NOUN,
text1,6,7,",",",",PUNCT,
text1,6,8,die,die,VERB,
text1,6,9,nach,nach,PROPN,
text1,6,10,derzeitigem,derzeitigem,PROPN,
text1,7,1,Stand,stand,VERB,
text1,7,2,auch,auch,NOUN,
text1,7,3,die,die,VERB,
text1,7,4,verschlüsselte,verschlüsselte,PROPN,
text1,7,5,Kommunikation,Kommunikation,PROPN,
text1,7,6,aushebeln,aushebeln,PROPN,
text1,7,7,.,.,PUNCT,
text3,1,1,In,in,ADP,
text3,1,2,der,der,ADJ,
text3,1,3,Internet,Internet,PROPN,
text3,1,4,-,-,PUNCT,
text3,1,5,Zivilgesellschaft,Zivilgesellschaft,PROPN,
text3,1,6,stößt,stößt,VERB,
text3,1,7,das,das,PROPN,ORG_B
text3,1,8,Vorhaben,Vorhaben,PROPN,ORG_I
text3,1,9,",",",",PUNCT,
text3,1,10,das,das,PROPN,ORG_B
text3,1,11,als,al,VERB,
text3,1,12,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,13,bezeichnet,bezeichnet,NOUN,
text3,1,14,wird,wird,PROPN,
text3,1,15,",",",",PUNCT,
text3,1,16,auf,auf,PROPN,
text3,1,17,breiten,breiten,VERB,
text3,1,18,Widerstand,Widerstand,PROPN,GPE_B
text3,1,19,.,.,PUNCT,
text3,2,1,Schützenhilfe,Schützenhilfe,PROPN,
text3,2,2,erhalten,erhalten,ADV,
text3,2,3,die,die,VERB,
text3,2,4,EU,EU,PROPN,ORG_B
text3,2,5,-,-,PUNCT,ORG_I
text3,2,6,Mitglieder,Mitglieder,PROPN,ORG_I
text3,2,7,nun,nun,PROPN,
text3,2,8,von,von,PROPN,PERSON_B
text3,2,9,der,der,PROPN,PERSON_I
text3,2,10,Gruppe,Gruppe,PROPN,PERSON_I
text3,2,11,der,der,PROPN,
text3,2,12,G7,G7,PROPN,ORG_B
text3,2,13,-,-,PUNCT,ORG_I
text3,2,14,Staaten,Staaten,PROPN,ORG_I
text3,2,15,",",",",PUNCT,
text3,2,16,in,in,ADP,
text3,2,17,der,der,PROPN,
text3,2,18,sich,sich,PROPN,
text3,2,19,sieben,sieben,PROPN,
text3,2,20,weltweit,weltweit,PROPN,
text3,2,21,starke,starke,PROPN,
text3,2,22,Wirtschaftsnationen,Wirtschaftsnationen,PROPN,
text3,2,23,ohne,ohne,PROPN,
text3,2,24,Russland,Russland,PROPN,GPE_B
text3,2,25,und,und,PROPN,
text3,2,26,China,China,PROPN,GPE_B
text3,2,27,zusammenschließen,zusammenschließen,NOUN,
text3,2,28,.,.,PUNCT,
text3,3,1,Die,die,VERB,
text3,3,2,sieben,sieben,NOUN,
text3,3,3,Regierungschefs,Regierungschefs,PROPN,ORG_B
text3,3,4,haben,haben,VERB,
text3,3,5,das,das,PROPN,PERSON_B
text3,3,6,Thema,Thema,PROPN,PERSON_I
text3,3,7,bei,bei,PROPN,
text3,3,8,ihrem,ihrem,NOUN,PERSON_B
text3,3,9,Gipfeltreffen,Gipfeltreffen,PROPN,PERSON_I
text3,3,10,in,in,ADP,
text3,3,11,Elmau,Elmau,PROPN,GPE_B
text3,3,12,vor,vor,NOUN,
text3,3,13,einer,einer,NOUN,
text3,3,14,Woche,Woche,PROPN,
text3,3,15,behandelt,behandelt,NOUN,
text3,3,16,.,.,PUNCT,
text3,4,1,Unter,Unter,PROPN,
text3,4,2,deutschem,deutschem,PROPN,
text3,4,3,Vorsitz,Vorsitz,PROPN,ORG_B
text3,4,4,wurden,wurden,PROPN,
text3,4,5,die,die,VERB,
text3,4,6,Innenminister,Innenminister,PROPN,NORP_B
text3,4,7,:,:,PUNCT,
text3,4,8,innen,innen,NOUN,
text3,4,9,der,der,NOUN,
text3,4,10,G7,G7,PROPN,ORG_B
text3,4,11,-,-,PUNCT,ORG_I
text3,4,12,Staaten,Staaten,PROPN,ORG_I
text3,4,13,anschließend,anschließend,NOUN,
text3,4,14,mit,mit,VERB,
text3,4,15,Maßnahmen,Maßnahmen,PROPN,ORG_B
text3,4,16,beauftragt,beauftragt,NOUN,
text3,4,17,.,.,PUNCT,
text3,5,1,Ihre,Ihre,PROPN,PERSON_B
text3,5,2,Konferenz,Konferenz,PROPN,PERSON_I
text3,5,3,soll,soll,PROPN,
text3,5,4,vom,vom,PROPN,
text3,5,5,16,16,PROPN,CARDINAL_B
text3,5,6,.,.,PUNCT,
text3,6,1,bis,bis,CCONJ,
text3,6,2,18,18,NUM,DATE_B
text3,6,3,.,.,PUNCT,DATE_I
text3,7,1,November,November,PROPN,DATE_B
text3,7,2,in,in,ADP,
text3,7,3,der,der,PROPN,
text3,7,4,südhessischen,südhessischen,PROPN,
text3,8,1,„,„,PUNCT,
text3,8,2,Wein‑,Wein‑,PROPN,
text3,8,3,",",",",PUNCT,
text3,8,4,Sekt-,Sekt-,PROPN,
