doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Zeit,Zeit,PROPN,
text1,1,3,drängt,drängt,NOUN,
text1,1,4,:,:,PUNCT,
text1,1,5,Damit,Damit,PROPN,ORG_B
text1,1,6,der,der,NOUN,
text1,1,7,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text1,1,8,nicht,nicht,PROPN,
text1,1,9,zu,zu,PROPN,
text1,1,10,einem,einem,PROPN,
text1,1,11,bloßen,bloßen,PROPN,
text1,1,12,Lippenbekenntnis,Lippenbekenntnis,PROPN,PERSON_B
text1,1,13,verkommt,verkommt,PROPN,PERSON_I
text1,1,14,",",",",PUNCT,
text1,1,15,muss,muss,NOUN,
text1,1,16,die,die,VERB,
text1,1,17,Ampel,Ampel,PROPN,
text1,1,18,jetzt,jetzt,NOUN,
text1,1,19,konsequent,konsequent,NOUN,
text1,1,20,handeln,handeln,NOUN,
text1,1,21,.,.,PUNCT,
text1,2,1,Es,es,INTJ,
text1,2,2,braucht,braucht,NOUN,
text1,2,3,echten,echten,VERB,
text1,2,4,politischen,politischen,ADV,
text1,2,5,und,und,VERB,
text1,2,6,gemeinsamen,gemeinsaman,NOUN,
text1,2,7,Gestaltungswillen,Gestaltungswillen,PROPN,PERSON_B
text1,2,8,",",",",PUNCT,
text1,2,9,damit,damit,NOUN,
text1,2,10,die,die,VERB,
text1,2,11,Digitalisierung,Digitalisierung,PROPN,GPE_B
text1,2,12,in,in,ADP,
text1,2,13,Deutschland,Deutschland,PROPN,GPE_B
text1,2,14,nachhaltig,nachhaltig,PROPN,
text1,2,15,",",",",PUNCT,
text1,2,16,fortschrittlich,fortschrittlich,PROPN,
text1,2,17,und,und,VERB,
text1,2,18,grundrechtskonform,grundrechtskonform,PROPN,PERSON_B
text1,2,19,vorankommt,vorankommt,PROPN,PERSON_I
text1,2,20,.,.,PUNCT,
text1,3,1,Die,die,VERB,ORG_B
text1,3,2,Gesellschaft,Gesellschaft,PROPN,ORG_I
text1,3,3,für,für,PROPN,
text1,3,4,Freiheitsrechte,Freiheitsrechte,PROPN,
text1,3,5,",",",",PUNCT,
text1,3,6,Wikimedia,Wikimedia,PROPN,PERSON_B
text1,3,7,Deutschland,Deutschland,PROPN,PERSON_I
text1,3,8,",",",",PUNCT,
text1,3,9,Reporter,reporter,NOUN,
text1,3,10,ohne,ohne,PROPN,
text1,3,11,Grenzen,Grenzen,PROPN,ORG_B
text1,3,12,",",",",PUNCT,
text1,3,13,Algorithm,Algorithm,PROPN,ORG_B
text1,3,14,Watch,Watch,PROPN,ORG_I
text1,3,15,und,und,VERB,
text1,3,16,Open,Open,PROPN,
text1,3,17,Knowledge,Knowledge,PROPN,
text1,3,18,Foundation,Foundation,PROPN,
text1,3,19,Deutschland,Deutschland,PROPN,
text1,3,20,fordern,fordern,NOUN,
text1,3,21,als,al,NOUN,
text1,3,22,gemeinsames,gemeinsame,VERB,
text1,3,23,Bündnis,Bündnis,PROPN,PERSON_B
text1,3,24,F5,F5,PROPN,PERSON_I
text1,3,25,von,von,PROPN,PERSON_I
text1,3,26,der,der,PROPN,PERSON_I
text1,3,27,Bundesregierung,Bundesregierung,PROPN,PERSON_I
text1,3,28,",",",",PUNCT,
text1,3,29,vier,vier,PROPN,
text1,3,30,wichtige,wichtige,PROPN,
text1,3,31,Vorhaben,Vorhaben,PROPN,ORG_B
text1,3,32,anzugehen,anzugehen,PROPN,
text1,3,33,.,.,PUNCT,
text3,1,1,#,#,SYM,
text3,1,2,#,#,NOUN,
text3,1,3,Zivilgesellschaft,Zivilgesellschaft,PROPN,NORP_B
text3,1,4,einbinden,einbinden,NOUN,
text5,1,1,I,I,PRON,
text5,1,2,m,m,VERB,
text5,1,3,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text5,1,4,der,der,NOUN,PERSON_I
text5,1,5,Bundesregierung,Bundesregierung,PROPN,PERSON_I
text5,1,6,heißt,heißt,NOUN,
text5,1,7,es,es,NOUN,
text5,1,8,",",",",PUNCT,
text5,1,9,man,man,NOUN,
text5,1,10,wolle,wolle,PROPN,
text5,1,11,die,die,VERB,
text5,1,12,Zivilgesellschaft,Zivilgesellschaft,PROPN,NORP_B
text5,1,13,besser,besser,NOUN,
text5,1,14,in,in,ADP,
