doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Mit,Mit,PROPN,ORG_B
text1,1,2,der,der,NOUN,
text1,1,3,vollen,vollen,PROPN,
text1,1,4,Härte,Härte,PROPN,ORG_B
text1,1,5,des,des,PROPN,ORG_I
text1,1,6,Rechtsstaats,Rechtsstaats,PROPN,ORG_I
text1,1,7,…,…,PUNCT,
text1,1,8,*,*,PUNCT,
text1,1,9,glitch,glitch,VERB,
text1,1,10,*,*,PUNCT,
text1,1,11,…,…,PUNCT,
text1,1,12,i,I,PRON,
text1,1,13,m,m,VERB,
text1,1,14,großen,großen,NOUN,
text1,2,1,Stil,Stil,PROPN,
text1,2,2,abschieben,abschieben,NOUN,
text1,2,3,…,…,PUNCT,
text1,2,4,*,*,PUNCT,
text1,2,5,distortion,distortion,NOUN,
text1,2,6,*,*,PUNCT,
text1,2,7,…,…,PUNCT,
text1,2,8,i,I,PRON,
text1,2,9,m,m,VERB,
text1,2,10,Stadtbild,Stadtbild,PROPN,PERSON_B
text1,2,11,noch,noch,ADV,
text1,2,12,dieses,diesis,NOUN,
text1,2,13,Problem,Problem,PROPN,PERSON_B
text1,2,14,…,…,PUNCT,
text1,2,15,*,*,PUNCT,
text1,2,16,bug,bug,NOUN,
text1,2,17,*,*,PUNCT,
text1,2,18,…,…,PUNCT,
text1,2,19,Wir,Wir,PROPN,
text1,2,20,werden,werden,PROPN,
text1,2,21,sie,sie,PROPN,
text1,2,22,entzaubern,entzaubern,PROPN,
text1,2,23,…,…,PUNCT,
text1,2,24,*,*,NOUN,
text1,2,25,error,error,NOUN,
text1,2,26,!,!,PUNCT,
text1,2,27,*,*,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,Debatten,Debatten,PROPN,
text3,1,3,werden,werden,NOUN,
text3,1,4,feindseliger,feindseliger,PROPN,
text3,1,5,",",",",PUNCT,
text3,1,6,die,die,VERB,
text3,1,7,politischen,politischen,ADV,
text3,1,8,Machtverhältnisse,Machtverhältnisse,PROPN,NORP_B
text3,1,9,verschieben,verschieben,NOUN,
text3,1,10,sich,sich,NOUN,
text3,1,11,.,.,PUNCT,
text3,2,1,Rechtsradikale,Rechtsradikale,PROPN,PERSON_B
text3,2,2,Parteien,Parteien,PROPN,PERSON_I
text3,2,3,legen,legen,NOUN,
text3,2,4,in,in,ADP,
text3,2,5,Umfragen,Umfragen,PROPN,GPE_B
text3,2,6,weiter,weiter,NOUN,
text3,2,7,zu,zu,NOUN,
text3,2,8,.,.,PUNCT,
text3,3,1,Die,die,VERB,
text3,3,2,„,„,PUNCT,
text3,3,3,politische,politische,PROPN,
text3,3,4,Mitte,Mitte,PROPN,PERSON_B
text3,3,5,“,"""",PUNCT,
text3,3,6,übernimmt,übernimmt,PROPN,
text3,3,7,deren,deren,PROPN,
text3,3,8,Rhetorik,Rhetorik,PROPN,
text3,3,9,und,und,PROPN,
text3,3,10,Forderungen,Forderungen,PROPN,
text3,3,11,.,.,PUNCT,
text3,4,1,Immer,immer,ADJ,
text3,4,2,lauter,lauter,PROPN,
text3,4,3,werden,werden,PROPN,
text3,4,4,die,die,PROPN,
text3,4,5,Rufe,Rufe,PROPN,PERSON_B
text3,4,6,",",",",PUNCT,
text3,4,7,die,die,VERB,
text3,4,8,Brandmauer,Brandmauer,PROPN,ORG_B
text3,4,9,einzureißen,einzureißen,NOUN,
text3,4,10,und,und,NOUN,
text3,4,11,die,die,PROPN,
text3,4,12,Rechtsradikalen,Rechtsradikalen,PROPN,PERSON_B
text3,5,1,„,„,PUNCT,
text3,5,2,in,in,ADP,
text3,5,3,die,die,ADJ,
text3,5,4,Verantwortung,Verantwortung,PROPN,PERSON_B
text3,5,5,zu,zu,ADJ,
text3,5,6,nehmen,nehmen,NOUN,
text3,5,7,“,"""",PUNCT,
text3,5,8,.,.,PUNCT,
text3,6,1,Um,um,INTJ,
text3,6,2,sie,sie,PROPN,
text3,6,3,„,„,PUNCT,
text3,6,4,zu,zu,PROPN,
text3,6,5,entzaubern,entzaubern,PROPN,
text3,6,6,“,"""",PUNCT,
text3,6,7,.,.,PUNCT,
text5,1,1,All,all,DET,
text5,1,2,das,das,PROPN,
text5,1,3,befeuert,befeuert,NOUN,
text5,1,4,eine,eine,NOUN,
text5,1,5,menschen-,menschen-,X,
text5,1,6,und,und,VERB,
text5,1,7,grundrechtsfeindliche,grundrechtsfeindliche,NOUN,
text5,1,8,Politik,Politik,PROPN,PERSON_B
text5,1,9,.,.,PUNCT,
text5,2,1,Es,es,INTJ,
text5,2,2,zerstört,zerstört,VERB,
