doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,EU,EU,PROPN,
text1,1,3,-,-,PUNCT,
text1,1,4,Mitgliedstaaten,Mitgliedstaaten,PROPN,
text1,1,5,konnten,konnten,PROPN,
text1,1,6,sich,sich,PROPN,
text1,1,7,erneut,erneut,VERB,
text1,1,8,nicht,nicht,PROPN,
text1,1,9,auf,auf,PROPN,
text1,1,10,einen,einen,NOUN,
text1,1,11,gemeinsamen,gemeinsaman,NOUN,
text1,1,12,Entwurf,Entwurf,PROPN,ORG_B
text1,1,13,zur,zur,NOUN,
text1,1,14,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,15,einigen,einigen,NOUN,
text1,1,16,.,.,PUNCT,
text1,2,1,Entgegen,Entgegen,PROPN,ORG_B
text1,2,2,vorheriger,vorheriger,PROPN,
text1,2,3,Planungen,Planungen,PROPN,PERSON_B
text1,2,4,ist,ist,ADP,
text1,2,5,das,das,PROPN,PERSON_B
text1,2,6,Thema,Thema,PROPN,PERSON_I
text1,2,7,nun,nun,NOUN,
text1,2,8,auch,auch,NOUN,
text1,2,9,von,von,PROPN,
text1,2,10,der,der,PROPN,
text1,2,11,Tagesordnung,Tagesordnung,PROPN,GPE_B
text1,2,12,der,der,PROPN,
text1,2,13,Sitzung,Sitzung,PROPN,PERSON_B
text1,2,14,der,der,PROPN,PERSON_I
text1,2,15,Justiz-,Justiz-,PROPN,PERSON_I
text1,2,16,und,und,PROPN,
text1,2,17,Innenminister,innenminister,NOUN,NORP_B
text1,2,18,:,:,PUNCT,
text1,2,19,innen,innen,NOUN,
text1,2,20,am,be,AUX,
text1,2,21,Donnerstag,Donnerstag,PROPN,
text1,2,22,geflogen,geflogen,NOUN,
text1,2,23,.,.,PUNCT,
text1,3,1,Auf,Auf,PROPN,
text1,3,2,der,der,PROPN,
text1,3,3,Tagesordnung,Tagesordnung,PROPN,NORP_B
text1,3,4,steht,steht,NOUN,
text1,3,5,nun,nun,NOUN,
text1,3,6,nur,nur,VERB,
text1,3,7,noch,noch,PROPN,PERSON_B
text1,3,8,ein,ein,PROPN,PERSON_I
text1,4,1,„,„,PUNCT,
text1,4,2,Fortschrittsbericht,Fortschrittsbericht,PROPN,
text1,4,3,“,"""",PUNCT,
text1,4,4,.,.,PUNCT,
text1,5,1,Das,Das,PROPN,
text1,5,2,bestätigte,bestätigte,NOUN,
text1,5,3,auch,auch,NOUN,
text1,5,4,ein,ein,NOUN,
text1,5,5,Sprecher,Sprecher,PROPN,ORG_B
text1,5,6,des,des,X,ORG_I
text1,5,7,EU,EU,PROPN,ORG_I
text1,5,8,-,-,PUNCT,ORG_I
text1,5,9,Rats,Rats,PROPN,ORG_I
text1,5,10,gegenüber,gegenüber,NOUN,
text1,5,11,netzpolitik.org,netzpolitik.org,NUM,
text1,5,12,.,.,PUNCT,
text3,1,1,Schon,Schon,PROPN,
text3,1,2,in,in,ADP,
text3,1,3,der,der,ADJ,
text3,1,4,letzten,letzten,ADJ,
text3,1,5,Woche,Woche,PROPN,
text3,1,6,war,war,NOUN,
text3,1,7,die,die,VERB,
text3,1,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,9,bei,bei,VERB,
text3,2,1,der,der,PROPN,
text3,2,2,Sitzung,Sitzung,PROPN,GPE_B
text3,2,3,der,der,NOUN,
text3,2,4,Ständigen,Ständigen,PROPN,PERSON_B
text3,2,5,Vertreter,Vertreter,PROPN,PERSON_I
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,EU,EU,PROPN,PERSON_B
text3,3,4,-,-,PUNCT,PERSON_I
text3,3,5,Rat,Rat,PROPN,PERSON_I
text3,3,6,von,von,PROPN,PERSON_I
text3,3,7,der,der,NOUN,PERSON_I
text3,3,8,Agenda,Agenda,PROPN,PERSON_I
text3,3,9,genommen,genommen,VERB,
text3,3,10,worden,worden,NOUN,
text3,3,11,",",",",PUNCT,
text3,3,12,nachdem,nachdem,PROPN,
text3,3,13,die,die,VERB,
text3,3,14,Niederlande,Niederlande,PROPN,
text3,3,15,angekündigt,angekündigt,PROPN,
text3,3,16,hatten,hatten,PROPN,
text3,3,17,",",",",PUNCT,
text3,3,18,sich,sich,PROPN,
text3,3,19,zu,zu,PROPN,
text3,3,20,enthalten,enthalten,X,
text3,3,21,.,.,PUNCT,
text5,1,1,Dadurch,Dadurch,PROPN,
text5,1,2,steht,steht,NOUN,
text5,1,3,eine,eine,NOUN,
text5,1,4,hauchdünne,hauchdünne,PROPN,
text5,1,5,Sperrminorität,Sperrminorität,PROPN,
text5,2,1,i,I,PRON,
text5,2,2,m,m,VERB,
text5,2,3,Rat,Rat,PROPN,
text5,2,4,gegen,gegen,NOUN,
text5,2,5,die,die,VERB,
text5,2,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,2,7,.,.,PUNCT,
text5,3,1,Sie,Sie,PROPN,ORG_B
text5,3,2,wird,wird,PROPN,
text5,3,3,gebildet,gebildet,PROPN,
text5,3,4,unter,unter,PROPN,PERSON_B
text5,3,5,anderem,anderem,PROPN,PERSON_I
text5,3,6,von,von,PROPN,PERSON_I
