doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leute,Leute,PROPN,PERSON_I
text1,1,3,",",",",PUNCT,
text3,1,1,wenn,wenn,PROPN,PERSON_B
text3,1,2,ihr,ihr,PROPN,PERSON_I
text3,1,3,diese,diese,PROPN,NORP_B
text3,1,4,Zeilen,Zeilen,PROPN,PERSON_B
text3,1,5,lest,lest,NOUN,
text3,1,6,",",",",PUNCT,
text3,1,7,arbeite,arbeite,VERB,
text3,1,8,ich,ich,PROPN,
text3,1,9,schon,schon,PROPN,
text3,1,10,nicht,nicht,PROPN,
text3,1,11,mehr,mehr,PROPN,
text3,1,12,bei,bei,PROPN,
text3,1,13,netzpolitik.org,netzpolitik.org,X,ORG_B
text3,1,14,.,.,PUNCT,
text3,2,1,Seit,Seit,PROPN,PERSON_B
text3,2,2,heute,heute,PROPN,
text3,2,3,recherchiere,recherchiere,PROPN,
text3,2,4,ich,ich,PROPN,
text3,2,5,für,für,PROPN,
text3,2,6,das,das,PROPN,
text3,2,7,Investigativmedium,Investigativmedium,PROPN,
text3,2,8,Follow,Follow,PROPN,
text3,2,9,the,the,DET,
text3,2,10,Money,money,NOUN,
text3,2,11,.,.,PUNCT,
text3,3,1,Auch,auch,NOUN,
text3,3,2,in,in,ADP,
text3,3,3,meinem,meinem,PROPN,
text3,3,4,neuen,neuen,PROPN,
text3,3,5,Job,Job,PROPN,
text3,3,6,geht,geht,PROPN,
text3,3,7,es,es,X,
text3,3,8,um,um,INTJ,
text3,3,9,die,die,VERB,
text3,3,10,Schnittstelle,Schnittstelle,PROPN,NORP_B
text3,3,11,zwischen,zwischen,PROPN,NORP_I
text3,3,12,Technologie,Technologie,PROPN,NORP_I
text3,3,13,und,und,PROPN,
text3,3,14,Politik,Politik,PROPN,ORG_B
text3,3,15,.,.,PUNCT,
text3,4,1,Schreiben,Schreiben,PROPN,PERSON_B
text3,4,2,werde,werde,PROPN,PRODUCT_B
text3,4,3,ich,ich,PROPN,PERSON_B
text3,4,4,dort,dort,PROPN,PERSON_I
text3,4,5,auf,auf,PROPN,
text3,4,6,Englisch,Englisch,PROPN,PERSON_B
text3,4,7,.,.,PUNCT,
text3,5,1,Also,also,ADV,
text3,5,2,selbe,selbe,ADJ,
text3,5,3,Aufgabe,Aufgabe,PROPN,
text3,5,4,",",",",PUNCT,
text3,5,5,neue,neue,PROPN,
text3,5,6,Sprache,Sprache,PROPN,ORG_B
text3,5,7,.,.,PUNCT,
text3,6,1,Ich,Ich,PROPN,
text3,6,2,freue,freue,NOUN,ORG_B
text3,6,3,mich,mich,PROPN,ORG_I
text3,6,4,auf,auf,PROPN,ORG_I
text3,6,5,die,die,PROPN,
text3,6,6,Herausforderung,Herausforderung,PROPN,ORG_B
text3,6,7,.,.,PUNCT,
text5,1,1,Mein,Mein,PROPN,PERSON_B
text5,1,2,Abschied,Abschied,PROPN,PERSON_I
text5,1,3,stimmt,stimmt,PROPN,
text5,1,4,mich,mich,PROPN,
text5,1,5,trotzdem,trotzdem,PROPN,PERSON_B
text5,1,6,wehmütig,wehmütig,PROPN,PERSON_I
text5,1,7,.,.,PUNCT,
text5,2,1,Es,es,INTJ,
text5,2,2,waren,waren,PROPN,
text5,2,3,aufregende,aufregende,PROPN,
text5,2,4,",",",",PUNCT,
text5,2,5,außerordentlich,außerordentlich,NOUN,
text5,2,6,produktive,produktive,ADJ,
text5,2,7,fünfeinhalb,fünfeinhalb,NOUN,
text5,2,8,Jahre,Jahre,PROPN,ORG_B
text5,2,9,bei,bei,PROPN,ORG_I
text5,2,10,netzpolitik.org,netzpolitik.org,X,ORG_I
text5,2,11,.,.,PUNCT,
text5,3,1,622,622,NUM,CARDINAL_B
text5,3,2,Artikel,Artikel,PROPN,
text5,3,3,sind,sind,NOUN,
text5,3,4,unter,unter,NOUN,
text5,3,5,meinem,meinem,PROPN,
text5,3,6,Namen,Namen,PROPN,GPE_B
text5,3,7,erschienen,erschienen,PROPN,
text5,3,8,",",",",PUNCT,
text5,3,9,von,von,PROPN,PERSON_B
text5,3,10,der,der,PROPN,PERSON_I
text5,3,11,Kurzmeldung,Kurzmeldung,PROPN,PERSON_I
text5,3,12,bis,bis,PROPN,
text5,3,13,zur,zur,PROPN,
text5,3,14,40.000,40.000,NUM,CARDINAL_B
text5,3,15,-,-,PUNCT,
text5,3,16,Zeichen,Zeichen,PROPN,
text5,3,17,-,-,PUNCT,
text5,3,18,Recherche,Recherche,PROPN,
text5,3,19,.,.,PUNCT,
text5,4,1,Ich,Ich,PROPN,
text5,4,2,habe,habe,NOUN,
text5,4,3,bei,bei,VERB,
text5,4,4,der,der,PROPN,
text5,4,5,Arbeit,Arbeit,PROPN,GPE_B
text5,4,6,und,und,PROPN,
text5,4,7,durch,durch,NOUN,
text5,4,8,meine,meine,NOUN,
text5,4,9,Kolleg,Kolleg,PROPN,ORG_B
text5,4,10,:,:,PUNCT,
text5,4,11,innen,innen,NOUN,
text5,4,12,in,in,ADP,
text5,4,13,Berlin,Berlin,PROPN,GPE_B
text5,4,14,viel,viel,NOUN,
text5,4,15,über,über,PROPN,
text5,4,16,Technologie,Technologie,PROPN,ORG_B
text5,4,17,gelernt,gelernt,VERB,
text5,4,18,",",",",PUNCT,
text5,4,19,aber,aber,PROPN,
text5,4,20,auch,auch,PROPN,
text5,4,21,über,über,PROPN,
text5,4,22,den,den,NOUN,
text5,4,23,Politikprozess,Politikprozess,PROPN,
text5,4,24,und,und,PROPN,
text5,4,25,den,den,NOUN,
text5,4,26,Journalismus,Journalismus,PROPN,PERSON_B
text5,4,27,.,.,PUNCT,
text7,1,1,Als,Als,PROPN,
text7,1,2,erster,erster,NOUN,
text7,1,3,Korrespondent,Korrespondent,PROPN,PERSON_B
text7,1,4,in,in,ADP,
text7,1,5,Brüssel,Brüssel,PROPN,GPE_B
text7,1,6,habe,habe,PROPN,
text7,1,7,ich,ich,NOUN,
