doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Kommission,Kommission,PROPN,ORG_I
text1,1,5,hat,hat,NOUN,
text1,1,6,vergangene,vergangene,NOUN,
text1,1,7,Woche,Woche,PROPN,
text1,1,8,einen,einen,NOUN,
text1,1,9,Gesetzesvorschlag,Gesetzesvorschlag,PROPN,ORG_B
text1,1,10,vorgestellt,vorgestellt,NOUN,
text1,1,11,",",",",PUNCT,
text1,1,12,mit,mit,VERB,PERSON_B
text1,1,13,dem,dem,ADJ,PERSON_I
text1,1,14,sie,sie,PROPN,
text1,1,15,gegen,gegen,NOUN,
text1,1,16,Darstellungen,Darstellungen,PROPN,ORG_B
text1,1,17,sexualisierter,sexualisierter,NOUN,
text1,1,18,Gewalt,Gewalt,PROPN,PERSON_B
text1,1,19,an,an,DET,PERSON_I
text1,1,20,Kindern,Kindern,PROPN,PERSON_I
text1,1,21,und,und,ADJ,PERSON_I
text1,1,22,Grooming,grooming,ADJ,PERSON_I
text1,1,23,vorgehen,vorgehen,NOUN,
text1,1,24,will,will,NOUN,
text1,1,25,.,.,PUNCT,
text1,2,1,Daraufhin,Daraufhin,PROPN,
text1,2,2,gab,gab,VERB,
text1,2,3,es,es,PROPN,
text1,2,4,viele,viele,PROPN,
text1,2,5,Reaktionen,Reaktionen,PROPN,PERSON_B
text1,2,6,:,:,PUNCT,
text1,3,1,Menschen,Menschen,PROPN,
text1,3,2,gingen,gingen,NOUN,
text1,3,3,auf,auf,PROPN,
text1,3,4,die,die,VERB,
text1,3,5,Straße,Straße,PROPN,GPE_B
text1,3,6,",",",",PUNCT,
text1,3,7,starteten,starteten,VERB,
text1,3,8,eine,eine,NOUN,
text1,3,9,Petition,Petition,PROPN,
text1,3,10,",",",",PUNCT,
text1,3,11,Politiker,Politiker,PROPN,
text1,3,12,:,:,PUNCT,
text1,3,13,innen,innen,NOUN,
text1,3,14,und,und,NOUN,
text1,3,15,Verbände,Verbände,PROPN,
text1,3,16,lehnten,lehnten,ADJ,
text1,3,17,den,den,NOUN,
text1,3,18,Vorstoß,Vorstoß,PROPN,GPE_B
text1,3,19,empört,empört,NOUN,
text1,3,20,ab,ab,VERB,
text1,3,21,.,.,PUNCT,
text1,4,1,I,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,Fokus,Fokus,PROPN,PERSON_B
text1,4,4,der,der,NOUN,PERSON_I
text1,4,5,Sorge,Sorge,PROPN,PERSON_I
text1,4,6,:,:,PUNCT,
text1,4,7,Der,Der,PROPN,PERSON_B
text1,4,8,Vorschlag,Vorschlag,PROPN,PERSON_I
text1,4,9,könnte,könnte,NOUN,
text1,4,10,eine,eine,NOUN,
text1,4,11,sogenannte,sogenannte,NOUN,
text1,4,12,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,4,13,bringen,bringen,NOUN,
text1,4,14,.,.,PUNCT,
text1,5,1,Das,Das,PROPN,
text1,5,2,heißt,heißt,PROPN,
text1,5,3,",",",",PUNCT,
text1,5,4,Anbieter,Anbieter,PROPN,PERSON_B
text1,5,5,müssten,müssten,VERB,
text1,5,6,auch,auch,ADJ,
text1,5,7,private,private,ADJ,
text1,5,8,Nachrichten,Nachrichten,PROPN,
text1,5,9,durchleuchten,durchleuchten,NOUN,
text1,5,10,.,.,PUNCT,
text1,6,1,Eine,eine,NOUN,
text1,6,2,solche,solche,NOUN,
text1,6,3,massenhafte,massenhafte,NOUN,
text1,6,4,Überwachung,Überwachung,PROPN,PERSON_B
text1,6,5,würde,würde,NOUN,
text1,6,6,vertrauliche,vertrauliche,PROPN,
text1,6,7,Kommunikation,Kommunikation,PROPN,ORG_B
text1,7,1,i,I,PRON,
text1,7,2,m,m,VERB,
text1,7,3,Netz,Netz,PROPN,PERSON_B
text1,7,4,schwächen,schwächen,NOUN,
text1,7,5,.,.,PUNCT,
text3,1,1,Doch,Doch,PROPN,ORG_B
text3,1,2,der,der,NOUN,ORG_I
text3,1,3,Vorschlag,Vorschlag,PROPN,ORG_I
text3,1,4,der,der,PROPN,ORG_I
text3,1,5,Kommission,Kommission,PROPN,ORG_I
text3,1,6,könnte,könnte,NOUN,
text3,1,7,noch,noch,PROPN,
text3,1,8,andere,andere,PROPN,
text3,1,9,Folgen,Folgen,PROPN,PRODUCT_B
text3,1,10,haben,haben,NOUN,
text3,1,11,:,:,PUNCT,
text3,1,12,Er,er,INTJ,
text3,1,13,würde,würde,NOUN,
text3,1,14,Anbieter,Anbieter,PROPN,PERSON_B
text3,1,15,dazu,dazu,NOUN,
text3,1,16,verpflichten,verpflichten,PROPN,
text3,1,17,",",",",PUNCT,
text3,1,18,verstärkt,verstärkt,ADJ,
text3,1,19,Alterskontrollen,Alterskontrollen,PROPN,PERSON_B
text3,1,20,einzuführen,einzuführen,NOUN,
text3,1,21,.,.,PUNCT,
text3,2,1,Je,Je,PROPN,PERSON_B
text3,2,2,nachdem,nachdem,PROPN,PERSON_I
text3,2,3,",",",",PUNCT,
text3,2,4,wie,wie,PROPN,
text3,2,5,genau,genau,PROPN,
text3,2,6,Anbieter,Anbieter,PROPN,PERSON_B
text3,2,7,diese,diese,PROPN,PERSON_I
text3,2,8,Kontrollen,Kontrollen,PROPN,PERSON_I
text3,2,9,gestalten,gestalten,VERB,PERSON_I
text3,2,10,",",",",PUNCT,
text3,2,11,könnten,könnten,VERB,PERSON_B
text3,2,12,Nutzer,Nutzer,PROPN,PERSON_I
text3,2,13,:,:,PUNCT,
text3,2,14,innen,innen,NOUN,
text3,2,15,Dienste,Dienste,PROPN,GPE_B
text3,2,16,dann,dann,NOUN,
text3,2,17,nicht,nicht,NOUN,
text3,2,18,mehr,mehr,NOUN,
text3,2,19,nutzen,nutzen,PROPN,
text3,2,20,",",",",PUNCT,
text3,2,21,ohne,ohne,NOUN,
text3,2,22,sich,sich,NOUN,
text3,2,23,zu,zu,PROPN,
text3,2,24,identifizieren,identifizieren,PROPN,
text3,2,25,.,.,PUNCT,
text5,1,1,Dem,Dem,PROPN,PERSON_B
text5,1,2,EU,EU,PROPN,PERSON_I
text5,1,3,-,-,PUNCT,PERSON_I
text5,1,4,Entwurf,Entwurf,PROPN,PERSON_I
text5,1,5,zufolge,zufolge,NOUN,
text5,1,6,sollen,sollen,NOUN,
text5,1,7,Anbieter,Anbieter,PROPN,PERSON_B
text5,1,8,künftig,künftig,PROPN,
text5,1,9,Einschätzungen,Einschätzungen,PROPN,ORG_B
text5,1,10,vorlegen,vorlegen,NOUN,
text5,1,11,.,.,PUNCT,
text5,2,1,Darin,Darin,PROPN,GPE_B
text5,2,2,sollen,sollen,PROPN,
text5,2,3,sie,sie,PROPN,
text5,2,4,das,das,PROPN,PERSON_B
text5,2,5,Risiko,Risiko,PROPN,PERSON_I
text5,2,6,für,für,NOUN,
text5,2,7,die,die,VERB,
text5,2,8,„,„,PUNCT,
text5,2,9,Nutzung,Nutzung,PROPN,
text5,2,10,des,des,X,
text5,2,11,Dienstes,Dienstes,PROPN,
text5,2,12,zum,zum,PROPN,PERSON_B
text5,2,13,Zwecke,Zwecke,PROPN,PERSON_I
text5,2,14,des,des,NOUN,PERSON_I
text5,2,15,sexuellen,sexuellen,NOUN,PERSON_I
text5,3,1,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text5,3,2,von,von,PROPN,PERSON_I
text5,3,3,Kindern,Kindern,PROPN,PERSON_I
text5,3,4,i,I,PRON,
text5,3,5,m,m,VERB,
text5,3,6,Internet,internet,NOUN,
text5,3,7,“,"""",PUNCT,
text5,3,8,beschreiben,beschreiben,NOUN,
text5,3,9,–,–,PUNCT,
text5,3,10,etwa,etwa,NOUN,
text5,3,11,",",",",PUNCT,
text5,3,12,ob,ob,PRON,
text5,3,13,der,der,NOUN,
text5,3,14,Dienst,Dienst,PROPN,PERSON_B
text5,3,15,bereits,bereit,VERB,
text5,3,16,für,für,ADJ,
text5,3,17,sexualisierte,sexualisierte,NOUN,
text5,3,18,Gewalt,Gewalt,PROPN,PERSON_B
text5,3,19,genutzt,genutzt,PROPN,
text5,3,20,wurde,wurde,PROPN,PERSON_B
text5,3,21,oder,oder,PROPN,
text5,3,22,ob,ob,PROPN,
text5,3,23,Erwachsene,Erwachsene,PROPN,PERSON_B
text5,3,24,auf,auf,PROPN,PERSON_I
text5,3,25,dem,dem,INTJ,PERSON_I
text5,3,26,Dienst,Dienst,PROPN,PERSON_I
text5,3,27,direkt,direkt,NOUN,
text5,3,28,mit,mit,VERB,
text5,3,29,Kindern,Kindern,PROPN,
text5,3,30,in,in,ADP,
text5,3,31,Kontakt,Kontakt,PROPN,GPE_B
text5,3,32,treten,treten,VERB,
text5,3,33,können,können,NOUN,
text5,3,34,.,.,PUNCT,
text5,4,1,Diese,diese,ADJ,NORP_B
text5,4,2,Einschätzung,Einschätzung,PROPN,
text5,4,3,spielt,spielt,VERB,
text5,4,4,eine,eine,NOUN,
text5,4,5,Rolle,Rolle,PROPN,PERSON_B
text5,4,6,dabei,dabei,NOUN,
text5,4,7,",",",",PUNCT,
text5,4,8,ob,ob,DET,
text5,4,9,Anbieter,Anbieter,PROPN,PERSON_B
text5,4,10,eine,eine,NOUN,
text5,4,11,sogenannte,sogenannte,NOUN,
text5,4,12,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,4,13,durchführen,durchführen,VERB,
text5,4,14,müssen,müssen,X,
text5,4,15,.,.,PUNCT,
text5,5,1,In,in,ADP,
text5,5,2,diesem,diesem,PROPN,
text5,5,3,Fall,Fall,PROPN,ORG_B
text5,5,4,würden,würden,PROPN,
text5,5,5,sie,sie,PROPN,
text5,5,6,eine,eine,NOUN,
text5,5,7,Anordnung,Anordnung,PROPN,PERSON_B
text5,5,8,erhalten,erhalten,ADV,
text5,5,9,",",",",PUNCT,
text5,5,10,um,um,INTJ,
text5,5,11,Technologien,Technologien,PROPN,GPE_B
text5,5,12,zur,zur,PROPN,
text5,5,13,Erkennung,Erkennung,PROPN,GPE_B
text5,5,14,sexualisierter,sexualisierter,NOUN,
text5,5,15,Gewalt,Gewalt,PROPN,PERSON_B
text5,5,16,gegen,gegen,NOUN,
text5,5,17,Minderjährige,Minderjährige,PROPN,PERSON_B
text5,5,18,einzusetzen,einzusetzen,NOUN,
text5,5,19,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Anreiz,Anreiz,PROPN,PERSON_B
text7,1,4,für,für,NOUN,
text7,1,5,vorauseilende,vorauseilende,VERB,
text7,1,6,Maßnahmen,maßnahman,NOUN,PRODUCT_B
text9,1,1,Um,um,INTJ,
text9,1,2,das,das,PROPN,
text9,1,3,Risiko,Risiko,PROPN,
text9,1,4,einer,einer,NOUN,
text9,1,5,Anordnung,Anordnung,PROPN,PERSON_B
text9,1,6,zur,zur,PROPN,
text9,1,7,Chatkontrolle,Chatkontrolle,PROPN,
text9,1,8,zu,zu,VERB,
