doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,FDP,FDP,PROPN,
text1,1,3,ist,ist,NOUN,
text1,1,4,in,in,ADP,
text1,1,5,fast,fast,ADJ,
text1,1,6,allen,allen,ADJ,
text1,1,7,Politikfeldern,Politikfeldern,PROPN,LOC_B
text1,1,8,Treiberin,Treiberin,PROPN,LOC_I
text1,1,9,einer,einer,NOUN,
text1,1,10,umwelt-,umwelt-,ADJ,
text1,2,1,und,und,NOUN,
text1,2,2,generationenfeindlichen,generationenfeindlichen,ADV,PERSON_B
text1,2,3,",",",",PUNCT,
text1,2,4,ignoranten,ignoranten,VERB,
text1,2,5,und,und,NOUN,
text1,2,6,unverantwortlichen,unverantwortlichen,ADJ,
text1,2,7,Klimapolitik,Klimapolitik,PROPN,PRODUCT_B
text1,2,8,.,.,PUNCT,
text1,3,1,Nun,Nun,PROPN,PERSON_B
text1,3,2,will,will,AUX,
text1,3,3,die,die,VERB,
text1,3,4,kleinste,kleinste,VERB,
text1,3,5,der,der,PROPN,
text1,3,6,Ampel,Ampel,PROPN,PERSON_B
text1,3,7,-,-,PUNCT,PERSON_I
text1,3,8,Parteien,Parteien,PROPN,PERSON_I
text1,3,9,auch,auch,NOUN,
text1,4,1,i,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,Bereich,Bereich,PROPN,PERSON_B
text1,4,4,der,der,NOUN,
text1,4,5,IT,IT,PROPN,
text1,4,6,-,-,PUNCT,
text1,4,7,Dienstleistungen,Dienstleistungen,PROPN,
text1,4,8,und,und,NOUN,
text1,4,9,Rechenzentren,Rechenzentren,PROPN,PERSON_B
text1,4,10,Klimaziele,Klimaziele,PROPN,PERSON_I
text1,4,11,verwässern,verwässern,NOUN,
text1,4,12,und,und,PROPN,
text1,4,13,hintertreiben,hintertreiben,PROPN,
text1,4,14,.,.,PUNCT,
text1,5,1,Dabei,Dabei,PROPN,
text1,5,2,machten,machten,VERB,
text1,5,3,IT,IT,PROPN,
text1,5,4,und,und,PROPN,
text1,5,5,Server,Server,PROPN,
text1,5,6,schon,schon,NOUN,
text1,6,1,i,I,PRON,
text1,6,2,m,m,VERB,
text1,6,3,Jahr,Jahr,PROPN,PERSON_B
text1,6,4,2020,2020,NUM,PERSON_I
text1,6,5,etwa,etwa,NOUN,
text1,6,6,drei,drei,PROPN,
text1,6,7,Prozent,Prozent,PROPN,ORG_B
text1,6,8,des,des,X,
text1,6,9,gesamten,gesamten,VERB,
text1,6,10,Stromverbrauchs,Stromverbrauchs,PROPN,GPE_B
text1,6,11,in,in,ADP,
text1,6,12,Deutschland,Deutschland,PROPN,GPE_B
text1,6,13,aus,aus,PROPN,
text1,6,14,",",",",PUNCT,
text1,6,15,das,das,PROPN,ORG_B
text1,6,16,sind,sind,VERB,
text1,6,17,16,16,NUM,CARDINAL_B
text1,6,18,Milliarden,Milliarden,PROPN,GPE_B
text1,6,19,Kilowattstunden,Kilowattstunden,PROPN,GPE_I
text1,6,20,.,.,PUNCT,
text1,7,1,Tendenz,Tendenz,PROPN,NORP_B
text1,7,2,steigend,steigend,VERB,
text1,7,3,.,.,PUNCT,
text3,1,1,Es,es,INTJ,
text3,1,2,geht,geht,VERB,
text3,1,3,um,um,INTJ,
text3,1,4,das,das,PROPN,
text3,1,5,Gesetz,Gesetz,PROPN,
text3,1,6,zur,zur,PROPN,
text3,1,7,Steigerung,Steigerung,PROPN,ORG_B
text3,1,8,der,der,PROPN,ORG_I
text3,1,9,Energieeffizienz,Energieeffizienz,PROPN,ORG_I
text3,1,10,(,(,PUNCT,ORG_I
text3,1,11,EnEfG,EnEfG,PROPN,ORG_I
text3,1,12,),),PUNCT,
text3,1,13,",",",",PUNCT,
text3,1,14,das,das,PROPN,
text3,1,15,i,I,PRON,
text3,1,16,m,m,VERB,
text3,1,17,Frühjahr,Frühjahr,PROPN,PERSON_B
text3,1,18,vom,vom,NOUN,PERSON_I
text3,1,19,Bundesministerium,Bundesministerium,PROPN,PERSON_I
text3,1,20,für,für,NOUN,
text3,1,21,Wirtschaft,Wirtschaft,PROPN,ORG_B
text3,1,22,und,und,VERB,
text3,1,23,Klimaschutz,Klimaschutz,PROPN,PERSON_B
text3,1,24,als,al,NOUN,
text3,2,1,Kabinettsentwurf,Kabinettsentwurf,PROPN,
text3,2,2,veröffentlicht,veröffentlicht,VERB,
text3,2,3,wurde,wurde,PROPN,
text3,2,4,und,und,PROPN,
text3,2,5,nun,nun,PROPN,PERSON_B
text3,2,6,diskutiert,diskutiert,PROPN,PERSON_I
text3,2,7,wird,wird,PROPN,PERSON_I
text3,2,8,.,.,PUNCT,
text3,3,1,Darin,Darin,PROPN,GPE_B
text3,3,2,soll,soll,PROPN,
text3,3,3,auch,auch,PROPN,
text3,3,4,die,die,VERB,
text3,3,5,Energieeffizienz,Energieeffizienz,PROPN,
text3,3,6,und,und,PROPN,
text3,3,7,Abwärmenutzung,Abwärmenutzung,PROPN,PERSON_B
text3,3,8,in,in,ADP,
text3,3,9,Rechenzentren,Rechenzentren,PROPN,PERSON_B
text3,3,10,und,und,VERB,
text3,3,11,IT,IT,PROPN,
text3,3,12,-,-,PUNCT,
text3,3,13,Betrieben,Betrieben,PROPN,
text3,3,14,reguliert,reguliert,NOUN,
text3,3,15,werden,werden,PROPN,
text3,3,16,",",",",PUNCT,
text3,3,17,neu,neu,PROPN,
text3,3,18,errichtete,errichtete,PROPN,
text3,3,19,Rechenzentren,Rechenzentren,PROPN,PERSON_B
text3,3,20,sollen,sollen,PROPN,
text3,3,21,zu,zu,PROPN,
text3,3,22,einer,einer,NOUN,
text3,3,23,teilweisen,teilweisen,VERB,
text3,3,24,Nutzung,Nutzung,PROPN,PERSON_B
text3,3,25,der,der,PROPN,PERSON_I
text3,3,26,Abwärme,Abwärme,PROPN,PERSON_I
text3,3,27,verpflichtet,verpflichtet,NOUN,
text3,3,28,werden,werden,NOUN,
text3,3,29,.,.,PUNCT,
text3,4,1,Ab,Ab,PROPN,
text3,4,2,dem,dem,ADJ,NORP_B
text3,4,3,Jahr,Jahr,PROPN,PERSON_B
text3,4,4,2028,2028,NUM,DATE_B
text3,4,5,soll,soll,NOUN,
text3,4,6,die,die,VERB,
text3,4,7,Wärme,Wärme,PROPN,PERSON_B
text3,4,8,größerer,größerer,NOUN,PERSON_I
text3,4,9,Rechenzentren,Rechenzentren,PROPN,PERSON_I
text3,4,10,eigentlich,eigentlich,PROPN,
text3,4,11,vollständig,vollständig,PROPN,
text3,4,12,wiederverwendet,wiederverwendet,PROPN,
text3,4,13,werden,werden,PROPN,
text3,4,14,.,.,PUNCT,
text5,1,1,Mit,mit,NOUN,
text5,1,2,großem,großem,NOUN,
text5,1,3,Stolz,Stolz,PROPN,
text5,1,4,verschickt,verschickt,NOUN,
text5,1,5,der,der,NOUN,
text5,1,6,digitalpolitische,digitalpolitische,NOUN,
text5,1,7,Sprecher,Sprecher,PROPN,
text5,1,8,der,der,ADJ,
text5,1,9,FDP,FDP,PROPN,ORG_B
text5,1,10,-,-,PUNCT,ORG_I
text5,1,11,Fraktion,Fraktion,PROPN,ORG_I
text5,1,12,",",",",PUNCT,
text5,1,13,Maximilian,Maximilian,PROPN,PERSON_B
text5,1,14,Funke,Funke,PROPN,PERSON_I
text5,1,15,-,-,PUNCT,PERSON_I
text5,1,16,Kaiser,Kaiser,PROPN,PERSON_I
text5,1,17,",",",",PUNCT,
text5,1,18,dazu,dazu,NOUN,
text5,1,19,eine,eine,NOUN,
text5,1,20,Pressemitteilung,Pressemitteilung,PROPN,ORG_B
text5,1,21,.,.,PUNCT,
text5,2,1,Funke,Funke,PROPN,ORG_B
text5,2,2,-,-,PUNCT,ORG_I
text5,2,3,Kaiser,Kaiser,PROPN,ORG_I
text5,2,4,",",",",PUNCT,
text5,2,5,der,der,PROPN,ORG_B
text5,2,6,gegen,gegen,NOUN,ORG_I
text5,2,7,die,die,VERB,
text5,2,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,2,9,gute,gute,NOUN,ORG_I
text5,2,10,Arbeit,Arbeit,PROPN,GPE_B
text5,2,11,in,in,ADP,
text5,2,12,der,der,PROPN,
text5,2,13,Ampel,Ampel,PROPN,ORG_B
text5,2,14,-,-,PUNCT,ORG_I
text5,2,15,Koalition,Koalition,PROPN,ORG_I
text5,2,16,macht,macht,NOUN,
text5,2,17,",",",",PUNCT,
text5,2,18,ist,ist,PROPN,
text5,2,19,bei,bei,PROPN,
