doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Jeden,Jeden,PROPN,PERSON_B
text1,1,2,Mittwoch,Mittwoch,PROPN,PERSON_I
text1,1,3,tagt,tagt,NOUN,
text1,1,4,i,I,PRON,
text1,1,5,m,m,VERB,
text1,1,6,Bundeskanzleramt,Bundeskanzleramt,PROPN,PERSON_B
text1,1,7,das,das,PROPN,PERSON_I
text1,1,8,Bundeskabinett,Bundeskabinett,PROPN,PERSON_I
text1,1,9,mit,mit,VERB,PERSON_I
text1,1,10,allen,allen,VERB,
text1,1,11,16,16,NUM,CARDINAL_B
text1,1,12,Bundesminister,Bundesminister,PROPN,
text1,1,13,:,:,PUNCT,
text1,1,14,innen,innen,NOUN,
text1,1,15,.,.,PUNCT,
text1,2,1,Abseits,abseit,NOUN,
text1,2,2,davon,davon,NOUN,
text1,2,3,kommen,komman,NOUN,
text1,2,4,sie,sie,PROPN,
text1,2,5,nicht,nicht,PROPN,
text1,2,6,oft,oft,PROPN,
text1,2,7,als,al,VERB,
text1,2,8,Gruppe,Gruppe,PROPN,ORG_B
text1,2,9,zusammen,zusammen,PROPN,
text1,2,10,",",",",PUNCT,
text1,2,11,alle,alle,NOUN,
text1,2,12,haben,haben,NOUN,
text1,2,13,volle,volle,X,PERSON_B
text1,2,14,Zeitpläne,Zeitpläne,PROPN,PERSON_I
text1,2,15,und,und,PROPN,
text1,2,16,eigene,eigene,NOUN,
text1,2,17,Bereiche,Bereiche,PROPN,ORG_B
text1,2,18,.,.,PUNCT,
text1,3,1,Doch,Doch,PROPN,PERSON_B
text1,3,2,am,be,AUX,
text1,4,1,Donnerstag,Donnerstag,PROPN,PERSON_B
text1,4,2,vor,vor,AUX,
text1,4,3,drei,drei,VERB,
text1,4,4,Wochen,Wochen,PROPN,
text1,4,5,haben,haben,NOUN,
text1,4,6,sich,sich,ADP,
text1,4,7,vier,vier,PROPN,
text1,4,8,Minister,Minister,PROPN,
text1,4,9,:,:,PUNCT,
text1,4,10,innen,innen,NOUN,
text1,4,11,in,in,ADP,
text1,4,12,Berlin,Berlin,PROPN,GPE_B
text1,4,13,getroffen,getroffen,NOUN,
text1,4,14,und,und,PROPN,
text1,4,15,über,über,PROPN,
text1,4,16,ein,ein,PROPN,
text1,4,17,einziges,einzige,VERB,
text1,4,18,Thema,Thema,PROPN,GPE_B
text1,4,19,verhandelt,verhandelt,ADV,
text1,4,20,:,:,PUNCT,
text1,4,21,ihre,ihre,PROPN,
text1,4,22,Position,Position,PROPN,
text1,4,23,zur,zur,PROPN,
text1,4,24,geplanten,geplanten,VERB,
text1,4,25,EU,EU,PROPN,ORG_B
text1,4,26,-,-,PUNCT,ORG_I
text1,4,27,Verordnung,Verordnung,PROPN,ORG_I
text1,4,28,zur,zur,PROPN,
text1,4,29,Prävention,Prävention,PROPN,
text1,4,30,und,und,PROPN,
text1,4,31,Bekämpfung,Bekämpfung,PROPN,
text1,4,32,des,des,X,
text1,4,33,sexuellen,sexuellen,NOUN,
text1,5,1,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text1,5,2,von,von,PROPN,PERSON_I
text1,5,3,Kindern,Kindern,PROPN,PERSON_I
text1,5,4,.,.,PUNCT,
text3,1,1,Eigentlich,eigentlich,NOUN,
text3,1,2,ist,ist,NOUN,
text3,1,3,der,der,PROPN,
text3,1,4,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text3,1,5,klar,klar,NOUN,
text3,1,6,:,:,PUNCT,
text3,1,7,„,„,PUNCT,
text3,1,8,Allgemeine,Allgemeine,PROPN,
text3,1,9,Überwachungspflichten,Überwachungspflichten,PROPN,
text3,1,10,",",",",PUNCT,
text3,1,11,Maßnahmen,Maßnahmen,PROPN,
text3,1,12,zum,zum,NOUN,PERSON_B
text3,1,13,Scannen,Scannen,PROPN,PERSON_I
text3,1,14,privater,privater,NOUN,
text3,1,15,Kommunikation,Kommunikation,PROPN,
text3,1,16,und,und,PROPN,
text3,1,17,eine,eine,NOUN,
text3,1,18,Identifizierungspflicht,Identifizierungspflicht,PROPN,PRODUCT_B
text3,1,19,lehnen,lehnen,NOUN,
text3,1,20,wir,wir,NOUN,
text3,1,21,ab,ab,PROPN,
text3,1,22,.,.,PUNCT,
text3,1,23,“,"""",PUNCT,
text3,2,1,Die,die,VERB,
text3,2,2,FDP,FDP,PROPN,
text3,2,3,-,-,PUNCT,
text3,2,4,Ministerien,Ministerien,PROPN,
text3,2,5,haben,haben,NOUN,
text3,2,6,rote,rote,VERB,
text3,2,7,Linien,Linien,PROPN,PERSON_B
text3,2,8,formuliert,formuliert,NOUN,PERSON_I
text3,2,9,",",",",PUNCT,
text3,2,10,was,be,AUX,
text3,2,11,das,das,PROPN,
text3,2,12,für,für,NOUN,
text3,2,13,den,den,VERB,
text3,2,14,Gesetzentwurf,Gesetzentwurf,PROPN,PERSON_B
text3,2,15,bedeutet,bedeutet,NOUN,
text3,2,16,.,.,PUNCT,
text3,3,1,Doch,Doch,PROPN,ORG_B
text3,3,2,das,das,PROPN,ORG_I
text3,3,3,Innenministerium,Innenministerium,PROPN,ORG_I
text3,3,4,hat,hat,PROPN,
text3,4,1,i,I,PRON,
text3,4,2,m,m,VERB,
text3,4,3,Dezember,Dezember,PROPN,PERSON_B
text3,4,4,ein,ein,PROPN,ORG_B
text3,4,5,Positionspapier,Positionspapier,PROPN,ORG_I
text3,4,6,vorgelegt,vorgelegt,VERB,PRODUCT_B
text3,4,7,",",",",PUNCT,
text3,4,8,das,das,PROPN,ORG_B
text3,4,9,in,in,ADP,
text3,4,10,allen,allen,ADJ,
text3,4,11,wesentlichen,wesentlichen,NOUN,
text3,4,12,Punkten,Punkten,PROPN,PERSON_B
text3,4,13,widerspricht,widerspricht,NOUN,
text3,4,14,.,.,PUNCT,
text5,1,1,Deshalb,deshalb,ADJ,ORG_B
text5,1,2,haben,haben,NOUN,
text5,1,3,sich,sich,PROPN,
text5,1,4,Innenministerin,Innenministerin,PROPN,NORP_B
text5,1,5,Nancy,Nancy,PROPN,PERSON_B
text5,1,6,Faeser,Faeser,PROPN,PERSON_I
text5,1,7,(,(,PUNCT,
text5,1,8,SPD,SPD,PROPN,
text5,1,9,),),PUNCT,
