doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,erfassten,erfassten,ADJ,
text1,1,3,physischen,physischen,NOUN,
text1,1,4,Angriffe,Angriffe,PROPN,GPE_B
text1,1,5,auf,auf,PROPN,PERSON_B
text1,1,6,Journalist*innen,Journalist*innen,PROPN,PERSON_I
text1,1,7,in,in,ADP,
text1,1,8,Deutschland,Deutschland,PROPN,GPE_B
text1,1,9,sind,sind,NOUN,
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Vergleich,Vergleich,PROPN,PERSON_B
text1,2,4,zum,zum,NOUN,PERSON_I
text1,2,5,Vorjahr,Vorjahr,PROPN,PERSON_I
text1,2,6,gesunken,gesunken,VERB,
text1,2,7,",",",",PUNCT,
text1,2,8,die,die,VERB,
text1,2,9,Attacken,Attacken,PROPN,PRODUCT_B
text1,2,10,auf,auf,PROPN,
text1,2,11,IT,IT,PROPN,
text1,2,12,-,-,PUNCT,
text1,2,13,Systeme,Systeme,PROPN,
text1,2,14,dafür,dafür,NOUN,
text1,2,15,auf,auf,PROPN,
text1,2,16,einen,einen,NOUN,
text1,2,17,neuen,neuen,NOUN,
text1,2,18,Höchstwert,Höchstwert,PROPN,PERSON_B
text1,2,19,gestiegen,gestiegen,NOUN,
text1,2,20,.,.,PUNCT,
text1,3,1,I,I,PRON,
text1,3,2,m,m,AUX,
text1,3,3,jährlich,jährlich,PROPN,
text1,3,4,erscheinenden,erscheinenden,NOUN,
text1,3,5,RSF,RSF,PROPN,ORG_B
text1,3,6,-,-,PUNCT,ORG_I
text1,3,7,Report,Report,PROPN,ORG_I
text1,3,8,informiert,informiert,NOUN,
text1,3,9,die,die,PROPN,
text1,3,10,Organisation,Organisation,PROPN,
text1,3,11,Reporter,Reporter,PROPN,
text1,3,12,ohne,ohne,PROPN,
text1,3,13,Grenzen,Grenzen,PROPN,
text1,3,14,über,über,NOUN,
text1,3,15,die,die,PROPN,
text1,3,16,Lage,Lage,PROPN,ORG_B
text1,3,17,der,der,NOUN,ORG_I
text1,3,18,Pressefreiheit,Pressefreiheit,PROPN,ORG_I
text1,3,19,in,in,ADP,
text1,3,20,Deutschland,Deutschland,PROPN,GPE_B
text1,3,21,.,.,PUNCT,
text3,1,1,Von,Von,PROPN,
text3,1,2,einer,einer,NOUN,
text3,1,3,höheren,höheren,PROPN,
text3,1,4,Dunkelziffer,Dunkelziffer,PROPN,
text3,1,5,sei,sei,PROPN,
text3,1,6,auszugehen,auszugehen,PROPN,GPE_B
text3,1,7,",",",",PUNCT,
text3,1,8,konstatiert,konstatiert,PROPN,PERSON_B
text3,1,9,der,der,PROPN,PERSON_I
text3,1,10,Bericht,Bericht,PROPN,ORG_B
text3,1,11,bei,bei,VERB,
text3,1,12,einem,einem,PROPN,
text3,1,13,Rückgang,Rückgang,PROPN,PERSON_B
text3,1,14,der,der,NOUN,PERSON_I
text3,1,15,Angriffe,Angriffe,PROPN,PERSON_I
text3,1,16,auf,auf,PROPN,
text3,1,17,Medienschaffende,Medienschaffende,PROPN,
text3,1,18,von,von,PROPN,
text3,1,19,89,89,NUM,
text3,1,20,(,(,PUNCT,
text3,1,21,2024,2024,NUM,DATE_B
text3,1,22,),),PUNCT,
text3,1,23,auf,auf,PROPN,
text3,1,24,55,55,NUM,CARDINAL_B
text3,1,25,(,(,PUNCT,
text3,1,26,2025,2025,NUM,DATE_B
text3,1,27,),),PUNCT,
text3,1,28,.,.,PUNCT,
text3,2,1,Konnten,Konnten,PROPN,PERSON_B
text3,2,2,Fälle,Fälle,PROPN,PERSON_I
text3,2,3,nicht,nicht,PROPN,
text3,2,4,unabhängig,unabhängig,VERB,
text3,2,5,überprüft,überprüft,NOUN,
text3,2,6,werden,werden,PROPN,
text3,2,7,",",",",PUNCT,
text3,2,8,sind,sind,NOUN,
text3,2,9,sie,sie,PROPN,
text3,2,10,nicht,nicht,PROPN,
text3,2,11,in,in,ADP,
text3,2,12,die,die,PROPN,
text3,2,13,Statistik,Statistik,PROPN,
text3,2,14,geflossen,geflossen,NOUN,
text3,2,15,.,.,PUNCT,
text3,3,1,Die,die,VERB,ORG_B
text3,3,2,Zahl,Zahl,PROPN,ORG_I
text3,3,3,errechne,errechne,PROPN,
text3,3,4,sich,sich,PROPN,
text3,3,5,aus,aus,PROPN,
text3,3,6,46,46,NUM,CARDINAL_B
text3,3,7,physischen,physischen,PROPN,
text3,3,8,Angriffen,Angriffen,PROPN,PERSON_B
text3,3,9,",",",",PUNCT,
text3,3,10,drei,drei,PROPN,
text3,3,11,Sachbeschädigungen,Sachbeschädigungen,PROPN,PERSON_B
text3,3,12,an,an,DET,
text3,3,13,Redaktionsgebäuden,Redaktionsgebäuden,PROPN,GPE_B
text3,3,14,und,und,PROPN,
text3,3,15,sechs,sech,NOUN,
text3,3,16,„,„,PUNCT,
text3,3,17,Cyberattacken,Cyberattacken,PROPN,
text3,3,18,“,"""",PUNCT,
text3,3,19,.,.,PUNCT,
text5,1,1,„,„,PUNCT,
text5,1,2,Das,Das,PROPN,
text5,1,3,ist,ist,NOUN,
text5,1,4,die,die,VERB,
text5,1,5,höchste,höchste,NOUN,
text5,1,6,dokumentierte,dokumentierte,PROPN,
text5,1,7,Zahl,Zahl,PROPN,PERSON_B
text5,1,8,von,von,PROPN,PERSON_I
text5,1,9,Hackerangriffen,Hackerangriffen,PROPN,PERSON_I
text5,1,10,seit,seit,NOUN,
text5,1,11,Beginn,Beginn,PROPN,PERSON_B
text5,1,12,des,des,PROPN,
text5,1,13,Monitorings,Monitorings,PROPN,
text5,1,14,i,I,PRON,
text5,1,15,m,m,VERB,
text5,1,16,Jahr,Jahr,PROPN,PERSON_B
text7,1,1,2015,2015,NUM,DATE_B
text7,1,2,“,"""",PUNCT,
text7,1,3,",",",",PUNCT,
text7,1,4,schreibt,schreibt,NOUN,
text7,1,5,RSF,RSF,PROPN,
text7,1,6,.,.,PUNCT,
text7,2,1,Zum,zum,ADJ,PERSON_B
text7,2,2,Beispiel,Beispiel,PROPN,PERSON_I
text7,2,3,sei,sei,ADV,
text7,2,4,die,die,VERB,
text7,2,5,Website,Website,PROPN,
text7,2,6,der,der,PROPN,
text7,2,7,taz,taz,NOUN,
text7,2,8,am,be,AUX,
text7,3,1,Tag,Tag,PROPN,
text7,3,2,der,der,PROPN,
text7,3,3,Bundestagswahl,Bundestagswahl,PROPN,PERSON_B
text7,3,4,für,für,PROPN,
text7,3,5,zwei,zwei,PROPN,
text7,4,1,Stunden,Stunden,PROPN,
text7,4,2,durch,durch,NOUN,
text7,4,3,eine,eine,NOUN,
text7,4,4,DDoS,DDoS,PROPN,ORG_B
text7,4,5,-,-,PUNCT,ORG_I
text7,4,6,Attacke,Attacke,PROPN,ORG_I
text7,4,7,lahmgelegt,lahmgelegt,ADJ,
text7,4,8,worden,worden,NOUN,
text7,4,9,.,.,PUNCT,
text9,1,1,41,41,NUM,QUANTITY_B
text9,1,2,der,der,NOUN,QUANTITY_I
text9,1,3,körperlichen,körperlichen,NOUN,QUANTITY_I
text9,1,4,Attacken,Attacken,PROPN,
text9,1,5,auf,auf,PROPN,PERSON_B
text9,1,6,Journalist*innen,Journalist*innen,PROPN,PERSON_I
text9,1,7,sind,sind,NOUN,
text9,1,8,laut,laut,NOUN,PERSON_B
text9,1,9,Bericht,Bericht,PROPN,PERSON_I
text9,1,10,auf,auf,PROPN,
text9,1,11,Demos,Demos,PROPN,PERSON_B
text9,1,12,",",",",PUNCT,
text9,1,13,Parteiveranstaltungen,Parteiveranstaltungen,PROPN,GPE_B
text9,1,14,oder,oder,NOUN,
text9,1,15,Protestaktionen,Protestaktionen,PROPN,PERSON_B
text9,1,16,passiert,passiert,NOUN,
text9,1,17,.,.,PUNCT,
text9,2,1,Am,be,AUX,
text9,2,2,häufigsten,häufigsten,PROPN,
text9,2,3,seien,seien,PROPN,
text9,2,4,Attacken,Attacken,PROPN,PRODUCT_B
text9,2,5,in,in,ADP,
text9,2,6,Form,Form,PROPN,
text9,2,7,von,von,PROPN,
text9,2,8,Tritten,Tritten,PROPN,
text9,2,9,und,und,PROPN,
text9,2,10,Schlägen,Schlägen,PROPN,ORG_B
text9,2,11,gewesen,gewesen,NOUN,
text9,2,12,",",",",PUNCT,
text9,2,13,auch,auch,ADJ,
text9,2,14,mit,mit,NOUN,
text9,2,15,Gegenständen,Gegenständen,PROPN,PERSON_B
text9,2,16,.,.,PUNCT,
text9,3,1,Täter*innen,Täter*innen,PROPN,
text9,3,2,hätten,hätten,VERB,
text9,3,3,Medienschaffende,Medienschaffende,PROPN,
text9,3,4,auch,auch,NOUN,
text9,3,5,zu,zu,PROPN,
text9,3,6,Boden,Boden,PROPN,ORG_B
text9,3,7,gestoßen,gestoßen,NOUN,
text9,3,8,",",",",PUNCT,
text9,3,9,die,die,VERB,
text9,3,10,Brille,Brille,PROPN,PERSON_B
text9,3,11,von,von,PROPN,PERSON_I
text9,3,12,der,der,NOUN,PERSON_I
text9,3,13,Nase,Nase,PROPN,PERSON_I
text9,3,14,geschlagen,geschlagen,NOUN,
text9,3,15,oder,oder,NOUN,PERSON_B
text9,3,16,mit,mit,VERB,PERSON_I
text9,3,17,einem,einem,PROPN,
text9,3,18,Stein,Stein,PROPN,PERSON_B
text9,3,19,beworfen,beworfen,PROPN,
text9,3,20,.,.,PUNCT,
text11,1,1,„,„,PRON,
text11,1,2,Journalist*innen,Journalist*innen,PROPN,
text11,1,3,wurden,wurden,VERB,PERSON_B
text11,1,4,2025,2025,NUM,DATE_B
text11,1,5,bei,bei,PROPN,
text11,1,6,Recherchen,Recherchen,PROPN,ORG_B
text11,2,1,i,I,PRON,
text11,2,2,m,m,VERB,
text11,2,3,rechtsextremen,rechtsextremen,PROPN,
text11,2,4,Umfeld,Umfeld,PROPN,PERSON_B
text11,2,5,immer,immer,NOUN,
text11,2,6,wieder,wieder,NOUN,
text11,2,7,bedrängt,bedrängt,NOUN,
text11,2,8,",",",",PUNCT,
text13,1,1,geschubst,geschubst,PROPN,
text13,1,2,",",",",PUNCT,
text13,1,3,bespuckt,bespuckt,VERB,
text13,1,4,",",",",PUNCT,
text13,1,5,körperlich,körperlich,PROPN,
text13,1,6,angegriffen,angegriffen,PROPN,
text13,1,7,oder,oder,PROPN,
text13,1,8,anderweitig,anderweitig,PROPN,
