doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Innenministerin,Innenministerin,PROPN,
text1,1,2,Nancy,Nancy,PROPN,PERSON_B
text1,1,3,Faeser,Faeser,PROPN,PERSON_I
text1,1,4,will,will,AUX,
text1,1,5,gegen,gegen,VERB,
text1,1,6,den,den,VERB,
text1,1,7,Willen,Willen,PROPN,PERSON_B
text1,1,8,ihrer,ihrer,NOUN,
text1,1,9,Koalitionspartner,Koalitionspartner,PROPN,ORG_B
text1,1,10,und,und,PROPN,
text1,1,11,der,der,PROPN,
text1,1,12,eigenen,eigenen,NOUN,
text1,1,13,Fraktion,Fraktion,PROPN,
text1,1,14,die,die,VERB,
text1,1,15,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,16,durchsetzen,durchsetzen,NOUN,
text1,1,17,",",",",PUNCT,
text1,1,18,die,die,VERB,
text1,1,19,Teil,Teil,PROPN,PERSON_B
text1,1,20,eines,eine,NOUN,
text1,1,21,Gesetzespaketes,Gesetzespaketes,PROPN,PERSON_B
text1,1,22,der,der,PROPN,PERSON_I
text1,1,23,EU,EU,PROPN,ORG_B
text1,1,24,ist,ist,NOUN,
text1,1,25,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,geht,geht,PROPN,ORG_B
text1,2,3,aus,aus,PROPN,ORG_I
text1,2,4,einem,einem,PROPN,ORG_I
text1,2,5,Positionspapier,Positionspapier,PROPN,ORG_B
text1,2,6,des,des,PROPN,ORG_I
text1,2,7,Bundesinnenministeriums,Bundesinnenministeriums,PROPN,ORG_I
text1,2,8,hervor,hervor,NOUN,
text1,2,9,",",",",PUNCT,
text1,2,10,das,das,PROPN,ORG_B
text1,2,11,wir,wir,NOUN,
text1,2,12,in,in,ADP,
text1,2,13,Volltext,Volltext,PROPN,PERSON_B
text1,2,14,veröffentlichen,veröffentlichen,NOUN,
text1,2,15,.,.,PUNCT,
text1,3,1,Die,die,VERB,PERSON_B
text1,3,2,Ampel,Ampel,PROPN,PERSON_I
text1,3,3,-,-,PUNCT,PERSON_I
text1,3,4,Regierung,Regierung,PROPN,PERSON_I
text1,3,5,befindet,befindet,NOUN,
text1,3,6,sich,sich,NOUN,
text1,3,7,derzeit,derzeit,NOUN,
text1,3,8,in,in,ADP,
text1,3,9,der,der,PROPN,
text1,3,10,Ressortabstimmung,Ressortabstimmung,PROPN,PERSON_B
text1,3,11,–,–,PUNCT,
text1,3,12,und,und,ADJ,
text1,3,13,streitet,streitet,NOUN,
text1,3,14,sich,sich,PROPN,
text1,3,15,heftig,heftig,PROPN,
text1,3,16,.,.,PUNCT,
text3,1,1,Laut,Laut,PROPN,ORG_B
text3,1,2,dem,dem,PROPN,ORG_I
text3,1,3,Positionspapier,Positionspapier,PROPN,ORG_I
text3,1,4,will,will,AUX,
text3,1,5,das,das,PROPN,ORG_B
text3,1,6,Innenministerium,Innenministerium,PROPN,ORG_I
text3,1,7,am,be,AUX,
text3,1,8,umstrittenen,umstrittenen,NOUN,
text3,2,1,„,„,PUNCT,
text3,2,2,Client,Client,PROPN,WORK_OF_ART_B
text3,2,3,-,-,PUNCT,WORK_OF_ART_I
text3,2,4,Side,Side,PROPN,WORK_OF_ART_I
text3,2,5,-,-,PUNCT,WORK_OF_ART_I
text3,2,6,Scanning,Scanning,PROPN,WORK_OF_ART_I
text3,2,7,“,"""",PUNCT,
text3,2,8,festhalten,festhalten,ADJ,
text3,2,9,.,.,PUNCT,
