doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Mit,mit,NOUN,
text1,1,2,gewaltigen,gewaltigen,NOUN,
text1,1,3,netzpolitischen,netzpolitischen,NOUN,
text1,1,4,Ambitionen,Ambitionen,PROPN,ORG_B
text1,1,5,ist,ist,AUX,
text1,1,6,die,die,VERB,
text1,1,7,neue,neue,ADJ,
text1,1,8,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text1,1,9,vor,vor,AUX,
text1,1,10,gut,gut,NOUN,
text1,1,11,einem,einem,PROPN,PERSON_B
text1,1,12,Jahr,Jahr,PROPN,PERSON_I
text1,1,13,in,in,ADP,
text1,1,14,ihre,ihre,ADJ,
text1,1,15,Amtszeit,Amtszeit,PROPN,GPE_B
text1,1,16,gestartet,gestartet,NOUN,
text1,1,17,.,.,PUNCT,
text1,2,1,Handfestes,handfeste,NOUN,
text1,2,2,geliefert,geliefert,PROPN,
text1,2,3,hat,hat,PROPN,
text1,2,4,sie,sie,PROPN,
text1,2,5,aber,aber,PROPN,
text1,2,6,bislang,bislang,PROPN,
text1,2,7,wenig,wenig,PROPN,
text1,2,8,.,.,PUNCT,
text1,3,1,Stattdessen,Stattdessen,PROPN,
text1,3,2,dominieren,dominieren,NOUN,
text1,3,3,die,die,VERB,
text1,3,4,Konkurrenz,Konkurrenz,PROPN,PERSON_B
text1,3,5,zwischen,zwischen,PROPN,
text1,3,6,verschiedenen,verschiedenen,PROPN,
text1,3,7,Ministerien,Ministerien,PROPN,PERSON_B
text1,3,8,",",",",PUNCT,
text1,3,9,fehlende,fehlende,ADJ,
text1,3,10,Gelder,Gelder,PROPN,PERSON_B
text1,3,11,an,an,DET,
text1,3,12,allen,allen,ADJ,
text1,3,13,Ecken,Ecken,PROPN,
text1,3,14,und,und,PROPN,
text1,3,15,Enden,Enden,PROPN,
text1,3,16,–,–,PUNCT,
text1,3,17,sowie,sowie,NOUN,
text1,3,18,gefährliche,gefährliche,PROPN,
text1,3,19,Überwachungsfantasien,Überwachungsfantasien,PROPN,PERSON_B
text1,3,20,.,.,PUNCT,
text1,4,1,Auch,auch,NOUN,
text1,4,2,die,die,VERB,
text1,4,3,neue,neue,NOUN,
text1,4,4,Digitalstrategie,digitalstrategie,NOUN,LOC_B
text1,4,5,entpuppte,entpuppte,NOUN,LOC_I
text1,4,6,sich,sich,ADJ,
text1,4,7,als,al,NOUN,
text1,4,8,alter,alter,VERB,
text1,4,9,Wein,Wein,PROPN,FAC_B
text1,4,10,in,in,ADP,
text1,4,11,neuen,neuen,NOUN,
text1,4,12,Schläuchen,Schläuchen,PROPN,GPE_B
text1,4,13,und,und,PROPN,
text1,4,14,ließ,ließ,NOUN,
text1,4,15,zudem,zudem,PROPN,ORG_B
text1,4,16,die,die,VERB,
text1,4,17,Zivilgesellschaft,Zivilgesellschaft,PROPN,NORP_B
text1,4,18,außen,außen,VERB,
text1,4,19,vor,vor,NOUN,
text1,4,20,.,.,PUNCT,
text3,1,1,Immerhin,Immerhin,PROPN,
text3,1,2,gelobte,gelobte,NOUN,
text3,1,3,die,die,VERB,
text3,1,4,Regierung,Regierung,PROPN,PERSON_B
text3,1,5,zum,zum,PROPN,PERSON_I
text3,1,6,Ende,Ende,PROPN,
text3,1,7,des,des,X,
text3,1,8,Jahres,Jahres,PROPN,PERSON_B
text3,1,9,2022,2022,NUM,CARDINAL_B
text3,1,10,zögerlich,zögerlich,PROPN,
text3,1,11,Besserung,Besserung,PROPN,GPE_B
text3,1,12,.,.,PUNCT,
text3,2,1,Sie,Sie,PROPN,
text3,2,2,sagte,sagte,PROPN,
text3,2,3,zu,zu,PROPN,
text3,2,4,",",",",PUNCT,
text3,2,5,die,die,VERB,
text3,2,6,Zivilgesellschaft,Zivilgesellschaft,PROPN,NORP_B
text3,2,7,stärker,stärker,NOUN,
text3,2,8,einzubeziehen,einzubeziehen,ADV,
text3,2,9,",",",",PUNCT,
text3,2,10,und,und,ADJ,
text3,2,11,Justizminister,Justizminister,PROPN,PERSON_B
text3,2,12,Marco,Marco,PROPN,PERSON_I
text3,2,13,Buschmann,Buschmann,PROPN,PERSON_I
text3,2,14,(,(,PUNCT,
text3,2,15,FDP,FDP,PROPN,ORG_B
text3,2,16,),),PUNCT,
text3,2,17,sprach,sprach,NOUN,
text3,2,18,sich,sich,PROPN,
text3,2,19,erneut,erneut,PROPN,
text3,2,20,gegen,gegen,NOUN,
text3,2,21,anlasslose,anlasslose,VERB,
text3,2,22,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text3,2,23,aus,aus,PROPN,
text3,2,24,.,.,PUNCT,
text3,3,1,Für,für,NOUN,
text3,3,2,2023,2023,NUM,CARDINAL_B
text3,3,3,bedeutet,bedeutet,NOUN,
text3,3,4,das,das,PROPN,
text3,3,5,umso,umso,ADJ,
text3,3,6,mehr,mehr,NOUN,
text3,3,7,",",",",PUNCT,
text3,3,8,dass,dass,NOUN,
text3,3,9,sich,sich,PRON,
text3,3,10,die,die,VERB,
text3,3,11,Regierung,Regierung,PROPN,GPE_B
text3,3,12,an,an,DET,
text3,3,13,ihren,ihren,PROPN,
text3,3,14,Versprechen,Versprechen,PROPN,ORG_B
text3,3,15,wird,wird,PROPN,
text3,3,16,messen,messen,PROPN,PERSON_B
text3,3,17,lassen,lassen,PROPN,PERSON_I
text3,3,18,müssen,müssen,PROPN,PERSON_I
text3,3,19,.,.,PUNCT,
text3,4,1,Wir,Wir,PROPN,
text3,4,2,werfen,werfen,NOUN,
text3,4,3,ein,ein,PROPN,
text3,4,4,Schlaglicht,Schlaglicht,PROPN,LOC_B
text3,4,5,auf,auf,PROPN,
text3,4,6,die,die,PROPN,
text3,4,7,voraussichtlich,voraussichtlich,NOUN,
text3,4,8,wichtigsten,wichtigsten,NOUN,
text3,4,9,netzpolitischen,netzpolitischen,NOUN,
text3,4,10,Themen,Themen,PROPN,WORK_OF_ART_B
text3,4,11,und,und,PROPN,WORK_OF_ART_I
text3,4,12,Debatten,Debatten,PROPN,WORK_OF_ART_I
text3,4,13,des,des,X,WORK_OF_ART_I
text3,4,14,neuen,neuen,NOUN,
text3,4,15,Jahres,Jahres,PROPN,PERSON_B
text3,4,16,.,.,PUNCT,
text5,1,1,Oft,Oft,PROPN,
text5,1,2,sind,sind,NOUN,
text5,1,3,Bundes-,Bundes-,PROPN,
text5,1,4,und,und,ADJ,
text5,1,5,EU,EU,PROPN,ORG_B
text5,1,6,-,-,PUNCT,
text5,1,7,ebene,ebene,NOUN,
text5,1,8,miteinander,miteinander,NOUN,
text5,1,9,verwoben,verwoben,PROPN,
text5,1,10,",",",",PUNCT,
text5,1,11,für,für,PROPN,
text5,1,12,den,den,NOUN,
text5,1,13,optimalen,optimalen,VERB,
text5,1,14,Überblick,Überblick,PROPN,ORG_B
text5,1,15,empfehlen,empfehlen,PROPN,
text5,1,16,wir,wir,NOUN,
text5,1,17,deshalb,deshalb,NOUN,
text5,1,18,auch,auch,NOUN,
text5,1,19,unseren,unseren,PROPN,
text5,1,20,Artikel,Artikel,PROPN,
text5,1,21,über,über,NOUN,
text5,1,22,die,die,VERB,
text5,1,23,Netzpolitik,Netzpolitik,PROPN,ORG_B
text5,1,24,in,in,ADP,
text5,1,25,Europa,Europa,PROPN,DATE_B
text5,1,26,2023,2023,NUM,DATE_I
text5,1,27,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Strategie,strategie,NOUN,
text7,1,4,:,:,PUNCT,
text7,1,5,Zwist,Zwist,PROPN,NORP_B
text7,1,6,in,in,ADP,
text7,1,7,der,der,PROPN,
text7,1,8,Ampel,Ampel,PROPN,PERSON_B
text7,1,9,wird,wird,NOUN,
text7,1,10,deutsche,deutsche,NOUN,
text7,1,11,Netzpolitik,Netzpolitik,PROPN,GPE_B
text7,1,12,weiter,weiter,PROPN,
text7,1,13,bremsen,bremsen,PROPN,
text9,1,1,Ein,Ein,PROPN,
text9,1,2,grundlegendes,grundlegende,VERB,
text9,1,3,Problem,Problem,PROPN,GPE_B
text9,1,4,wird,wird,NOUN,
text9,1,5,diese,diese,ADJ,NORP_B
text9,1,6,Regierung,Regierung,PROPN,NORP_B
text9,1,7,aller,aller,NOUN,
text9,1,8,Voraussicht,Voraussicht,PROPN,PERSON_B
text9,1,9,nach,nach,VERB,
text9,1,10,auch,auch,NOUN,
text9,1,11,in,in,ADP,
text9,1,12,diesem,diesem,PROPN,
text9,1,13,Jahr,Jahr,PROPN,PERSON_B
text9,1,14,nicht,nicht,PROPN,
text9,1,15,lösen,lösen,PROPN,
text9,1,16,können,können,PROPN,
text9,1,17,:,:,PUNCT,
text9,1,18,Dass,Dass,PROPN,
text9,1,19,die,die,VERB,
text9,1,20,digital-,digital-,ADJ,
text9,2,1,und,und,VERB,
text9,2,2,netzpolitischen,netzpolitischen,NOUN,
text9,2,3,Zuständigkeiten,Zuständigkeiten,PROPN,PERSON_B
text9,2,4,auf,auf,PROPN,
text9,2,5,verschiedene,verschiedene,NOUN,PERSON_B
text9,2,6,Ministerien,Ministerien,PROPN,PERSON_I
text9,2,7,und,und,VERB,
text9,2,8,obendrein,obendrein,PROPN,
text9,2,9,noch,noch,PROPN,
text9,2,10,föderal,föderal,PROPN,
text9,2,11,verteilt,verteilt,VERB,
text9,2,12,sind,sind,NOUN,
text9,2,13,.,.,PUNCT,
text9,3,1,Das,Das,PROPN,
text9,3,2,ist,ist,PROPN,
text9,3,3,ein,ein,PROPN,
text9,3,4,wesentlicher,wesentlicher,VERB,
text9,3,5,Grund,Grund,PROPN,PERSON_B
text9,3,6,für,für,PROPN,
text9,3,7,zwei,zwei,PROPN,
text9,3,8,weitere,weitere,ADJ,
text9,4,1,Probleme,probleme,NOUN,ORG_B
text9,4,2,:,:,PUNCT,
text9,4,3,Erstens,Erstens,PROPN,
text9,4,4,schwelt,schwelt,NOUN,
text9,4,5,nach,nach,PROPN,
text9,4,6,wie,wie,PROPN,
text9,4,7,vor,vor,NOUN,
text9,4,8,der,der,NOUN,
text9,4,9,Konflikt,Konflikt,PROPN,PRODUCT_B
text9,4,10,zwischen,zwischen,ADP,
text9,4,11,Innenministerin,Innenministerin,PROPN,
text9,4,12,Nancy,Nancy,PROPN,PERSON_B
text9,4,13,Faeser,Faeser,PROPN,PERSON_I
text9,4,14,(,(,PUNCT,
text9,4,15,SPD,SPD,PROPN,
text9,4,16,),),PUNCT,
text9,4,17,und,und,VERB,
text9,4,18,Justizminister,Justizminister,PROPN,PERSON_B
text9,4,19,Marco,Marco,PROPN,PERSON_I
text9,4,20,Buschmann,Buschmann,PROPN,PERSON_I
text9,4,21,über,über,NOUN,
text9,4,22,die,die,PROPN,
text9,4,23,Zukunft,Zukunft,PROPN,ORG_B
text9,4,24,der,der,NOUN,
text9,4,25,Vorratsdatenspeicherung,Vorratsdatenspeicherung,PROPN,PERSON_B
text9,4,26,und,und,PROPN,
text9,5,1,der,der,PROPN,
text9,5,2,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text9,5,3,.,.,PUNCT,
text9,6,1,Er,er,INTJ,
text9,6,2,lähmt,lähmt,NOUN,
text9,6,3,die,die,PROPN,
text9,6,4,Regierungskoalition,Regierungskoalition,PROPN,
text9,6,5,bis,bis,ADJ,
text9,6,6,in,in,ADP,
text9,6,7,den,den,NOUN,
text9,6,8,Bundestag,Bundestag,PROPN,PRODUCT_B
text9,6,9,hinein,hinein,PROPN,
text9,6,10,",",",",PUNCT,
text9,6,11,auch,auch,NOUN,
text9,6,12,weil,weil,NOUN,
text9,6,13,Faesers,Faesers,PROPN,PERSON_B
text9,6,14,Positionen,Positionen,PROPN,PERSON_I
text9,7,1,i,I,PRON,
text9,7,2,m,m,VERB,
text9,7,3,Widerspruch,widerspruch,ADJ,
text9,7,4,zum,zum,NOUN,PERSON_B
text9,7,5,Wortlaut,Wortlaut,PROPN,PERSON_I
text9,7,6,des,des,PROPN,
text9,7,7,Koalitionsvertrags,Koalitionsvertrags,PROPN,
text9,7,8,stehen,stehen,ADV,
text9,7,9,.,.,PUNCT,
text11,1,1,Zweitens,zweiten,NOUN,GPE_B
text11,1,2,lässt,lässt,ADV,
text11,1,3,die,die,VERB,
text11,1,4,Digitalpolitik,Digitalpolitik,PROPN,ORG_B
text11,1,5,der,der,NOUN,
text11,1,6,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text11,1,7,nach,nach,NOUN,
text11,1,8,wie,wie,PROPN,
text11,1,9,vor,vor,NOUN,
text11,1,10,eine,eine,NOUN,
text11,1,11,einheitliche,einheitliche,NOUN,
text11,1,12,Linie,Linie,PROPN,PERSON_B
text11,1,13,missen,missen,PROPN,
text11,1,14,.,.,PUNCT,
text11,2,1,Zwar,Zwar,PROPN,PERSON_B
text11,2,2,will,will,AUX,
text11,2,3,sie,sie,VERB,
text11,2,4,nun,nun,NOUN,
text11,2,5,mit,mit,VERB,
text11,2,6,ihrer,ihrer,NOUN,
text11,2,7,Digitalstrategie,Digitalstrategie,PROPN,ORG_B
text11,2,8,gleich,gleich,PROPN,
text11,2,9,18,18,NUM,CARDINAL_B
text11,2,10,Leuchtturm,Leuchtturm,PROPN,ORG_B
text11,2,11,-,-,PUNCT,ORG_I
text11,2,12,Projekte,Projekte,PROPN,ORG_I
text11,2,13,umsetzen,umsetzen,ADJ,
text11,2,14,–,–,PUNCT,
text11,2,15,begleitet,begleitet,PROPN,PERSON_B
text11,2,16,von,von,PROPN,PERSON_I
text11,2,17,einem,einem,PROPN,PERSON_I
text11,2,18,Digitalbeirat,Digitalbeirat,PROPN,PERSON_B
text11,2,19,.,.,PUNCT,
text11,3,1,Dessen,Dessen,PROPN,ORG_B
text11,3,2,Aufgabe,Aufgabe,PROPN,ORG_I
text11,3,3,besteht,besteht,NOUN,
text11,3,4,allerdings,allerding,NOUN,
text11,3,5,vor,vor,VERB,
text11,3,6,allem,allem,NOUN,
text11,3,7,darin,darin,NOUN,GPE_B
text11,3,8,",",",",PUNCT,
text11,3,9,die,die,VERB,
text11,3,10,Umsetzung,Umsetzung,PROPN,PERSON_B
text11,3,11,zu,zu,NOUN,PERSON_I
text11,3,12,monitoren,monitoren,NOUN,PERSON_I
text11,3,13,und,und,PROPN,
text11,3,14,auf,auf,PROPN,
text11,3,15,den,den,NOUN,
text11,3,16,letzten,letzten,VERB,
text11,3,17,Metern,Metern,PROPN,
text11,3,18,„,„,PUNCT,
text11,3,19,frische,frische,X,
text11,3,20,Impulse,Impulse,PROPN,ORG_B
text11,3,21,“,"""",PUNCT,
text11,3,22,zu,zu,ADJ,
text11,3,23,geben,geben,NOUN,
text11,3,24,.,.,PUNCT,
text11,4,1,An,an,DET,
text11,4,2,der,der,NOUN,
text11,4,3,überaus,überaus,NOUN,
text11,4,4,wirtschaftsfreundlichen,wirtschaftsfreundlichen,ADV,
text11,4,5,Ausrichtung,Ausrichtung,PROPN,PERSON_B
text11,4,6,der,der,NOUN,PERSON_I
text11,4,7,Digitalstrategie,Digitalstrategie,PROPN,PERSON_I
text11,4,8,werden,werden,NOUN,
text11,4,9,die,die,VERB,
text11,4,10,19,19,NUM,CARDINAL_B
text11,4,11,Vertreter,Vertreter,PROPN,
text11,4,12,:,:,PUNCT,
text11,4,13,innen,innen,NOUN,
text11,4,14,aus,aus,PROPN,
text11,4,15,Wirtschaft,Wirtschaft,PROPN,ORG_B
text11,4,16,",",",",PUNCT,
text11,4,17,Wissenschaft,Wissenschaft,PROPN,ORG_B
text11,4,18,und,und,PROPN,
text11,4,19,Zivilgesellschaft,Zivilgesellschaft,PROPN,ORG_B
text11,4,20,jedoch,jedoch,PROPN,
text11,4,21,nur,nur,VERB,
text11,4,22,äußerst,äußerst,PROPN,
text11,4,23,wenig,wenig,NOUN,
text11,4,24,ändern,ändern,ADJ,
text11,4,25,können,können,NOUN,
text11,4,26,.,.,PUNCT,
text13,1,1,Damit,Damit,PROPN,
text13,1,2,die,die,VERB,
text13,1,3,Digitalisierung,Digitalisierung,PROPN,
text13,1,4,endlich,endlich,NOUN,
text13,1,5,in,in,ADP,
text13,1,6,Schwung,Schwung,PROPN,GPE_B
text13,1,7,kommt,kommt,PROPN,GPE_I
text13,1,8,",",",",PUNCT,
text13,1,9,bräuchte,bräuchte,PROPN,PERSON_B
text13,1,10,es,es,PROPN,PERSON_I
text13,1,11,außerdem,außerdem,PROPN,PERSON_I
text13,1,12,ein,ein,PROPN,
text13,1,13,Digitalbudget,Digitalbudget,PROPN,ORG_B
text13,1,14,",",",",PUNCT,
text13,1,15,wie,wie,NOUN,
text13,1,16,es,es,X,
text13,1,17,auch,auch,ADJ,
text13,1,18,der,der,NOUN,
text13,1,19,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text13,1,20,vorsieht,vorsieht,PROPN,
text13,1,21,.,.,PUNCT,
text13,2,1,Ein,Ein,PROPN,
text13,2,2,solches,solche,VERB,
text13,2,3,Budget,Budget,PROPN,ORG_B
text13,2,4,müssen,müssen,PROPN,
text13,2,5,die,die,VERB,
text13,2,6,Ministerien,Ministerien,PROPN,PERSON_B
text13,2,7,für,für,NOUN,
text13,3,1,Finanzen,Finanzen,PROPN,
text13,3,2,",",",",PUNCT,
text13,3,3,Digital,Digital,PROPN,ORG_B
text13,3,4,und,und,PROPN,
text13,3,5,Verkehr,Verkehr,PROPN,ORG_B
text13,3,6,sowie,sowie,NOUN,
text13,3,7,Wirtschaft,Wirtschaft,PROPN,ORG_B
text13,3,8,und,und,PROPN,
text13,3,9,Klima,Klima,PROPN,PERSON_B
text13,3,10,gemeinsam,gemeinsam,NOUN,
text13,3,11,mit,mit,VERB,
text13,3,12,dem,dem,INTJ,
text13,3,13,Kanzleramt,Kanzleramt,PROPN,PERSON_B
text13,3,14,untereinander,untereinander,NOUN,
text13,3,15,aushandeln,aushandeln,PROPN,
text13,3,16,.,.,PUNCT,
text13,4,1,Angesichts,angesicht,NOUN,PERSON_B
text13,4,2,der,der,NOUN,PERSON_I
text13,4,3,zahlreichen,zahlreichen,NOUN,PERSON_B
text13,4,4,Streitigkeiten,Streitigkeiten,PROPN,PERSON_I
text13,4,5,insbesondere,insbesondere,ADV,
text13,4,6,zwischen,zwischen,ADP,PERSON_B
text13,4,7,Finanzminister,Finanzminister,PROPN,PERSON_I
text13,4,8,Christian,Christian,PROPN,PERSON_B
text13,4,9,Lindner,Lindner,PROPN,PERSON_I
text13,4,10,(,(,PUNCT,
text13,4,11,FDP,FDP,PROPN,ORG_B
text13,4,12,),),PUNCT,
text13,4,13,und,und,VERB,
text13,4,14,Wirtschaftsminister,Wirtschaftsminister,PROPN,PERSON_B
text13,4,15,Robert,Robert,PROPN,PERSON_I
text13,4,16,Habeck,Habeck,PROPN,PERSON_I
text13,4,17,(,(,PUNCT,
text13,4,18,Grüne,Grüne,PROPN,GPE_B
text13,4,19,),),PUNCT,
text13,4,20,darf,darf,PROPN,
text13,4,21,man,man,PROPN,
text13,4,22,gespannt,gespannt,PROPN,
text13,4,23,sein,sein,PROPN,
text13,4,24,",",",",PUNCT,
text13,4,25,wie,wie,PROPN,
text13,4,26,der,der,PROPN,
text13,4,27,Deal,Deal,PROPN,
text13,4,28,am,be,AUX,
text13,4,29,Ende,ende,ADJ,
text13,4,30,aussieht,aussieht,NOUN,
text13,5,1,und,und,VERB,
text13,5,2,für,für,NOUN,
text13,5,3,welche,welche,NOUN,
text13,5,4,Projekte,Projekte,PROPN,PERSON_B
text13,5,5,am,be,AUX,
text13,5,6,Ende,Ende,PROPN,
text13,5,7,noch,noch,PROPN,
text13,5,8,Mittel,Mittel,PROPN,ORG_B
text13,5,9,vorhanden,vorhanden,NOUN,
text13,5,10,sind,sind,NOUN,
text13,5,11,.,.,PUNCT,
text15,1,1,#,#,SYM,
text15,1,2,#,#,NOUN,
text15,1,3,Neue,Neue,PROPN,PERSON_B
text15,1,4,Überwachung,Überwachung,PROPN,PERSON_I
text15,1,5,:,:,PUNCT,
text15,1,6,Verhärtete,Verhärtete,PROPN,PERSON_B
text15,1,7,Fronten,Fronten,PROPN,PERSON_I
text15,1,8,bei,bei,PROPN,
text15,1,9,Vorratsdatenspeicherung,Vorratsdatenspeicherung,PROPN,
text15,1,10,und,und,VERB,
text15,1,11,Chatkontrolle,Chatkontrolle,PROPN,
text17,1,1,Der,Der,PROPN,PERSON_B
text17,1,2,Fortgang,Fortgang,PROPN,PERSON_I
text17,1,3,des,des,PROPN,PERSON_I
text17,1,4,Streits,Streits,PROPN,
text17,1,5,zwischen,zwischen,ADP,
text17,1,6,Faeser,Faeser,PROPN,
text17,1,7,und,und,PROPN,
text17,1,8,Buschmann,Buschmann,PROPN,
text17,1,9,hat,hat,NOUN,
text17,1,10,auch,auch,ADJ,
text17,1,11,weitreichende,weitreichende,NOUN,
text17,1,12,politische,politische,PROPN,
text17,1,13,Folgen,Folgen,PROPN,GPE_B
text17,1,14,.,.,PUNCT,
text17,2,1,Zum,zum,ADJ,PERSON_B
text17,2,2,einen,einen,NOUN,PERSON_I
text17,2,3,geht,geht,NOUN,PERSON_I
text17,2,4,der,der,PROPN,
text17,2,5,Konflikt,Konflikt,PROPN,PERSON_B
text17,2,6,Vorratsdatenspeicherung,Vorratsdatenspeicherung,PROPN,PERSON_I
text17,2,7,vs.,vs.,ADP,
text17,2,8,Quick,Quick,PROPN,ORG_B
text17,2,9,-,-,PUNCT,ORG_I
text17,2,10,Freeze,Freeze,PROPN,ORG_I
text17,2,11,in,in,ADP,
