doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Das,Das,PROPN,
text1,1,2,Bündnis,Bündnis,PROPN,
text1,1,3,„,„,PUNCT,
text1,1,4,Chatkontrolle,Chatkontrolle,PROPN,
text1,1,5,stoppen,stoppen,NOUN,
text1,1,6,“,"""",PUNCT,
text1,1,7,fordert,fordert,NOUN,
text1,1,8,die,die,NOUN,
text1,1,9,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text1,1,10,auf,auf,PROPN,PERSON_I
text1,1,11,",",",",PUNCT,
text1,1,12,i,I,PRON,
text1,1,13,m,m,VERB,
text1,1,14,Rat,Rat,PROPN,PERSON_B
text1,1,15,der,der,PROPN,PERSON_I
text1,1,16,EU,EU,PROPN,ORG_B
text1,1,17,gegen,gegen,NOUN,
text1,1,18,die,die,VERB,
text1,1,19,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,20,zu,zu,ADJ,PERSON_I
text1,1,21,stimmen,stimman,NOUN,
text1,1,22,.,.,PUNCT,
text1,2,1,Die,die,VERB,PERSON_B
text1,2,2,Abstimmung,Abstimmung,PROPN,PERSON_I
text1,2,3,wird,wird,NOUN,
text1,2,4,voraussichtlich,voraussichtlich,PROPN,
text1,2,5,am,be,AUX,
text1,2,6,28,28,NUM,DATE_B
text1,2,7,.,.,PUNCT,
text1,3,1,September,September,PROPN,DATE_B
text1,3,2,stattfinden,stattfinden,NOUN,
text1,3,3,.,.,PUNCT,
text1,4,1,Die,die,VERB,
text1,4,2,bisherige,bisherige,PROPN,
text1,4,3,Position,Position,PROPN,
text1,4,4,der,der,NOUN,
text1,4,5,Bundesregierung,Bundesregierung,PROPN,
text1,4,6,widerspreche,widerspreche,PROPN,
text1,4,7,den,den,VERB,
text1,4,8,i,I,PRON,
text1,4,9,m,m,VERB,
text1,4,10,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text1,4,11,vereinbarten,vereinbarten,VERB,
text1,4,12,Zielen,Zielen,PROPN,PERSON_B
text1,4,13,der,der,NOUN,PERSON_I
text1,4,14,Regierung,Regierung,PROPN,PERSON_I
text1,4,15,zum,zum,PROPN,PERSON_I
text1,4,16,Schutz,Schutz,PROPN,PERSON_I
text1,4,17,von,von,PROPN,PERSON_I
text1,4,18,Grundrechten,Grundrechten,PROPN,PERSON_I
text1,5,1,i,I,PRON,
text1,5,2,m,m,VERB,
text1,5,3,digitalen,digitalen,ADJ,
text1,5,4,Raum,Raum,PROPN,PERSON_B
text1,5,5,.,.,PUNCT,
text3,1,1,Diese,diese,ADJ,NORP_B
text3,1,2,schlössen,schlössen,NOUN,
text3,1,3,die,die,VERB,
text3,1,4,Maßnahmen,Maßnahmen,PROPN,ORG_B
text3,1,5,der,der,NOUN,
text3,1,6,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,7,explizit,explizit,NOUN,
text3,1,8,aus,aus,PROPN,
text3,1,9,",",",",PUNCT,
text3,1,10,also,also,ADV,
text3,1,11,das,das,PROPN,
text3,1,12,anlasslose,anlasslose,VERB,
text3,1,13,Durchleuchten,Durchleuchten,PROPN,NORP_B
text3,1,14,privater,privater,NOUN,
text3,1,15,Nachrichten,Nachrichten,PROPN,
text3,1,16,",",",",PUNCT,
text3,1,17,die,die,VERB,
text3,1,18,Alterskontrollen,Alterskontrollen,PROPN,PERSON_B
text3,1,19,",",",",PUNCT,
text3,1,20,die,die,VERB,
text3,1,21,erweiterten,erweiterten,ADJ,
text3,1,22,Uploadfilter,Uploadfilter,PROPN,
text3,1,23,und,und,NOUN,
text3,1,24,die,die,VERB,
text3,1,25,Netzsperren,Netzsperren,PROPN,PERSON_B
text3,1,26,.,.,PUNCT,
text3,2,1,Die,die,VERB,
text3,2,2,einzige,einzige,ADJ,
text3,2,3,logische,logische,NOUN,
text3,2,4,Konsequenz,Konsequenz,PROPN,PERSON_B
text3,2,5,aus,aus,PROPN,
text3,2,6,dem,dem,PROPN,
text3,2,7,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text3,2,8,sei,sei,ADJ,
text3,2,9,nun,nun,NOUN,
text3,2,10,",",",",PUNCT,
text3,2,11,eine,eine,NOUN,
text3,2,12,klare,klare,NOUN,
text3,2,13,Position,position,NOUN,ORG_B
text3,2,14,gegen,gegen,NOUN,
text3,2,15,die,die,VERB,
text3,2,16,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,2,17,einzunehmen,einzunehman,NOUN,
text3,2,18,.,.,PUNCT,
text3,3,1,Die,die,VERB,LOC_B
text3,3,2,Bundesregierung,Bundesregierung,PROPN,LOC_I
text3,3,3,dürfe,dürfe,NOUN,
text3,3,4,nicht,nicht,PROPN,
text3,3,5,nur,nur,NOUN,
text3,3,6,einzelne,einzelne,NOUN,
text3,3,7,Punkte,Punkte,PROPN,PERSON_B
text3,3,8,ablehnen,ablehnen,NOUN,PERSON_I
text3,3,9,",",",",PUNCT,
text3,3,10,sondern,sondern,ADJ,
text3,3,11,das,das,PROPN,PRODUCT_B
text3,3,12,Gesetz,Gesetz,PROPN,PRODUCT_I
text3,3,13,als,al,NOUN,
text3,3,14,solches,solche,VERB,
text3,3,15,.,.,PUNCT,
text5,1,1,Dem,Dem,PROPN,PERSON_B
text5,1,2,Bündnis,Bündnis,PROPN,PERSON_I
text5,1,3,„,„,PUNCT,PERSON_I
text5,1,4,Chatkontrolle,Chatkontrolle,PROPN,
text5,1,5,stoppen,stoppen,NOUN,
text5,1,6,“,"""",PUNCT,
text5,1,7,gehören,gehören,PROPN,
text5,1,8,neben,neben,PROPN,
text5,1,9,fast,fast,VERB,
text5,1,10,30,30,NUM,CARDINAL_B
text5,1,11,zivilgesellschaftlichen,zivilgesellschaftlichen,PROPN,PERSON_B
text5,1,12,Organisationen,Organisationen,PROPN,PERSON_I
text5,1,13,–,–,PUNCT,
text5,1,14,vom,vom,NOUN,
text5,1,15,Chaos,Chaos,PROPN,ORG_B
text5,1,16,Computer,Computer,PROPN,ORG_I
text5,1,17,Club,Club,PROPN,ORG_I
text5,1,18,bis,bis,X,
text5,1,19,zur,zur,PROPN,
text5,1,20,Humanistischen,Humanistischen,PROPN,GPE_B
text5,1,21,Union,Union,PROPN,GPE_I
text5,1,22,–,–,PUNCT,
text5,1,23,auch,auch,PROPN,
text5,1,24,die,die,VERB,
text5,1,25,Jugendorganisationen,Jugendorganisationen,PROPN,ORG_B
text5,1,26,aller,aller,NOUN,
text5,2,1,i,I,PRON,
text5,2,2,m,m,VERB,
text5,2,3,Bundestag,Bundestag,PROPN,PERSON_B
text5,2,4,vertretenen,vertretenen,NOUN,PERSON_I
text5,3,1,Parteien,Parteien,PROPN,
text5,3,2,außer,außer,PROPN,ORG_B
text5,3,3,der,der,PROPN,ORG_I
text5,3,4,Union,Union,PROPN,ORG_I
text5,3,5,und,und,PROPN,
text5,3,6,AfD,AfD,PROPN,
text5,3,7,an,an,PROPN,
text5,3,8,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,2,1,Abstimmungsverhalten,abstimmungsverhalten,ADJ,
text7,2,2,der,der,NOUN,
text7,2,3,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text7,2,4,unklar,unklar,ADJ,
text9,1,1,Noch,Noch,PROPN,
text9,1,2,ist,ist,ADJ,
text9,1,3,unklar,unklar,ADJ,
text9,1,4,",",",",PUNCT,
text9,1,5,wie,wie,PROPN,
text9,1,6,sich,sich,PROPN,
text9,1,7,die,die,VERB,
text9,1,8,Bundesregierung,Bundesregierung,PROPN,NORP_B
text9,1,9,bei,bei,PROPN,
text9,1,10,der,der,PROPN,
text9,1,11,Abstimmung,Abstimmung,PROPN,ORG_B
text9,1,12,verhalten,verhalten,VERB,
text9,1,13,wird,wird,NOUN,
text9,1,14,–,–,PUNCT,
text9,1,15,sie,sie,PROPN,
text9,1,16,drängte,drängte,PROPN,
text9,1,17,i,I,PRON,
text9,1,18,m,m,VERB,
text9,1,19,Rat,Rat,PROPN,
text9,1,20,auf,auf,PROPN,
text9,1,21,Verschiebung,Verschiebung,PROPN,PERSON_B
text9,1,22,der,der,PROPN,PERSON_I
text9,1,23,Abstimmung,Abstimmung,PROPN,PERSON_I
text9,1,24,",",",",PUNCT,
text9,1,25,was,be,AUX,
text9,1,26,aber,aber,PROPN,
text9,1,27,von,von,PROPN,
text9,1,28,den,den,PROPN,
text9,1,29,anderen,anderen,PROPN,
