doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,ORG_B
text1,1,2,Leser*innen,leser*innen,NOUN,
text1,1,3,",",",",PUNCT,
text3,1,1,einer,einer,NOUN,
text3,1,2,Zimmerpflanze,Zimmerpflanze,PROPN,PERSON_B
text3,1,3,beim,beim,NOUN,
text3,1,4,Wachsen,Wachsen,PROPN,GPE_B
text3,1,5,zuzusehen,zuzusehen,NOUN,
text3,1,6,",",",",PUNCT,
text3,1,7,verspricht,verspricht,NOUN,
text3,1,8,schnellere,schnellere,NOUN,
text3,1,9,Fortschritte,Fortschritte,PROPN,ORG_B
text3,1,10,als,al,NOUN,
text3,1,11,die,die,VERB,
text3,1,12,Verhandlungen,Verhandlungen,PROPN,ORG_B
text3,1,13,zur,zur,NOUN,
text3,1,14,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,15,zu,zu,PROPN,
text3,1,16,verfolgen,verfolgen,NOUN,
text3,1,17,.,.,PUNCT,
text3,2,1,Es,es,INTJ,
text3,2,2,geht,geht,NOUN,
text3,2,3,also,also,ADV,
text3,2,4,sehr,sehr,VERB,
text3,2,5,langsam,langsam,PROPN,PERSON_B
text3,2,6,voran,voran,PROPN,PERSON_I
text3,2,7,",",",",PUNCT,
text3,2,8,und,und,VERB,
text3,2,9,manchmal,manchmal,ADJ,
text3,2,10,geht,geht,NOUN,
text3,2,11,es,es,PROPN,
text3,2,12,sogar,sogar,PROPN,
text3,2,13,zurück,zurück,PROPN,
text3,2,14,.,.,PUNCT,
text5,1,1,Jetzt,Jetzt,PROPN,
text5,1,2,jedenfalls,jedenfall,NOUN,
text5,1,3,hat,hat,NOUN,
text5,1,4,Dänemark,Dänemark,PROPN,PERSON_B
text5,1,5,von,von,PROPN,PERSON_I
text5,1,6,der,der,PROPN,PERSON_I
text5,1,7,verpflichtenden,verpflichtenden,NOUN,
text5,1,8,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text5,1,9,Abstand,Abstand,PROPN,PERSON_I
text5,1,10,genommen,genomman,NOUN,
text5,1,11,.,.,PUNCT,
text5,2,1,Na,na,NOUN,
text5,2,2,",",",",PUNCT,
text5,2,3,immerhin,immerhin,ADJ,
text5,2,4,.,.,PUNCT,
text5,3,1,Aber,Aber,PROPN,
text5,3,2,auch,auch,NOUN,
text5,4,1,i,I,PRON,
text5,4,2,m,m,VERB,
text5,4,3,Fall,fall,NOUN,
text5,4,4,einer,einer,NOUN,
text5,4,5,*,*,PROPN,
text5,4,6,freiwilligen,freiwilligen,PROPN,
text5,4,7,*,*,PUNCT,
text5,4,8,Chatkontorolle,Chatkontorolle,PROPN,
text5,4,9,gibt,gibt,NOUN,
text5,4,10,es,es,X,
text5,4,11,schwere,schwere,NOUN,
text5,4,12,Bedenken,Bedenken,PROPN,GPE_B
text5,4,13,.,.,PUNCT,
text5,5,1,Hier,Hier,PROPN,
text5,5,2,schreibt,schreibt,NOUN,
text5,5,3,mein,mein,NOUN,
text5,5,4,Kollege,Kollege,PROPN,PERSON_B
text5,5,5,Andre,Andre,PROPN,PERSON_I
text5,5,6,Meister,Meister,PROPN,PERSON_I
text5,5,7,über,über,NOUN,
text5,5,8,den,den,PROPN,
text5,5,9,neusten,neusten,ADV,
text5,5,10,Stand,Stand,PROPN,PERSON_B
text5,5,11,.,.,PUNCT,
text7,1,1,Dieser,Dieser,PROPN,
text7,1,2,Newsletter,Newsletter,PROPN,
text7,1,3,kommt,kommt,PROPN,PERSON_B
text7,1,4,übrigens,übrigens,PROPN,
text7,1,5,wirklich,wirklich,PROPN,PERSON_B
text7,1,6,von,von,PROPN,PERSON_I
text7,1,7,mir,mir,PROPN,PERSON_I
text7,1,8,",",",",PUNCT,
text7,1,9,dem,dem,ADJ,NORP_B
text7,1,10,*,*,ADJ,
text7,1,11,echten,echten,NOUN,
text7,1,12,*,*,PUNCT,
text7,1,13,Sebastian,Sebastian,PROPN,PERSON_B
text7,1,14,Meineck,Meineck,PROPN,PERSON_I
text7,1,15,",",",",PUNCT,
text7,1,16,keiner,keiner,NOUN,PERSON_B
text7,1,17,ominösen,ominösen,PROPN,PERSON_I
text7,1,18,KI,KI,PROPN,GPE_B
text7,1,19,-,-,PUNCT,
text7,1,20,Kopie,Kopie,PROPN,
text7,1,21,",",",",PUNCT,
text7,1,22,versprochen,versprochen,ADV,
text7,1,23,.,.,PUNCT,
text7,2,1,Warum,warum,NOUN,
text7,2,2,man,man,NOUN,
text7,2,3,das,das,PROPN,PERSON_B
text7,2,4,wohl,wohl,PROPN,PERSON_I
text7,2,5,bald,bald,ADJ,
text7,2,6,dazusagen,dazusagen,NOUN,
text7,2,7,muss,muss,NOUN,
text7,2,8,",",",",PUNCT,
text7,2,9,lest,lest,SCONJ,
text7,2,10,ihr,ihr,PROPN,
text7,2,11,i,I,PRON,
text7,2,12,m,m,VERB,
text7,2,13,Ticker,Ticker,PROPN,PERSON_B
text7,2,14,.,.,PUNCT,
text9,1,1,Kommt,Kommt,PROPN,PERSON_B
text9,1,2,gut,gut,VERB,
text9,1,3,ins,in,NOUN,
text9,1,4,Wochenende,Wochenende,PROPN,
text11,1,1,*,*,PUNCT,
text11,1,2,Sebastian,Sebastian,PROPN,
text11,1,3,*,*,PUNCT,
text13,1,1,#,#,SYM,
text13,1,2,#,#,NOUN,
text13,1,3,Schreibe,Schreibe,PROPN,PERSON_B
text13,1,4,eine,eine,NOUN,
text13,1,5,Ergänzung,Ergänzung,PROPN,
text13,1,6,!,!,PUNCT,
