doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Bürgerbeauftragte,Bürgerbeauftragte,PROPN,ORG_I
text1,1,5,Emily,Emily,PROPN,ORG_I
text1,1,6,O’Reilly,o’reilly,ADV,
text1,1,7,übt,übt,VERB,
text1,1,8,Kritik,Kritik,PROPN,PRODUCT_B
text1,2,1,an,an,DET,
text1,2,2,Europol,Europol,PROPN,ORG_B
text1,2,3,wegen,wegen,NOUN,
text1,2,4,zwei,zwei,NOUN,PERSON_B
text1,2,5,Mitarbeitern,Mitarbeitern,PROPN,PERSON_I
text1,2,6,",",",",PUNCT,
text1,2,7,die,die,VERB,
text1,2,8,bei,bei,PROPN,
text1,2,9,der,der,PROPN,
text1,2,10,Organisation,Organisation,PROPN,ORG_B
text1,2,11,Thorn,Thorn,PROPN,ORG_I
text1,2,12,angeheuert,angeheuert,PROPN,
text1,2,13,hatten,hatten,PROPN,
text1,2,14,.,.,PUNCT,
text1,3,1,Die,die,VERB,
text1,3,2,ehemaligen,ehemaligen,NOUN,
text1,3,3,Europol,Europol,PROPN,NORP_B
text1,3,4,-,-,PUNCT,
text1,3,5,Bediensteten,Bediensteten,PROPN,
text1,3,6,konnten,konnten,NOUN,
text1,3,7,dahin,dahin,ADP,
text1,3,8,ohne,ohne,PROPN,
text1,3,9,Auflagen,Auflagen,PROPN,ORG_B
text1,3,10,wechseln,wechseln,NOUN,
text1,3,11,.,.,PUNCT,
text1,4,1,Thorn,thorn,NOUN,
text1,4,2,lobbyierte,lobbyierte,NOUN,
text1,4,3,in,in,ADP,
text1,4,4,den,den,NOUN,
text1,4,5,letzten,letzten,VERB,
text1,4,6,Jahren,Jahren,PROPN,
text1,4,7,aktiv,aktiv,PROPN,
text1,4,8,für,für,PROPN,
text1,4,9,die,die,VERB,
text1,4,10,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,4,11,",",",",PUNCT,
text1,4,12,ein,ein,PROPN,
text1,4,13,kontroverser,kontroverser,PROPN,
text1,4,14,Vorschlag,Vorschlag,PROPN,ORG_B
text1,4,15,für,für,NOUN,
text1,4,16,eine,eine,NOUN,
text1,4,17,EU,EU,PROPN,ORG_B
text1,4,18,-,-,PUNCT,
text1,4,19,Verordnung,Verordnung,PROPN,
text1,4,20,",",",",PUNCT,
text1,4,21,der,der,PROPN,
text1,4,22,Gewaltdarstellungen,Gewaltdarstellungen,PROPN,PERSON_B
text1,4,23,an,an,DET,PERSON_I
text1,4,24,Kindern,Kindern,PROPN,PERSON_I
text1,4,25,entgegenwirken,entgegenwirken,VERB,
text1,4,26,soll,soll,PROPN,
text1,4,27,und,und,PROPN,
text1,4,28,dafür,dafür,PROPN,ORG_B
text1,4,29,unter,unter,NOUN,
text1,4,30,anderem,anderem,NOUN,ORG_B
text1,4,31,das,das,PROPN,ORG_I
text1,4,32,massenhafte,massenhafte,NOUN,ORG_I
text1,4,33,Scannen,Scannen,PROPN,PERSON_B
text1,4,34,von,von,PROPN,PERSON_I
text1,4,35,Chat,Chat,PROPN,PERSON_I
text1,4,36,-,-,PUNCT,PERSON_I
text1,4,37,Nachrichten,Nachrichten,PROPN,PERSON_I
text1,4,38,vorsieht,vorsieht,NOUN,
text1,4,39,.,.,PUNCT,
text3,1,1,Um,um,INTJ,
text3,1,2,ein,ein,NOUN,
text3,1,3,derartiges,derartige,VERB,
text3,1,4,Vorhaben,Vorhaben,PROPN,ORG_B
text3,1,5,technisch,technisch,ADJ,
text3,1,6,umzusetzen,umzusetzen,ADJ,
text3,1,7,",",",",PUNCT,
text3,1,8,entwickeln,entwickeln,NOUN,
text3,1,9,Unternehmen,Unternehmen,PROPN,PERSON_B
text3,1,10,Softwarelösungen,Softwarelösungen,PROPN,PERSON_I
text3,1,11,",",",",PUNCT,
text3,1,12,die,die,VERB,
text3,1,13,versprechen,versprechen,ADV,
text3,1,14,",",",",PUNCT,
text3,1,15,diese,diese,ADJ,NORP_B
text3,1,16,digitalen,digitalen,ADJ,
text3,1,17,Materialen,Materialen,PROPN,PERSON_B
text3,1,18,aufzufinden,aufzufinden,NOUN,
text3,1,19,.,.,PUNCT,
text3,2,1,Genau,Genau,PROPN,
text3,2,2,in,in,ADP,
text3,2,3,diesem,diesem,PROPN,
text3,2,4,Geschäftsfeld,Geschäftsfeld,PROPN,GPE_B
text3,2,5,arbeitet,arbeitet,NOUN,
text3,2,6,Thorn,thorn,NOUN,WORK_OF_ART_B
text3,2,7,:,:,PUNCT,WORK_OF_ART_I
text3,2,8,Die,Die,PROPN,WORK_OF_ART_I
text3,2,9,Organisation,Organisation,PROPN,WORK_OF_ART_I
text3,2,10,bietet,bietet,NOUN,
text3,2,11,eine,eine,NOUN,
text3,2,12,solche,solche,PROPN,
text3,2,13,automatisierte,automatisierte,NOUN,
text3,2,14,Softwarelösung,Softwarelösung,PROPN,GPE_B
text3,2,15,mit,mit,VERB,
text3,2,16,dem,dem,ADJ,
text3,2,17,Namen,Namen,PROPN,
text3,2,18,„,„,PUNCT,
text3,2,19,Safer,Safer,PROPN,
text3,2,20,“,"""",PUNCT,
text3,2,21,an,an,ADJ,
text3,2,22,.,.,PUNCT,
text3,3,1,Eine,Eine,PROPN,
text3,3,2,Sprecherin,Sprecherin,PROPN,PERSON_B
text3,3,3,von,von,PROPN,PERSON_I
text3,3,4,Thorn,Thorn,PROPN,PERSON_I
text3,3,5,hatte,hatte,X,
text3,3,6,netzpolitik.org,netzpolitik.org,SYM,ORG_B
text3,3,7,bestätigt,bestätigt,PROPN,
text3,3,8,",",",",PUNCT,
text3,3,9,dass,dass,PROPN,
text3,3,10,diese,diese,PROPN,NORP_B
text3,3,11,Technologie,Technologie,PROPN,ORG_B
text3,3,12,für,für,NOUN,
text3,3,13,die,die,VERB,
text3,3,14,Durchsetzung,Durchsetzung,PROPN,GPE_B
text3,3,15,der,der,NOUN,
text3,3,16,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text3,3,17,verwendet,verwendet,NOUN,
text3,3,18,werden,werden,PROPN,
text3,3,19,könne,könne,NOUN,PERSON_B
text3,3,20,.,.,PUNCT,
text5,1,1,Die,die,VERB,ORG_B
text5,1,2,EU,EU,PROPN,ORG_I
text5,1,3,-,-,PUNCT,ORG_I
text5,1,4,Kommission,Kommission,PROPN,ORG_I
text5,1,5,nannte,nannte,NOUN,
text5,1,6,Thorn,Thorn,PROPN,PRODUCT_B
text5,1,7,einen,einen,NOUN,
text5,1,8,„,„,PUNCT,
text5,1,9,Partner,Partner,PROPN,
text5,1,10,“,"""",PUNCT,
text5,1,11,und,und,VERB,
text5,1,12,öffnete,öffnete,NUM,
text5,1,13,einem,einem,PROPN,PERSON_B
text5,1,14,millionenschweren,millionenschweren,NOUN,PERSON_I
text5,1,15,Lobby,Lobby,PROPN,PERSON_B
text5,1,16,-,-,PUNCT,PERSON_I
text5,1,17,Netzwerk,Netzwerk,PROPN,PERSON_I
text5,1,18,die,die,VERB,
text5,1,19,Türen,Türen,PROPN,PERSON_B
text5,1,20,.,.,PUNCT,
text5,2,1,Die,die,VERB,
text5,2,2,damalige,damalige,ADJ,
text5,2,3,EU,EU,PROPN,ORG_B
text5,2,4,-,-,PUNCT,
text5,2,5,Kommissarin,Kommissarin,PROPN,PERSON_B
text5,2,6,Ylva,Ylva,PROPN,PERSON_I
text5,2,7,Johansson,Johansson,PROPN,PERSON_I
text5,2,8,bezeichnete,bezeichnete,NOUN,
text5,2,9,die,die,VERB,
text5,2,10,priorisierten,priorisierten,VERB,
text5,2,11,Lobbytreffen,Lobbytreffen,PROPN,ORG_B
text5,2,12,mit,mit,VERB,
text5,2,13,Thorn,Thorn,PROPN,PRODUCT_B
text5,2,14,als,al,NOUN,
text5,2,15,normal,normal,ADJ,
text5,2,16,.,.,PUNCT,
text7,1,1,O’Reilly,o’reilly,ADV,
text7,1,2,attestierte,attestierte,ADP,
text7,1,3,Europol,Europol,PROPN,ORG_B
text7,1,4,nun,nun,PROPN,
text7,1,5,Missstände,Missstände,PROPN,
text7,1,6,beim,beim,NOUN,
text7,1,7,Thorn,Thorn,PROPN,PERSON_B
text7,1,8,-,-,PUNCT,PERSON_I
text7,1,9,Wechsel,Wechsel,PROPN,PERSON_I
text7,1,10,",",",",PUNCT,
text7,1,11,die,die,VERB,
text7,1,12,künftig,künftig,PROPN,
text7,1,13,korrigiert,korrigiert,VERB,
text7,1,14,werden,werden,PROPN,
text7,1,15,müssen,müssen,PROPN,PERSON_B
text7,1,16,.,.,PUNCT,
text7,2,1,Sie,Sie,PROPN,
text7,2,2,reagierte,reagierte,PROPN,
text7,2,3,damit,damit,PROPN,
text7,2,4,auf,auf,PROPN,
text7,2,5,eine,eine,NOUN,
text7,2,6,schriftliche,schriftliche,NOUN,
text7,2,7,Beschwerde,Beschwerde,PROPN,PERSON_B
text7,2,8,des,des,PROPN,
text7,2,9,früheren,früheren,NOUN,
text7,2,10,Europaparlamentariers,Europaparlamentariers,PROPN,PERSON_B
text7,2,11,Patrick,Patrick,PROPN,PERSON_I
text7,2,12,Breyer,Breyer,PROPN,PERSON_I
text7,2,13,(,(,PUNCT,
text7,2,14,Piratenpartei,Piratenpartei,PROPN,
text7,2,15,),),PUNCT,
text7,2,16,",",",",PUNCT,
text7,2,17,der,der,PROPN,ORG_B
text7,2,18,mögliche,mögliche,PROPN,ORG_I
text7,2,19,Interessenkonflikte,Interessenkonflikte,PROPN,ORG_I
text7,2,20,bei,bei,PROPN,
text7,2,21,den,den,VERB,
text7,2,22,Wechseln,Wechseln,PROPN,
text7,2,23,der,der,NOUN,
text7,2,24,beiden,beiden,PROPN,
text7,2,25,Mitarbeiter,Mitarbeiter,PROPN,
text7,2,26,angezeigt,angezeigt,PROPN,PERSON_B
text7,2,27,hatte,hatte,PROPN,PERSON_I
text7,2,28,.,.,PUNCT,
text7,3,1,Breyer,Breyer,PROPN,
text7,3,2,beklagte,beklagte,PROPN,
text7,3,3,",",",",PUNCT,
text7,3,4,dass,dass,NOUN,
text7,3,5,sich,sich,PROPN,
text7,3,6,Thorn,Thorn,PROPN,PRODUCT_B
text7,3,7,zwar,zwar,NOUN,
text7,3,8,als,al,NOUN,
text7,3,9,gemeinnützige,gemeinnützige,PROPN,PERSON_B
text7,3,10,Non,Non,PROPN,PERSON_I
text7,3,11,-,-,PROPN,PERSON_I
text7,3,12,Profit,Profit,PROPN,PERSON_I
text7,3,13,-,-,PUNCT,PERSON_I
text7,3,14,Organisation,Organisation,PROPN,PERSON_I
text7,3,15,vermarkte,vermarkte,NOUN,
text7,3,16,",",",",PUNCT,
text7,3,17,aber,aber,PROPN,
text7,3,18,substantielle,substantielle,NOUN,
text7,3,19,Einnahmen,Einnahmen,PROPN,
text7,3,20,durch,durch,NOUN,
text7,3,21,Verkäufe,Verkäufe,PROPN,PERSON_B
text7,3,22,von,von,PROPN,PERSON_I
text7,3,23,Softwarelösungen,Softwarelösungen,PROPN,PERSON_I
