doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Das,Das,PROPN,ORG_B
text1,1,2,Bundeskriminalamt,Bundeskriminalamt,PROPN,ORG_I
text1,1,3,(,(,PUNCT,ORG_I
text1,1,4,BKA,BKA,PROPN,ORG_I
text1,1,5,),),PUNCT,
text1,1,6,hat,hat,NOUN,
text1,1,7,heute,heute,VERB,
text1,1,8,das,das,PROPN,PERSON_B
text1,1,9,Bundeslagebild,Bundeslagebild,PROPN,PERSON_I
text1,1,10,„,„,PUNCT,PERSON_I
text1,1,11,Sexualdelikte,Sexualdelikte,PROPN,PERSON_I
text1,1,12,zum,zum,NOUN,PERSON_I
text1,1,13,Nachteil,Nachteil,PROPN,PERSON_I
text1,1,14,von,von,PROPN,PERSON_I
text1,1,15,Kindern,Kindern,PROPN,PERSON_I
text1,1,16,und,und,PROPN,
text1,1,17,Jugendlichen,Jugendlichen,PROPN,
text1,1,18,“,"""",PUNCT,
text1,1,19,(,(,PUNCT,
text1,1,20,PDF,PDF,PROPN,ORG_B
text1,1,21,),),PUNCT,
text1,1,22,vorgestellt,vorgestellt,NOUN,
text1,1,23,.,.,PUNCT,
text1,2,1,Aus,Aus,PROPN,
text1,2,2,diesem,diesem,PROPN,
text1,2,3,geht,geht,PROPN,
text1,2,4,hervor,hervor,NOUN,
text1,2,5,",",",",PUNCT,
text1,2,6,dass,dass,NOUN,
text1,2,7,die,die,VERB,
text1,2,8,Zahl,Zahl,PROPN,GPE_B
text1,2,9,erfasster,erfasster,NOUN,
text1,2,10,Straftaten,Straftaten,PROPN,
text1,2,11,bei,bei,NOUN,
text1,2,12,sexualisierter,sexualisierter,NOUN,
text1,2,13,Gewalt,Gewalt,PROPN,PERSON_B
text1,2,14,an,an,DET,PERSON_I
text1,2,15,Kindern,Kindern,PROPN,PERSON_I
text1,2,16,sowie,sowie,NOUN,
text1,2,17,die,die,VERB,
text1,2,18,Verbreitung,Verbreitung,PROPN,PERSON_B
text1,2,19,so,so,ADV,
text1,2,20,genannter,genannter,VERB,
text1,2,21,kinderpornografischer,kinderpornografischer,NOUN,
text1,2,22,Inhalte,Inhalte,PROPN,PRODUCT_B
text1,2,23,gestiegen,gestiegen,PROPN,
text1,2,24,ist,ist,NOUN,
text1,2,25,.,.,PUNCT,
text1,3,1,Sowohl,sowohl,NOUN,
text1,3,2,das,das,PROPN,
text1,3,3,Bundeskriminalamt,Bundeskriminalamt,PROPN,
text1,3,4,sowie,sowie,NOUN,
text1,3,5,die,die,VERB,
text1,3,6,Innenministerin,Innenministerin,PROPN,
text1,3,7,Nancy,Nancy,PROPN,
text1,3,8,Faeser,Faeser,PROPN,
text1,3,9,nutzten,nutzten,NOUN,
text1,3,10,die,die,VERB,
text1,3,11,Vorstellung,Vorstellung,PROPN,ORG_B
text1,3,12,des,des,PROPN,ORG_I
text1,3,13,Berichts,Berichts,PROPN,ORG_I
text1,3,14,ein,ein,NOUN,
text1,3,15,weiteres,weitere,VERB,
text1,4,1,Mal,Mal,PROPN,PERSON_B
text1,4,2,um,um,INTJ,
text1,4,3,eine,eine,NOUN,
text1,4,4,Vorratsdatenspeicherung,Vorratsdatenspeicherung,PROPN,PERSON_B
text1,4,5,von,von,PROPN,PERSON_I
text1,4,6,IP,IP,PROPN,PERSON_I
text1,4,7,-,-,PUNCT,PERSON_I
text1,4,8,Adressen,Adressen,PROPN,PERSON_I
text1,4,9,zu,zu,ADJ,
text1,4,10,fordern,fordern,NOUN,
text1,4,11,.,.,PUNCT,
text3,1,1,Tatsächlich,Tatsächlich,NOUN,
text3,1,2,ist,ist,AUX,
text3,1,3,die,die,VERB,
text3,1,4,Anzahl,Anzahl,PROPN,PERSON_B
text3,1,5,der,der,NOUN,PERSON_I
text3,1,6,polizeilich,polizeilich,NOUN,
text3,1,7,erfassten,erfassten,ADJ,
text3,1,8,Fälle,Fälle,PROPN,ORG_B
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,Deliktfeld,Deliktfeld,PROPN,PERSON_B
text3,2,4,über,über,PROPN,
text3,2,5,mehrere,mehrere,NOUN,
text3,2,6,Jahre,Jahre,PROPN,GPE_B
text3,2,7,hinweg,hinweg,PROPN,
text3,2,8,nun,nun,PROPN,
text3,2,9,ein,ein,PROPN,
text3,2,10,weiteres,weitere,VERB,
text3,2,11,Mal,Mal,PROPN,PERSON_B
text3,2,12,angestiegen,angestiegen,NOUN,
text3,2,13,.,.,PUNCT,
text3,3,1,So,so,ADV,
text3,3,2,stieg,stieg,PROPN,
text3,3,3,der,der,NOUN,
text3,3,4,sexuelle,sexuelle,NOUN,
text3,3,5,Missbrauch,Missbrauch,PROPN,PERSON_B
text3,3,6,von,von,PROPN,PERSON_I
text3,3,7,Kindern,Kindern,PROPN,PERSON_I
text3,3,8,und,und,VERB,
text3,3,9,Jugendlichen,Jugendlichen,PROPN,
text3,4,1,i,I,PRON,
text3,4,2,m,m,AUX,
text3,4,3,letzten,letzten,VERB,PERSON_B
text3,4,4,Jahr,Jahr,PROPN,PERSON_I
text3,4,5,um,um,INTJ,
text3,4,6,etwa,etwa,NOUN,
text3,4,7,fünf,fünf,ADJ,
text3,4,8,Prozent,Prozent,PROPN,ORG_B
text3,4,9,.,.,PUNCT,
text3,5,1,Die,die,VERB,ORG_B
text3,5,2,Zahl,Zahl,PROPN,ORG_I
text3,5,3,der,der,NOUN,
text3,5,4,Fälle,Fälle,PROPN,PERSON_B
text3,5,5,von,von,PROPN,PERSON_I
text3,5,6,Besitz,Besitz,PROPN,PERSON_I
text3,5,7,oder,oder,NOUN,
text3,5,8,Verbreitung,Verbreitung,PROPN,PERSON_B
text3,5,9,von,von,PROPN,PERSON_I
text3,5,10,kinderpornografischen,kinderpornografischen,NOUN,PERSON_I
text3,6,1,Inhalten,Inhalten,PROPN,
text3,6,2,stieg,stieg,NOUN,
text3,6,3,um,um,INTJ,
text3,6,4,etwa,etwa,NOUN,
text3,6,5,sieben,sieben,NOUN,
text3,6,6,Prozent,Prozent,PROPN,ORG_B
text3,6,7,",",",",PUNCT,
text3,6,8,bei,bei,NOUN,
text3,6,9,jugendpornografischen,jugendpornografischen,ADJ,
text3,6,10,Inhalten,Inhalten,PROPN,
text3,6,11,gar,gar,NOUN,
text3,6,12,um,um,INTJ,
text3,6,13,mehr,mehr,NOUN,
text3,6,14,als,al,NOUN,
text3,6,15,30,30,NUM,CARDINAL_B
