doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,„,„,PUNCT,
text1,1,2,Nacktbilder,Nacktbilder,PROPN,
text1,1,3,i,i,NOUN,
text1,1,4,m,m,VERB,
text1,1,5,Internet,internet,NOUN,
text1,1,6,zu,zu,ADJ,
text1,1,7,haben,haben,NOUN,
text1,1,8,ist,ist,ADJ,
text1,1,9,beängstigend,beängstigend,NOUN,
text1,1,10,“,"""",PUNCT,
text1,1,11,",",",",PUNCT,
text1,1,12,heißt,heißt,VERB,
text1,1,13,es,es,PROPN,
text1,1,14,auf,auf,PROPN,
text1,1,15,der,der,PROPN,PERSON_B
text1,1,16,Website,Website,PROPN,PERSON_I
text1,1,17,von,von,PROPN,PERSON_I
text1,1,18,„,„,PUNCT,PERSON_I
text1,1,19,Take,take,VERB,WORK_OF_ART_B
text1,1,20,It,it,PRON,WORK_OF_ART_I
text1,1,21,Down,down,ADV,WORK_OF_ART_I
text1,1,22,“,"""",PUNCT,
text1,1,23,.,.,PUNCT,
text1,2,1,Der,Der,PROPN,PERSON_B
text1,2,2,neue,neue,NOUN,
text1,2,3,Dienst,Dienst,PROPN,PERSON_B
text1,2,4,richtet,richtet,NOUN,
text1,2,5,sich,sich,VERB,
text1,2,6,an,an,DET,
text1,2,7,Menschen,Menschen,PROPN,GPE_B
text1,2,8,",",",",PUNCT,
text1,2,9,von,von,PROPN,
text1,2,10,denen,denen,NOUN,
text1,2,11,sexualisierte,sexualisierte,NOUN,
text1,2,12,Aufnahmen,aufnahman,NOUN,GPE_B
text1,2,13,i,I,PRON,
text1,2,14,m,m,VERB,
text1,2,15,Netz,Netz,PROPN,PERSON_B
text1,2,16,kursieren,kursieren,NOUN,
text1,2,17,–,–,PUNCT,
text1,2,18,und,und,ADJ,
text1,2,19,zwar,zwar,ADJ,PERSON_B
text1,2,20,Aufnahmen,Aufnahmen,PROPN,PERSON_I
text1,2,21,",",",",PUNCT,
text1,2,22,auf,auf,PROPN,
text1,2,23,denen,denen,PROPN,
text1,2,24,sie,sie,PROPN,
text1,2,25,noch,noch,PROPN,
text1,2,26,nicht,nicht,PROPN,
text1,2,27,volljährig,volljährig,PROPN,
text1,2,28,sind,sind,NOUN,
text1,2,29,.,.,PUNCT,
text1,3,1,Dahinter,Dahinter,PROPN,
text1,3,2,steht,steht,NOUN,
text1,3,3,eine,eine,NOUN,
text1,3,4,US,US,PROPN,GPE_B
text1,3,5,-,-,PUNCT,
text1,3,6,amerikanische,amerikanische,NOUN,
text1,3,7,NGO,NGO,PROPN,
text1,3,8,namens,namen,VERB,
text1,3,9,National,National,PROPN,ORG_B
text1,3,10,Center,Center,PROPN,ORG_I
text1,3,11,for,for,ADP,ORG_I
text1,3,12,Missing,Missing,PROPN,ORG_I
text1,3,13,and,and,CCONJ,
text1,3,14,Exploited,exploited,ADJ,
text1,3,15,Children,Children,PROPN,
text1,3,16,(,(,PUNCT,
text1,3,17,NCMEC,NCMEC,PROPN,ORG_B
text1,3,18,),),PUNCT,
text1,3,19,.,.,PUNCT,
text1,4,1,Die,die,VERB,ORG_B
text1,4,2,Organisation,Organisation,PROPN,ORG_I
text1,4,3,engagiert,engagiert,NOUN,
text1,4,4,sich,sich,PROPN,
text1,4,5,weltweit,weltweit,PROPN,ORG_B
text1,4,6,gegen,gegen,PROPN,ORG_I
text1,4,7,die,die,PROPN,ORG_I
text1,4,8,illegale,illegale,NOUN,
text1,4,9,Verbreitung,Verbreitung,PROPN,PERSON_B
text1,4,10,von,von,PROPN,PERSON_I
text1,4,11,intimen,intiman,NOUN,
text1,4,12,Aufnahmen,Aufnahmen,PROPN,PERSON_B
text1,4,13,Minderjähriger,Minderjähriger,PROPN,PERSON_I
text1,4,14,.,.,PUNCT,
text3,1,1,„,„,PUNCT,
text3,1,2,Wir,wir,ADJ,
text3,1,3,haben,haben,NOUN,
text3,1,4,dieses,diesis,NOUN,
text3,1,5,System,System,PROPN,
text3,1,6,entwickelt,entwickelt,VERB,
text3,1,7,",",",",PUNCT,
text3,1,8,weil,weil,VERB,
text3,1,9,viele,viele,PROPN,
text3,1,10,Kinder,Kinder,PROPN,NORP_B
text3,1,11,in,in,ADP,
text3,1,12,dieser,dieser,PROPN,
text3,1,13,verzweifelten,verzweifelten,ADJ,
text3,1,14,Situation,Situation,PROPN,
text3,1,15,sind,sind,NOUN,
text3,1,16,“,"""",PUNCT,
text3,1,17,",",",",PUNCT,
text3,1,18,sagte,sagte,PROPN,
text3,1,19,Michelle,Michelle,PROPN,PERSON_B
text3,1,20,DeLaune,DeLaune,PROPN,PERSON_I
text3,1,21,",",",",PUNCT,
text3,1,22,Präsidentin,Präsidentin,PROPN,PERSON_B
text3,1,23,und,und,PROPN,
text3,1,24,CEO,CEO,PROPN,
text3,1,25,von,von,PROPN,PERSON_B
text3,1,26,NCMEC,NCMEC,PROPN,PERSON_I
text3,1,27,",",",",PUNCT,
text3,1,28,in,in,ADP,
text3,1,29,einer,einer,NOUN,
text3,1,30,Mitteilung,Mitteilung,PROPN,PERSON_B
text3,1,31,am,be,AUX,
text3,1,32,Montag,Montag,PROPN,
text3,1,33,.,.,PUNCT,
text3,2,1,„,„,NOUN,
text3,2,2,Wir,Wir,PROPN,
text3,2,3,hoffen,hoffen,PROPN,
text3,2,4,",",",",PUNCT,
text3,2,5,dass,dass,NOUN,
text3,2,6,die,die,VERB,
text3,2,7,Kinder,Kinder,PROPN,PERSON_B
text3,2,8,von,von,PROPN,PERSON_I
text3,2,9,diesem,diesem,PROPN,PERSON_I
text3,2,10,Service,Service,PROPN,PERSON_I
text3,2,11,erfahren,erfahren,PROPN,
text3,2,12,und,und,PROPN,
text3,2,13,ein,ein,PROPN,PERSON_B
text3,2,14,Gefühl,Gefühl,PROPN,PERSON_I
text3,2,15,der,der,NOUN,PERSON_I
text3,2,16,Erleichterung,Erleichterung,PROPN,PERSON_I
text3,2,17,verspüren,verspüren,NOUN,
text3,2,18,",",",",PUNCT,
text3,2,19,weil,weil,VERB,
text3,2,20,es,es,X,
text3,2,21,Mittel,Mittel,PROPN,ORG_B
text3,2,22,gibt,gibt,PROPN,
text3,2,23,",",",",PUNCT,
text3,2,24,die,die,PROPN,
text3,2,25,ihnen,ihnen,PROPN,
text3,2,26,helfen,helfen,NOUN,
text3,2,27,",",",",PUNCT,
text3,2,28,die,die,VERB,
text3,2,29,Bilder,Bilder,PROPN,PERSON_B
text3,2,30,offline,offline,ADJ,
text3,2,31,zu,zu,ADJ,
text3,2,32,nehmen,nehman,NOUN,
text3,2,33,.,.,PUNCT,
