doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Hallo,Hallo,PROPN,
text1,1,2,liebe,liebe,NOUN,
text1,1,3,Leser,Leser,PROPN,PERSON_B
text1,1,4,:,:,PUNCT,
text1,1,5,innen,innen,NOUN,
text1,1,6,",",",",PUNCT,
text3,1,1,wenn,wenn,PROPN,PERSON_B
text3,1,2,ihr,ihr,PROPN,PERSON_I
text3,1,3,diese,diese,PROPN,NORP_B
text3,1,4,Zeilen,Zeilen,PROPN,PERSON_B
text3,1,5,lest,lest,NOUN,
text3,1,6,",",",",PUNCT,
text3,1,7,sind,sind,VERB,
text3,1,8,es,es,PROPN,
text3,1,9,nur,nur,NOUN,
text3,1,10,noch,noch,PROPN,
text3,1,11,ein,ein,PROPN,
text3,1,12,paar,paar,PROPN,
text3,1,13,Arbeitstage,Arbeitstage,PROPN,GPE_B
text3,1,14,bis,bis,CCONJ,
text3,1,15,zum,zum,NOUN,PERSON_B
text3,1,16,Beginn,Beginn,PROPN,PERSON_I
text3,1,17,meiner,meiner,NOUN,
text3,1,18,Elternzeit,Elternzeit,PROPN,GPE_B
text3,1,19,.,.,PUNCT,
text3,2,1,In,in,ADP,
text3,2,2,den,den,NOUN,
text3,2,3,vergangenen,vergangenen,NOUN,
text3,2,4,vier,vier,NOUN,
text3,2,5,Jahren,Jahren,PROPN,PERSON_B
text3,2,6,habe,habe,PROPN,
text3,2,7,ich,ich,NOUN,
text3,2,8,für,für,PROPN,
text3,2,9,netzpolitik.org,netzpolitik.org,X,ORG_B
text3,2,10,aus,aus,PROPN,ORG_I
text3,2,11,und,und,PROPN,
text3,2,12,über,über,PROPN,
text3,2,13,Brüssel,Brüssel,PROPN,GPE_B
text3,2,14,berichtet,berichtet,PROPN,
text3,2,15,",",",",PUNCT,
text3,2,16,als,als,PROPN,
text3,2,17,dort,dort,PROPN,
text3,2,18,ein,ein,PROPN,
text3,2,19,großes,großes,NOUN,
text3,2,20,Digitalgesetz,Digitalgesetz,PROPN,
text3,2,21,nach,nach,VERB,
text3,2,22,dem,dem,PROPN,NORP_B
text3,2,23,anderen,anderen,PROPN,
text3,2,24,auf,auf,PROPN,
text3,2,25,den,den,NOUN,
text3,2,26,Weg,Weg,PROPN,
text3,2,27,gebracht,gebracht,PROPN,
text3,2,28,wurde,wurde,PROPN,
text3,2,29,:,:,PUNCT,
text3,2,30,die,die,VERB,
text3,2,31,umstrittene,umstrittene,NOUN,
text3,2,32,Reform,Reform,PROPN,ORG_B
text3,2,33,des,des,X,ORG_I
text3,2,34,Urheberrechts,Urheberrechts,PROPN,ORG_I
text3,2,35,",",",",PUNCT,
text3,2,36,das,das,PROPN,
text3,2,37,Digitale,Digitale,PROPN,PERSON_B
text3,2,38,-,-,PUNCT,PERSON_I
text3,2,39,Dienste,Dienste,PROPN,PERSON_I
text3,2,40,-,-,PUNCT,PERSON_I
text3,2,41,Gesetz,Gesetz,PROPN,PERSON_I
text3,2,42,",",",",PUNCT,
text3,2,43,die,die,VERB,
text3,2,44,KI,KI,PROPN,ORG_B
text3,2,45,-,-,PUNCT,ORG_I
text3,2,46,Verordnung,Verordnung,PROPN,ORG_I
text3,2,47,",",",",PUNCT,
text3,2,48,einheitliche,einheitliche,NOUN,
text3,2,49,Handy,handy,ADJ,ORG_B
text3,2,50,-,-,PUNCT,ORG_I
text3,2,51,Ladegeräte,Ladegeräte,PROPN,ORG_I
text3,2,52,und,und,NOUN,
text3,2,53,so,so,ADV,
text3,2,54,weiter,weiter,NOUN,
text3,2,55,.,.,PUNCT,
text3,3,1,Ab,Ab,PROPN,
text3,3,2,Oktober,Oktober,PROPN,
text3,3,3,ist,ist,NOUN,
text3,3,4,damit,damit,PROPN,
text3,3,5,für,für,PROPN,
text3,3,6,die,die,VERB,
text3,3,7,nächsten,nächsten,VERB,
text3,3,8,sechs,sechs,NOUN,
text3,3,9,Monate,Monate,PROPN,PERSON_B
text3,3,10,Schluss,Schluss,PROPN,PERSON_I
text3,3,11,",",",",PUNCT,
text3,3,12,meine,meine,NOUN,
text3,3,13,kleine,kleine,NOUN,
text3,3,14,Tochter,Tochter,PROPN,PERSON_B
text3,3,15,will,will,AUX,
text3,3,16,dann,dann,VERB,
text3,3,17,tagsüber,tagsüber,PROPN,
text3,3,18,von,von,PROPN,
text3,3,19,mir,mir,PROPN,
text3,3,20,bespaßt,bespaßt,PROPN,
text3,3,21,und,und,VERB,
text3,3,22,umsorgt,umsorgt,ADV,
text3,3,23,werden,werden,PROPN,
text3,3,24,.,.,PUNCT,
text5,1,1,Eine,eine,NOUN,
text5,1,2,ausführliche,ausführliche,NOUN,
text5,1,3,Bilanz,Bilanz,PROPN,ORG_B
text5,1,4,meiner,meiner,NOUN,
text5,1,5,Zeit,Zeit,PROPN,GPE_B
text5,1,6,in,in,ADP,
text5,1,7,Brüssel,Brüssel,PROPN,GPE_B
text5,1,8,erspare,erspare,PROPN,
text5,1,9,ich,ich,PROPN,
text5,1,10,euch,euch,NOUN,
text5,1,11,",",",",PUNCT,
text5,1,12,nur,nur,VERB,
text5,1,13,so,so,ADV,
text5,1,14,viel,viel,NOUN,
text5,1,15,:,:,PUNCT,
text5,1,16,Es,es,INTJ,
text5,1,17,hat,hat,NOUN,
text5,1,18,Spaß,Spaß,PROPN,
text5,1,19,gemacht,gemacht,NOUN,
text5,1,20,.,.,PUNCT,
text5,2,1,Mein,Mein,PROPN,PERSON_B
text5,2,2,Französisch,Französisch,PROPN,PERSON_I
text5,2,3,ist,ist,ADJ,
text5,2,4,immer,immer,NOUN,
text5,2,5,noch,noch,PROPN,
text5,2,6,grottig,grottig,PROPN,
text5,2,7,",",",",PUNCT,
text5,2,8,die,die,VERB,
text5,2,9,Sprache,Sprache,PROPN,ORG_B
text5,2,10,der,der,PROPN,
text5,2,11,Eurokratie,Eurokratie,PROPN,
text5,2,12,habe,habe,PROPN,
text5,2,13,ich,ich,PROPN,
text5,2,14,dafür,dafür,PROPN,
text5,2,15,gründlich,gründlich,PROPN,
text5,2,16,gepaukt,gepaukt,NOUN,
text5,2,17,.,.,PUNCT,
text5,3,1,Was,be,AUX,
text5,3,2,eine,eine,NOUN,
text5,3,3,Richtlinie,Richtlinie,PROPN,PERSON_B
text5,3,4,von,von,PROPN,PERSON_I
text5,3,5,einer,einer,NOUN,
text5,3,6,Verordnung,Verordnung,PROPN,PERSON_B
text5,3,7,unterscheidet,unterscheidet,NOUN,
text5,3,8,",",",",PUNCT,
text5,3,9,was,be,AUX,
text5,3,10,es,es,PROPN,
text5,3,11,mit,mit,NOUN,
text5,3,12,mysteriösen,mysteriösen,INTJ,
text5,3,13,Arbeitsgruppen,Arbeitsgruppen,PROPN,
text5,3,14,wie,wie,NOUN,
text5,3,15,„,„,PUNCT,
text5,3,16,Antici,Antici,PROPN,
text5,3,17,“,"""",PUNCT,
text5,3,18,und,und,ADJ,
text5,3,19,„,„,NOUN,
text5,3,20,Nikolaides,Nikolaides,PROPN,
text5,3,21,“,"""",PUNCT,
text5,3,22,auf,auf,PROPN,
text5,3,23,sich,sich,PROPN,
text5,3,24,hat,hat,PROPN,
text5,3,25,",",",",PUNCT,
text5,3,26,was,be,AUX,
text5,3,27,die,die,VERB,
text5,3,28,EU,EU,PROPN,ORG_B
text5,3,29,-,-,PUNCT,ORG_I
text5,3,30,Kommission,Kommission,PROPN,ORG_I
text5,3,31,genau,genau,NOUN,
text5,3,32,mit,mit,VERB,
text5,4,1,„,„,PUNCT,
text5,4,2,Fit,Fit,PROPN,
text5,4,3,for,for,ADP,
text5,4,4,55,55,NUM,DATE_B
text5,4,5,“,"""",PUNCT,
text5,4,6,meint,meint,NOUN,
text5,4,7,–,–,PUNCT,
text5,4,8,ich,ich,NOUN,
text5,4,9,kann,kann,NOUN,
text5,4,10,es,es,X,
text5,4,11,euch,euch,ADJ,
text5,4,12,i,I,PRON,
text5,4,13,m,m,VERB,
text5,4,14,Kopfstand,Kopfstand,PROPN,GPE_B
text5,4,15,beantworten,beantworten,ADJ,
text5,4,16,.,.,PUNCT,
text7,1,1,Zugleich,zugleich,NOUN,
text7,1,2,gibt,gibt,NOUN,
text7,1,3,es,es,PROPN,
text7,1,4,Vieles,Vieles,PROPN,GPE_B
text7,1,5,",",",",PUNCT,
text7,1,6,das,das,PROPN,ORG_B
text7,1,7,ich,ich,NOUN,ORG_I
text7,1,8,gerne,gerne,PROPN,
text7,1,9,noch,noch,PROPN,
text7,1,10,wissen,wissen,PROPN,
text7,1,11,würde,würde,PROPN,
text7,1,12,.,.,PUNCT,
text7,2,1,Etwa,Etwa,NOUN,
text7,2,2,",",",",PUNCT,
text7,2,3,was,be,AUX,
text7,2,4,Ursula,Ursula,PROPN,PERSON_B
text7,2,5,von,von,PROPN,PERSON_I
text7,2,6,der,der,NOUN,PERSON_I
text7,2,7,Leyen,Leyen,PROPN,GPE_B
text7,2,8,in,in,ADP,
text7,2,9,ihren,ihren,NOUN,
text7,2,10,Chats,Chats,PROPN,NORP_B
text7,2,11,mit,mit,VERB,
text7,2,12,dem,dem,ADJ,PERSON_B
text7,2,13,Chef,Chef,PROPN,PERSON_I
text7,2,14,von,von,PROPN,PERSON_I
text7,2,15,Pfizer,Pfizer,PROPN,PERSON_I
text7,2,16,schrieb,schrieb,NOUN,
text7,2,17,.,.,PUNCT,
text7,3,1,Wer,Wer,PROPN,
text7,3,2,EU,EU,PROPN,
text7,3,3,-,-,PUNCT,
text7,3,4,Justizkommissar,Justizkommissar,PROPN,
text7,3,5,Didier,Didier,PROPN,
text7,3,6,Reynders,Reynders,PROPN,
text7,3,7,gehackt,gehackt,VERB,
text7,3,8,hat,hat,NOUN,
text7,3,9,.,.,PUNCT,
text7,4,1,Oder,oder,NOUN,
text7,4,2,ob,ob,PROPN,
text7,4,3,es,es,PROPN,
text7,4,4,EU,EU,PROPN,ORG_B
text7,4,5,-,-,PUNCT,
text7,4,6,Innenkommissarin,Innenkommissarin,PROPN,PERSON_B
text7,4,7,Ylva,Ylva,PROPN,PERSON_I
text7,4,8,Johansson,Johansson,PROPN,PERSON_I
text7,4,9,schafft,schafft,NOUN,
text7,4,10,",",",",PUNCT,
text7,4,11,ihren,ihren,PROPN,
text7,4,12,europaweit,europaweit,PROPN,
text7,4,13,kritisierten,kritisierten,PROPN,
text7,4,14,Vorschlag,Vorschlag,PROPN,ORG_B
text7,4,15,für,für,NOUN,
text7,4,16,die,die,VERB,
text7,4,17,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text7,4,18,durchzudrücken,durchzudrücken,VERB,PERSON_I
text7,4,19,",",",",PUNCT,
text7,4,20,obwohl,obwohl,PROPN,
text7,4,21,sogar,sogar,PROPN,
text7,4,22,die,die,VERB,
text7,4,23,EU,EU,PROPN,ORG_B
text7,4,24,-,-,PUNCT,
text7,4,25,Staaten,Staaten,PROPN,
text7,4,26,intern,intern,NOUN,
text7,4,27,uneinig,uneinig,NOUN,
text7,4,28,sind,sind,NOUN,
text7,4,29,.,.,PUNCT,
text7,5,1,Die,die,VERB,
text7,5,2,letzteren,letzteren,NOUN,
text7,5,3,beiden,beiden,NOUN,
text7,5,4,Themen,Themen,PROPN,GPE_B
text7,5,5,haben,haben,NOUN,
text7,5,6,uns,un,VERB,
text7,5,7,auch,auch,ADJ,
text7,5,8,diese,diese,ADJ,ORG_B
text7,5,9,Woche,Woche,PROPN,ORG_I
text7,5,10,wieder,wieder,NOUN,
text7,5,11,beschäftigt,beschäftigt,PROPN,
text7,5,12,.,.,PUNCT,
text9,1,1,Spannend,spannend,NOUN,
text9,1,2,sind,sind,NOUN,
text9,1,3,aber,aber,PROPN,
text9,1,4,auch,auch,PROPN,
text9,1,5,ein,ein,PROPN,
text9,1,6,paar,paar,NOUN,
text9,1,7,gute,gute,VERB,
text9,1,8,Ideen,Ideen,PROPN,ORG_B
text9,1,9,aus,aus,ADP,ORG_I
text9,1,10,Brüssel,Brüssel,PROPN,ORG_I
text9,1,11,",",",",PUNCT,
text9,1,12,die,die,VERB,
text9,1,13,derzeit,derzeit,ADJ,
text9,1,14,noch,noch,PROPN,
text9,1,15,in,in,ADP,
text9,1,16,Gesetzesform,Gesetzesform,PROPN,ORG_B
text9,1,17,gegossen,gegossen,ADJ,
