doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,PERSON_B
text1,1,2,Dachverband,Dachverband,PROPN,PERSON_I
text1,1,3,digitaler,digitaler,NOUN,
text1,1,4,europäischer,europäischer,NOUN,
text1,1,5,Bürgerrechtsorganisationen,Bürgerrechtsorganisationen,PROPN,PERSON_B
text1,1,6,EDRi,EDRi,PROPN,
text1,1,7,und,und,VERB,
text1,1,8,das,das,PROPN,
text1,1,9,Bündnis,Bündnis,PROPN,
text1,1,10,„,„,PUNCT,
text1,1,11,Stop,stop,VERB,
text1,1,12,Scanning,scan,VERB,
text1,1,13,Me,I,PRON,
text1,1,14,“,"""",PUNCT,
text1,1,15,haben,haben,ADJ,
text1,1,16,eine,eine,NOUN,
text1,1,17,Petition,Petition,PROPN,
text1,1,18,gegen,gegen,NOUN,
text1,1,19,die,die,VERB,
text1,1,20,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text1,1,21,-,-,PUNCT,PERSON_I
text1,1,22,Verordnung,Verordnung,PROPN,PERSON_I
text1,1,23,gestartet,gestartet,NOUN,
text1,1,24,",",",",PUNCT,
text1,1,25,die,die,PROPN,
text1,1,26,ab,ab,PROPN,
text1,1,27,jetzt,jetzt,PROPN,PERSON_B
text1,1,28,unterzeichnet,unterzeichnet,PROPN,PERSON_I
text1,1,29,werden,werden,PROPN,
text1,1,30,kann,kann,PROPN,
text1,1,31,.,.,PUNCT,
text1,2,1,Die,die,AUX,ORG_B
text1,2,2,Petition,Petition,PROPN,ORG_I
text1,2,3,fordert,fordert,NOUN,
text1,2,4,Europaabgeordnete,Europaabgeordnete,PROPN,
text1,2,5,auf,auf,PROPN,
text1,2,6,",",",",PUNCT,
text1,2,7,den,den,VERB,
text1,2,8,Verordnungsentwurf,Verordnungsentwurf,PROPN,ORG_B
text1,2,9,der,der,NOUN,
text1,2,10,EU,EU,PROPN,ORG_B
text1,2,11,-,-,PUNCT,ORG_I
text1,2,12,Kommission,Kommission,PROPN,ORG_I
text1,2,13,abzulehnen,abzulehnen,NOUN,
text1,2,14,und,und,PROPN,
text1,2,15,stattdessen,stattdessen,ADJ,
text1,2,16,eine,eine,NOUN,
text1,2,17,Alternative,Alternative,PROPN,
text1,2,18,zu,zu,NOUN,
text1,2,19,verfolgen,verfolgen,NOUN,
text1,2,20,",",",",PUNCT,
text1,2,21,die,die,VERB,
text1,2,22,mit,mit,NOUN,
text1,2,23,Grundrechten,Grundrechten,PROPN,
text1,2,24,vereinbar,vereinbar,NOUN,
text1,2,25,ist,ist,NOUN,
text1,2,26,.,.,PUNCT,
text3,1,1,Unterzeichnende,unterzeichnende,ADJ,
text3,1,2,schließen,schließen,NOUN,
text3,1,3,sich,sich,PRON,
text3,1,4,mit,mit,VERB,
text3,1,5,ihrer,ihrer,NOUN,
text3,1,6,Unterschrift,Unterschrift,PROPN,ORG_B
text3,1,7,den,den,NOUN,
text3,1,8,mittlerweile,mittlerweile,NOUN,
text3,1,9,124,124,NUM,CARDINAL_B
text3,1,10,zivilgesellschaftlichen,zivilgesellschaftlichen,PROPN,
text3,1,11,Organisationen,Organisationen,PROPN,PERSON_B
text3,1,12,an,an,PRON,
text3,1,13,",",",",PUNCT,
text3,1,14,die,die,VERB,
text3,1,15,sich,sich,PRON,
text3,1,16,i,I,PRON,
text3,1,17,m,m,VERB,
text3,1,18,Bündnis,Bündnis,PROPN,PERSON_B
text3,1,19,„,„,PUNCT,PERSON_I
text3,1,20,Stop,stop,VERB,PERSON_I
text3,1,21,Scanning,scan,VERB,
text3,1,22,me,I,PRON,
text3,1,23,“,"""",PUNCT,
text3,1,24,zusammengeschlossen,zusammengeschlossen,ADJ,
text3,1,25,haben,haben,NOUN,
text3,1,26,–,–,PUNCT,
text3,1,27,und,und,VERB,
text3,1,28,europaweit,europaweit,ADJ,
text3,1,29,gegen,gegen,NOUN,
text3,1,30,das,das,PROPN,PERSON_B
text3,1,31,Vorhaben,Vorhaben,PROPN,PERSON_I
text3,1,32,protestieren,protestieren,NOUN,
text3,1,33,.,.,PUNCT,
text5,1,1,Begründet,Begründet,PROPN,PERSON_B
text5,1,2,wird,wird,NOUN,
text5,1,3,die,die,VERB,
text5,1,4,Petitionen,Petitionen,PROPN,ORG_B
text5,1,5,unter,unter,NOUN,
text5,1,6,anderem,anderem,NOUN,
text5,1,7,auch,auch,NOUN,
text5,1,8,mit,mit,NOUN,
text5,2,1,Erklärungen,Erklärungen,PROPN,ORG_B
text5,2,2,der,der,NOUN,
text5,2,3,Vereinten,Vereinten,PROPN,PERSON_B
text5,2,4,Nationen,Nationen,PROPN,PERSON_I
text5,2,5,und,und,PROPN,
text5,2,6,UNICEF,UNICEF,PROPN,ORG_B
text5,2,7,",",",",PUNCT,
text5,2,8,dass,dass,NOUN,
text5,2,9,die,die,VERB,
text5,2,10,Online,Online,PROPN,
text5,2,11,-,-,PUNCT,
text5,2,12,Privatsphäre,Privatsphäre,PROPN,
text5,2,13,für,für,NOUN,
text5,2,14,die,die,VERB,
text5,2,15,Entwicklung,Entwicklung,PROPN,PERSON_B
text5,2,16,und,und,PROPN,
text5,2,17,den,den,NOUN,
text5,2,18,Selbstausdruck,Selbstausdruck,PROPN,ORG_B
text5,2,19,junger,junger,NOUN,
text5,2,20,Menschen,Menschen,PROPN,PERSON_B
text5,2,21,von,von,PROPN,PERSON_I
text5,2,22,entscheidender,entscheidender,NOUN,
text5,2,23,Bedeutung,Bedeutung,PROPN,PERSON_B
text5,2,24,ist,ist,VERB,
text5,2,25,und,und,VERB,
text5,2,26,dass,dass,NOUN,
text5,2,27,Kinder,Kinder,PROPN,NORP_B
text5,2,28,nicht,nicht,PROPN,
text5,2,29,einer,einer,NOUN,
text5,2,30,allgemeinen,allgemeinen,PROPN,
text5,2,31,Überwachung,Überwachung,PROPN,PRODUCT_B
text5,2,32,ausgesetzt,ausgesetzt,PROPN,
text5,2,33,werden,werden,PROPN,
text5,2,34,sollten,sollten,PROPN,
text5,2,35,.,.,PUNCT,
text7,1,1,Weiter,Weiter,PROPN,PERSON_B
text7,1,2,heißt,heißt,NOUN,
text7,1,3,es,es,X,
text7,1,4,i,I,PRON,
text7,1,5,m,m,VERB,
text7,1,6,Petitionstext,petitionstext,ADJ,PERSON_B
text7,1,7,:,:,PUNCT,
text9,1,1,Wenn,wenn,ADJ,
text9,1,2,dieses,diesis,NOUN,
text9,1,3,Gesetz,Gesetz,VERB,PERSON_B
text9,1,4,verabschiedet,verabschiedet,NOUN,
text9,1,5,wird,wird,NOUN,
text9,1,6,",",",",PUNCT,
text9,1,7,verwandelt,verwandelt,VERB,
text9,1,8,es,es,PROPN,
text9,1,9,das,das,PROPN,
text9,1,10,Internet,Internet,PROPN,
text9,1,11,in,in,ADP,
text9,1,12,einen,einen,PROPN,
text9,1,13,Raum,Raum,PROPN,ORG_B
text9,1,14,",",",",PUNCT,
text9,1,15,der,der,PROPN,
text9,1,16,für,für,INTJ,
text9,1,17,die,die,VERB,
text9,1,18,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text9,1,19,",",",",PUNCT,
text9,1,20,die,die,VERB,
text9,1,21,Sicherheit,Sicherheit,PROPN,PERSON_B
text9,1,22,und,und,PROPN,
text9,1,23,die,die,NOUN,
text9,1,24,freie,freie,NOUN,
text9,1,25,Meinungsäußerung,Meinungsäußerung,PROPN,GPE_B
text9,1,26,aller,aller,NOUN,
text9,1,27,gefährlich,gefährlich,PROPN,
text9,1,28,ist,ist,PROPN,
text9,1,29,.,.,PUNCT,
text9,2,1,Das,Das,PROPN,
text9,2,2,gilt,gilt,PROPN,
text9,2,3,auch,auch,NOUN,
text9,2,4,für,für,ADV,
text9,2,5,die,die,VERB,
text9,2,6,Kinder,Kinder,PROPN,NORP_B
text9,2,7,",",",",PUNCT,
text9,2,8,die,die,AUX,
text9,2,9,mit,mit,VERB,
text9,2,10,dem,dem,ADJ,
text9,2,11,Gesetz,Gesetz,PROPN,PRODUCT_B
text9,2,12,geschützt,geschützt,PROPN,
text9,2,13,werden,werden,PROPN,
text9,2,14,sollen,sollen,PROPN,
text9,2,15,.,.,PUNCT,
text12,1,1,Sollte,Sollte,PROPN,
text12,1,2,die,die,VERB,
text12,1,3,Verordnung,Verordnung,PROPN,PERSON_B
text12,1,4,verabschiedet,verabschiedet,NOUN,PERSON_I
text12,1,5,werden,werden,PROPN,PERSON_I
text12,1,6,",",",",PUNCT,
text12,1,7,würde,würde,PROPN,PERSON_B
