doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Mehrere,Mehrere,PROPN,PERSON_B
text1,1,2,Kinderschutzverbände,Kinderschutzverbände,PROPN,PERSON_I
text1,1,3,haben,haben,NOUN,
text1,1,4,nach,nach,NOUN,
text1,1,5,einer,einer,NOUN,
text1,1,6,Sachverständigenanhörung,Sachverständigenanhörung,PROPN,GPE_B
text1,1,7,zum,zum,NOUN,
text1,1,8,Thema,Thema,PROPN,
text1,1,9,Chatkontrolle,Chatkontrolle,PROPN,
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Digitalausschuss,Digitalausschuss,PROPN,PERSON_B
text1,2,4,des,des,PROPN,
text1,2,5,Deutschen,Deutschen,PROPN,PERSON_B
text1,2,6,Bundestages,Bundestages,PROPN,PERSON_I
text1,2,7,eine,eine,NOUN,
text1,2,8,Stellungnahme,Stellungnahme,PROPN,
text1,2,9,veröffentlicht,veröffentlicht,NOUN,
text1,2,10,.,.,PUNCT,
text1,3,1,Unter,Unter,PROPN,
text1,3,2,ihnen,ihnen,NOUN,
text1,3,3,sind,sind,NOUN,
text1,3,4,die,die,VERB,
text1,3,5,schon,schon,NOUN,
text1,3,6,in,in,ADP,
text1,3,7,der,der,PROPN,
text1,3,8,Zensursula,Zensursula,PROPN,PERSON_B
text1,3,9,-,-,PUNCT,PERSON_I
text1,3,10,Debatte,Debatte,PROPN,PERSON_I
text1,3,11,für,für,NOUN,
text1,3,12,Websperren,Websperren,PROPN,ORG_B
text1,3,13,werbenden,werbenden,VERB,
text1,3,14,Organisationen,Organisationen,PROPN,PERSON_B
text1,4,1,„,„,PROPN,
text1,4,2,Innocence,Innocence,PROPN,
text1,4,3,in,in,ADP,
text1,4,4,Danger,Danger,PROPN,
text1,4,5,“,"""",PUNCT,
text1,4,6,und,und,ADJ,
text1,4,7,das,das,PROPN,
text1,4,8,„,„,PRON,
text1,4,9,Deutsche,Deutsche,PROPN,
text1,4,10,Kinderhilfswerk,Kinderhilfswerk,PROPN,
text1,4,11,“,"""",PUNCT,
text1,4,12,.,.,PUNCT,
text3,1,1,Nach,Nach,PROPN,PERSON_B
text3,1,2,Ansicht,Ansicht,PROPN,PERSON_I
text3,1,3,der,der,NOUN,
text3,1,4,Verbände,Verbände,PROPN,
text3,1,5,habe,habe,NOUN,
text3,1,6,„,„,PUNCT,
text3,1,7,es,es,PROPN,
text3,1,8,seitens,seitens,PROPN,
text3,1,9,der,der,PROPN,
text3,1,10,Fraktionen,Fraktionen,PROPN,ORG_B
text3,1,11,offenbar,offenbar,NOUN,
text3,1,12,kaum,kaum,VERB,
text3,1,13,Interesse,Interesse,PROPN,ORG_B
text3,1,14,an,an,DET,
text3,1,15,einer,einer,NOUN,
text3,1,16,ausgewogenen,ausgewogenen,NOUN,
text3,1,17,Betrachtung,Betrachtung,PROPN,ORG_B
text3,1,18,des,des,X,ORG_I
text3,1,19,Regulierungsvorhabens,Regulierungsvorhabens,PROPN,ORG_I
text3,1,20,“,"""",PUNCT,ORG_I
text3,1,21,gegeben,gegeben,NOUN,ORG_I
text3,1,22,.,.,PUNCT,
text3,2,1,Sogar,Sogar,PROPN,
text3,2,2,die,die,VERB,
text3,2,3,Fragen,Fragen,PROPN,ORG_B
text3,2,4,des,des,PROPN,ORG_I
text3,2,5,Ausschusses,Ausschusses,PROPN,ORG_I
text3,2,6,selbst,selbst,PROPN,
text3,2,7,erachten,erachten,ADV,
text3,2,8,die,die,VERB,
text3,2,9,Organisationen,Organisationen,PROPN,PERSON_B
text3,2,10,als,al,NOUN,
text3,2,11,„,„,PRON,
text3,2,12,suggestiv,suggestiv,PROPN,
text3,2,13,“,"""",PUNCT,
text3,2,14,und,und,VERB,
text3,2,15,„,„,ADJ,
text3,2,16,voreingenommen,voreingenomman,NOUN,
text3,2,17,“,"""",PUNCT,
text3,2,18,.,.,PUNCT,
text3,3,1,Bei,Bei,PROPN,
text3,3,2,der,der,NOUN,
text3,3,3,Anhörung,Anhörung,PROPN,PERSON_B
text3,3,4,war,war,NOUN,
text3,3,5,die,die,VERB,
text3,3,6,geplante,geplante,PRON,
text3,3,7,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,3,8,bei,bei,VERB,
text3,3,9,allen,allen,ADJ,
text3,3,10,eingeladenen,eingeladenen,NOUN,
text3,3,11,Sachverständigen,Sachverständigen,PROPN,NORP_B
text3,3,12,durchgerasselt,durchgerasselt,VERB,
text3,3,13,–,–,PUNCT,
text3,3,14,auch,auch,ADJ,
text3,3,15,bei,bei,PROPN,
text3,3,16,einem,einem,PROPN,
text3,3,17,Kinderrechtsvertreter,Kinderrechtsvertreter,PROPN,
text3,3,18,und,und,PROPN,
text3,3,19,einem,einem,PROPN,
text3,3,20,Online,Online,PROPN,ORG_B
text3,3,21,-,-,PUNCT,ORG_I
text3,3,22,Strafermittler,Strafermittler,PROPN,ORG_I
text3,3,23,.,.,PUNCT,
text5,1,1,Wer,wer,INTJ,
text5,1,2,so,so,SCONJ,
text5,1,3,hart,hart,PROPN,
text5,1,4,gegen,gegen,PROPN,
text5,1,5,den,den,PROPN,
text5,1,6,Bundestag,Bundestag,PROPN,ORG_B
text5,1,7,und,und,PROPN,
text5,1,8,dessen,dessen,VERB,
text5,1,9,Sachverständige,Sachverständige,PROPN,PERSON_B
text5,1,10,kantet,kantet,PROPN,
text5,1,11,",",",",PUNCT,
text5,1,12,sollte,sollte,ADJ,
text5,1,13,allerdings,allerding,NOUN,
text5,1,14,sicher,sicher,PROPN,
text5,1,15,sein,sein,PROPN,
text5,1,16,",",",",PUNCT,
text5,1,17,dass,dass,NOUN,
text5,1,18,die,die,VERB,
