doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Es,es,VERB,
text1,1,2,war,war,NOUN,
text1,1,3,ein,ein,NOUN,
text1,1,4,turbulentes,turbulente,VERB,
text1,1,5,Jahr,Jahr,PROPN,PERSON_B
text1,1,6,",",",",PUNCT,
text1,1,7,auch,auch,NOUN,
text1,1,8,in,in,ADP,
text1,1,9,der,der,PROPN,
text1,1,10,Netzpolitik,Netzpolitik,PROPN,GPE_B
text1,1,11,.,.,PUNCT,
text1,2,1,Wir,Wir,PROPN,
text1,2,2,können,können,NOUN,
text1,2,3,einige,einige,PROPN,
text1,2,4,Erfolge,Erfolge,PROPN,NORP_B
text1,2,5,feiern,feiern,ADJ,
text1,2,6,:,:,PUNCT,
text1,2,7,Die,Die,PROPN,
text1,2,8,Innenministerin,Innenministerin,PROPN,
text1,2,9,distanziert,distanziert,NOUN,
text1,2,10,sich,sich,PROPN,
text1,2,11,unerwartet,unerwartet,PROPN,PRODUCT_B
text1,2,12,von,von,PROPN,PRODUCT_I
text1,2,13,der,der,PROPN,PRODUCT_I
text1,2,14,Chatkontrolle,Chatkontrolle,PROPN,PRODUCT_I
text1,2,15,.,.,PUNCT,
text1,3,1,Der,Der,PROPN,PERSON_B
text1,3,2,Hersteller,Hersteller,PROPN,PERSON_I
text1,3,3,eines,eine,VERB,
text1,3,4,Staatstrojaners,Staatstrojaners,PROPN,PERSON_B
text1,3,5,",",",",PUNCT,
text1,3,6,über,über,PROPN,
text1,3,7,dessen,dessen,VERB,
text1,3,8,fragwürdige,fragwürdige,PROPN,
text1,3,9,Geschäfte,Geschäfte,PROPN,ORG_B
text1,3,10,wir,wir,NOUN,
text1,3,11,jahrelang,jahrelang,PROPN,PERSON_B
text1,3,12,berichtet,berichtet,PROPN,PERSON_I
text1,3,13,haben,haben,PROPN,PERSON_I
text1,3,14,",",",",PUNCT,
text1,3,15,ist,ist,ADJ,
text1,3,16,insolvent,insolvent,ADJ,
text1,3,17,.,.,PUNCT,
text1,4,1,Und,und,NOUN,
text1,4,2,nach,nach,NOUN,
text1,4,3,mehr,mehr,NOUN,
text1,4,4,als,al,NOUN,
text1,4,5,einem,einem,PROPN,
text1,4,6,Jahrzehnt,Jahrzehnt,PROPN,
text1,4,7,zivilgesellschaftlichen,zivilgesellschaftlichen,PROPN,
text1,4,8,Abwehrkampfes,Abwehrkampfes,PROPN,
text1,4,9,ist,ist,VERB,
text1,4,10,die,die,VERB,
text1,4,11,Vorratsdatenspeicherung,Vorratsdatenspeicherung,PROPN,
text1,4,12,mal,mal,ADJ,
text1,4,13,wieder,wieder,NOUN,
text1,4,14,gekippt,gekippt,VERB,
text1,4,15,worden,worden,NOUN,
text1,4,16,.,.,PUNCT,
text3,1,1,Dies,die,NOUN,
text3,1,2,sind,sind,NOUN,
text3,1,3,nur,nur,VERB,
text3,1,4,drei,drei,NOUN,
text3,1,5,der,der,NOUN,
text3,1,6,Themen,Themen,PROPN,PERSON_B
text3,1,7,",",",",PUNCT,
text3,1,8,die,die,VERB,
text3,1,9,unser,unser,NOUN,
text3,1,10,Jahr,Jahr,PROPN,PERSON_B
text3,1,11,geprägt,geprägt,ADJ,PERSON_I
text3,1,12,haben,haben,NOUN,PERSON_I
text3,1,13,–,–,PUNCT,
text3,1,14,und,und,ADJ,
text3,1,15,bei,bei,NOUN,
text3,1,16,denen,denen,NOUN,
text3,1,17,wir,wir,NOUN,
text3,1,18,die,die,VERB,
text3,1,19,öffentliche,öffentliche,NOUN,
text3,1,20,Debatte,Debatte,PROPN,ORG_B
text3,1,21,geprägt,geprägt,NOUN,PRODUCT_B
text3,1,22,haben,haben,NOUN,
text3,1,23,.,.,PUNCT,
text3,2,1,Daniel,Daniel,PROPN,PERSON_B
text3,2,2,Leisegang,Leisegang,PROPN,PERSON_I
text3,2,3,und,und,PROPN,
text3,2,4,Ingo,Ingo,PROPN,PERSON_B
text3,2,5,Dachwitz,Dachwitz,PROPN,PERSON_I
text3,2,6,blicken,blicken,PROPN,
text3,2,7,in,in,ADP,
text3,2,8,der,der,PROPN,
text3,2,9,neuen,neuen,NOUN,
text3,2,10,Folge,Folge,PROPN,PERSON_B
text3,2,11,„,„,PUNCT,PERSON_I
text3,2,12,Off,Off,PROPN,PERSON_I
text3,2,13,The,the,DET,PERSON_I
text3,2,14,Record,Record,PROPN,
text3,2,15,“,"""",PUNCT,
text3,2,16,zurück,zurück,ADJ,
text3,2,17,auf,auf,PROPN,
text3,2,18,2022,2022,NUM,DATE_B
text3,2,19,",",",",PUNCT,
text3,2,20,auf,auf,PROPN,ORG_B
text3,2,21,lang,lang,PROPN,ORG_I
text3,2,22,andauernde,andauernde,PROPN,ORG_I
text3,2,23,politische,politische,NOUN,
text3,2,24,Kämpfe,Kämpfe,PROPN,GPE_B
text3,2,25,",",",",PUNCT,
text3,2,26,gefährliche,gefährliche,PROPN,
text3,2,27,Gesetze,Gesetze,PROPN,PERSON_B
text3,2,28,und,und,VERB,
text3,2,29,geleakte,geleakte,NOUN,
text3,2,30,Dokumente,Dokumente,PROPN,PERSON_B
text3,2,31,.,.,PUNCT,
text3,3,1,Außerdem,Außerdem,PROPN,PERSON_B
text3,3,2,sprechen,sprechen,PROPN,
text3,3,3,sie,sie,PROPN,
text3,3,4,über,über,PROPN,
text3,3,5,das,das,PROPN,PRODUCT_B
text3,3,6,erste,erste,NOUN,
text3,3,7,Jahr,Jahr,PROPN,PERSON_B
text3,3,8,der,der,NOUN,
text3,3,9,Ampel,Ampel,PROPN,ORG_B
text3,3,10,-,-,PUNCT,ORG_I
text3,3,11,Koalition,Koalition,PROPN,ORG_I
text3,3,12,und,und,PROPN,
text3,3,13,den,den,VERB,
text3,3,14,Zoff,Zoff,PROPN,
text3,3,15,zwischen,zwischen,ADV,PERSON_B
text3,3,16,dem,dem,ADJ,PERSON_I
text3,3,17,Justiz-,Justiz-,PROPN,
text3,4,1,und,und,PROPN,
text3,4,2,Innenministerium,Innenministerium,PROPN,
text3,4,3,",",",",PUNCT,
text3,4,4,der,der,PROPN,
text3,4,5,2023,2023,NUM,DATE_B
text3,4,6,in,in,ADP,
text3,4,7,die,die,ADJ,
text3,4,8,nächste,nächste,NOUN,
text3,4,9,Runde,Runde,PROPN,ORG_B
text3,4,10,geht,geht,NOUN,
text3,4,11,.,.,PUNCT,
text5,1,1,Mit,mit,NOUN,
text5,1,2,in,in,ADP,
text5,1,3,dieser,dieser,NOUN,
text5,1,4,Folge,Folge,PROPN,PERSON_B
text5,1,5,:,:,PUNCT,
text5,1,6,Daniel,Daniel,PROPN,PERSON_B
text5,1,7,Leisegang,Leisegang,PROPN,PERSON_I
text5,1,8,und,und,PROPN,
text5,1,9,Ingo,Ingo,PROPN,PERSON_B
text5,1,10,Dachwitz,Dachwitz,PROPN,PERSON_I
text5,1,11,.,.,PUNCT,
text7,1,1,Produktion,produktion,NOUN,
text7,1,2,:,:,PUNCT,
text7,1,3,Serafin,Serafin,PROPN,
text7,1,4,Dinges,Dinges,PROPN,
text7,1,5,.,.,PUNCT,
text9,1,1,Hier,hi,ADJ,
text9,1,2,ist,ist,AUX,
text9,1,3,die,die,VERB,
text9,1,4,MP3,MP3,PROPN,
text9,1,5,zum,zum,NOUN,PERSON_B
text9,1,6,Download,Download,PROPN,PERSON_I
text9,1,7,.,.,PUNCT,
text9,2,1,Es,es,INTJ,
text9,2,2,gibt,gibt,NOUN,
text9,2,3,den,den,VERB,
text9,2,4,Podcast,Podcast,PROPN,
text9,2,5,wie,wie,NOUN,
text9,2,6,immer,immer,NOUN,
text9,2,7,auch,auch,NOUN,
text9,3,1,i,I,PRON,
text9,3,2,m,m,VERB,
text9,3,3,offenen,offenen,ADJ,
text9,3,4,ogg,ogg,ADJ,
text9,3,5,-,-,PUNCT,
text9,3,6,Format,Format,PROPN,GPE_B
text9,3,7,.,.,PUNCT,
text11,1,1,*,*,PUNCT,
text11,1,2,Unseren,Unseren,PROPN,
text11,1,3,Podcast,Podcast,PROPN,
text11,1,4,könnt,könnt,NOUN,
text11,1,5,ihr,ihr,PROPN,
text11,1,6,auf,auf,PROPN,
text11,1,7,vielen,vielen,NOUN,
text11,1,8,Wegen,Wegen,PROPN,ORG_B
text11,1,9,hören,hören,PROPN,
text11,1,10,.,.,PUNCT,
text11,2,1,Der,Der,PROPN,PERSON_B
text11,2,2,einfachste,einfachste,NOUN,
text11,2,3,:,:,PUNCT,
text11,3,1,In,in,ADP,
text11,3,2,dem,dem,ADJ,
text11,3,3,eingebundenen,eingebundenen,NOUN,
