doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,ORG_B
text1,1,2,Leser*innen,leser*innen,NOUN,
text1,1,3,",",",",PUNCT,
text3,1,1,das,das,PROPN,PERSON_B
text3,1,2,Armdrücken,Armdrücken,PROPN,PERSON_I
text3,1,3,um,um,INTJ,
text3,1,4,die,die,VERB,
text3,1,5,Chatkontrolle,Chatkontrolle,PROPN,NORP_B
text3,1,6,geht,geht,VERB,
text3,1,7,in,in,ADP,
text3,1,8,die,die,ADJ,
text3,1,9,nächste,nächste,NOUN,
text3,1,10,Runde,Runde,PROPN,ORG_B
text3,1,11,",",",",PUNCT,
text3,1,12,und,und,PROPN,
text3,1,13,zwar,zwar,PROPN,
text3,1,14,unter,unter,NOUN,
text3,1,15,dänischer,dänischer,PROPN,
text3,1,16,EU,EU,PROPN,ORG_B
text3,1,17,-,-,PUNCT,ORG_I
text3,1,18,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_I
text3,1,19,.,.,PUNCT,
text3,2,1,Es,Es,PROPN,
text3,2,2,geht,geht,NOUN,
text3,2,3,darum,darum,NOUN,
text3,2,4,",",",",PUNCT,
text3,2,5,wer,wer,NOUN,
text3,2,6,zuerst,zuerst,NOUN,
text3,2,7,erschöpft,erschöpft,PROPN,
text3,2,8,aufgibt,aufgibt,NOUN,
text3,2,9,.,.,PUNCT,
text3,3,1,Also,also,ADV,
text3,3,2,schreibt,schreibt,ADJ,
text3,3,3,mein,mein,NOUN,
text3,3,4,Kollege,Kollege,PROPN,ORG_B
text3,3,5,Markus,Markus,PROPN,ORG_I
text3,3,6,Reuter,Reuter,PROPN,ORG_I
text3,3,7,unerschöpflich,unerschöpflich,INTJ,
text3,3,8,über,über,PROPN,
text3,3,9,das,das,PROPN,
text3,3,10,Thema,Thema,PROPN,
text3,3,11,.,.,PUNCT,
text3,4,1,So,so,ADV,
text3,4,2,auch,auch,ADJ,
text3,4,3,jüngst,jüngst,PROPN,
text3,4,4,über,über,PROPN,
text3,4,5,den,den,NOUN,
text3,4,6,Deutschen,Deutschen,PROPN,PERSON_B
text3,4,7,Anwaltverein,Anwaltverein,PROPN,PERSON_I
text3,4,8,",",",",PUNCT,
text3,4,9,der,der,ADJ,
text3,4,10,einmal,einmal,ADJ,
text3,4,11,mehr,mehr,NOUN,
text3,4,12,an,an,DET,
text3,4,13,die,die,NOUN,
text3,4,14,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,4,15,appellierte,appellierte,NOUN,
text3,4,16,",",",",PUNCT,
text3,4,17,die,die,VERB,
text3,4,18,Verordnung,Verordnung,PROPN,PERSON_B
text3,4,19,abzulehnen,abzulehnen,NOUN,
text3,4,20,.,.,PUNCT,
text5,1,1,A,a,DET,
text5,1,2,propos,propos,ADJ,
text5,1,3,unerschöpflich,unerschöpflich,NOUN,
text5,1,4,",",",",PUNCT,
text5,1,5,wer,wer,PROPN,
text5,1,6,kennt,kennt,PROPN,PERSON_B
text5,1,7,noch,noch,PROPN,PERSON_I
text5,1,8,das,das,PROPN,
text5,1,9,Meme,Meme,PROPN,
text5,1,10,„,„,PROPN,
text5,1,11,Der,Der,PROPN,PERSON_B
text5,1,12,Gerät,Gerät,PROPN,PERSON_I
text5,1,13,wird,wird,PROPN,
text5,1,14,nie,nie,PROPN,
text5,1,15,müde,müde,PROPN,
text5,1,16,“,"""",PUNCT,
text5,1,17,?,?,PUNCT,
text5,2,1,US,US,PROPN,GPE_B
text5,2,2,-,-,PUNCT,
text5,2,3,Forschende,Forschende,PROPN,
text5,2,4,haben,haben,NOUN,
text5,2,5,mit,mit,VERB,
text5,2,6,KI,KI,PROPN,ORG_B
text5,2,7,-,-,PUNCT,ORG_I
text5,2,8,Unterstützung,unterstützung,ADJ,ORG_I
text5,2,9,eine,eine,NOUN,
text5,2,10,ganz,ganz,ADJ,
text5,2,11,neue,neue,NOUN,
text5,2,12,Art,Art,PROPN,FAC_B
text5,2,13,Gerät,Gerät,PROPN,FAC_I
text5,2,14,gebaut,gebaut,NOUN,
text5,2,15,.,.,PUNCT,
text5,3,1,Statt,Statt,PROPN,PERSON_B
text5,3,2,feine,feine,NOUN,
text5,3,3,Scheiben,Scheiben,PROPN,
text5,3,4,Dönerfleisch,Dönerfleisch,PROPN,
text5,3,5,zu,zu,PROPN,PERSON_B
text5,3,6,schneiden,schneiden,PROPN,PERSON_I
text5,3,7,",",",",PUNCT,
text5,3,8,kann,kann,PROPN,PERSON_B
text5,3,9,der,der,PROPN,PERSON_I
text5,3,10,OP,OP,PROPN,PERSON_I
text5,3,11,-,-,PUNCT,PERSON_I
text5,3,12,Roboter,Roboter,PROPN,PERSON_I
text5,3,13,Gallenblasen,Gallenblasen,PROPN,PERSON_I
text5,3,14,entfernen,entfernen,NOUN,
text5,3,15,–,–,PUNCT,
text5,3,16,siehe,siehe,ADJ,
text5,3,17,Ticker,Ticker,PROPN,ORG_B
text5,3,18,.,.,PUNCT,
text7,1,1,Bis,Bis,PROPN,
text7,1,2,die,die,VERB,
text7,1,3,Tage,tage,NOUN,
text9,1,1,*,*,PUNCT,
text9,1,2,Sebastian,Sebastian,PROPN,
text9,1,3,*,*,PUNCT,
text11,1,1,#,#,SYM,
text11,1,2,#,#,NOUN,
text11,1,3,Schreibe,Schreibe,PROPN,PERSON_B
text11,1,4,eine,eine,NOUN,
text11,1,5,Ergänzung,Ergänzung,PROPN,
text11,1,6,!,!,PUNCT,
