doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,seit,seit,NOUN,
text3,1,2,mehr,mehr,NOUN,
text3,1,3,als,al,NOUN,
text3,1,4,vier,vier,VERB,
text3,1,5,Jahren,Jahren,PROPN,PERSON_B
text3,1,6,haben,haben,NOUN,
text3,1,7,wir,wir,NOUN,
text3,1,8,mit,mit,VERB,
text3,1,9,mehr,mehr,NOUN,
text3,1,10,als,al,NOUN,
text3,1,11,280,280,NUM,CARDINAL_B
text3,1,12,Artikeln,Artikeln,PROPN,
text3,1,13,über,über,NOUN,
text3,1,14,die,die,NOUN,
text3,1,15,gefährliche,gefährliche,NOUN,
text3,1,16,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,17,berichtet,berichtet,PROPN,
text3,1,18,.,.,PUNCT,
text3,2,1,Jetzt,Jetzt,PROPN,
text3,2,2,deutet,deutet,NOUN,
text3,2,3,sich,sich,PROPN,
text3,2,4,an,an,DET,
text3,2,5,",",",",PUNCT,
text3,2,6,dass,dass,PROPN,
text3,2,7,bald,bald,ADJ,
text3,2,8,eine,eine,NOUN,
text3,2,9,wichtige,wichtige,NOUN,
text3,2,10,Entscheidung,Entscheidung,PROPN,PERSON_B
text3,2,11,dazu,dazu,PROPN,PERSON_I
text3,2,12,fallen,fallen,PROPN,
text3,2,13,könnte,könnte,NOUN,
text3,2,14,.,.,PUNCT,
text3,3,1,Wenn,Wenn,PROPN,
text3,3,2,die,die,VERB,
text3,3,3,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,3,4,von,von,PROPN,PERSON_I
text3,3,5,ihrer,ihrer,NOUN,
text3,3,6,bisherigen,bisherigen,PROPN,
text3,3,7,grundrechtsfreundlichen,grundrechtsfreundlichen,PROPN,
text3,3,8,Position,Position,PROPN,
text3,3,9,abweicht,abweicht,NOUN,
text3,3,10,und,und,VERB,
text3,3,11,umfällt,umfällt,ADV,
text3,3,12,",",",",PUNCT,
text3,3,13,dann,dann,PROPN,PERSON_B
text3,3,14,könnte,könnte,PROPN,PERSON_I
text3,3,15,der,der,PROPN,
text3,3,16,EU,EU,PROPN,ORG_B
text3,3,17,-,-,PUNCT,
text3,3,18,Rat,Rat,PROPN,
text3,3,19,am,be,AUX,
text3,3,20,14,14,NUM,DATE_B
text3,3,21,.,.,PUNCT,
text3,4,1,Oktober,Oktober,PROPN,
text3,4,2,grünes,grüne,VERB,
text3,4,3,Licht,Licht,PROPN,ORG_B
text3,4,4,geben,geben,PROPN,
text3,4,5,.,.,PUNCT,
text3,5,1,Damit,Damit,PROPN,
text3,5,2,hätten,hätten,VERB,
text3,5,3,die,die,VERB,
text3,5,4,Befürworter,Befürworter,PROPN,
text3,5,5,der,der,NOUN,
text3,6,1,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,6,2,die,die,VERB,
text3,6,3,nächste,nächste,NOUN,
text3,6,4,Hürde,Hürde,PROPN,PRODUCT_B
text3,6,5,genommen,genommen,VERB,
text3,6,6,auf,auf,PROPN,
text3,6,7,dem,dem,ADJ,PERSON_B
text3,6,8,Weg,Weg,PROPN,PERSON_I
text3,7,1,zu,zu,NOUN,
text3,7,2,dieser,dieser,NOUN,
text3,7,3,neuen,neuen,NOUN,
text3,7,4,Form,Form,PROPN,
text3,7,5,der,der,PROPN,
text3,7,6,anlasslosen,anlasslosen,NOUN,
text3,7,7,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text3,7,8,.,.,PUNCT,
text3,8,1,Dass,Dass,PROPN,PERSON_B
text3,8,2,vor,vor,NOUN,
text3,8,3,der,der,NOUN,
text3,8,4,wichtigen,wichtigen,NOUN,PERSON_B
text3,8,5,Entscheidung,Entscheidung,PROPN,PERSON_I
text3,8,6,drei,drei,VERB,
text3,8,7,wichtige,wichtige,NOUN,
text3,8,8,deutsche,deutsche,NOUN,
text3,8,9,Ministerien,Ministerien,PROPN,PERSON_B
text3,8,10,mauern,mauern,ADJ,
text3,8,11,und,und,PROPN,
text3,8,12,keine,keine,NOUN,
text3,8,13,Position,Position,PROPN,
text3,8,14,beziehen,beziehen,NOUN,
text3,8,15,",",",",PUNCT,
text3,8,16,ist,ist,PROPN,
text3,8,17,dabei,dabei,PROPN,
text3,8,18,kein,kein,PROPN,PERSON_B
text3,8,19,gutes,gutes,PROPN,
text3,8,20,Zeichen,Zeichen,PROPN,GPE_B
text3,8,21,.,.,PUNCT,
text5,1,1,Aber,Aber,PROPN,PERSON_B
text5,1,2,noch,noch,PROPN,
text5,1,3,ist,ist,PROPN,
text5,1,4,der,der,PROPN,
text5,1,5,Kampf,Kampf,PROPN,
text5,1,6,um,um,INTJ,
text5,1,7,die,die,VERB,
text5,1,8,private,private,ADJ,
text5,1,9,Kommunikation,Kommunikation,PROPN,
text5,1,10,nicht,nicht,NOUN,
text5,1,11,verloren,verloren,PROPN,
text5,1,12,.,.,PUNCT,
text5,2,1,Es,es,INTJ,
text5,2,2,formiert,formiert,ADJ,PERSON_B
text5,2,3,sich,sich,PROPN,PERSON_I
text5,2,4,auf,auf,PROPN,
text5,2,5,verschiedenen,verschiedenen,NOUN,
text5,2,6,Ebenen,Ebenen,PROPN,PERSON_B
text5,2,7,Widerstand,Widerstand,PROPN,PERSON_I
text5,2,8,:,:,PUNCT,
text5,2,9,in,in,ADP,
text5,2,10,der,der,PROPN,
