doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,EU,EU,PROPN,ORG_B
text1,1,2,-,-,PUNCT,
text1,1,3,Innenkommissarin,Innenkommissarin,PROPN,PERSON_B
text1,1,4,Ylva,Ylva,PROPN,PERSON_I
text1,1,5,Johansson,Johansson,PROPN,PERSON_I
text1,1,6,hat,hat,NOUN,
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,September,September,PROPN,PERSON_B
text1,2,4,Werbung,Werbung,PROPN,PERSON_I
text1,2,5,für,für,NOUN,
text1,2,6,die,die,VERB,
text1,2,7,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,2,8,in,in,ADP,
text1,2,9,Ländern,Ländern,PROPN,
text1,2,10,geschaltet,geschaltet,NOUN,
text1,2,11,",",",",PUNCT,
text1,2,12,die,die,PROPN,
text1,2,13,kritisch,kritisch,PROPN,PERSON_B
text1,2,14,gegenüber,gegenüber,PROPN,PERSON_I
text1,2,15,der,der,PROPN,PERSON_I
text1,2,16,geplanten,geplanten,VERB,
text1,2,17,EU,EU,PROPN,ORG_B
text1,2,18,-,-,PUNCT,
text1,2,19,Verordnung,Verordnung,PROPN,
text1,2,20,sind,sind,NOUN,
text1,2,21,.,.,PUNCT,
text1,3,1,Die,die,VERB,PERSON_B
text1,3,2,Zielgruppe,Zielgruppe,PROPN,PERSON_I
text1,3,3,der,der,NOUN,
text1,3,4,Werbung,Werbung,PROPN,PERSON_B
text1,3,5,wählte,wählte,PROPN,
text1,3,6,sie,sie,PROPN,
text1,3,7,nach,nach,PROPN,
text1,3,8,religiösen,religiösen,VERB,
text1,3,9,und,und,PROPN,
text1,3,10,politischen,politischen,ADV,
text1,3,11,Einstellungen,Einstellungen,PROPN,ORG_B
text1,3,12,aus,aus,PROPN,ORG_I
text1,3,13,.,.,PUNCT,
text1,4,1,Es,Es,PROPN,
text1,4,2,handelt,handelt,VERB,
text1,4,3,sich,sich,ADP,
text1,4,4,dabei,dabei,VERB,
text1,4,5,um,um,INTJ,
text1,4,6,politisches,politische,VERB,
text1,4,7,Mikrotargeting,mikrotargeting,NOUN,
text1,4,8,–,–,PUNCT,
text1,4,9,einer,einer,NOUN,
text1,4,10,Form,Form,PROPN,
text1,4,11,von,von,PROPN,
text1,4,12,gezielter,gezielter,NOUN,
text1,4,13,Werbung,Werbung,PROPN,PERSON_B
text1,4,14,",",",",PUNCT,
text1,4,15,die,die,VERB,
text1,4,16,die,die,VERB,
text1,4,17,EU,EU,PROPN,ORG_B
text1,4,18,wegen,wegen,NOUN,
text1,4,19,Manipulationsmöglichkeiten,Manipulationsmöglichkeiten,PROPN,GPE_B
text1,4,20,eigentlich,eigentlich,NOUN,
text1,4,21,strenger,streng,ADJ,
text1,4,22,regulieren,regulieren,NOUN,
text1,4,23,will,will,AUX,
text1,4,24,.,.,PUNCT,
text1,5,1,Und,und,NOUN,
text1,5,2,das,das,PROPN,
text1,5,3,mitten,mitten,NOUN,
text1,5,4,i,I,PRON,
text1,5,5,m,m,VERB,
text1,5,6,Gesetzgebungsprozess,gesetzgebungsprozess,ADJ,PERSON_B
text1,5,7,",",",",PUNCT,
text1,5,8,während,während,VERB,
text1,5,9,i,I,PRON,
text1,5,10,m,m,VERB,
text1,5,11,Rat,Rat,PROPN,
text1,5,12,um,um,INTJ,
text1,5,13,eine,eine,NOUN,
text1,5,14,Mehrheit,Mehrheit,PROPN,GPE_B
text1,5,15,für,für,NOUN,
text1,5,16,das,das,PROPN,ORG_B
text1,5,17,Vorhaben,Vorhaben,PROPN,ORG_I
text1,5,18,gerungen,gerungen,PROPN,
text1,5,19,wird,wird,NOUN,
text1,5,20,.,.,PUNCT,
text3,1,1,Aufgedeckt,Aufgedeckt,PROPN,
text3,1,2,hat,hat,NOUN,
text3,1,3,das,das,PROPN,ORG_B
text3,1,4,der,der,PROPN,ORG_I
text3,1,5,niederländische,niederländische,PROPN,
text3,1,6,Jurist,Jurist,PROPN,NORP_B
text3,1,7,und,und,PROPN,
text3,1,8,Digitalexperte,Digitalexperte,PROPN,
text3,1,9,Danny,Danny,PROPN,PERSON_B
text3,1,10,Mekić,Mekić,PROPN,PERSON_I
text3,1,11,:,:,PUNCT,
text3,1,12,Er,er,INTJ,
text3,1,13,recherchierte,recherchierte,NOUN,
text3,1,14,dafür,dafür,NOUN,
text3,1,15,in,in,ADP,
text3,1,16,den,den,NOUN,
text3,1,17,Transparenzberichten,Transparenzberichten,PROPN,PERSON_B
text3,1,18,von,von,PROPN,PERSON_I
text3,1,19,X,X,PROPN,PERSON_I
text3,1,20,",",",",PUNCT,
text3,1,21,in,in,ADP,
text3,1,22,denen,denen,NOUN,
text3,1,23,die,die,VERB,
text3,1,24,Plattform,Plattform,PROPN,ORG_B
text3,1,25,Details,Details,PROPN,ORG_I
text3,1,26,zu,zu,NOUN,
text3,1,27,politischer,politischer,NOUN,
text3,1,28,Werbung,Werbung,PROPN,PERSON_B
text3,1,29,auflisten,auflisten,PROPN,
text3,1,30,muss,muss,NOUN,
text3,1,31,.,.,PUNCT,
text3,2,1,Laut,Laut,PROPN,PERSON_B
text3,2,2,seinem,seinem,PROPN,PERSON_I
text3,2,3,Gastbeitrag,Gastbeitrag,PROPN,PERSON_I
text3,2,4,i,I,PRON,
text3,2,5,m,m,VERB,
text3,2,6,niederländischen,niederländischen,ADV,
text3,3,1,Volkskrant,Volkskrant,PROPN,PERSON_B
text3,3,2,–,–,PUNCT,
text3,3,3,hier,hi,ADJ,
text3,3,4,eine,eine,NOUN,
text3,3,5,englische,englische,NOUN,ORG_B
text3,3,6,Version,Version,PROPN,ORG_I
text3,3,7,auf,auf,PROPN,
text3,3,8,seiner,seiner,NOUN,
text3,3,9,Webseite,Webseite,PROPN,PERSON_B
text3,3,10,–,–,PUNCT,
text3,3,11,wurde,wurde,PROPN,
text3,3,12,die,die,VERB,
text3,3,13,Kampagne,Kampagne,PROPN,PERSON_B
text3,3,14,für,für,NOUN,
text3,3,15,die,die,VERB,
text3,3,16,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text3,3,17,ab,ab,PROPN,PERSON_I
text3,3,18,dem,dem,PROPN,PERSON_I
text3,3,19,15,15,NUM,
text3,3,20,.,.,PUNCT,
text3,4,1,September,September,PROPN,DATE_B
text3,4,2,geschaltet,geschaltet,NOUN,
text3,4,3,",",",",PUNCT,
text3,4,4,einen,einen,NOUN,
text3,4,5,Tag,Tag,PROPN,
text3,4,6,nachdem,nachdem,PROPN,
text3,4,7,klar,klar,PROPN,
text3,4,8,wurde,wurde,PROPN,
text3,4,9,",",",",PUNCT,
text3,4,10,dass,dass,PROPN,
text3,4,11,der,der,PROPN,
text3,4,12,Vorschlag,Vorschlag,PROPN,ORG_B
text3,4,13,der,der,PROPN,
text3,4,14,EU,EU,PROPN,ORG_B
text3,4,15,-,-,PUNCT,ORG_I
text3,4,16,Kommission,Kommission,PROPN,ORG_I
text3,4,17,keine,keine,NOUN,
text3,4,18,Mehrheit,Mehrheit,PROPN,GPE_B
text3,4,19,unter,unter,NOUN,
text3,4,20,den,den,VERB,
text3,4,21,Mitgliedsstaaten,Mitgliedsstaaten,PROPN,PERSON_B
text3,4,22,hat,hat,NOUN,
text3,4,23,.,.,PUNCT,
text3,5,1,Die,die,VERB,ORG_B
text3,5,2,Kampagne,Kampagne,PROPN,ORG_I
text3,5,3,soll,soll,PROPN,
text3,5,4,in,in,ADP,
text3,5,5,den,den,NOUN,
text3,5,6,Niederlanden,Niederlanden,PROPN,GPE_B
text3,5,7,",",",",PUNCT,
text3,5,8,Schweden,Schweden,PROPN,GPE_B
text3,5,9,",",",",PUNCT,
text3,5,10,Belgien,Belgien,PROPN,PERSON_B
text3,5,11,",",",",PUNCT,
text3,5,12,Finnland,Finnland,PROPN,GPE_B
text3,5,13,",",",",PUNCT,
text3,5,14,Slowenien,Slowenien,PROPN,GPE_B
text3,5,15,",",",",PUNCT,
text3,5,16,Portugal,Portugal,PROPN,GPE_B
text3,5,17,und,und,PROPN,
text3,5,18,der,der,PROPN,
text3,5,19,Tschechischen,Tschechischen,PROPN,ORG_B
text3,5,20,Republik,Republik,PROPN,ORG_I
text3,5,21,mehr,mehr,NOUN,
text3,5,22,als,al,NOUN,
text3,5,23,drei,drei,VERB,
text3,5,24,Millionen,Millionen,PROPN,PERSON_B
text3,5,25,mal,mal,ADJ,
text3,5,26,ausgespielt,ausgespielt,NOUN,
text3,5,27,worden,worden,PROPN,
