doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Gesetzgeber,Gesetzgeber,PROPN,ORG_I
text1,1,5,sollen,sollen,NOUN,
text1,1,6,in,in,ADP,
text1,1,7,den,den,NOUN,
text1,1,8,Trilog,Trilog,PROPN,PERSON_B
text1,1,9,-,-,PUNCT,PERSON_I
text1,1,10,Verhandlungen,Verhandlungen,PROPN,PERSON_I
text1,1,11,zur,zur,NOUN,
text1,1,12,CSA,CSA,PROPN,
text1,1,13,-,-,PUNCT,
text1,1,14,Verordnung,Verordnung,PROPN,
text1,1,15,vollständig,vollständig,NOUN,
text1,1,16,und,und,PROPN,
text1,1,17,endgültig,endgültig,PROPN,ORG_B
text1,1,18,auf,auf,PROPN,ORG_I
text1,1,19,eine,eine,NOUN,
text1,1,20,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,21,verzichten,verzichten,ADJ,
text1,1,22,.,.,PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,fordern,fordern,NOUN,
text1,2,3,die,die,VERB,
text1,2,4,unabhängigen,unabhängigen,NOUN,
text1,2,5,Datenschutzbehörden,Datenschutzbehörden,PROPN,ORG_B
text1,2,6,aus,aus,ADP,ORG_I
text1,2,7,Bund,Bund,PROPN,ORG_I
text1,2,8,und,und,PROPN,
text1,2,9,Ländern,Ländern,PROPN,
text1,2,10,.,.,PUNCT,
text3,1,1,Die,die,VERB,PERSON_B
text3,1,2,Datenschutzkonferenz,Datenschutzkonferenz,PROPN,PERSON_I
text3,1,3,appelliert,appelliert,VERB,
text3,1,4,in,in,ADP,
text3,1,5,einer,einer,NOUN,
text3,1,6,Stellungnahme,Stellungnahme,PROPN,PERSON_B
text3,1,7,(,(,PUNCT,
text3,1,8,PDF,PDF,PROPN,ORG_B
text3,1,9,),),PUNCT,
text3,1,10,an,an,DET,
text3,1,11,die,die,NOUN,
text3,1,12,Verhandelnden,Verhandelnden,PROPN,ORG_B
text3,1,13,",",",",PUNCT,
text3,1,14,von,von,PROPN,PERSON_B
text3,1,15,der,der,NOUN,PERSON_I
text3,1,16,Massenüberwachung,Massenüberwachung,PROPN,PERSON_I
text3,1,17,privater,privater,NOUN,
text3,1,18,Chats,Chats,PROPN,PERSON_B
text3,1,19,per,per,ADP,
text3,1,20,Aufdeckungsanordnungen,Aufdeckungsanordnungen,PROPN,PERSON_B
text3,1,21,",",",",PUNCT,
text3,1,22,dem,dem,ADJ,NORP_B
text3,1,23,flächendeckenden,flächendeckenden,ADJ,
text3,1,24,Scannen,Scannen,PROPN,PRODUCT_B
text3,1,25,privater,privater,NOUN,
text3,1,26,Nachrichten,Nachrichten,PROPN,
text3,1,27,und,und,VERB,
text3,1,28,einem,einem,PROPN,
text3,1,29,Durchbrechen,Durchbrechen,PROPN,
text3,1,30,der,der,NOUN,
text3,1,31,Ende,Ende,PROPN,
text3,1,32,-,-,PUNCT,
text3,1,33,zu,zu,PROPN,
text3,1,34,-,-,PUNCT,
text3,1,35,Ende,ende,ADJ,
text3,1,36,-,-,PUNCT,
text3,1,37,Verschlüsselung,Verschlüsselung,PROPN,
text3,1,38,ohne,ohne,NOUN,
text3,1,39,Ausnahme,Ausnahme,PROPN,
text3,1,40,abzusehen,abzusehen,ADV,
text3,1,41,.,.,PUNCT,
text5,1,1,„,„,PUNCT,
text5,1,2,Hintertüren,Hintertüren,PROPN,
text5,1,3,in,in,ADP,
text5,1,4,der,der,PROPN,
text5,1,5,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text5,1,6,gefährden,gefährden,ADJ,
text5,1,7,die,die,VERB,
text5,1,8,Sicherheit,Sicherheit,PROPN,ORG_B
text5,1,9,der,der,PROPN,ORG_I
text5,1,10,Kommunikation,Kommunikation,PROPN,ORG_I
text5,1,11,aller,aller,NOUN,
text5,1,12,Bürgerinnen,Bürgerinnen,PROPN,
text5,1,13,und,und,PROPN,
text5,1,14,Bürgern,Bürgern,PROPN,
text5,1,15,und,und,NOUN,
text5,1,16,könnten,könnten,VERB,PERSON_B
text5,1,17,auch,auch,ADJ,PERSON_I
text5,1,18,von,von,PROPN,PERSON_I
text5,1,19,Kriminellen,Kriminellen,PROPN,PERSON_I
text5,1,20,ausgenutzt,ausgenutzt,NOUN,
text5,1,21,werden,werden,PROPN,
text5,1,22,“,"""",PUNCT,
text5,1,23,",",",",PUNCT,
text5,1,24,so,so,ADV,
text5,1,25,die,die,VERB,
text5,1,26,Datenschützer,Datenschützer,PROPN,PERSON_B
text5,1,27,:,:,PUNCT,
text5,1,28,innen,innen,NOUN,
text5,1,29,.,.,PUNCT,
text5,2,1,Zu,zu,NOUN,
text5,2,2,den,den,VERB,
text5,2,3,Gefahren,Gefahren,PROPN,ORG_B
text5,2,4,für,für,NOUN,
text5,2,5,eine,eine,NOUN,
text5,2,6,Ende,ende,NOUN,
text5,2,7,-,-,PUNCT,
text5,2,8,zu,zu,PROPN,
text5,2,9,-,-,PUNCT,
text5,2,10,Ende,ende,ADJ,
text5,2,11,-,-,PUNCT,
text5,2,12,Verschlüsselung,Verschlüsselung,PROPN,
text5,2,13,zählen,zählen,NOUN,
text5,2,14,die,die,VERB,
text5,2,15,Datenschützer,Datenschützer,PROPN,PERSON_B
text5,2,16,auch,auch,PROPN,
text5,2,17,das,das,PROPN,
text5,2,18,Client,Client,PROPN,
text5,2,19,-,-,PUNCT,
text5,2,20,Side,Side,PROPN,
text5,2,21,-,-,PUNCT,
text5,2,22,Scanning,Scanning,PROPN,
text5,2,23,",",",",PUNCT,
text5,2,24,bei,bei,VERB,
text5,2,25,dem,dem,ADJ,NORP_B
text5,2,26,Inhalte,Inhalte,PROPN,NORP_B
text5,2,27,vor,vor,VERB,
text5,2,28,dem,dem,ADJ,ORG_B
text5,2,29,Verschlüsseln,Verschlüsseln,PROPN,ORG_I
text5,2,30,auf,auf,PROPN,ORG_I
text5,2,31,dem,dem,INTJ,ORG_I
text5,2,32,Endgerät,Endgerät,PROPN,
text5,2,33,durchsucht,durchsucht,NOUN,
text5,2,34,werden,werden,PROPN,
text5,2,35,.,.,PUNCT,
text7,1,1,Generell,Generell,PROPN,
text7,1,2,dürfe,dürfe,NOUN,
text7,1,3,eine,eine,NOUN,
text7,1,4,Überwachung,Überwachung,PROPN,PRODUCT_B
text7,1,5,privater,privater,NOUN,
text7,1,6,Kommunikation,Kommunikation,PROPN,
text7,1,7,nur,nur,NOUN,
text7,1,8,gezielt,gezielt,NOUN,
text7,1,9,und,und,PROPN,
text7,1,10,bei,bei,PROPN,
text7,1,11,einem,einem,PROPN,
text7,1,12,konkreten,konkreten,PROPN,
text7,1,13,Verdacht,Verdacht,PROPN,ORG_B
text7,1,14,zum,zum,NOUN,PERSON_B
text7,1,15,Einsatz,Einsatz,PROPN,PERSON_I
text7,1,16,kommen,komman,NOUN,
text7,1,17,",",",",PUNCT,
text7,1,18,so,so,ADV,
text7,1,19,die,die,VERB,
text7,1,20,Datenschutzkonferenz,Datenschutzkonferenz,PROPN,PERSON_B
text7,1,21,.,.,PUNCT,
text7,2,1,Auch,auch,ADJ,PERSON_B
text7,2,2,ein,ein,NOUN,PERSON_I
text7,2,3,Ziel,Ziel,PROPN,PERSON_I
text7,2,4,wie,wie,NOUN,
text7,2,5,die,die,VERB,
text7,2,6,Verhinderung,Verhinderung,PROPN,
text7,2,7,und,und,PROPN,
text7,2,8,Verfolgung,Verfolgung,PROPN,PERSON_B
text7,2,9,von,von,PROPN,PERSON_I
text7,2,10,sexuellem,sexuellem,NOUN,
text7,2,11,Missbrauch,Missbrauch,PROPN,PERSON_B
text7,2,12,von,von,PROPN,PERSON_I
text7,2,13,Kindern,Kindern,PROPN,PERSON_I
text7,2,14,rechtfertige,rechtfertige,VERB,
text7,2,15,keinen,keinen,NOUN,
text7,2,16,Generalverdacht,Generalverdacht,PROPN,PERSON_B
text7,2,17,gegen,gegen,NOUN,
text7,2,18,Millionen,Millionen,PROPN,PERSON_B
text7,2,19,von,von,PROPN,PERSON_I
text7,2,20,Bürger,Bürger,PROPN,PERSON_I
text7,2,21,:,:,PUNCT,
text7,2,22,innen,innen,NOUN,
text7,2,23,.,.,PUNCT,
text7,3,1,Die,die,VERB,GPE_B
text7,3,2,Aufsichtsbehörden,Aufsichtsbehörden,PROPN,GPE_I
text7,3,3,begründen,begründen,NOUN,
text7,3,4,dies,die,VERB,
text7,3,5,unter,unter,PROPN,PERSON_B
text7,3,6,anderem,anderem,PROPN,PERSON_I
text7,3,7,mit,mit,NOUN,PERSON_I
text7,4,1,dem,dem,INTJ,
text7,4,2,Recht,Recht,PROPN,ORG_B
text7,4,3,auf,auf,PROPN,
text7,4,4,Vertraulichkeit,Vertraulichkeit,PROPN,ORG_B
text7,4,5,der,der,PROPN,ORG_I
text7,4,6,Kommunikation,Kommunikation,PROPN,ORG_I
text7,4,7,und,und,VERB,
text7,4,8,dem,dem,ADJ,
text7,4,9,Recht,Recht,PROPN,PERSON_B
text7,4,10,auf,auf,PROPN,
text7,4,11,informationelle,informationelle,NOUN,PERSON_B
text7,4,12,Selbstbestimmung,Selbstbestimmung,PROPN,PERSON_I
text7,4,13,.,.,PUNCT,
text9,1,1,#,#,SYM,
text9,1,2,#,#,NOUN,
text9,2,1,Erste,Erste,PROPN,PERSON_B
text9,2,2,Einigungen,Einigungen,PROPN,PERSON_I
text9,2,3,i,I,PRON,
text9,2,4,m,m,VERB,
text9,2,5,Trilog,trilog,NOUN,PERSON_B
text11,1,1,Ein,Ein,PROPN,PERSON_B
text11,1,2,Großteil,Großteil,PROPN,PERSON_I
text11,1,3,der,der,PROPN,
text11,1,4,Trilog,Trilog,PROPN,PERSON_B
text11,1,5,-,-,PUNCT,PERSON_I
text11,1,6,Verhandlungen,Verhandlungen,PROPN,PERSON_I
text11,1,7,passiert,passiert,NOUN,
text11,1,8,auf,auf,PROPN,
text11,1,9,Arbeitsebene,Arbeitsebene,PROPN,PERSON_B
text11,1,10,.,.,PUNCT,
text11,2,1,Gestern,gestern,ADJ,PERSON_B
text11,2,2,fand,fand,NOUN,
text11,2,3,die,die,VERB,
text11,2,4,zweite,zweite,NOUN,
text11,2,5,Verhandlung,Verhandlung,PROPN,ORG_B
text11,2,6,auf,auf,PROPN,
text11,2,7,politischer,politischer,NOUN,
text11,2,8,Ebene,Ebene,PROPN,PERSON_B
text11,2,9,statt,statt,NOUN,PERSON_I
text11,2,10,.,.,PUNCT,
text11,3,1,Laut,Laut,PROPN,PERSON_B
text11,3,2,Tagesspiegel,Tagesspiegel,PROPN,PERSON_I
text11,3,3,Background,Background,PROPN,PERSON_I
text11,3,4,Digitalisierung,Digitalisierung,PROPN,PERSON_I
text11,3,5,(,(,PUNCT,
text11,3,6,€,€,NOUN,
text11,3,7,),),PUNCT,
text11,3,8,haben,haben,NOUN,PERSON_B
text11,3,9,sich,sich,PROPN,PERSON_I
text11,3,10,Rat,Rat,PROPN,PERSON_I
