doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,ORG_B
text1,1,2,Chaos,Chaos,PROPN,ORG_I
text1,1,3,Communication,Communication,PROPN,ORG_I
text1,1,4,Congress,Congress,PROPN,ORG_I
text1,1,5,wird,wird,NOUN,
text1,1,6,in,in,ADP,
text1,1,7,seiner,seiner,NOUN,
text1,1,8,37,37,NUM,CARDINAL_B
text1,1,9,.,.,PUNCT,
text1,2,1,Ausgabe,Ausgabe,PROPN,
text1,2,2,zwischen,zwischen,ADP,PERSON_B
text1,2,3,Weihnachten,Weihnachten,PROPN,PERSON_I
text1,2,4,und,und,PROPN,
text1,2,5,Silvester,Silvester,PROPN,
text1,2,6,nach,nach,NOUN,
text1,2,7,Hamburg,Hamburg,PROPN,GPE_B
text1,2,8,ins,in,NOUN,
text1,2,9,umgebaute,umgebaute,VERB,
text1,2,10,Hamburger,Hamburger,PROPN,LOC_B
text1,2,11,CCH,CCH,PROPN,LOC_I
text1,2,12,zurückkehren,zurückkehren,NOUN,
text1,2,13,.,.,PUNCT,
text1,3,1,Nach,Nach,PROPN,
text1,3,2,dem,dem,NOUN,ORG_B
text1,3,3,diesjährigen,diesjährigen,NOUN,ORG_I
text1,3,4,Chaos,Chaos,PROPN,ORG_I
text1,3,5,Communication,Communication,PROPN,ORG_I
text1,3,6,Camp,Camp,PROPN,ORG_I
text1,3,7,hätten,hätten,VERB,
text1,3,8,die,die,ADJ,
text1,3,9,Hackerinnen,Hackerinnen,PROPN,PERSON_B
text1,3,10,und,und,PROPN,
text1,3,11,Hacker,Hacker,PROPN,ORG_B
text1,3,12,Lust,Lust,PROPN,ORG_I
text1,3,13,und,und,PROPN,
text1,3,14,Bedarf,Bedarf,PROPN,GPE_B
text1,3,15,nach,nach,NOUN,
text1,3,16,mehr,mehr,NOUN,
text1,3,17,Austausch,Austausch,PROPN,ORG_B
text1,3,18,",",",",PUNCT,ORG_I
text1,3,19,Themen,Themen,PROPN,ORG_I
text1,3,20,",",",",PUNCT,
text1,3,21,Workshops,Workshops,PROPN,
text1,3,22,und,und,VERB,
text1,3,23,mehr,mehr,NOUN,
text1,3,24,Party,Party,PROPN,ORG_B
text1,3,25,",",",",PUNCT,
text1,3,26,verkündet,verkündet,PROPN,
text1,3,27,der,der,PROPN,
text1,3,28,CCC,CCC,PROPN,ORG_B
text1,3,29,.,.,PUNCT,
text3,1,1,Weiter,Weiter,PROPN,PERSON_B
text3,1,2,heißt,heißt,NOUN,
text3,1,3,es,es,ADP,
text3,1,4,in,in,ADP,
text3,1,5,der,der,PROPN,
text3,1,6,Mitteilung,Mitteilung,PROPN,PERSON_B
text3,1,7,:,:,PUNCT,
text5,1,1,Die,die,VERB,
text5,1,2,digitale,digitale,NOUN,
text5,1,3,Welt,Welt,PROPN,
text5,1,4,ist,ist,ADP,
text5,1,5,mal,mal,ADJ,
text5,1,6,wieder,wieder,NOUN,
text5,2,1,i,I,PRON,
text5,2,2,m,m,VERB,
text5,2,3,Umbruch,Umbruch,PROPN,PERSON_B
text5,2,4,:,:,PUNCT,
text5,2,5,noch,noch,PROPN,
text5,2,6,mehr,mehr,PROPN,
text5,2,7,Auftragshacks,Auftragshacks,PROPN,
text5,2,8,",",",",PUNCT,
text5,2,9,noch,noch,PROPN,
text5,2,10,mehr,mehr,PROPN,
text5,2,11,Staatstrojaner,Staatstrojaner,PROPN,PERSON_B
text5,2,12,vor,vor,VERB,
text5,2,13,dem,dem,ADJ,
text5,2,14,Bundesverfassungsgericht,Bundesverfassungsgericht,PROPN,PERSON_B
text5,2,15,",",",",PUNCT,
text5,2,16,noch,noch,PROPN,
text5,2,17,mehr,mehr,PROPN,
text5,2,18,KI,KI,PROPN,ORG_B
text5,2,19,-,-,PUNCT,ORG_I
text5,2,20,Hyper,Hyper,PROPN,ORG_I
text5,2,21,-,-,PUNCT,ORG_I
text5,2,22,Hyper,Hyper,PROPN,ORG_I
text5,2,23,samt,samt,ADJ,
text5,2,24,irren,irren,NOUN,
text5,2,25,Ideen,Ideen,PROPN,ORG_B
text5,2,26,wie,wie,NOUN,
text5,2,27,der,der,NOUN,
text5,2,28,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text5,2,29,und,und,VERB,
text5,2,30,noch,noch,ADV,
text5,2,31,mehr,mehr,NOUN,
text5,2,32,Polithampel,Polithampel,PROPN,
text5,2,33,",",",",PUNCT,
text5,2,34,die,die,VERB,
text5,2,35,nur,nur,NOUN,
text5,2,36,nach,nach,VERB,
text5,2,37,Lobbyversprechungen,Lobbyversprechungen,PROPN,PRODUCT_B
text5,2,38,entscheiden,entscheiden,NOUN,
text5,2,39,.,.,PUNCT,
text5,3,1,Dagegen,dagegen,NOUN,
text5,3,2,hilft,hilft,NOUN,
text5,3,3,nur,nur,NOUN,
text5,3,4,:,:,PUNCT,
text5,3,5,sich,sich,PROPN,
text5,3,6,informieren,informieren,PROPN,
text5,3,7,",",",",PUNCT,
text5,3,8,sich,sich,PROPN,
text5,3,9,positive,positive,ADJ,
text5,3,10,Impulse,Impulse,PROPN,PRODUCT_B
text5,3,11,für,für,NOUN,
text5,3,12,eine,eine,NOUN,
text5,3,13,lebenswerte,lebenswerte,ADJ,
