doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,anlasslose,anlasslose,ADJ,
text1,1,3,Verarbeitung,Verarbeitung,PROPN,PERSON_B
text1,1,4,von,von,PROPN,PERSON_I
text1,1,5,Fluggastdaten,Fluggastdaten,PROPN,PERSON_I
text1,1,6,ist,ist,NOUN,
text1,1,7,rechtswidrig,rechtswidrig,PROPN,
text1,1,8,",",",",PUNCT,
text1,1,9,hat,hat,PROPN,
text1,1,10,das,das,PROPN,
text1,1,11,Verwaltungsgericht,Verwaltungsgericht,PROPN,PERSON_B
text1,1,12,Wiesbaden,Wiesbaden,PROPN,PERSON_I
text1,1,13,entschieden,entschieden,PROPN,
text1,1,14,.,.,PUNCT,
text1,2,1,Für,für,ADJ,
text1,2,2,einen,einen,NOUN,
text1,2,3,derart,derart,NOUN,
text1,2,4,tiefen,tiefen,NOUN,
text1,2,5,Eingriff,Eingriff,PROPN,PERSON_B
text1,2,6,in,in,ADP,
text1,2,7,die,die,NOUN,
text1,2,8,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text1,2,9,brauche,brauche,NOUN,
text1,2,10,es,es,X,
text1,2,11,Anhaltspunkte,Anhaltspunkte,PROPN,ORG_B
text1,2,12,für,für,NOUN,
text1,2,13,terroristische,terroristische,PROPN,
text1,2,14,Bedrohungen,Bedrohungen,PROPN,ORG_B
text1,2,15,auf,auf,PROPN,
text1,2,16,bestimmten,bestimmten,NOUN,
text1,2,17,Flugrouten,Flugrouten,PROPN,ORG_B
text1,2,18,",",",",PUNCT,
text1,2,19,so,so,ADV,
text1,2,20,das,das,PROPN,PERSON_B
text1,2,21,Gericht,Gericht,PROPN,PERSON_I
text1,2,22,in,in,ADP,
text1,2,23,seinem,seinem,PROPN,
text1,2,24,Urteil,Urteil,PROPN,
text1,2,25,vom,vom,NOUN,
text1,2,26,6,6,NUM,DATE_B
text1,2,27,.,.,PUNCT,DATE_I
text1,3,1,Dezember,dezember,NOUN,
text1,3,2,.,.,PUNCT,
text1,4,1,Eine,eine,NOUN,PERSON_B
text1,4,2,Totalüberwachung,Totalüberwachung,PROPN,PERSON_I
text1,4,3,sämtlicher,sämtlicher,NOUN,
text1,4,4,Flüge,Flüge,PROPN,GPE_B
text1,4,5,",",",",PUNCT,
text1,4,6,wie,wie,PROPN,
text1,4,7,sie,sie,PROPN,
text1,4,8,das,das,PROPN,ORG_B
text1,4,9,Fluggastdatengesetz,Fluggastdatengesetz,PROPN,ORG_I
text1,4,10,vorsehe,vorsehe,PROPN,
text1,4,11,",",",",PUNCT,
text1,4,12,sei,sei,ADJ,
text1,4,13,daher,daher,PROPN,
text1,4,14,unzulässig,unzulässig,ADJ,
text1,4,15,.,.,PUNCT,
text3,1,1,Begleitet,begleitet,NOUN,PERSON_B
text3,1,2,von,von,PROPN,PERSON_I
