doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Gut,Gut,PROPN,
text1,1,2,40,40,NUM,CARDINAL_B
text1,1,3,Demonstrierende,Demonstrierende,PROPN,
text1,1,4,rund,rund,NOUN,
text1,1,5,um,um,INTJ,
text1,1,6,die,die,PROPN,
text1,1,7,Initiative,Initiative,PROPN,
text1,1,8,„,„,NOUN,
text1,1,9,Chatkontrolle,Chatkontrolle,PROPN,
text1,1,10,stoppen,stoppen,NOUN,
text1,1,11,“,"""",PUNCT,
text1,1,12,versammelten,versammelten,ADJ,
text1,1,13,sich,sich,PROPN,
text1,1,14,am,be,AUX,
text1,1,15,gestrigen,gestrigen,NOUN,
text1,1,16,Mittwoch,Mittwoch,PROPN,GPE_B
text1,1,17,in,in,ADP,
text1,1,18,Berlin,Berlin,PROPN,GPE_B
text1,1,19,für,für,NOUN,
text1,1,20,eine,eine,NOUN,
text1,1,21,Kundgebung,Kundgebung,PROPN,PERSON_B
text1,1,22,.,.,PUNCT,
text1,2,1,Sie,Sie,PROPN,
text1,2,2,sprachen,sprachen,ADV,
text1,2,3,sich,sich,PROPN,
text1,2,4,gegen,gegen,NOUN,
text1,2,5,die,die,VERB,
text1,2,6,von,von,PROPN,
text1,2,7,Expert,Expert,PROPN,
text1,2,8,:,:,PUNCT,
text1,2,9,innen,innen,NOUN,
text1,2,10,als,al,NOUN,
text1,2,11,grundrechtswidrig,grundrechtswidrig,PROPN,
text1,2,12,eingestufte,eingestufte,PROPN,
text1,2,13,geplante,geplante,VERB,
text1,2,14,Überwachung,Überwachung,PROPN,ORG_B
text1,2,15,privater,privater,NOUN,
text1,2,16,Kommunikation,Kommunikation,PROPN,ORG_B
text1,2,17,aus,aus,PROPN,ORG_I
text1,2,18,.,.,PUNCT,
text1,3,1,Anlass,Anlass,PROPN,
text1,3,2,der,der,NOUN,PERSON_B
text1,3,3,Kundgebung,Kundgebung,PROPN,PERSON_I
text1,3,4,war,war,NOUN,
text1,3,5,die,die,VERB,
text1,3,6,Konferenz,Konferenz,PROPN,ORG_B
text1,3,7,der,der,PROPN,ORG_I
text1,3,8,Innenminister,Innenminister,PROPN,
text1,3,9,:,:,PUNCT,
text1,3,10,innen,innen,NOUN,
text1,3,11,",",",",PUNCT,
text1,3,12,welche,welche,PROPN,
text1,3,13,vom,vom,PROPN,
text1,3,14,14,14,NUM,CARDINAL_B
text1,3,15,.,.,PUNCT,
text1,4,1,bis,bis,CCONJ,
text1,4,2,16,16,NUM,CARDINAL_B
text1,4,3,.,.,PUNCT,
text1,5,1,Juni,Juni,PROPN,
text1,5,2,stattfindet,stattfindet,NOUN,
text1,5,3,",",",",PUNCT,
text1,5,4,und,und,VERB,
text1,5,5,auf,auf,PROPN,ORG_B
text1,5,6,welcher,welcher,NOUN,
text1,5,7,das,das,PROPN,PERSON_B
text1,5,8,Thema,Thema,PROPN,PERSON_I
text1,5,9,wohl,wohl,NOUN,
text1,5,10,auf,auf,PROPN,
text1,5,11,der,der,PROPN,
text1,5,12,Tagesordnung,Tagesordnung,PROPN,GPE_B
text1,5,13,stehen,stehen,PROPN,
text1,5,14,wird,wird,PROPN,
text1,5,15,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,sogenannte,sogenannte,NOUN,
text3,1,3,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,1,4,ist,ist,NOUN,
text3,1,5,Teil,Teil,PROPN,PERSON_B
text3,1,6,eines,eine,VERB,
text3,1,7,Gesetzesvorschlages,Gesetzesvorschlages,PROPN,PERSON_B
text3,1,8,der,der,PROPN,PERSON_I
text3,1,9,EU,EU,PROPN,ORG_B
text3,1,10,-,-,PUNCT,ORG_I
text3,1,11,Kommission,Kommission,PROPN,ORG_I
text3,1,12,",",",",PUNCT,
text3,1,13,der,der,PROPN,
text3,1,14,sexualisierte,sexualisierte,NOUN,
text3,1,15,Gewalt,Gewalt,PROPN,PERSON_B
text3,1,16,gegen,gegen,NOUN,
text3,1,17,Kinder,Kinder,PROPN,
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,Netz,Netz,PROPN,PERSON_B
text3,2,4,bekämpfen,bekämpfen,NOUN,
text3,2,5,will,will,NOUN,
text3,2,6,.,.,PUNCT,
text3,3,1,Dabei,Dabei,PROPN,
text3,3,2,will,will,AUX,
text3,3,3,sie,sie,VERB,
text3,3,4,etwa,etwa,NOUN,
text3,3,5,auch,auch,ADJ,
text3,3,6,Betreiber,Betreiber,PROPN,PERSON_B
text3,3,7,von,von,PROPN,PERSON_I
text3,3,8,Chatdiensten,Chatdiensten,PROPN,PERSON_I
text3,3,9,auf,auf,PROPN,
text3,3,10,Anordnung,Anordnung,PROPN,PERSON_B
text3,3,11,dazu,dazu,NOUN,
text3,3,12,verpflichten,verpflichten,VERB,
text3,3,13,",",",",PUNCT,
text3,3,14,die,die,VERB,
text3,3,15,private,private,ADJ,
text3,3,16,Kommunikation,Kommunikation,PROPN,PERSON_B
text3,3,17,von,von,PROPN,PERSON_I
text3,3,18,Nutzer,Nutzer,PROPN,PERSON_I
text3,3,19,:,:,PUNCT,PERSON_I
text3,3,20,innen,innen,NOUN,
text3,3,21,zu,zu,ADJ,
text3,3,22,scannen,scannen,NOUN,
text3,3,23,.,.,PUNCT,
text3,4,1,Eine,Eine,PROPN,PERSON_B
text3,4,2,Mehrheit,Mehrheit,PROPN,PERSON_I
text3,4,3,der,der,PROPN,
text3,4,4,EU,EU,PROPN,ORG_B
text3,4,5,-,-,PUNCT,
text3,4,6,Länder,Länder,PROPN,
text3,4,7,steht,steht,NOUN,
text3,4,8,hinter,hinter,NOUN,
text3,4,9,dem,dem,ADJ,
text3,4,10,Vorschlag,Vorschlag,PROPN,ORG_B
text3,4,11,und,und,NOUN,
text3,4,12,will,will,AUX,
text3,4,13,auch,auch,VERB,
text3,4,14,verschlüsselte,verschlüsselte,ADJ,
text3,4,15,Kommunikation,Kommunikation,PROPN,
text3,4,16,und,und,PROPN,
text3,4,17,Audio,Audio,PROPN,
text3,4,18,-,-,PUNCT,
text3,4,19,Kommunikation,Kommunikation,PROPN,
text3,4,20,überwachen,überwachen,NOUN,
text3,4,21,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Big,big,ADJ,
text5,1,4,sisters,sister,NOUN,
text5,1,5,are,be,AUX,
text5,1,6,watching,watch,VERB,
text5,1,7,you,you,PRON,
text7,1,1,I,I,PRON,
text7,1,2,m,m,VERB,
text7,1,3,Fokus,fokus,ADJ,PERSON_B
text7,1,4,standen,standen,ADJ,
text7,1,5,gestern,gestern,NOUN,
text7,1,6,die,die,VERB,
text7,1,7,drei,drei,NOUN,
text7,1,8,„,„,PUNCT,
text7,1,9,Big,Big,PROPN,
text7,1,10,Sisters,Sisters,PROPN,
text7,1,11,“,"""",PUNCT,
