doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,ihrem,ihrem,NOUN,
text1,1,3,Koalitionsvertrag,Koalitionsvertrag,PROPN,PERSON_B
text1,1,4,hat,hat,NOUN,
text1,1,5,sich,sich,PRON,
text1,1,6,die,die,VERB,
text1,1,7,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Jahr,Jahr,PROPN,PERSON_B
text1,2,4,2021,2021,NUM,PERSON_I
text1,2,5,große,große,NOUN,
text1,2,6,Ziele,Ziele,PROPN,PERSON_B
text1,2,7,gesteckt,gesteckt,VERB,
text1,2,8,.,.,PUNCT,
text1,3,1,Einen,Einen,PROPN,
text1,3,2,„,„,SYM,
text1,3,3,lernenden,lernenden,PROPN,
text1,3,4,und,und,PROPN,
text1,3,5,digitalen,digitalen,NOUN,
text1,3,6,Staat,Staat,PROPN,PERSON_B
text1,3,7,“,"""",PUNCT,
text1,3,8,will,will,AUX,
text1,3,9,sie,sie,PROPN,
text1,3,10,schaffen,schaffen,VERB,
text1,3,11,",",",",PUNCT,
text1,3,12,der,der,PROPN,PERSON_B
text1,3,13,„,„,PUNCT,PERSON_I
text1,3,14,mehr,mehr,NOUN,PERSON_I
text1,3,15,Transparenz,Transparenz,PROPN,
text1,3,16,und,und,ADJ,
text1,3,17,Teilhabe,Teilhabe,PROPN,
text1,3,18,in,in,ADP,
text1,3,19,seinen,seinen,NOUN,
text1,3,20,Entscheidungen,Entscheidungen,PROPN,ORG_B
text1,3,21,bietet,bietet,PROPN,
text1,3,22,und,und,PROPN,
text1,3,23,mit,mit,PROPN,
text1,3,24,einer,einer,NOUN,
text1,3,25,unkomplizierten,unkomplizierten,NOUN,
text1,3,26,",",",",PUNCT,
text1,3,27,schnellen,schnellen,PROPN,
text1,3,28,und,und,NOUN,
text1,3,29,digitalen,digitalen,NOUN,
text1,3,30,Verwaltung,Verwaltung,PROPN,PERSON_B
text1,3,31,das,das,PROPN,PERSON_I
text1,3,32,Leben,Leben,PROPN,PERSON_I
text1,3,33,der,der,PROPN,
text1,3,34,Menschen,Menschen,PROPN,
text1,3,35,einfacher,einfacher,PROPN,
text1,3,36,“,"""",PUNCT,
text1,3,37,macht,macht,NOUN,
text1,3,38,.,.,PUNCT,
text1,4,1,Zivilgesellschaftliche,Zivilgesellschaftliche,PROPN,ORG_B
text1,4,2,und,und,VERB,
text1,4,3,digitalpolitische,digitalpolitische,PROPN,ORG_B
text1,4,4,Verbände,Verbände,PROPN,ORG_I
text1,4,5,lobten,lobten,ADJ,
text1,4,6,damals,damal,NOUN,
text1,4,7,die,die,VERB,
text1,4,8,vollmundigen,vollmundigen,NOUN,
text1,4,9,Ankündigungen,Ankündigungen,PROPN,ORG_B
text1,4,10,.,.,PUNCT,
text1,5,1,Sie,Sie,PROPN,
text1,5,2,erhofften,erhofften,VERB,
text1,5,3,sich,sich,ADJ,
text1,5,4,eine,eine,NOUN,
text1,5,5,Kurswende,Kurswende,PROPN,ORG_B
text1,5,6,.,.,PUNCT,
text3,1,1,Knapp,Knapp,PROPN,ORG_B
text3,1,2,zwei,zwei,PROPN,
text3,1,3,Jahre,Jahre,PROPN,NORP_B
text3,1,4,später,später,NOUN,
text3,1,5,ist,ist,NOUN,
text3,1,6,die,die,VERB,
text3,1,7,Vorfreude,Vorfreude,PROPN,ORG_B
text3,1,8,wachsender,wachsender,NOUN,
text3,1,9,Enttäuschung,Enttäuschung,PROPN,PERSON_B
text3,1,10,gewichen,gewichen,NOUN,
text3,1,11,.,.,PUNCT,
text3,2,1,Ein,Ein,PROPN,
text3,2,2,breites,breite,VERB,
text3,2,3,Bündnis,Bündnis,PROPN,PERSON_B
text3,2,4,aus,aus,ADP,PERSON_I
text3,2,5,Organisationen,Organisationen,PROPN,PERSON_I
text3,2,6,der,der,PROPN,
text3,2,7,Zivilgesellschaft,Zivilgesellschaft,PROPN,ORG_B
text3,2,8,",",",",PUNCT,
text3,2,9,Wissenschaft,Wissenschaft,PROPN,ORG_B
text3,2,10,und,und,VERB,
text3,2,11,Open,open,ADJ,
text3,2,12,-,-,PUNCT,
text3,2,13,Source,Source,PROPN,
text3,2,14,-,-,PUNCT,
text3,2,15,Wirtschaft,Wirtschaft,PROPN,
text3,2,16,zieht,zieht,PROPN,
text3,2,17,zur,zur,PROPN,
text3,2,18,Halbzeit,Halbzeit,PROPN,GPE_B
text3,2,19,der,der,PROPN,
text3,2,20,Legislaturperiode,Legislaturperiode,PROPN,PRODUCT_B
text3,2,21,eine,eine,NOUN,
text3,2,22,negative,negative,ADJ,
text3,2,23,Bilanz,Bilanz,PROPN,ORG_B
text3,2,24,.,.,PUNCT,
text3,3,1,In,in,ADP,
text3,3,2,einer,einer,NOUN,
text3,3,3,Erklärung,Erklärung,PROPN,PERSON_B
text3,3,4,fordert,fordert,PROPN,
text3,3,5,es,es,X,
text3,3,6,die,die,NOUN,
text3,3,7,deutsche,deutsche,NOUN,
text3,3,8,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,3,9,auf,auf,PROPN,PERSON_I
text3,3,10,",",",",PUNCT,
text3,3,11,eine,eine,NOUN,
text3,3,12,„,„,PUNCT,
text3,3,13,nachhaltige,nachhaltige,ADJ,
text3,3,14,Digitalpolitik,Digitalpolitik,PROPN,ORG_B
text3,3,15,umzusetzen,umzusetzen,PROPN,
text3,3,16,und,und,VERB,
text3,3,17,i,I,PRON,
text3,3,18,m,m,AUX,
text3,3,19,Bundeshaushalt,Bundeshaushalt,PROPN,PERSON_B
text3,3,20,jetzt,jetzt,NOUN,
text3,3,21,die,die,VERB,
text3,3,22,nötigen,nötigen,NOUN,
text3,3,23,Mittel,Mittel,PROPN,ORG_B
text3,3,24,bereitzustellen,bereitzustellen,PROPN,
text3,3,25,“,"""",PUNCT,
text3,3,26,.,.,PUNCT,
text3,4,1,Andernfalls,andernfall,NOUN,
text3,4,2,drohe,drohe,PROPN,
text3,4,3,",",",",PUNCT,
text3,4,4,nicht,nicht,PROPN,PERSON_B
text3,4,5,zuletzt,zuletzt,PROPN,PERSON_I
text3,4,6,wegen,wegen,PROPN,PERSON_I
text3,4,7,der,der,PROPN,PERSON_I
text3,4,8,knappen,knappen,VERB,
text3,4,9,Zeit,Zeit,PROPN,ORG_B
text3,4,10,bis,bis,ADJ,
text3,4,11,zum,zum,NOUN,PERSON_B
text3,4,12,Ende,Ende,PROPN,PERSON_I
text3,4,13,der,der,NOUN,
text3,4,14,Legislaturperiode,Legislaturperiode,PROPN,PERSON_B
text3,4,15,",",",",PUNCT,
text3,4,16,ein,ein,PROPN,
text3,4,17,digitalpolitisches,digitalpolitische,VERB,
text3,4,18,Scheitern,Scheitern,PROPN,ORG_B
text3,4,19,.,.,PUNCT,
text5,1,1,*,*,PUNCT,
text5,1,2,*,*,PUNCT,
text5,1,3,Die,die,VERB,
text5,1,4,Versprechen,Versprechen,PROPN,
text5,1,5,der,der,PROPN,
text5,1,6,Ampel,Ampel,PROPN,ORG_B
text5,1,7,-,-,PUNCT,ORG_I
text5,1,8,Koalition,Koalition,PROPN,ORG_I
text5,1,9,*,*,PUNCT,
text5,1,10,*,*,PUNCT,
text7,1,1,Dem,Dem,PROPN,PERSON_B
text7,1,2,Bündnis,Bündnis,PROPN,PERSON_I
