doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Daten,Daten,PROPN,
text1,1,3,von,von,PROPN,
text1,1,4,121,121,NUM,
text1,1,5,Millionen,Millionen,PROPN,
text1,1,6,Fluggästen,Fluggästen,PROPN,
text1,1,7,landeten,landeten,VERB,
text1,1,8,i,I,PRON,
text1,1,9,m,m,AUX,
text1,1,10,zurückliegenden,zurückliegenden,VERB,PERSON_B
text1,1,11,Jahr,Jahr,PROPN,PERSON_I
text1,1,12,bei,bei,NOUN,
text1,1,13,der,der,NOUN,
text1,1,14,Fluggastdatenzentralstelle,Fluggastdatenzentralstelle,PROPN,PERSON_B
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Bundeskriminalamt,Bundeskriminalamt,PROPN,PERSON_B
text1,2,4,(,(,PUNCT,
text1,2,5,BKA,BKA,PROPN,ORG_B
text1,2,6,),),PUNCT,
text1,2,7,.,.,PUNCT,
text1,3,1,Insgesamt,Insgesamt,PROPN,
text1,3,2,übermittelten,übermittelten,ADJ,
text1,3,3,die,die,VERB,
text1,3,4,Flugunternehmen,Flugunternehmen,PROPN,PERSON_B
text1,3,5,424,424,NUM,PERSON_I
text1,3,6,Millionen,Millionen,PROPN,PERSON_I
text1,3,7,sogenannte,sogenannte,NOUN,
text1,3,8,Passenger,Passenger,PROPN,ORG_B
text1,3,9,Name,Name,PROPN,ORG_I
text1,3,10,Records,Records,PROPN,ORG_I
text1,3,11,(,(,PUNCT,
text1,3,12,PNR,PNR,PROPN,ORG_B
text1,3,13,),),PUNCT,
text1,3,14,.,.,PUNCT,
text1,4,1,Ein,Ein,PROPN,PERSON_B
text1,4,2,Jahr,Jahr,PROPN,PERSON_I
text1,4,3,zuvor,zuvor,VERB,
text1,4,4,waren,waren,PROPN,PERSON_B
text1,4,5,es,es,ADP,
text1,4,6,etwa,etwa,NOUN,
text1,4,7,halb,halb,PROPN,
text1,4,8,so,so,SCONJ,
text1,4,9,viele,viele,PROPN,
text1,4,10,",",",",PUNCT,
text1,4,11,2020,2020,NUM,DATE_B
text1,4,12,noch,noch,ADV,
text1,4,13,rund,rund,VERB,
text1,4,14,100,100,NUM,CARDINAL_B
text1,4,15,Millionen,Millionen,PROPN,PERSON_B
text1,4,16,.,.,PUNCT,
text1,5,1,Das,Das,PROPN,
text1,5,2,geht,geht,PROPN,ORG_B
text1,5,3,aus,aus,PROPN,ORG_I
text1,5,4,der,der,PROPN,ORG_I
text1,5,5,Antwort,Antwort,PROPN,
text1,5,6,auf,auf,PROPN,
text1,5,7,eine,eine,NOUN,
text1,5,8,Kleine,Kleine,PROPN,PRODUCT_B
text1,5,9,Anfrage,Anfrage,PROPN,PRODUCT_I
