doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Das,Das,PROPN,ORG_B
text1,1,2,Verhandlungspapier,Verhandlungspapier,PROPN,NORP_B
text1,1,3,der,der,PROPN,
text1,1,4,„,„,PROPN,
text1,1,5,AG,AG,PROPN,ORG_B
text1,1,6,1,1,NUM,
text1,1,7,–,–,PUNCT,
text1,1,8,Innen,Innen,PROPN,
text1,1,9,",",",",PUNCT,
text1,1,10,Recht,Recht,PROPN,GPE_B
text1,1,11,",",",",PUNCT,
text1,1,12,Migration,Migration,PROPN,ORG_B
text1,1,13,und,und,PROPN,ORG_I
text1,1,14,Integration,Integration,PROPN,ORG_I
text1,1,15,“,"""",PUNCT,
text1,1,16,mit,mit,NOUN,
text1,1,17,Stand,Stand,PROPN,PERSON_B
text1,1,18,vom,vom,NOUN,
text1,1,19,24,24,NUM,CARDINAL_B
text1,1,20,.,.,PUNCT,
text1,2,1,März,März,PROPN,
text1,2,2,fordert,fordert,PROPN,
text1,2,3,massive,massive,ADJ,
text1,2,4,Verschärfungen,Verschärfungen,PROPN,PRODUCT_B
text1,2,5,in,in,ADP,
text1,2,6,der,der,PROPN,ORG_B
text1,2,7,Innen‑,innen‑,NOUN,ORG_I
text1,2,8,",",",",PUNCT,
text1,2,9,Sicherheits-,Sicherheits-,PROPN,
text1,2,10,und,und,PROPN,
text1,2,11,Migrationspolitik,Migrationspolitik,PROPN,
text1,2,12,.,.,PUNCT,
text3,1,1,So,so,ADV,
text3,1,2,wollen,wollen,ADJ,
text3,1,3,Union,Union,PROPN,
text3,1,4,und,und,VERB,
text3,1,5,SPD,SPD,PROPN,
text3,1,6,eine,eine,NOUN,
text3,1,7,„,„,PUNCT,
text3,1,8,Sicherheitsoffensive,sicherheitsoffensive,ADJ,
text3,1,9,“,"""",PUNCT,
text3,1,10,starten,starten,NOUN,
text3,1,11,",",",",PUNCT,
text3,1,12,bei,bei,PROPN,
text3,1,13,der,der,PROPN,
text3,1,14,sie,sie,PROPN,
text3,2,1,„,„,PUNCT,
text3,2,2,europa-,europa-,ADJ,
text3,2,3,und,und,NOUN,
text3,2,4,verfassungsrechtliche,verfassungsrechtliche,NOUN,
text3,2,5,Spielräume,Spielräume,PROPN,ORG_B
text3,2,6,ausschöpfen,ausschöpfen,PROPN,
text3,2,7,“,"""",PUNCT,
text3,2,8,.,.,PUNCT,
text3,3,1,Das,Das,PROPN,
text3,3,2,Verhältnis,Verhältnis,PROPN,
text3,3,3,zwischen,zwischen,ADP,
text3,3,4,Sicherheit,Sicherheit,PROPN,
text3,3,5,und,und,PROPN,
text3,3,6,Datenschutz,Datenschutz,PROPN,PERSON_B
text3,3,7,wollen,wollen,NOUN,
text3,3,8,sie,sie,NOUN,
text3,3,9,dabei,dabei,VERB,
text3,3,10,„,„,PROPN,
text3,3,11,neu,neu,PROPN,
text3,3,12,austarieren,austarieren,PROPN,
text3,3,13,“,"""",PUNCT,
text3,3,14,.,.,PUNCT,
text3,4,1,Damit,Damit,PROPN,ORG_B
text3,4,2,ist,ist,PROPN,
text3,4,3,der,der,PROPN,
text3,4,4,Tenor,Tenor,PROPN,
