doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Chatkontrolle,Chatkontrolle,PROPN,
text1,1,3,spaltet,spaltet,NOUN,
text1,1,4,die,die,VERB,
text1,1,5,EU,EU,PROPN,ORG_B
text1,1,6,.,.,PUNCT,
text1,2,1,Die,die,VERB,ORG_B
text1,2,2,Kommission,Kommission,PROPN,ORG_I
text1,2,3,will,will,AUX,
text1,2,4,Internetdienste,Internetdienste,PROPN,
text1,2,5,verpflichten,verpflichten,VERB,
text1,2,6,",",",",PUNCT,
text1,2,7,die,die,VERB,
text1,2,8,Inhalte,Inhalte,PROPN,NORP_B
text1,2,9,ihrer,ihrer,NOUN,
text1,2,10,Nutzer,Nutzer,PROPN,ORG_B
text1,2,11,auf,auf,PROPN,
text1,2,12,Straftaten,Straftaten,PROPN,
text1,2,13,zu,zu,NOUN,
text1,2,14,durchsuchen,durchsuchen,NOUN,
text1,2,15,und,und,VERB,
text1,2,16,diese,diese,PROPN,NORP_B
text1,2,17,an,an,DET,
text1,2,18,Behörden,Behörden,PROPN,GPE_B
text1,2,19,zu,zu,NOUN,
text1,2,20,schicken,schicken,NOUN,
text1,2,21,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,ORG_B
text1,3,2,Parlament,Parlament,PROPN,ORG_I
text1,3,3,bezeichnet,bezeichnet,NOUN,
text1,3,4,das,das,PROPN,
text1,3,5,als,al,NOUN,
text1,3,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,7,und,und,PROPN,
text1,3,8,fordert,fordert,NOUN,
text1,3,9,",",",",PUNCT,
text1,3,10,nur,nur,VERB,
text1,3,11,unverschlüsselte,unverschlüsselte,ADJ,
text1,3,12,Inhalte,Inhalte,PROPN,PERSON_B
text1,3,13,von,von,PROPN,PERSON_I
text1,3,14,Verdächtigen,Verdächtigen,PROPN,PERSON_I
text1,3,15,zu,zu,PROPN,PERSON_I
text1,3,16,scannen,scannen,NOUN,PERSON_I
text1,3,17,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Staaten,Staaten,PROPN,ORG_I
text3,2,1,streiten,streiten,NOUN,
text3,2,2,seit,seit,NOUN,
text3,2,3,zwei,zwei,PROPN,
text3,2,4,Jahren,Jahren,PROPN,
text3,2,5,und,und,PROPN,
text3,2,6,können,können,NOUN,ORG_B
text3,2,7,sich,sich,PROPN,
text3,2,8,nicht,nicht,PROPN,
text3,2,9,einigen,einigen,NOUN,
text3,2,10,.,.,PUNCT,
text3,3,1,Manche,Manche,PROPN,PERSON_B
text3,3,2,Länder,Länder,PROPN,PERSON_I
text3,3,3,unterstützen,unterstützen,NOUN,
text3,3,4,den,den,VERB,
text3,3,5,Vorschlag,Vorschlag,PROPN,ORG_B
text3,3,6,der,der,PROPN,
text3,3,7,Kommission,Kommission,PROPN,ORG_B
text3,3,8,",",",",PUNCT,
text3,3,9,andere,andere,VERB,
text3,3,10,eher,eher,ADJ,
text3,3,11,die,die,PROPN,
text3,3,12,Position,Position,PROPN,ORG_B
text3,3,13,des,des,PROPN,ORG_I
text3,3,14,Parlaments,Parlaments,PROPN,ORG_I
text3,3,15,.,.,PUNCT,
text3,4,1,Letzte,Letzte,PROPN,ORG_B
text3,4,2,Woche,Woche,PROPN,ORG_I
text3,4,3,hat,hat,NOUN,
text3,4,4,der,der,NOUN,
text3,4,5,Rat,Rat,PROPN,
text3,4,6,erneut,erneut,NOUN,
text3,4,7,in,in,ADP,
text3,4,8,der,der,PROPN,
text3,4,9,Arbeitsgruppe,Arbeitsgruppe,PROPN,PERSON_B
text3,4,10,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text3,4,11,verhandelt,verhandelt,ADV,
text3,4,12,.,.,PUNCT,
text3,5,1,Wir,Wir,PROPN,
text3,5,2,veröffentlichen,veröffentlichen,PROPN,
text3,5,3,ein,ein,PROPN,
text3,5,4,weiteres,weitere,VERB,
text3,5,5,Mal,Mal,PROPN,PERSON_B
text3,5,6,das,das,PROPN,PERSON_I
text3,5,7,eingestufte,eingestufte,NOUN,
text3,5,8,Protokoll,Protokoll,PROPN,ORG_B
text3,5,9,der,der,PROPN,
text3,5,10,Sitzung,Sitzung,PROPN,GPE_B
text3,5,11,.,.,PUNCT,
text5,1,1,#,#,SYM,
text5,1,2,#,#,NOUN,
text5,1,3,Anlasslos,Anlasslos,PROPN,
text5,1,4,und,und,PROPN,
text5,1,5,massenhaft,massenhaft,NOUN,ORG_B
text7,1,1,Die,die,VERB,ORG_B
text7,1,2,EU,EU,PROPN,ORG_I
text7,1,3,-,-,PUNCT,ORG_I
text7,1,4,Kommission,Kommission,PROPN,ORG_I
text7,1,5,will,will,AUX,
text7,1,6,Internetdienste,Internetdienste,PROPN,
text7,1,7,verpflichten,verpflichten,VERB,
text7,1,8,",",",",PUNCT,
text7,1,9,sämtliche,sämtliche,PROPN,
text7,1,10,Nutzer,Nutzer,PROPN,PERSON_B
text7,1,11,anlasslos,anlasslo,NOUN,PERSON_I
text7,1,12,zu,zu,PROPN,PERSON_I
text7,1,13,durchsuchen,durchsuchen,ADV,PERSON_I
text7,1,14,.,.,PUNCT,
text7,2,1,Der,Der,PROPN,PERSON_B
text7,2,2,Juristische,Juristische,PROPN,PERSON_I
text7,2,3,Dienst,Dienst,PROPN,PERSON_I
text7,2,4,des,des,X,
text7,2,5,Rats,Rats,PROPN,
text7,2,6,hält,hält,NOUN,
text7,2,7,diese,diese,ADJ,NORP_B
text7,2,8,allgemeine,allgemeine,ADJ,
text7,2,9,und,und,NOUN,
text7,2,10,unterschiedslose,unterschiedslose,VERB,
text7,2,11,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text7,2,12,für,für,NOUN,
text7,2,13,illegal,illegal,VERB,
text7,2,14,.,.,PUNCT,
text7,3,1,Das,Das,PROPN,
text7,3,2,EU,EU,PROPN,ORG_B
text7,3,3,-,-,PUNCT,ORG_I
text7,3,4,Parlament,Parlament,PROPN,ORG_I
text7,3,5,will,will,AUX,
text7,3,6,einen,einen,VERB,
text7,3,7,Anfangsverdacht,Anfangsverdacht,PROPN,PERSON_B
