doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Der,Der,PROPN,PERSON_B
text1,1,2,Deutsche,Deutsche,PROPN,PERSON_I
text1,1,3,Anwaltverein,Anwaltverein,PROPN,PERSON_I
text1,1,4,(,(,PUNCT,
text1,1,5,DAV,DAV,PROPN,ORG_B
text1,1,6,),),PUNCT,
text1,1,7,übt,übt,AUX,
text1,1,8,scharfe,scharfe,VERB,
text1,1,9,Kritik,Kritik,PROPN,PRODUCT_B
text1,1,10,an,an,DET,
text1,1,11,den,den,NOUN,
text1,1,12,Plänen,Plänen,PROPN,ORG_B
text1,1,13,der,der,PROPN,
text1,1,14,EU,EU,PROPN,ORG_B
text1,1,15,-,-,PUNCT,ORG_I
text1,1,16,Kommission,Kommission,PROPN,ORG_I
text1,1,17,für,für,NOUN,
text1,1,18,eine,eine,NOUN,
text1,1,19,sogenannte,sogenannte,NOUN,
text1,1,20,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,21,.,.,PUNCT,
text1,2,1,Der,Der,PROPN,PERSON_B
text1,2,2,Vorschlag,Vorschlag,PROPN,PERSON_I
text1,2,3,sei,sei,ADJ,
text1,2,4,in,in,ADP,
text1,2,5,weiten,weiten,ADJ,
text1,2,6,Teilen,Teilen,PROPN,PERSON_B
text1,2,7,unverhältnismäßig,unverhältnismäßig,NOUN,
text1,2,8,und,und,VERB,
text1,2,9,würde,würde,PROPN,
text1,2,10,unter,unter,PROPN,
text1,2,11,anderem,anderem,PROPN,
text1,2,12,„,„,PUNCT,
text1,2,13,auf,auf,PROPN,
text1,2,14,eine,eine,NOUN,
text1,2,15,automatisierte,automatisierte,NOUN,
text1,2,16,",",",",PUNCT,
text1,2,17,massenhafte,massenhafte,NOUN,
text1,2,18,Analyse,Analyse,PROPN,PERSON_B
text1,2,19,von,von,PROPN,PERSON_I
text1,2,20,Kommunikations(inhalts-)daten,Kommunikations(inhalts-)daten,PROPN,PERSON_I
text1,2,21,aller,aller,NOUN,
text1,2,22,Nutzer,Nutzer,PROPN,PERSON_B
text1,2,23,“,"""",PUNCT,
text1,2,24,hinauslaufen,hinauslaufen,PROPN,
text1,2,25,",",",",PUNCT,
text1,2,26,heißt,heißt,VERB,
text1,2,27,es,es,ADP,
text1,2,28,in,in,ADP,
text1,2,29,einer,einer,NOUN,
text1,2,30,letzte,letzte,NOUN,
text1,2,31,Woche,Woche,PROPN,ORG_B
text1,2,32,veröffentlichten,veröffentlichten,VERB,
text1,2,33,Stellungnahme,Stellungnahme,PROPN,ORG_B
text1,2,34,des,des,X,ORG_I
text1,2,35,Anwaltvereins,Anwaltvereins,PROPN,ORG_I
text1,2,36,.,.,PUNCT,
text1,3,1,Auch,auch,NOUN,
text1,3,2,die,die,VERB,
text1,3,3,derzeit,derzeit,ADJ,
text1,4,1,i,I,PRON,
text1,4,2,m,m,VERB,
text1,4,3,EU,EU,PROPN,ORG_B
text1,4,4,-,-,PUNCT,ORG_I
text1,4,5,Parlament,parlament,ADJ,ORG_I
text1,4,6,diskutierten,diskutierten,ADJ,ORG_I
text1,4,7,Änderungen,Änderungen,PROPN,ORG_I
text1,4,8,seien,seien,NOUN,
text1,4,9,nicht,nicht,NOUN,
text1,4,10,geeignet,geeignet,NOUN,
text1,4,11,",",",",PUNCT,
text1,4,12,sämtliche,sämtliche,NOUN,
text1,4,13,rechtliche,rechtliche,VERB,
text1,4,14,Bedenken,Bedenken,PROPN,GPE_B
text1,4,15,auszuräumen,auszuräuman,NOUN,
text1,4,16,.,.,PUNCT,
text3,1,1,„,„,PUNCT,
text3,1,2,Die,die,VERB,
text3,1,3,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,4,bedeutet,bedeutet,NOUN,
text3,1,5,letztlich,letztlich,NOUN,
text3,1,6,eine,eine,NOUN,
text3,1,7,vollständige,vollständige,PROPN,
text3,1,8,Aufhebung,Aufhebung,PROPN,ORG_B
text3,1,9,der,der,PROPN,
text3,1,10,Vertraulichkeit,Vertraulichkeit,PROPN,ORG_B
text3,1,11,der,der,PROPN,ORG_I
text3,1,12,Kommunikation,Kommunikation,PROPN,ORG_I
text3,1,13,i,I,PRON,
text3,1,14,m,m,VERB,
text3,1,15,digitalen,digitalen,ADJ,
text3,1,16,Raum,Raum,PROPN,PERSON_B
text3,1,17,“,"""",PUNCT,
text3,1,18,",",",",PUNCT,
text3,1,19,sagt,sagt,ADP,
text3,1,20,Rechtsanwalt,Rechtsanwalt,PROPN,PERSON_B
text3,1,21,David,David,PROPN,PERSON_I
text3,1,22,Albrecht,Albrecht,PROPN,PERSON_I
text3,1,23,",",",",PUNCT,
text3,1,24,Mitglied,mitglie,VERB,
text3,1,25,i,I,PRON,
text3,1,26,m,m,VERB,
text3,1,27,Ausschuss,Ausschuss,PROPN,PERSON_B
text3,1,28,Gefahrenabwehrrecht,Gefahrenabwehrrecht,PROPN,PERSON_I
text3,1,29,des,des,X,
text3,1,30,DAV,DAV,PROPN,ORG_B
text3,1,31,",",",",PUNCT,
text3,1,32,in,in,ADP,
text3,1,33,einer,einer,NOUN,
text3,1,34,Pressemitteilung,Pressemitteilung,PROPN,PERSON_B
text3,1,35,.,.,PUNCT,
text3,2,1,Insgesamt,Insgesamt,PROPN,
text3,2,2,seien,seien,NOUN,
text3,2,3,die,die,VERB,
text3,2,4,Pläne,Pläne,PROPN,PERSON_B
text3,2,5,nicht,nicht,PROPN,
text3,2,6,mit,mit,VERB,
text3,2,7,der,der,PROPN,
text3,2,8,Grundrechtecharta,Grundrechtecharta,PROPN,GPE_B
text3,2,9,der,der,NOUN,
text3,2,10,Europäischen,Europäischen,PROPN,ORG_B
text3,2,11,Union,Union,PROPN,ORG_I
text3,2,12,vereinbar,vereinbar,NOUN,
text3,2,13,",",",",PUNCT,
text3,2,14,so,so,ADV,
text3,2,15,Albrecht,Albrecht,PROPN,ORG_B
text3,2,16,.,.,PUNCT,
text3,3,1,Ohne,Ohne,PROPN,PERSON_B
text3,3,2,Änderungen,Änderungen,PROPN,PERSON_I
text3,3,3,würde,würde,NOUN,
text3,3,4,der,der,PROPN,
text3,3,5,Europäische,Europäische,PROPN,PERSON_B
text3,3,6,Gerichtshof,Gerichtshof,PROPN,PERSON_I
text3,3,7,(,(,PUNCT,
