doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,In,in,ADP,
text1,1,2,den,den,NOUN,
text1,1,3,USA,USA,PROPN,GPE_B
text1,1,4,lobbyiert,lobbyiert,NOUN,
text1,1,5,eine,eine,NOUN,
text1,1,6,Organisation,Organisation,PROPN,ORG_B
text1,1,7,namens,namen,VERB,
text1,1,8,Heat,Heat,PROPN,PERSON_B
text1,1,9,Initiative,Initiative,PROPN,PERSON_I
text1,1,10,für,für,NOUN,
text1,1,11,ein,ein,PROPN,
text1,1,12,Ende,Ende,PROPN,ORG_B
text1,1,13,der,der,PROPN,
text1,1,14,Verschlüsselung,Verschlüsselung,PROPN,PERSON_B
text1,1,15,und,und,PROPN,
text1,1,16,die,die,VERB,
text1,1,17,Durchsuchung,Durchsuchung,PROPN,PERSON_B
text1,1,18,von,von,PROPN,PERSON_I
text1,1,19,Dateien,Dateien,PROPN,PERSON_I
text1,1,20,auf,auf,PROPN,
text1,1,21,den,den,VERB,
text1,1,22,Endgeräten,Endgeräten,PROPN,PERSON_B
text1,1,23,der,der,NOUN,PERSON_I
text1,1,24,Menschen,Menschen,PROPN,PERSON_I
text1,1,25,.,.,PUNCT,PERSON_I
text1,2,1,Die,die,VERB,ORG_B
text1,2,2,Organisation,Organisation,PROPN,ORG_I
text1,2,3,ist,ist,VERB,
text1,2,4,erst,erst,ADJ,
text1,2,5,seit,seit,NOUN,
text1,2,6,Anfang,Anfang,PROPN,PERSON_B
text1,2,7,dieses,diesis,NOUN,
text1,2,8,Jahres,Jahres,PROPN,PERSON_B
text1,2,9,aktiv,aktiv,PROPN,PERSON_I
text1,2,10,und,und,PROPN,
text1,2,11,hat,hat,NOUN,
text1,2,12,sich,sich,PROPN,
text1,2,13,den,den,VERB,
text1,2,14,Apple,Apple,PROPN,ORG_B
text1,2,15,-,-,PUNCT,ORG_I
text1,2,16,Konzern,konzern,ADJ,ORG_I
text1,2,17,als,al,NOUN,
text1,2,18,Ziel,Ziel,PROPN,
text1,2,19,seiner,seiner,NOUN,
text1,2,20,Kommunikation,Kommunikation,PROPN,
text1,2,21,herausgesucht,herausgesucht,PROPN,
text1,2,22,.,.,PUNCT,
text1,3,1,Offiziell,Offiziell,PROPN,
text1,3,2,geht,geht,VERB,
text1,3,3,es,es,PROPN,
text1,3,4,der,der,PROPN,
text1,3,5,Heat,Heat,PROPN,
text1,3,6,Initiative,Initiative,PROPN,
text1,3,7,um,um,INTJ,
text1,3,8,den,den,VERB,
text1,3,9,Schutz,Schutz,PROPN,PERSON_B
text1,3,10,von,von,PROPN,PERSON_I
text1,3,11,Kindern,Kindern,PROPN,PERSON_I
text1,3,12,vor,vor,VERB,
text1,3,13,Missbrauch,Missbrauch,PROPN,
text1,3,14,",",",",PUNCT,
text1,3,15,politisch,politisch,VERB,
text1,3,16,ist,ist,PROPN,
text1,3,17,die,die,PROPN,
text1,3,18,Organisation,Organisation,PROPN,
text1,3,19,aber,aber,PROPN,
text1,3,20,ein,ein,PROPN,
text1,3,21,Akteur,Akteur,PROPN,ORG_B
text1,3,22,gegen,gegen,NOUN,
text1,3,23,vertrauliche,vertrauliche,PROPN,
text1,3,24,und,und,PROPN,
text1,3,25,verschlüsselte,verschlüsselte,PROPN,
text1,3,26,Kommunikation,Kommunikation,PROPN,ORG_B
text1,3,27,.,.,PUNCT,
text3,1,1,Wie,Wie,PROPN,ORG_B
text3,1,2,The,the,DET,ORG_I
text3,1,3,Intercept,Intercept,PROPN,ORG_I
text3,1,4,berichtet,berichtet,NOUN,
text3,1,5,",",",",PUNCT,
text3,1,6,schaltete,schaltete,ADJ,
text3,1,7,die,die,VERB,
text3,1,8,Heat,Heat,PROPN,ORG_B
text3,1,9,Initiative,Initiative,PROPN,ORG_I
text3,1,10,zur,zur,PROPN,
text3,1,11,Vorstellung,Vorstellung,PROPN,
text3,1,12,des,des,NOUN,
text3,1,13,neuen,neuen,NOUN,
text3,1,14,iPhones,iPhones,PROPN,ORG_B
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,September,September,PROPN,DATE_B
text3,2,4,eine,eine,NOUN,
text3,2,5,ganzseitige,ganzseitige,X,
text3,2,6,Anzeige,Anzeige,PROPN,PERSON_B
text3,2,7,in,in,ADP,
text3,2,8,der,der,PROPN,
text3,2,9,New,New,PROPN,ORG_B
text3,2,10,York,York,PROPN,ORG_I
text3,2,11,Times,Times,PROPN,ORG_I
text3,2,12,und,und,VERB,
text3,2,13,mietete,mietete,ADJ,
text3,2,14,sogar,sogar,NOUN,
text3,2,15,ein,ein,PROPN,
text3,2,16,Flugzeug,Flugzeug,PROPN,PRODUCT_B
text3,2,17,",",",",PUNCT,
text3,2,18,das,das,PROPN,
text3,2,19,mit,mit,NOUN,
text3,2,20,einer,einer,NOUN,
text3,2,21,Banner,Banner,PROPN,ORG_B
text3,2,22,-,-,PUNCT,ORG_I
text3,2,23,Botschaft,Botschaft,PROPN,ORG_I
text3,2,24,über,über,NOUN,
text3,2,25,die,die,VERB,
text3,2,26,Apple,Apple,PROPN,ORG_B
text3,2,27,-,-,PUNCT,ORG_I
text3,2,28,Zentrale,Zentrale,PROPN,ORG_I
text3,2,29,flog,flog,NOUN,
text3,2,30,.,.,PUNCT,
text3,3,1,Die,die,VERB,ORG_B
text3,3,2,Botschaft,Botschaft,PROPN,ORG_I
text3,3,3,auf,auf,PROPN,
text3,3,4,dem,dem,PROPN,NORP_B
text3,3,5,Banner,Banner,PROPN,PERSON_B
text3,3,6,:,:,PUNCT,
text3,3,7,„,„,PUNCT,
text3,3,8,Dear,Dear,PROPN,
text3,3,9,Apple,Apple,PROPN,
text3,3,10,",",",",PUNCT,
text3,3,11,Detect,Detect,PROPN,
text3,3,12,Child,Child,PROPN,
text3,3,13,Sexual,Sexual,PROPN,
text3,3,14,Abuse,Abuse,PROPN,
text3,3,15,in,in,ADP,
text3,3,16,iCloud,iCloud,PROPN,
text3,3,17,“,"""",PUNCT,
text3,3,18,–,–,PUNCT,
text3,3,19,ein,ein,PROPN,PERSON_B
text3,3,20,Aufruf,Aufruf,PROPN,PERSON_I
text3,3,21,dazu,dazu,NOUN,
text3,3,22,",",",",PUNCT,
text3,3,23,dass,dass,NOUN,
text3,3,24,der,der,PROPN,
text3,3,25,Konzern,Konzern,PROPN,PERSON_B
text3,3,26,in,in,ADP,
text3,3,27,den,den,NOUN,
text3,3,28,(,(,PUNCT,
text3,3,29,verschlüsselten,verschlüsselten,NOUN,
text3,3,30,),),PUNCT,
text3,3,31,Daten,daten,NOUN,
text3,3,32,seiner,seiner,NOUN,
text3,3,33,Nutzer,Nutzer,PROPN,PERSON_B
text3,3,34,:,:,PUNCT,
text3,4,1,innen,innen,NOUN,
text3,4,2,nach,nach,NOUN,
text3,4,3,Darstellungen,Darstellungen,PROPN,ORG_B
text3,4,4,von,von,PROPN,
text3,4,5,Kindesmissbrauch,Kindesmissbrauch,PROPN,
text3,4,6,suchen,suchen,PROPN,
text3,4,7,solle,solle,NOUN,
text3,4,8,.,.,PUNCT,
text5,1,1,Schon,Schon,PROPN,
text5,1,2,Anfang,Anfang,PROPN,PERSON_B
text5,1,3,September,September,PROPN,PERSON_I
text5,1,4,hatte,hatte,NOUN,PERSON_B
text5,1,5,Apple,Apple,PROPN,PERSON_I
text5,1,6,verkündet,verkündet,NOUN,
text5,1,7,",",",",PUNCT,
text5,1,8,dass,dass,NOUN,
text5,1,9,es,es,X,
text5,1,10,unmöglich,unmöglich,ADJ,
text5,1,11,sei,sei,ADJ,
text5,1,12,",",",",PUNCT,
text5,1,13,Bilder,Bilder,PROPN,
text5,1,14,in,in,ADP,
text5,1,15,der,der,ADJ,
text5,1,16,iCloud,iCloud,PROPN,
text5,1,17,zu,zu,PROPN,
text5,1,18,scannen,scannen,NOUN,
text5,1,19,und,und,NOUN,
text5,1,20,die,die,PROPN,
text5,1,21,Privatsphäre,Privatsphäre,PROPN,PERSON_B
text5,1,22,und,und,VERB,
text5,1,23,Sicherheit,Sicherheit,PROPN,
text5,1,24,der,der,PROPN,
text5,1,25,eigenen,eigenen,NOUN,
text5,1,26,Nutzer,Nutzer,PROPN,
text5,1,27,:,:,PUNCT,
text5,1,28,innen,innen,NOUN,
text5,1,29,zu,zu,ADJ,
text5,1,30,wahren,wahren,NOUN,
text5,1,31,.,.,PUNCT,
text5,2,1,Damit,Damit,PROPN,ORG_B
text5,2,2,verabschiedete,verabschiedete,ADJ,
text5,2,3,sich,sich,PROPN,
text5,2,4,Apple,Apple,PROPN,ORG_B
text5,2,5,von,von,PROPN,
text5,2,6,früheren,früheren,PROPN,
text5,2,7,Plänen,Plänen,PROPN,ORG_B
text5,2,8,.,.,PUNCT,
text5,3,1,Apple,Apple,PROPN,ORG_B
text5,3,2,hatte,hatte,PROPN,
text5,3,3,das,das,PROPN,
text5,3,4,Statement,Statement,PROPN,
text5,3,5,als,al,NOUN,
text5,3,6,Antwort,Antwort,PROPN,GPE_B
text5,3,7,auf,auf,PROPN,
text5,3,8,die,die,VERB,
text5,3,9,Ankündigung,Ankündigung,PROPN,
text5,3,10,einer,einer,NOUN,
text5,3,11,großangelegten,großangelegten,VERB,
text5,3,12,Kampagne,Kampagne,PROPN,ORG_B
text5,3,13,der,der,PROPN,
text5,3,14,damals,damal,NOUN,
text5,3,15,noch,noch,PROPN,
text5,3,16,unbekannten,unbekannten,PROPN,
text5,3,17,Heat,Heat,PROPN,ORG_B
text5,3,18,Initiative,Initiative,PROPN,ORG_I
text5,3,19,herausgegeben,herausgegeben,NOUN,
text5,3,20,",",",",PUNCT,
text5,3,21,wie,wie,NOUN,
text5,3,22,Wired,Wired,PROPN,
text5,3,23,berichtete,berichtete,NOUN,
text5,3,24,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Verbindungen,Verbindungen,PROPN,PERSON_B
text7,1,4,zu,zu,PROPN,PERSON_I
text7,1,5,Oak,Oak,PROPN,PERSON_I
text7,1,6,Foundation,Foundation,PROPN,PERSON_I
text7,1,7,und,und,VERB,
text7,1,8,Thorn,Thorn,PROPN,
text9,1,1,Hinter,Hinter,PROPN,
text9,1,2,der,der,NOUN,
text9,1,3,Heat,Heat,PROPN,PERSON_B
text9,1,4,Initiative,Initiative,PROPN,PERSON_I
text9,1,5,steht,steht,NOUN,
text9,1,6,unter,unter,NOUN,PERSON_B
text9,1,7,anderem,anderem,PROPN,PERSON_I
text9,1,8,der,der,PROPN,PERSON_I
text9,1,9,millionenschwere,millionenschwere,PROPN,
text9,1,10,Hopewell,Hopewell,PROPN,ORG_B
text9,1,11,Fund,Fund,PROPN,ORG_I
text9,1,12,",",",",PUNCT,
text9,1,13,der,der,PROPN,
text9,1,14,den,den,PROPN,
text9,1,15,amerikanischen,amerikanischen,NOUN,
text9,1,16,Demokraten,Demokraten,PROPN,PERSON_B
text9,1,17,nahesteht,nahesteht,NOUN,
text9,1,18,.,.,PUNCT,
text9,2,1,Gesicht,Gesicht,PROPN,ORG_B
text9,2,2,der,der,NOUN,ORG_I
text9,2,3,Heat,Heat,PROPN,ORG_I
text9,2,4,Initiative,Initiative,PROPN,ORG_I
text9,2,5,ist,ist,NOUN,
text9,2,6,hingegen,hingegen,PROPN,
text9,2,7,Sarah,Sarah,PROPN,PERSON_B
