doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Donnerstagmorgen,Donnerstagmorgen,PROPN,ORG_B
text1,1,2,",",",",PUNCT,
text1,1,3,8:30,8:30,NUM,TIME_B
text1,1,4,Uhr,Uhr,PROPN,
text1,1,5,in,in,ADP,
text1,1,6,einer,einer,NOUN,
text1,1,7,Grundschule,Grundschule,PROPN,PERSON_B
text1,1,8,in,in,ADP,
text1,1,9,Berlin,Berlin,PROPN,GPE_B
text1,1,10,-,-,PUNCT,
text1,1,11,Mitte,Mitte,PROPN,
text1,1,12,.,.,PUNCT,
text1,2,1,Julian,Julian,PROPN,PERSON_B
text1,2,2,Bühler,Bühler,PROPN,PERSON_I
text1,2,3,steht,steht,VERB,
text1,2,4,auf,auf,PROPN,
text1,2,5,der,der,PROPN,PERSON_B
text1,2,6,Bühne,Bühne,PROPN,PERSON_I
text1,2,7,in,in,ADP,
text1,2,8,der,der,PROPN,
text1,2,9,Aula,Aula,PROPN,PERSON_B
text1,2,10,",",",",PUNCT,
text1,2,11,in,in,ADP,
text1,2,12,den,den,NOUN,
text1,2,13,Reihen,Reihen,PROPN,GPE_B
text1,2,14,vor,vor,NOUN,
text1,2,15,ihm,ihm,NOUN,
text1,2,16,sitzen,sitzen,NOUN,
text1,2,17,Kinder,Kinder,PROPN,ORG_B
text1,2,18,aus,aus,PROPN,ORG_I
text1,2,19,der,der,PROPN,ORG_I
text1,2,20,fünften,fünften,PROPN,
text1,2,21,und,und,PROPN,
text1,2,22,sechsten,sechsten,VERB,
text1,2,23,Klasse,Klasse,PROPN,NORP_B
text1,2,24,",",",",PUNCT,
text1,2,25,Zehn-,Zehn-,PROPN,
text1,2,26,bis,bis,X,
text1,2,27,Elfjährige,Elfjährige,PROPN,PERSON_B
text1,2,28,.,.,PUNCT,
text1,3,1,In,in,ADP,
text1,3,2,den,den,NOUN,
text1,3,3,kommenden,kommenden,NOUN,
text1,3,4,anderthalb,anderthalb,NOUN,
text1,3,5,Stunden,Stunden,PROPN,GPE_B
text1,3,6,spricht,spricht,NOUN,
text1,3,7,Bühler,Bühler,PROPN,ORG_B
text1,3,8,mit,mit,NOUN,
text1,3,9,ihnen,ihnen,NOUN,
text1,3,10,über,über,PROPN,
text1,3,11,Dinge,Dinge,PROPN,GPE_B
text1,3,12,",",",",PUNCT,
text1,3,13,die,die,AUX,
text1,3,14,für,für,ADV,
text1,3,15,die,die,VERB,
text1,3,16,meisten,meisten,NOUN,PERSON_B
text1,3,17,von,von,PROPN,PERSON_I
text1,3,18,ihnen,ihnen,PROPN,PERSON_I
text1,3,19,zum,zum,NOUN,PERSON_B
text1,3,20,Alltag,Alltag,PROPN,PERSON_I
text1,3,21,gehören,gehören,PROPN,
text1,3,22,:,:,PUNCT,
text1,3,23,ihre,ihre,ADJ,
text1,3,24,liebsten,liebsten,NOUN,
text1,3,25,Apps,Apps,PROPN,ORG_B
text1,3,26,",",",",PUNCT,
text1,3,27,die,die,VERB,
text1,3,28,Zahl,Zahl,PROPN,GPE_B
text1,3,29,der,der,NOUN,
text1,3,30,Push,Push,PROPN,ORG_B
text1,3,31,-,-,PUNCT,ORG_I
text1,3,32,Benachrichtigungen,Benachrichtigungen,PROPN,ORG_I
text1,3,33,",",",",PUNCT,
text1,3,34,die,die,VERB,
text1,3,35,sie,sie,PROPN,
text1,3,36,pro,pro,PROPN,
text1,3,37,Tag,Tag,PROPN,
text1,3,38,bekommen,bekommen,PROPN,
text1,3,39,",",",",PUNCT,
text1,3,40,über,über,PROPN,
text1,3,41,Gruselvideos,Gruselvideos,PROPN,GPE_B
text1,3,42,und,und,PROPN,
text1,3,43,Nacktaufnahmen,Nacktaufnahmen,PROPN,GPE_B
text1,3,44,.,.,PUNCT,
text1,4,1,Sie,Sie,PROPN,
text1,4,2,melden,melden,ADJ,
text1,4,3,sich,sich,PROPN,
text1,4,4,",",",",PUNCT,
text1,4,5,als,al,NOUN,
text1,4,6,er,er,INTJ,
text1,4,7,fragt,fragt,NOUN,
text1,4,8,",",",",PUNCT,
text1,4,9,ob,ob,DET,
text1,4,10,sie,sie,PROPN,
text1,4,11,schon,schon,VERB,
text1,4,12,mal,mal,ADJ,PERSON_B
text1,4,13,Einladungen,Einladungen,PROPN,PERSON_I
text1,4,14,von,von,PROPN,PERSON_I
text1,4,15,Fremden,Fremden,PROPN,PERSON_I
text1,4,16,auf,auf,PROPN,PERSON_I
text1,4,17,WhatsApp,WhatsApp,PROPN,ORG_B
text1,4,18,gefolgt,gefolgt,NOUN,
text1,4,19,sind,sind,NOUN,
text1,4,20,",",",",PUNCT,
text1,4,21,und,und,PROPN,
text1,4,22,erkennen,erkennen,NOUN,
text1,4,23,sofort,sofort,NOUN,
text1,4,24,ein,ein,PROPN,
text1,4,25,Bild,Bild,PROPN,ORG_B
text1,4,26,aus,aus,ADP,ORG_I
text1,4,27,der,der,PROPN,ORG_I
text1,4,28,blutrünstigen,blutrünstigen,NOUN,
text1,4,29,Netflix,Netflix,PROPN,ORG_B
text1,4,30,-,-,PUNCT,ORG_I
text1,4,31,Serie,Serie,PROPN,ORG_I
text1,4,32,Squid,Squid,PROPN,ORG_I
text1,4,33,Game,Game,PROPN,ORG_I
text1,4,34,.,.,PUNCT,
text3,1,1,„,„,PUNCT,
text3,1,2,Wie,Wie,PROPN,
text3,1,3,alt,alt,VERB,
text3,1,4,seid,seid,NOUN,
text3,1,5,ihr,ihr,PROPN,
text3,1,6,denn,denn,NOUN,
text3,1,7,auf,auf,PROPN,
text3,1,8,TikTok,TikTok,PROPN,ORG_B
text3,1,9,?,?,PUNCT,
text3,1,10,“,"""",PUNCT,
text3,1,11,",",",",PUNCT,
text3,1,12,will,will,AUX,
text3,1,13,Bühler,Bühler,PROPN,ORG_B
text3,1,14,wissen,wissen,VERB,
text3,1,15,.,.,PUNCT,
text3,2,1,Die,die,VERB,PERSON_B
text3,2,2,Kinder,Kinder,PROPN,PERSON_I
text3,2,3,lachen,lachen,PROPN,
text3,2,4,auf,auf,PROPN,
text3,2,5,",",",",PUNCT,
text3,2,6,einige,einige,PROPN,
text3,2,7,rufen,rufen,NOUN,
text3,2,8,rein,rein,PROPN,
text3,2,9,:,:,PUNCT,
text3,2,10,„,„,NOUN,
text3,2,11,18,18,NUM,CARDINAL_B
text3,2,12,!,!,PUNCT,
text3,2,13,“,"""",PUNCT,
text3,2,14,",",",",PUNCT,
text3,2,15,„,„,NOUN,
text3,2,16,25,25,NUM,CARDINAL_B
text3,2,17,!,!,PUNCT,
text3,2,18,“,"""",PUNCT,
text3,2,19,.,.,PUNCT,
