doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,
text1,1,2,Chatkontrolle,Chatkontrolle,PROPN,
text1,1,3,könnte,könnte,NOUN,
text1,1,4,bald,bald,ADJ,
text1,1,5,eine,eine,NOUN,
text1,1,6,wichtige,wichtige,PROPN,
text1,1,7,Hürde,Hürde,PROPN,ORG_B
text1,1,8,i,I,PRON,
text1,1,9,m,m,VERB,
text1,1,10,EU,EU,PROPN,ORG_B
text1,1,11,-,-,PUNCT,ORG_I
text1,1,12,Gesetzgebungsprozess,gesetzgebungsprozess,ADJ,ORG_I
text1,1,13,nehmen,nehman,NOUN,
text1,1,14,.,.,PUNCT,
text1,2,1,Kurz,Kurz,PROPN,PERSON_B
text1,2,2,vor,vor,NOUN,
text1,2,3,einer,einer,NOUN,
text1,2,4,geplanten,geplanten,VERB,
text1,2,5,Abstimmung,Abstimmung,PROPN,ORG_B
text1,3,1,i,I,PRON,
text1,3,2,m,m,VERB,
text1,3,3,Rat,Rat,PROPN,
text1,3,4,wird,wird,PROPN,
text1,3,5,nicht,nicht,PROPN,
text1,3,6,nur,nur,AUX,
text1,3,7,die,die,VERB,
text1,3,8,Kritik,Kritik,PROPN,PERSON_B
text1,3,9,an,an,DET,PERSON_I
text1,3,10,dem,dem,ADJ,PERSON_I
text1,3,11,Vorhaben,Vorhaben,PROPN,PERSON_I
text1,3,12,noch,noch,ADV,
text1,3,13,einmal,einmal,ADJ,
text1,3,14,lauter,lauter,NOUN,
text1,3,15,.,.,PUNCT,
text1,4,1,Auch,auch,NOUN,
text1,4,2,die,die,VERB,
text1,4,3,Befürworter*innen,befürworter*innen,NOUN,
text1,4,4,der,der,NOUN,
text1,4,5,Chatkontrolle,Chatkontrolle,PROPN,GPE_B
text1,4,6,lobbyieren,lobbyieren,PROPN,
text1,4,7,derzeit,derzeit,PROPN,
text1,4,8,massiv,massiv,PROPN,
text1,4,9,.,.,PUNCT,
text1,5,1,Dabei,Dabei,PROPN,
text1,5,2,scheuen,scheuen,PROPN,ORG_B
text1,5,3,sie,sie,PROPN,ORG_I
text1,5,4,nicht,nicht,PROPN,ORG_I
text1,5,5,davor,davor,VERB,
text1,5,6,zurück,zurück,PROPN,
text1,5,7,",",",",PUNCT,
text1,5,8,grobe,grobe,PROPN,
text1,5,9,Foulspiele,Foulspiele,PROPN,ORG_B
text1,5,10,zu,zu,PROPN,
text1,5,11,begehen,begehen,NOUN,
text1,5,12,.,.,PUNCT,
text3,1,1,Das,Das,PROPN,
text3,1,2,zeigt,zeigt,PROPN,PERSON_B
text3,1,3,aktuell,aktuell,PROPN,PERSON_I
text3,1,4,nicht,nicht,PROPN,ORG_B
text3,1,5,nur,nur,VERB,
text3,1,6,das,das,PROPN,ORG_B
text3,1,7,Mikrotargeting,Mikrotargeting,PROPN,ORG_I
text3,1,8,der,der,PROPN,
text3,1,9,EU,EU,PROPN,ORG_B
text3,1,10,-,-,PUNCT,
text3,1,11,Kommissarin,Kommissarin,PROPN,PERSON_B
text3,1,12,Ylva,Ylva,PROPN,PERSON_I
text3,1,13,Johannson,Johannson,PROPN,PERSON_I
text3,1,14,",",",",PUNCT,
text3,1,15,sondern,sondern,ADJ,
text3,1,16,auch,auch,ADJ,
text3,1,17,eine,eine,NOUN,
text3,1,18,aktuelle,aktuelle,NOUN,
text3,1,19,Umfrage,Umfrage,PROPN,
text3,1,20,der,der,NOUN,
text3,1,21,Kinderschutzorganisationen,Kinderschutzorganisationen,PROPN,PERSON_B
text3,1,22,ECPAT,ECPAT,PROPN,PERSON_I
text3,1,23,International,International,PROPN,PERSON_I
text3,1,24,und,und,PROPN,
text3,1,25,NSPCC,NSPCC,PROPN,ORG_B
text3,1,26,.,.,PUNCT,
text3,2,1,Aus,Aus,PROPN,PERSON_B
text3,2,2,Sicht,Sicht,PROPN,PERSON_I
text3,2,3,beider,beider,NOUN,
text3,2,4,Organisationen,Organisationen,PROPN,PERSON_B
text3,2,5,rechtfertigen,rechtfertigen,NOUN,
text3,2,6,die,die,VERB,
text3,2,7,am,be,AUX,
text3,2,8,vergangenen,vergangenen,NOUN,
text3,2,9,Freitag,Freitag,PROPN,ORG_B
text3,2,10,veröffentlichten,veröffentlichten,VERB,
text3,2,11,Ergebnisse,Ergebnisse,PROPN,
text3,2,12,",",",",PUNCT,
text3,2,13,dass,dass,NOUN,
text3,2,14,es,es,PROPN,
text3,2,15,„,„,PUNCT,
text3,2,16,dringend,dringend,NOUN,
text3,2,17,“,"""",PUNCT,
text3,2,18,einer,einer,NOUN,
text3,2,19,Gesetzgebung,Gesetzgebung,PROPN,PERSON_B
text3,2,20,bedarf,bedarf,PROPN,PERSON_I
text3,2,21,",",",",PUNCT,
text3,2,22,„,„,PUNCT,
text3,2,23,um,um,INTJ,
text3,2,24,Kinder,Kinder,PROPN,NORP_B
text3,2,25,vor,vor,VERB,
text3,2,26,sexueller,sexueller,NOUN,
text3,2,27,Ausbeutung,Ausbeutung,PROPN,PERSON_B
text3,2,28,zu,zu,ADJ,
text3,2,29,schützen,schützen,NOUN,
text3,2,30,“,"""",PUNCT,
text3,2,31,.,.,PUNCT,
text5,1,1,Demnach,Demnach,PROPN,PERSON_B
text5,1,2,würden,würden,NOUN,GPE_B
text5,1,3,sich,sich,ADJ,
text5,1,4,mehr,mehr,NOUN,
text5,1,5,als,al,VERB,
text5,1,6,70,70,NUM,CARDINAL_B
text5,1,7,Prozent,Prozent,PROPN,ORG_B
text5,1,8,der,der,NOUN,
text5,1,9,Befragten,Befragten,PROPN,
text5,1,10,dafür,dafür,NOUN,
text5,1,11,aussprechen,aussprechen,NOUN,
text5,1,12,",",",",PUNCT,
text5,1,13,dass,dass,PROPN,
text5,1,14,Anbieter,Anbieter,PROPN,PERSON_B
text5,1,15,sogenannten,sogenannten,VERB,
text5,1,16,„,„,PUNCT,
text5,1,17,Kindesmissbrauch,Kindesmissbrauch,PROPN,WORK_OF_ART_B
text5,1,18,“,"""",PUNCT,
text5,1,19,aufdecken,aufdecken,ADJ,
text5,1,20,",",",",PUNCT,
text5,1,21,melden,melden,ADJ,
text5,1,22,und,und,ADJ,
text5,1,23,entfernen,entfernen,NOUN,
text5,1,24,–,–,PUNCT,
text5,1,25,auch,auch,PROPN,
