doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Am,be,AUX,
text1,1,2,vergangenen,vergangenen,NOUN,
text1,1,3,Mittwoch,Mittwoch,PROPN,PERSON_B
text1,1,4,hat,hat,PROPN,
text1,1,5,der,der,PROPN,
text1,1,6,Familienausschuss,Familienausschuss,PROPN,PERSON_B
text1,1,7,des,des,PROPN,
text1,1,8,Deutschen,Deutschen,PROPN,PERSON_B
text1,1,9,Bundestages,Bundestages,PROPN,PERSON_I
text1,1,10,über,über,PROPN,
text1,1,11,Ansätze,Ansätze,PROPN,PERSON_B
text1,1,12,zum,zum,NOUN,PERSON_I
text1,1,13,Kinderschutz,Kinderschutz,PROPN,PERSON_I
text1,1,14,beraten,beraten,NOUN,
text1,1,15,.,.,PUNCT,
text1,2,1,Während,während,VERB,
text1,2,2,sich,sich,PRON,
text1,2,3,Joachim,Joachim,PROPN,PERSON_B
text1,2,4,Türk,Türk,PROPN,PERSON_I
text1,2,5,",",",",PUNCT,
text1,2,6,Vizepräsident,Vizepräsident,PROPN,ORG_B
text1,2,7,des,des,X,ORG_I
text1,2,8,Kinderschutzbundes,Kinderschutzbundes,PROPN,ORG_I
text1,2,9,",",",",PUNCT,
text1,2,10,vor,vor,VERB,
text1,2,11,allem,allem,NOUN,
text1,2,12,für,für,NOUN,
text1,2,13,mehr,mehr,NOUN,
text1,2,14,Prävention,Prävention,PROPN,
text1,2,15,",",",",PUNCT,
text1,2,16,Bildung,Bildung,PROPN,
text1,2,17,und,und,PROPN,
text1,2,18,Zusammenarbeit,Zusammenarbeit,PROPN,GPE_B
text1,2,19,aussprach,aussprach,PROPN,
text1,2,20,",",",",PUNCT,
text1,2,21,forderte,forderte,NOUN,
text1,2,22,das,das,PROPN,ORG_B
text1,2,23,Bundeskriminalamt,Bundeskriminalamt,PROPN,ORG_I
text1,2,24,(,(,PUNCT,
text1,2,25,BKA,BKA,PROPN,ORG_B
text1,2,26,),),PUNCT,
text1,2,27,einmal,einmal,ADJ,
text1,2,28,mehr,mehr,NOUN,
text1,2,29,die,die,NOUN,
text1,2,30,anlasslose,anlasslose,VERB,
text1,2,31,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,2,32,via,via,ADP,
text1,2,33,Vorratsdatenspeicherung,Vorratsdatenspeicherung,PROPN,GPE_B
text1,2,34,.,.,PUNCT,
text3,1,1,Martina,Martina,PROPN,PERSON_B
text3,1,2,Link,Link,PROPN,PERSON_I
text3,1,3,",",",",PUNCT,
text3,1,4,Vizepräsidentin,Vizepräsidentin,PROPN,ORG_B
text3,1,5,des,des,X,ORG_I
text3,1,6,BKA,BKA,PROPN,ORG_I
text3,1,7,",",",",PUNCT,
text3,1,8,plädierte,plädierte,NOUN,
text3,1,9,dafür,dafür,NOUN,
text3,1,10,",",",",PUNCT,
text3,1,11,Internetprovider,internetprovider,NOUN,
text3,1,12,zu,zu,NOUN,
text3,1,13,einer,einer,NOUN,
text3,1,14,14,14,NUM,QUANTITY_B
text3,1,15,-,-,PUNCT,QUANTITY_I
text3,1,16,tägigen,tägigen,NOUN,QUANTITY_I
text3,1,17,Speicherung,Speicherung,PROPN,
text3,1,18,von,von,PROPN,
text3,1,19,IP,IP,PROPN,
text3,1,20,-,-,PUNCT,
text3,1,21,Adressen,Adressen,PROPN,
text3,1,22,inklusive,inklusive,ADJ,
text3,1,23,Ports,Ports,PROPN,ORG_B
text3,1,24,zu,zu,AUX,
text3,1,25,verpflichten,verpflichten,VERB,
text3,1,26,.,.,PUNCT,
text3,2,1,Damit,Damit,PROPN,
text3,2,2,könne,könne,PROPN,
text3,2,3,die,die,VERB,
