doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Seit,Seit,PROPN,
text1,1,2,mehr,mehr,NOUN,
text1,1,3,als,al,NOUN,
text1,1,4,zwei,zwei,NOUN,
text1,1,5,Jahren,Jahren,PROPN,
text1,1,6,streiten,streiten,NOUN,
text1,1,7,die,die,VERB,
text1,1,8,EU,EU,PROPN,ORG_B
text1,1,9,-,-,PUNCT,
text1,1,10,Institutionen,Institutionen,PROPN,
text1,1,11,über,über,NOUN,
text1,1,12,eine,eine,NOUN,
text1,1,13,verpflichtende,verpflichtende,NOUN,
text1,1,14,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,15,.,.,PUNCT,
text1,2,1,Die,die,VERB,
text1,2,2,Kommission,Kommission,PROPN,
text1,2,3,will,will,AUX,
text1,2,4,Internetdienste,Internetdienste,PROPN,
text1,2,5,verpflichten,verpflichten,VERB,
text1,2,6,",",",",PUNCT,
text1,2,7,die,die,VERB,
text1,2,8,Inhalte,Inhalte,PROPN,NORP_B
text1,2,9,ihrer,ihrer,NOUN,
text1,2,10,Nutzer,Nutzer,PROPN,ORG_B
text1,2,11,auf,auf,PROPN,
text1,2,12,Straftaten,Straftaten,PROPN,
text1,2,13,zu,zu,NOUN,
text1,2,14,durchsuchen,durchsuchen,NOUN,
text1,2,15,und,und,VERB,
text1,2,16,diese,diese,ADJ,NORP_B
text1,2,17,bei,bei,NOUN,
text1,2,18,Verdacht,Verdacht,PROPN,PERSON_B
text1,2,19,an,an,DET,
text1,2,20,Behörden,Behörden,PROPN,GPE_B
text1,2,21,zu,zu,NOUN,
text1,2,22,schicken,schicken,NOUN,
text1,2,23,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,ORG_B
text1,3,2,Parlament,Parlament,PROPN,ORG_I
text1,3,3,bezeichnet,bezeichnet,NOUN,
text1,3,4,das,das,PROPN,
text1,3,5,als,al,NOUN,
text1,3,6,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text1,3,7,und,und,PROPN,
text1,3,8,fordert,fordert,NOUN,
text1,3,9,",",",",PUNCT,
text1,3,10,nur,nur,VERB,
text1,3,11,unverschlüsselte,unverschlüsselte,ADJ,
text1,3,12,Inhalte,Inhalte,PROPN,PERSON_B
text1,3,13,von,von,PROPN,PERSON_I
text1,3,14,Verdächtigen,Verdächtigen,PROPN,PERSON_I
text1,3,15,zu,zu,PROPN,PERSON_I
text1,3,16,scannen,scannen,NOUN,PERSON_I
text1,3,17,.,.,PUNCT,
text3,1,1,Die,die,VERB,ORG_B
text3,1,2,EU,EU,PROPN,ORG_I
text3,1,3,-,-,PUNCT,ORG_I
text3,1,4,Staaten,Staaten,PROPN,ORG_I
text3,1,5,können,können,NOUN,
text3,1,6,sich,sich,PROPN,
text3,1,7,bisher,bisher,PROPN,
text3,1,8,nicht,nicht,PROPN,
text3,1,9,auf,auf,PROPN,
text3,1,10,eine,eine,NOUN,
text3,1,11,gemeinsame,gemeinsame,NOUN,
text3,1,12,Position,Position,PROPN,
text3,1,13,einigen,einigen,NOUN,
text3,1,14,.,.,PUNCT,
text3,2,1,Ganze,Ganze,PROPN,PRODUCT_B
text3,2,2,31,31,NUM,PRODUCT_I
text3,3,1,Mal,Mal,PROPN,PERSON_B
text3,3,2,haben,haben,NOUN,
text3,3,3,die,die,VERB,
text3,3,4,Vertreter,Vertreter,PROPN,PERSON_B
text3,3,5,der,der,PROPN,PERSON_I
text3,3,6,nationalen,nationalen,VERB,PERSON_B
text3,3,7,Regierungen,Regierungen,PROPN,PERSON_I
text3,3,8,in,in,ADP,
text3,3,9,der,der,PROPN,
text3,3,10,Arbeitsgruppe,Arbeitsgruppe,PROPN,PERSON_B
text3,3,11,Strafverfolgung,Strafverfolgung,PROPN,PERSON_I
text3,3,12,verhandelt,verhandelt,ADV,
text3,3,13,.,.,PUNCT,
text3,4,1,Doch,Doch,PROPN,
text3,4,2,sowohl,sowohl,NOUN,
text3,4,3,die,die,VERB,
text3,4,4,spanische,spanische,PROPN,
text3,4,5,als,al,NOUN,
text3,4,6,auch,auch,PROPN,
text3,4,7,die,die,VERB,
text3,4,8,belgische,belgische,NOUN,
text3,4,9,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text3,4,10,waren,waren,PROPN,PERSON_I
text3,4,11,nicht,nicht,PROPN,
text3,4,12,in,in,ADP,
text3,4,13,der,der,PROPN,ORG_B
text3,4,14,Lage,Lage,PROPN,ORG_I
text3,4,15,",",",",PUNCT,
text3,4,16,eine,eine,NOUN,
text3,4,17,Einigung,Einigung,PROPN,PERSON_B
text3,4,18,zu,zu,PROPN,PERSON_I
text3,4,19,erzielen,erzielen,VERB,PERSON_I
text3,4,20,.,.,PUNCT,
text5,1,1,Seit,Seit,PROPN,PERSON_B
text5,1,2,Juli,Juli,PROPN,PERSON_I
text5,1,3,hat,hat,NOUN,
text5,1,4,Ungarn,Ungarn,PROPN,PERSON_B
text5,1,5,den,den,NOUN,
text5,1,6,Vorsitz,Vorsitz,PROPN,ORG_B
