doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,liebe,NOUN,
text1,1,2,:,:,PUNCT,
text1,1,3,r,r,PROPN,
text1,1,4,Leser,Leser,PROPN,
text1,1,5,:,:,PUNCT,
text1,1,6,in,in,ADP,
text1,1,7,",",",",PUNCT,
text3,1,1,du,du,PROPN,
text3,1,2,machst,machst,PROPN,
text3,1,3,gerade,gerade,PROPN,
text3,1,4,einen,einen,PROPN,PERSON_B
text3,1,5,von,von,PROPN,PERSON_I
text3,1,6,ungefähr,ungefähr,ADJ,PERSON_I
text3,1,7,einer,einer,NOUN,
text3,1,8,Million,Million,PROPN,PERSON_B
text3,1,9,Aufrufen,Aufrufen,PROPN,PERSON_I
text3,1,10,",",",",PUNCT,
text3,1,11,die,die,VERB,
text3,1,12,wöchentlich,wöchentlich,NOUN,
text3,1,13,auf,auf,PROPN,
text3,1,14,unserer,unserer,NOUN,
text3,1,15,Seite,Seite,PROPN,PRODUCT_B
text3,1,16,passieren,passieren,NOUN,
text3,1,17,.,.,PUNCT,
text3,2,1,Und,und,VERB,
text3,2,2,ganz,ganz,NOUN,
text3,2,3,egal,egal,PROPN,
text3,2,4,",",",",PUNCT,
text3,2,5,ob,ob,PROPN,
text3,2,6,du,du,PROPN,
text3,2,7,zum,zum,PROPN,
text3,2,8,ersten,ersten,NOUN,
text3,3,1,Mal,Mal,PROPN,PERSON_B
text3,3,2,hier,hi,ADJ,
text3,3,3,bist,bist,ADJ,
text3,3,4,oder,oder,NOUN,
text3,3,5,ob,ob,PROPN,
text3,3,6,wir,wir,PROPN,
text3,3,7,zu,zu,PROPN,
text3,3,8,deiner,deiner,PROPN,
text3,3,9,täglichen,täglichen,PROPN,
text3,3,10,Lektüre,Lektüre,PROPN,PERSON_B
text3,3,11,gehören,gehören,PROPN,
text3,3,12,:,:,PUNCT,
text3,4,1,Wir,Wir,PROPN,
text3,4,2,brauchen,brauchen,PROPN,
text3,4,3,dich,dich,PROPN,
text3,4,4,",",",",PUNCT,
text3,4,5,um,um,INTJ,
text3,4,6,auch,auch,NOUN,
