doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,und,und,ADJ,
text3,1,2,plötzlich,plötzlich,NOUN,
text3,1,3,geht,geht,VERB,
text3,1,4,es,es,PROPN,
text3,1,5,dann,dann,PROPN,
text3,1,6,ganz,ganz,PROPN,
text3,1,7,schnell,schnell,PROPN,
text3,1,8,.,.,PUNCT,
text3,2,1,Nach,nach,NOUN,
text3,2,2,mehr,mehr,NOUN,
text3,2,3,als,al,NOUN,
text3,2,4,drei,drei,VERB,
text3,2,5,Jahren,Jahren,PROPN,PERSON_B
text3,2,6,Verhandlungen,Verhandlungen,PROPN,PERSON_I
text3,2,7,",",",",PUNCT,
text3,2,8,Sperrminoritäten,sperrminoritäten,VERB,PERSON_B
text3,2,9,und,und,ADJ,
text3,2,10,Blockaden,Blockaden,PROPN,PERSON_B
text3,2,11,haben,haben,NOUN,
text3,2,12,sich,sich,PRON,
text3,2,13,die,die,VERB,
text3,2,14,Länder,Länder,PROPN,PERSON_B
text3,2,15,der,der,PROPN,PERSON_I
text3,2,16,EU,EU,PROPN,PERSON_I
text3,3,1,i,I,PRON,
text3,3,2,m,m,VERB,
text3,3,3,Rat,Rat,PROPN,
text3,3,4,auf,auf,PROPN,
text3,3,5,eine,eine,NOUN,
text3,3,6,Position,position,NOUN,ORG_B
text3,3,7,bei,bei,NOUN,
text3,3,8,der,der,NOUN,
text3,3,9,„,„,PUNCT,
text3,3,10,Verordnung,Verordnung,PROPN,WORK_OF_ART_B
text3,3,11,zur,zur,NOUN,WORK_OF_ART_I
text3,3,12,Verhütung,verhütung,NOUN,WORK_OF_ART_I
text3,3,13,und,und,PROPN,WORK_OF_ART_I
text3,3,14,Bekämpfung,Bekämpfung,PROPN,WORK_OF_ART_I
text3,3,15,des,des,X,WORK_OF_ART_I
text3,3,16,sexuellen,sexuellen,NOUN,WORK_OF_ART_I
text3,4,1,Missbrauchs,Missbrauchs,PROPN,PERSON_B
text3,4,2,von,von,PROPN,PERSON_I
text3,4,3,Kindern,Kindern,PROPN,PERSON_I
text3,4,4,“,"""",PUNCT,
text3,4,5,geeinigt,geeinigt,NOUN,
text3,4,6,.,.,PUNCT,
text3,5,1,Die,die,VERB,
text3,5,2,Verordnung,Verordnung,PROPN,
text3,5,3,war,war,NOUN,
text3,5,4,fast,fast,ADV,
text3,5,5,vier,vier,NOUN,
text3,5,6,Jahre,Jahre,PROPN,PERSON_B
text3,5,7,heiß,heiß,NOUN,PERSON_I
text3,5,8,umkämpft,umkämpft,ADP,
text3,5,9,wegen,wegen,PROPN,
text3,5,10,der,der,PROPN,
text3,5,11,verpflichtenden,verpflichtenden,PROPN,
text3,5,12,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,5,13,.,.,PUNCT,
text3,6,1,Und,und,NOUN,
text3,6,2,die,die,VERB,
text3,6,3,ist,ist,ADP,
text3,6,4,jetzt,jetzt,NOUN,
text3,6,5,so,so,ADV,
text3,6,6,gut,gut,PROPN,
text3,6,7,wie,wie,PROPN,
text3,6,8,vom,vom,NOUN,
text3,6,9,Tisch,Tisch,PROPN,PERSON_B
text3,6,10,.,.,PUNCT,
text5,1,1,Das,Das,PROPN,
text5,1,2,ist,ist,ADJ,
text5,1,3,eine,eine,NOUN,
text5,1,4,gute,gute,NOUN,
text5,1,5,Nachricht,Nachricht,PROPN,PERSON_B
text5,1,6,.,.,PUNCT,
text5,2,1,Unzählige,Unzählige,PROPN,PERSON_B
text5,2,2,Menschen,Menschen,PROPN,PERSON_I
text5,2,3,aus,aus,PROPN,PERSON_I
text5,2,4,Wissenschaft,Wissenschaft,PROPN,PERSON_I
text5,2,5,",",",",PUNCT,
text5,2,6,Politik,Politik,PROPN,NORP_B
text5,2,7,",",",",PUNCT,
text5,2,8,Wirtschaft,Wirtschaft,PROPN,ORG_B
text5,2,9,",",",",PUNCT,
text5,2,10,Medien,Medien,PROPN,PERSON_B
text5,2,11,und,und,PROPN,
text5,2,12,Zivilgesellschaft,Zivilgesellschaft,PROPN,NORP_B
text5,2,13,können,können,NOUN,
text5,2,14,sich,sich,PROPN,
text5,2,15,auf,auf,PROPN,
text5,2,16,die,die,VERB,
text5,2,17,Fahnen,Fahnen,PROPN,PERSON_B
text5,2,18,schreiben,schreiben,PROPN,PERSON_I
text5,2,19,",",",",PUNCT,
text5,2,20,dass,dass,PROPN,
text5,2,21,sie,sie,PROPN,
text5,2,22,einen,einen,PROPN,
text5,2,23,Teil,Teil,PROPN,PERSON_B
text5,2,24,dazu,dazu,NOUN,
text5,2,25,beigetragen,beigetragen,NOUN,
text5,2,26,haben,haben,NOUN,
text5,2,27,",",",",PUNCT,
text5,2,28,die,die,VERB,
text5,2,29,wohl,wohl,NOUN,
text5,2,30,gefährlichste,gefährlichste,NOUN,
text5,2,31,Überwachungsmaschine,überwachungsmaschine,NOUN,NORP_B
text5,2,32,Europas,Europas,PROPN,NORP_I
text5,2,33,vor,vor,VERB,
text5,2,34,ihrem,ihrem,NOUN,
text5,2,35,Start,Start,PROPN,
text5,2,36,zu,zu,PROPN,
text5,2,37,stoppen,stoppen,NOUN,
text5,2,38,.,.,PUNCT,
text5,3,1,Weil,Weil,PROPN,
text5,3,2,sie,sie,PROPN,
text5,3,3,wachsam,wachsam,PROPN,
text5,3,4,waren,waren,PROPN,
text5,3,5,und,und,PROPN,
