doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,„,„,PUNCT,
text1,1,2,Der,Der,PROPN,
text1,1,3,sexuelle,sexuelle,NOUN,
text1,1,4,Missbrauch,Missbrauch,PROPN,
text1,1,5,und,und,NOUN,
text1,1,6,die,die,VERB,
text1,1,7,Ausbeutung,Ausbeutung,PROPN,PERSON_B
text1,1,8,von,von,PROPN,PERSON_I
text1,1,9,Minderjährigen,Minderjährigen,PROPN,PERSON_I
text1,1,10,",",",",PUNCT,
text1,1,11,die,die,VERB,
text1,1,12,online,online,ADJ,
text1,1,13,stattfindet,stattfindet,NOUN,
text1,1,14,und,und,PROPN,
text1,1,15,verbreitet,verbreitet,PROPN,ORG_B
text1,1,16,wird,wird,PROPN,ORG_I
text1,1,17,",",",",PUNCT,
text1,1,18,nimmt,nimmt,PROPN,
text1,1,19,zu,zu,PROPN,
text1,1,20,.,.,PUNCT,
text1,1,21,“,"""",PUNCT,
text1,2,1,Das,Das,PROPN,
text1,2,2,schreibt,schreibt,PROPN,
text1,2,3,Dänemark,Dänemark,PROPN,PERSON_B
text1,2,4,i,I,PRON,
text1,2,5,m,m,VERB,
text1,2,6,Programm,Programm,PROPN,PERSON_B
text1,2,7,zur,zur,PROPN,
text1,2,8,EU,EU,PROPN,ORG_B
text1,2,9,-,-,PUNCT,ORG_I
text1,2,10,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_I
text1,2,11,",",",",PUNCT,
text1,2,12,die,die,PROPN,
text1,2,13,das,das,PROPN,PRODUCT_B
text1,2,14,Land,Land,PROPN,PRODUCT_I
text1,2,15,am,be,AUX,PRODUCT_I
text1,2,16,1,1,NUM,PRODUCT_I
text1,2,17,.,.,PUNCT,
text1,3,1,Juli,Juli,PROPN,PERSON_B
text1,3,2,von,von,PROPN,PERSON_I
text1,3,3,Polen,Polen,PROPN,PERSON_I
text1,3,4,übernimmt,übernimmt,PROPN,
text1,3,5,.,.,PUNCT,
text1,4,1,Dänemark,Dänemark,PROPN,PERSON_B
text1,4,2,liefert,liefert,NOUN,
text1,4,3,eine,eine,NOUN,
text1,4,4,Lösung,Lösung,PROPN,PERSON_B
text1,4,5,mit,mit,NOUN,
text1,4,6,:,:,PUNCT,
text1,4,7,die,die,VERB,
text1,4,8,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,4,9,.,.,PUNCT,
text3,1,1,Die,die,VERB,
text3,1,2,EU,EU,PROPN,
text3,1,3,-,-,PUNCT,
text3,1,4,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,
text3,1,5,wechselt,wechselt,ADJ,
text3,1,6,alle,alle,NOUN,
text3,1,7,sechs,sechs,NOUN,
text3,1,8,Monate,Monate,PROPN,PERSON_B
text3,1,9,von,von,PROPN,PERSON_I
text3,1,10,einem,einem,PROPN,PERSON_I
text3,1,11,Mitgliedsland,Mitgliedsland,PROPN,
