doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,in,in,ADP,
text3,1,2,den,den,NOUN,
text3,1,3,nächsten,nächsten,NOUN,
text3,1,4,Tagen,Tagen,PROPN,ORG_B
text3,1,5,wird,wird,NOUN,
text3,1,6,die,die,VERB,
text3,1,7,Bundesregierung,Bundesregierung,PROPN,PERSON_B
text3,1,8,vermutlich,vermutlich,NOUN,
text3,1,9,beschließen,beschließen,NOUN,
text3,1,10,",",",",PUNCT,
text3,1,11,was,be,AUX,
text3,1,12,ihre,ihre,ADJ,
text3,1,13,Position,Position,PROPN,
text3,1,14,zur,zur,PROPN,PERSON_B
text3,1,15,gefährlichen,gefährlichen,PROPN,PERSON_I
text3,1,16,EU,EU,PROPN,ORG_B
text3,1,17,-,-,PUNCT,
text3,1,18,Chatkontrolle,Chatkontrolle,PROPN,
text3,1,19,ist,ist,NOUN,
text3,1,20,.,.,PUNCT,
text3,2,1,Derzeit,Derzeit,PROPN,
text3,2,2,sieht,sieht,PROPN,
text3,2,3,es,es,PROPN,
text3,2,4,so,so,SCONJ,
text3,2,5,aus,aus,PROPN,
text3,2,6,",",",",PUNCT,
text3,2,7,als,al,NOUN,
text3,2,8,würde,würde,PROPN,
text3,2,9,sie,sie,PROPN,
text3,2,10,sich,sich,PROPN,
text3,2,11,entgegen,entgegen,PROPN,
text3,2,12,aller,aller,NOUN,
text3,2,13,Stimmen,Stimmen,PROPN,PERSON_B
text3,2,14,der,der,PROPN,PERSON_I
text3,2,15,Vernunft,Vernunft,PROPN,PERSON_I
text3,2,16,und,und,PROPN,
text3,2,17,gegen,gegen,NOUN,
text3,2,18,die,die,VERB,
text3,2,19,Grundrechte,Grundrechte,PROPN,PERSON_B
text3,2,20,für,für,NOUN,
text3,2,21,diese,diese,PROPN,NORP_B
text3,2,22,neue,neue,NOUN,
text3,2,23,Form,Form,PROPN,
text3,2,24,der,der,NOUN,
text3,2,25,Massenüberwachung,Massenüberwachung,PROPN,PERSON_B
text3,2,26,entscheiden,entscheiden,NOUN,
text3,2,27,.,.,PUNCT,
text3,3,1,Damit,Damit,PROPN,PERSON_B
text3,3,2,würde,würde,PROPN,
text3,3,3,der,der,PROPN,
text3,3,4,Weg,Weg,PROPN,
text3,3,5,frei,frei,NOUN,
text3,3,6,zu,zu,NOUN,
text3,3,7,einer,einer,NOUN,
text3,3,8,Einigung,Einigung,PROPN,ORG_B
text3,3,9,auf,auf,PROPN,
text3,3,10,die,die,VERB,
text3,3,11,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text3,3,12,in,in,ADP,
text3,3,13,der,der,PROPN,
text3,3,14,Sitzung,Sitzung,PROPN,GPE_B
text3,3,15,des,des,X,
text3,3,16,EU,EU,PROPN,ORG_B
text3,3,17,-,-,PUNCT,ORG_I
text3,3,18,Rats,Rats,PROPN,ORG_I
text3,3,19,am,be,AUX,
text3,3,20,14,14,NUM,DATE_B
text3,3,21,.,.,PUNCT,
text3,4,1,Oktober,Oktober,PROPN,
text3,4,2,.,.,PUNCT,
text5,1,1,Doch,Doch,PROPN,
text5,1,2,noch,noch,ADV,
text5,1,3,ist,ist,ADP,
text5,1,4,es,es,PROPN,
text5,1,5,nicht,nicht,PROPN,
text5,1,6,zu,zu,PROPN,
text5,1,7,spät,spät,PROPN,
text5,1,8,",",",",PUNCT,
text5,1,9,denn,denn,NOUN,
text5,1,10,die,die,VERB,
text5,1,11,Verhandlungen,Verhandlungen,PROPN,PERSON_B
text5,1,12,laufen,laufen,PROPN,
text5,1,13,in,in,ADP,
text5,1,14,den,den,NOUN,
text5,1,15,Ministerien,Ministerien,PROPN,PERSON_B
text5,1,16,noch,noch,ADV,
text5,1,17,.,.,PUNCT,
text5,2,1,Das,Das,PROPN,
text5,2,2,Bündnis,Bündnis,PROPN,
text5,2,3,„,„,PUNCT,
text5,2,4,Chatkontrolle,Chatkontrolle,PROPN,
text5,2,5,stoppen,stoppen,NOUN,
text5,2,6,“,"""",PUNCT,
text5,2,7,ruft,ruft,ADJ,
text5,2,8,deswegen,deswegen,NOUN,PERSON_B
text5,2,9,zum,zum,NOUN,PERSON_I
text5,2,10,Protest,protest,NOUN,PERSON_I
text5,2,11,per,per,ADP,PERSON_I
text5,2,12,Anruf,Anruf,PROPN,PERSON_I
text5,2,13,",",",",PUNCT,PERSON_I
text5,2,14,Mail,Mail,PROPN,PERSON_I
text5,2,15,und,und,VERB,
text5,2,16,Brief,Brief,PROPN,
text5,2,17,auf,auf,PROPN,
text5,2,18,–,–,PUNCT,
text5,2,19,um,um,INTJ,
text5,2,20,an,an,DET,
text5,2,21,den,den,NOUN,
text5,2,22,entscheidenden,entscheidenden,NOUN,
text5,2,23,Stellen,Stellen,PROPN,PRODUCT_B
text5,2,24,vielleicht,vielleicht,PROPN,
text5,2,25,doch,doch,PROPN,PERSON_B
text5,2,26,noch,noch,PROPN,PERSON_I
text5,2,27,etwas,etwas,PROPN,
text5,2,28,zu,zu,PROPN,
text5,2,29,bewegen,bewegen,NOUN,
text5,2,30,.,.,PUNCT,
text5,3,1,Hier,hi,ADJ,
text5,3,2,findet,findet,NOUN,
text5,3,3,ihr,ihr,NOUN,
text5,3,4,die,die,VERB,
text5,3,5,Anleitung,Anleitung,PROPN,ORG_B
text5,3,6,des,des,X,ORG_I
text5,3,7,Bündnisses,Bündnisses,PROPN,ORG_I
