doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ab,Ab,PROPN,
text1,1,2,und,und,VERB,
text1,1,3,zu,zu,PROPN,
text1,1,4,finde,finde,ADJ,
text1,1,5,ich,ich,NOUN,
text1,1,6,mich,mich,NOUN,
text1,1,7,deutsche,deutsche,X,
text1,1,8,Digitalisierungskartoffel,Digitalisierungskartoffel,PROPN,
text1,1,9,in,in,ADP,
text1,1,10,Diskussionen,Diskussionen,PROPN,ORG_B
text1,1,11,wieder,wieder,NOUN,
text1,1,12,",",",",PUNCT,
text1,1,13,in,in,ADP,
text1,1,14,denen,denen,NOUN,
text1,1,15,geradezu,geradezu,NOUN,
text1,1,16,sehnsüchtig,sehnsüchtig,PROPN,
text1,1,17,gelungene,gelungene,PROPN,
text1,1,18,Digitalvorhaben,Digitalvorhaben,PROPN,ORG_B
text1,1,19,anderer,anderer,NOUN,
text1,1,20,Länder,Länder,PROPN,PERSON_B
text1,1,21,angehimmelt,angehimmelt,VERB,
text1,1,22,werden,werden,NOUN,
text1,1,23,.,.,PUNCT,
text1,2,1,So,so,ADV,
text1,2,2,eine,eine,NOUN,
text1,2,3,Patientenakte,Patientenakte,PROPN,PERSON_B
text1,2,4,wie,wie,NOUN,
text1,2,5,in,in,ADP,
text1,2,6,Estland,Estland,PROPN,NORP_B
text1,2,7,oder,oder,NOUN,
text1,2,8,Finnland,Finnland,PROPN,GPE_B
text1,2,9,",",",",PUNCT,
text1,2,10,das,das,PROPN,
text1,2,11,wär,wär,PROPN,
text1,2,12,doch,doch,PROPN,PERSON_B
text1,2,13,was,be,AUX,
text1,2,14,",",",",PUNCT,
text1,2,15,oder,oder,NOUN,
text1,2,16,?,?,PUNCT,
text1,3,1,Und,und,NOUN,
text1,3,2,als,al,NOUN,
text1,3,3,Silberstreif,Silberstreif,PROPN,PERSON_B
text1,3,4,am,be,AUX,
text1,3,5,Horizont,Horizont,PROPN,GPE_B
text1,4,1,so,so,ADV,
text1,4,2,ein,ein,PROPN,
text1,4,3,großer,großer,VERB,
text1,4,4,gemeinsamer,gemeinsamer,ADJ,
text1,4,5,Europäischer,Europäischer,PROPN,PERSON_B
text1,4,6,Gesundheitsdatenraum,Gesundheitsdatenraum,PROPN,PERSON_I
text1,4,7,",",",",PUNCT,
text1,4,8,der,der,PROPN,
text1,4,9,EHDS,EHDS,PROPN,
text1,4,10,.,.,PUNCT,
text3,1,1,All,all,DET,
text3,1,2,das,das,PROPN,
text3,1,3,wird,wird,NOUN,
text3,1,4,nur,nur,VERB,
text3,1,5,Wunschdenken,Wunschdenken,PROPN,NORP_B
text3,1,6,bleiben,bleiben,PROPN,
text3,1,7,",",",",PUNCT,
text3,1,8,wenn,wenn,PROPN,
text3,1,9,wir,wir,PROPN,
text3,1,10,nicht,nicht,PROPN,
text3,1,11,die,die,VERB,
text3,1,12,vielen,vielen,VERB,
text3,1,13,Ungereimtheiten,Ungereimtheiten,PROPN,ORG_B
text3,1,14,auflösen,auflösen,PROPN,
text3,1,15,",",",",PUNCT,
text3,1,16,die,die,VERB,
text3,1,17,darunter,darunter,ADJ,
text3,1,18,verborgen,verborgen,NOUN,
text3,1,19,sind,sind,NOUN,
text3,1,20,.,.,PUNCT,
text5,1,1,#,#,SYM,MONEY_B
text5,1,2,#,#,NOUN,MONEY_I
text5,1,3,Die,die,VERB,
text5,1,4,Pandemie,Pandemie,PROPN,
text5,1,5,-,-,PUNCT,
text5,1,6,Phrase,phrase,NOUN,
text7,1,1,Des,Des,PROPN,GPE_B
text7,1,2,Weiteren,Weiteren,PROPN,GPE_I
text7,1,3,hat,hat,NOUN,
text7,1,4,die,die,VERB,
text7,1,5,COVID‑19,COVID‑19,PROPN,PRODUCT_B
text7,1,6,-,-,PUNCT,
text7,1,7,Pandemie,Pandemie,PROPN,
