doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,2022,2022,NUM,CARDINAL_B
text1,1,2,haben,haben,NOUN,
text1,1,3,wir,wir,NOUN,
text1,1,4,bis,bis,PROPN,
text1,1,5,zum,zum,NOUN,DATE_B
text1,1,6,29,29,NUM,DATE_I
text1,1,7,.,.,PUNCT,
text1,2,1,Dezember,dezember,NOUN,
text1,2,2,insgesamt,insgesamt,PROPN,
text1,2,3,rund,rund,VERB,
text1,2,4,985,985,NUM,CARDINAL_B
text1,2,5,Artikel,Artikel,PROPN,
text1,2,6,veröffentlicht,veröffentlicht,NOUN,
text1,2,7,.,.,PUNCT,
text1,3,1,Das,Das,PROPN,
text1,3,2,waren,waren,PROPN,
text1,3,3,mehr,mehr,NOUN,
text1,3,4,als,al,VERB,
text1,3,5,9,9,NUM,CARDINAL_B
text1,3,6,Millionen,Millionen,PROPN,PERSON_B
text1,3,7,Tastenanschläge,Tastenanschläge,PROPN,PERSON_I
text1,3,8,",",",",PUNCT,
text1,3,9,was,be,AUX,
text1,3,10,etwa,etwa,NOUN,
text1,3,11,"1,3","1,3",NOUN,
text1,3,12,Millionen,Millionen,PROPN,PERSON_B
text1,3,13,Wörtern,Wörtern,PROPN,PERSON_I
text1,3,14,entspricht,entspricht,NOUN,
text1,3,15,.,.,PUNCT,
text1,4,1,Unter,Unter,PROPN,
text1,4,2,den,den,NOUN,
text1,4,3,Beiträgen,Beiträgen,PROPN,PERSON_B
text1,4,4,finden,finden,NOUN,
text1,4,5,sich,sich,PROPN,
text1,4,6,neben,neben,PROPN,
text1,4,7,vielen,vielen,VERB,
text1,4,8,investigativen,investigativen,ADV,
text1,4,9,Recherchen,Recherchen,PROPN,ORG_B
text1,4,10,",",",",PUNCT,ORG_I
text1,4,11,Leaks,Leaks,PROPN,ORG_I
text1,4,12,",",",",PUNCT,ORG_I
text1,4,13,Analysen,Analysen,PROPN,PERSON_B
text1,4,14,",",",",PUNCT,
text1,4,15,News,News,PROPN,
text1,4,16,und,und,VERB,
