doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Die,die,VERB,ORG_B
text1,1,2,EU,EU,PROPN,ORG_I
text1,1,3,-,-,PUNCT,ORG_I
text1,1,4,Kommission,Kommission,PROPN,ORG_I
text1,1,5,überlässt,überlässt,NOUN,
text1,1,6,es,es,X,
text1,1,7,in,in,ADP,
text1,1,8,erster,erster,NOUN,
text1,1,9,Linie,Linie,PROPN,PERSON_B
text1,1,10,den,den,VERB,
text1,1,11,Online,Online,PROPN,
text1,1,12,-,-,PUNCT,
text1,1,13,Diensten,Diensten,PROPN,
text1,1,14,wie,wie,NOUN,
text1,1,15,Youtube,youtube,NOUN,PERSON_B
text1,1,16,",",",",PUNCT,
text1,1,17,dass,dass,PROPN,
text1,1,18,sie,sie,PROPN,
text1,1,19,bei,bei,PROPN,
text1,1,20,der,der,PROPN,
text1,1,21,technischen,technischen,PROPN,
text1,1,22,Umsetzung,Umsetzung,PROPN,ORG_B
text1,1,23,der,der,PROPN,
text1,1,24,Urheberrechtsrichtlinie,Urheberrechtsrichtlinie,PROPN,PERSON_B
text1,1,25,der,der,PROPN,
text1,1,26,EU,EU,PROPN,ORG_B
text1,1,27,nicht,nicht,NOUN,
text1,1,28,übers,über,NOUN,
text1,1,29,Ziel,Ziel,PROPN,PERSON_B
text1,1,30,schießen,schießen,NOUN,
text1,1,31,und,und,VERB,
text1,1,32,zu,zu,ADJ,
text1,1,33,viele,viele,PROPN,
text1,1,34,zulässige,zulässige,PROPN,PERSON_B
text1,1,35,Inhalte,Inhalte,PROPN,PERSON_I
text1,1,36,sperren,sperren,PROPN,
text1,1,37,.,.,PUNCT,
text1,2,1,Es,es,INTJ,
text1,2,2,sei,sei,ADJ,
text1,2,3,nicht,nicht,NOUN,
text1,3,1,Aufgabe,Aufgabe,PROPN,
text1,3,2,der,der,PROPN,
text1,3,3,EU,EU,PROPN,ORG_B
text1,3,4,-,-,PUNCT,ORG_I
text1,3,5,Kommission,Kommission,PROPN,ORG_I
text1,3,6,",",",",PUNCT,
text1,3,7,„,„,PUNCT,
text1,3,8,vorab,vorab,NOUN,
text1,3,9,festzustellen,festzustellen,VERB,
text1,3,10,",",",",PUNCT,
text1,3,11,welche,welche,NOUN,
text1,3,12,verfügbaren,verfügbaren,PROPN,PERSON_B
text1,3,13,Technologien,Technologien,PROPN,PERSON_I
text1,3,14,die,die,VERB,
text1,3,15,für,für,NOUN,
text1,3,16,bestimmte,bestimmte,NOUN,
text1,4,1,Diensteanbieter,Diensteanbieter,PROPN,
text1,4,2,für,für,NOUN,
text1,4,3,das,das,PROPN,PERSON_B
text1,4,4,Teilen,Teilen,PROPN,PERSON_I
text1,4,5,von,von,PROPN,PERSON_I
text1,4,6,Online,Online,PROPN,PERSON_I
text1,4,7,-,-,PUNCT,PERSON_I
text1,4,8,Inhalten,Inhalten,PROPN,PERSON_I
text1,4,9,geltenden,geltenden,NOUN,
text1,4,10,rechtlichen,rechtlichen,NOUN,
text1,4,11,Anforderungen,Anforderungen,PROPN,PERSON_B
text1,4,12,erfüllen,erfüllen,VERB,
text1,4,13,“,"""",PUNCT,
text1,4,14,",",",",PUNCT,
text1,4,15,heißt,heißt,VERB,
text1,4,16,es,es,X,
text1,4,17,in,in,ADP,
text1,4,18,einer,einer,PROPN,
text1,4,19,Antwort,Antwort,PROPN,ORG_B
text1,4,20,des,des,PROPN,ORG_I
text1,4,21,EU,EU,PROPN,ORG_I
text1,4,22,-,-,PUNCT,ORG_I
text1,4,23,Wirtschaftkommissars,Wirtschaftkommissars,PROPN,ORG_I
text1,4,24,Thierry,Thierry,PROPN,PERSON_B
text1,4,25,Breton,Breton,PROPN,PERSON_I
text1,4,26,auf,auf,PROPN,
text1,4,27,eine,eine,NOUN,
text1,4,28,schriftliche,schriftliche,NOUN,
text1,4,29,Frage,Frage,PROPN,ORG_B
text1,4,30,des,des,X,ORG_I
text1,4,31,EU,EU,PROPN,ORG_I
text1,4,32,-,-,PUNCT,ORG_I
text1,4,33,Abgeordneten,Abgeordneten,PROPN,ORG_I
text1,4,34,Moritz,Moritz,PROPN,ORG_I
text1,4,35,Körner,Körner,PROPN,ORG_I
text1,4,36,.,.,PUNCT,
text3,1,1,I,I,PRON,
text3,1,2,m,m,VERB,
text3,1,3,April,April,PROPN,DATE_B
text3,1,4,hatte,hatte,NOUN,PERSON_B
text3,1,5,der,der,PROPN,PERSON_I
text3,1,6,Europäische,Europäische,PROPN,ORG_B
text3,1,7,Gerichtshof,Gerichtshof,PROPN,ORG_I
text3,1,8,die,die,VERB,
text3,1,9,Urheberrechtsreform,Urheberrechtsreform,PROPN,ORG_B
text3,1,10,der,der,NOUN,
text3,1,11,EU,EU,PROPN,ORG_B
text3,1,12,und,und,PROPN,
text3,1,13,die,die,VERB,
text3,1,14,darin,darin,PROPN,
text3,1,15,enthaltenen,enthaltenen,NOUN,
text3,1,16,Uploadfilter,Uploadfilter,PROPN,PERSON_B
text3,1,17,grundsätzlich,grundsätzlich,PROPN,PERSON_I
text3,1,18,für,für,PROPN,
text3,1,19,rechtskonform,rechtskonform,VERB,
text3,1,20,befunden,befunden,PROPN,
text3,1,21,.,.,PUNCT,
text3,2,1,Allerdings,allerdings,ADJ,
text3,2,2,wies,wy,NOUN,
text3,2,3,das,das,PROPN,PERSON_B
text3,2,4,Urteil,Urteil,PROPN,PERSON_I
text3,2,5,auf,auf,PROPN,
text3,2,6,die,die,VERB,
text3,2,7,Gefahren,Gefahren,PROPN,PERSON_B
text3,2,8,von,von,PROPN,PERSON_I
text3,2,9,automatisierten,automatisierten,ADJ,
text3,2,10,Filtersystemen,Filtersystemen,PROPN,PERSON_B
text3,2,11,hin,hin,VERB,
text3,2,12,",",",",PUNCT,
text3,2,13,die,die,VERB,
text3,2,14,„,„,PUNCT,
text3,2,15,nicht,nicht,NOUN,
text3,2,16,hinreichend,hinreichend,NOUN,
text3,2,17,zwischen,zwischen,PROPN,PERSON_B
text3,2,18,einem,einem,PROPN,PERSON_I
text3,2,19,unzulässigen,unzulässigen,PROPN,
text3,2,20,Inhalt,Inhalt,PROPN,PERSON_B
text3,2,21,und,und,PROPN,
text3,2,22,einem,einem,PROPN,
text3,2,23,zulässigen,zulässigen,PROPN,
text3,2,24,Inhalt,Inhalt,PROPN,
text3,2,25,“,"""",PUNCT,
text3,2,26,unterscheiden,unterscheiden,PROPN,
text3,2,27,könnten,könnten,PROPN,
text3,2,28,.,.,PUNCT,
text5,1,1,Dies,die,NOUN,
text5,1,2,könnte,könnte,VERB,
text5,1,3,zu,zu,ADJ,
text5,1,4,ungerechtfertigten,ungerechtfertigten,ADJ,
text5,1,5,Sperren,Sperren,PROPN,PRODUCT_B
text5,1,6,von,von,PROPN,PRODUCT_I
text5,1,7,zulässigen,zulässigen,NOUN,PRODUCT_I
text5,2,1,Inhalten,Inhalten,PROPN,
text5,2,2,führen,führen,PROPN,
text5,2,3,",",",",PUNCT,
text5,2,4,was,be,AUX,
text5,2,5,mit,mit,VERB,
text5,2,6,dem,dem,ADJ,
text5,2,7,Recht,Recht,PROPN,ORG_B
text5,2,8,auf,auf,PROPN,
text5,2,9,freie,freie,NOUN,
text5,2,10,Meinungsäußerung,Meinungsäußerung,PROPN,GPE_B
text5,2,11,und,und,PROPN,
text5,2,12,Informationsfreiheit,Informationsfreiheit,PROPN,GPE_B
text5,2,13,unvereinbar,unvereinbar,NOUN,
text5,2,14,sei,sei,NOUN,
text5,2,15,.,.,PUNCT,
text5,3,1,Indes,Indes,PROPN,
text5,3,2,stellte,stellte,PROPN,
text5,3,3,das,das,PROPN,PERSON_B
text5,3,4,Gericht,Gericht,PROPN,PERSON_I
text5,3,5,klar,klar,NOUN,
text5,3,6,",",",",PUNCT,
text5,3,7,dass,dass,NOUN,
text5,3,8,legale,legale,NOUN,
text5,3,9,Inhalte,Inhalte,PROPN,NORP_B
text5,3,10,nicht,nicht,PROPN,
text5,3,11,von,von,PROPN,PERSON_B
text5,3,12,Uploadfiltern,Uploadfiltern,PROPN,PERSON_I
text5,3,13,ausgesiebt,ausgesiebt,NOUN,
text5,3,14,werden,werden,PROPN,
text5,3,15,dürften,dürften,PROPN,
text5,3,16,.,.,PUNCT,
text5,4,1,Zudem,Zudem,PROPN,GPE_B
text5,4,2,würden,würden,PROPN,GPE_B
text5,4,3,die,die,VERB,
text5,4,4,verbesserten,verbesserten,VERB,
text5,4,5,Beschwerdemöglichkeiten,Beschwerdemöglichkeiten,PROPN,PERSON_B
text5,4,6,ausreichen,ausreichen,PROPN,
text5,4,7,",",",",PUNCT,
text5,4,8,um,um,INTJ,
text5,4,9,bei,bei,PROPN,
text5,4,10,Fehlentscheidungen,Fehlentscheidungen,PROPN,
text5,4,11,die,die,VERB,
text5,5,1,Meinungsfreiheit,Meinungsfreiheit,PROPN,PERSON_B
text5,5,2,i,I,PRON,
text5,5,3,m,m,AUX,
text5,5,4,Netz,Netz,PROPN,PERSON_B
text5,5,5,dennoch,dennoch,NOUN,
text5,5,6,sicherzustellen,sicherzustellen,VERB,
text5,5,7,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,
text7,1,3,Vorschnelle,Vorschnelle,PROPN,ORG_B
text7,1,4,Pflicht,Pflicht,PROPN,ORG_I
text7,1,5,für,für,NOUN,
text7,1,6,Überwachungssysteme,Überwachungssysteme,PROPN,ORG_B
text9,1,1,Dass,dass,NOUN,
text9,1,2,die,die,VERB,
text9,1,3,Kommission,Kommission,PROPN,PERSON_B
text9,1,4,kein,kein,PROPN,PERSON_I
text9,1,5,einziges,einzige,VERB,
text9,1,6,Filtersystem,Filtersystem,PROPN,ORG_B
text9,1,7,eines,eine,VERB,
text9,1,8,Unternehmens,Unternehmens,PROPN,GPE_B
text9,1,9,nennen,nennen,NOUN,
text9,1,10,kann,kann,NOUN,
text9,1,11,oder,oder,NOUN,
text9,1,12,will,will,AUX,
text9,1,13,",",",",PUNCT,
text9,1,14,das,das,PROPN,ORG_B
text9,1,15,hinreichend,hinreichend,VERB,
text9,1,16,zwischen,zwischen,PROPN,PERSON_B
text9,1,17,zulässigen,zulässigen,PROPN,PERSON_I
text9,1,18,und,und,PROPN,
text9,1,19,unzulässigen,unzulässigen,NOUN,
text9,1,20,Inhalten,Inhalten,PROPN,
text9,1,21,unterscheiden,unterscheiden,ADJ,
text9,1,22,kann,kann,NOUN,
text9,1,23,",",",",PUNCT,
text9,1,24,ärgert,ärgert,NOUN,
text9,1,25,den,den,VERB,
text9,1,26,liberalen,liberalen,PROPN,
text9,1,27,Abgeordneten,Abgeordneten,PROPN,PERSON_B
text9,1,28,Körner,Körner,PROPN,PERSON_I
text9,1,29,.,.,PUNCT,
text9,2,1,„,„,PUNCT,
text9,2,2,Sowohl,Sowohl,PROPN,
text9,2,3,beim,beim,ADP,
text9,2,4,Urheberrecht,Urheberrecht,PROPN,ORG_B
text9,2,5,als,al,NOUN,
text9,2,6,auch,auch,VERB,
text9,2,7,bei,bei,PROPN,
text9,2,8,der,der,PROPN,
