doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Liebe,Liebe,PROPN,PERSON_B
text1,1,2,Leser,Leser,PROPN,PERSON_I
text1,1,3,:,:,PUNCT,
text1,1,4,innen,innen,NOUN,
text1,1,5,",",",",PUNCT,
text3,1,1,hat,hat,NOUN,
text3,1,2,euer,euer,NOUN,
text3,1,3,Smartphone,smartphone,NOUN,PERSON_B
text3,1,4,heute,heute,VERB,
text3,1,5,schon,schon,NOUN,
text3,1,6,Bilder,Bilder,PROPN,PERSON_B
text3,1,7,und,und,NOUN,
text3,1,8,Videos,video,NOUN,
text3,1,9,von,von,PROPN,
text3,1,10,den,den,VERB,
text3,1,11,Behörden,Behörden,PROPN,GPE_B
text3,1,12,durchsuchen,durchsuchen,PROPN,
text3,1,13,lassen,lassen,PROPN,
text3,1,14,",",",",PUNCT,
text3,1,15,bevor,bevor,PROPN,
text3,1,16,ihr,ihr,PROPN,
text3,1,17,sie,sie,PROPN,
text3,1,18,per,per,ADP,
text3,1,19,Signal,Signal,PROPN,ORG_B
text3,1,20,oder,oder,NOUN,
text3,1,21,WhatsApp,WhatsApp,PROPN,ORG_B
text3,1,22,in,in,ADP,
text3,1,23,den,den,NOUN,
text3,1,24,Familien,Familien,PROPN,GPE_B
text3,1,25,-,-,PUNCT,
text3,1,26,Chat,Chat,PROPN,
text3,1,27,geschickt,geschickt,NOUN,
text3,1,28,habt,habt,NOUN,
text3,1,29,?,?,PUNCT,
text3,2,1,Nein,Nein,PROPN,PERSON_B
text3,2,2,?,?,PUNCT,
text3,3,1,Vermutlich,Vermutlich,PROPN,
text3,3,2,wollt,wollt,VERB,
text3,3,3,Ihr,Ihr,PROPN,
text3,3,4,das,das,PROPN,
text3,3,5,auch,auch,ADJ,
text3,3,6,gar,gar,NOUN,
text3,3,7,nicht,nicht,NOUN,
text3,3,8,.,.,PUNCT,
text3,4,1,Weil,Weil,PROPN,
text3,4,2,es,es,X,
text3,4,3,nämlich,nämlich,PROPN,
text3,4,4,einen,einen,PROPN,
text3,4,5,ziemlich,ziemlich,PROPN,
text3,4,6,tiefen,tiefen,PROPN,
text3,4,7,Einblick,Einblick,PROPN,ORG_B
text3,4,8,in,in,ADP,
text3,4,9,euer,euer,PROPN,
text3,4,10,Privatleben,Privatleben,PROPN,PERSON_B
text3,4,11,erlauben,erlauben,PROPN,
text3,4,12,würde,würde,PROPN,
text3,4,13,–,–,PUNCT,
text3,4,14,und,und,PROPN,
text3,4,15,das,das,PROPN,ORG_B
text3,4,16,ohne,ohne,PROPN,ORG_I
text3,4,17,jeden,jeden,PROPN,
text3,4,18,Anlass,Anlass,PROPN,PRODUCT_B
text3,4,19,.,.,PUNCT,
text5,1,1,Die,die,VERB,
text5,1,2,ungarische,ungarische,NOUN,
text5,1,3,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,ORG_B
text5,1,4,will,will,AUX,
text5,1,5,aber,aber,PROPN,
text5,1,6,genau,genau,PROPN,
text5,1,7,das,das,PROPN,
text5,1,8,.,.,PUNCT,
text5,2,1,Meine,Meine,PROPN,PERSON_B
text5,2,2,Kollegin,Kollegin,PROPN,PERSON_I
text5,2,3,Constanze,Constanze,PROPN,PERSON_I
text5,2,4,berichtet,berichtet,NOUN,
text5,2,5,über,über,PROPN,
text5,2,6,den,den,NOUN,
text5,2,7,drölfzigsten,drölfzigsten,NOUN,
text5,2,8,Anlauf,Anlauf,PROPN,PERSON_B
text5,3,1,i,I,PRON,
text5,3,2,m,m,VERB,
text5,3,3,Kreis,Kreis,PROPN,PERSON_B
text5,3,4,der,der,PROPN,PERSON_I
text5,3,5,EU,EU,PROPN,ORG_B
text5,3,6,-,-,PUNCT,ORG_I
text5,3,7,Mitgliedsstaaten,Mitgliedsstaaten,PROPN,ORG_I
text5,3,8,",",",",PUNCT,
text5,3,9,die,die,NOUN,
text5,3,10,sogenannte,sogenannte,NOUN,
text5,3,11,Chatkontrolle,Chatkontrolle,PROPN,NORP_B
text5,3,12,doch,doch,PROPN,
text5,3,13,noch,noch,PROPN,
text5,3,14,durchzusetzen,durchzusetzen,PROPN,
text5,3,15,.,.,PUNCT,
text7,1,1,Wie,wie,NOUN,
text7,1,2,die,die,VERB,
text7,1,3,EU,EU,PROPN,ORG_B
text7,1,4,ihre,ihre,ADJ,
text7,1,5,Außengrenzen,Außengrenzen,PROPN,PERSON_B
text7,1,6,scannt,scannt,NOUN,PERSON_I
text7,1,7,",",",",PUNCT,
text7,1,8,um,um,INTJ,
text7,1,9,Menschen,Menschen,PROPN,ORG_B
text7,1,10,auf,auf,PROPN,ORG_I
text7,1,11,der,der,PROPN,
text7,1,12,Flucht,Flucht,PROPN,PERSON_B
text7,1,13,draußen,draußen,NOUN,
text7,1,14,zu,zu,PROPN,PERSON_B
text7,1,15,halten,halten,NOUN,PERSON_I
text7,1,16,",",",",PUNCT,
text7,1,17,das,das,PROPN,ORG_B
text7,1,18,hat,hat,NOUN,
text7,1,19,AlgorithmWatch,AlgorithmWatch,PROPN,ORG_B
text7,1,20,untersucht,untersucht,PROPN,
text7,1,21,.,.,PUNCT,
text7,2,1,Mein,Mein,PROPN,PERSON_B
text7,2,2,Kollege,Kollege,PROPN,PERSON_I
text7,2,3,Ben,Ben,PROPN,PERSON_I
text7,2,4,fasst,fasst,NOUN,
text7,2,5,die,die,VERB,
text7,2,6,erschreckenden,erschreckenden,PROPN,
text7,2,7,Erkenntnisse,Erkenntnisse,PROPN,ORG_B
text7,2,8,zusammen,zusamman,NOUN,
text7,2,9,.,.,PUNCT,
text7,3,1,Auch,auch,ADJ,
