doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Ein,Ein,PROPN,PERSON_B
text1,1,2,Foto,Foto,PROPN,PERSON_I
text1,1,3,bei,bei,VERB,
text1,1,4,Instagram,Instagram,PROPN,
text1,1,5,hochladen,hochladen,ADJ,
text1,1,6,",",",",PUNCT,
text1,1,7,eine,eine,NOUN,
text1,1,8,Playlist,playlist,NOUN,NORP_B
text1,1,9,bei,bei,NOUN,
text1,1,10,YouTube,YouTube,PROPN,PRODUCT_B
text1,1,11,starten,starten,NOUN,
text1,1,12,",",",",PUNCT,
text1,1,13,nach,nach,PROPN,
text1,1,14,einem,einem,PROPN,
text1,1,15,Hautausschlag,Hautausschlag,PROPN,ORG_B
text1,1,16,googeln,googeln,PROPN,
text1,1,17,",",",",PUNCT,
text1,1,18,eine,eine,NOUN,
text1,1,19,Spiele,Spiele,PROPN,PRODUCT_B
text1,1,20,-,-,PUNCT,PRODUCT_I
text1,1,21,App,App,PROPN,PRODUCT_I
text1,1,22,herunterladen,herunterladen,NOUN,
text1,1,23,oder,oder,NOUN,
text1,1,24,einen,einen,NOUN,
text1,1,25,Porno,Porno,PROPN,NORP_B
text1,1,26,schauen,schauen,NOUN,
text1,1,27,–,–,PUNCT,
text1,1,28,für,für,PROPN,
text1,1,29,Abermillionen,Abermillionen,PROPN,PERSON_B
text1,1,30,Menschen,Menschen,PROPN,PERSON_I
text1,1,31,sind,sind,NOUN,
text1,1,32,solche,solche,PROPN,
text1,1,33,Dinge,Dinge,PROPN,ORG_B
text1,1,34,Alltag,Alltag,PROPN,ORG_I
text1,1,35,.,.,PUNCT,
text1,2,1,Niemand,Niemand,PROPN,
text1,2,2,muss,muss,PROPN,
text1,2,3,währenddessen,währenddessen,PROPN,
text1,2,4,beweisen,beweisen,PROPN,
text1,2,5,",",",",PUNCT,
text1,2,6,dass,dass,NOUN,
text1,2,7,er,er,INTJ,
text1,2,8,oder,oder,NOUN,
text1,2,9,sie,sie,PROPN,
text1,2,10,auch,auch,PROPN,
text1,2,11,*,*,PUNCT,
text1,2,12,wirklich,wirklich,PROPN,
text1,2,13,*,*,PROPN,
text1,2,14,schon,schon,PROPN,
text1,2,15,erwachsen,erwachsen,PROPN,
text1,2,16,ist,ist,PROPN,
text1,2,17,.,.,PUNCT,
text1,3,1,Doch,Doch,PROPN,PERSON_B
text1,3,2,dieses,diesis,NOUN,
text1,3,3,Internet,internet,NOUN,
text1,3,4,",",",",PUNCT,
text1,3,5,wie,wie,NOUN,
text1,3,6,wir,wir,PROPN,
text1,3,7,es,es,PROPN,
text1,3,8,kennen,kennen,PROPN,
text1,3,9,",",",",PUNCT,
text1,3,10,das,das,PROPN,PERSON_B
text1,3,11,verändert,verändert,PROPN,PERSON_I
text1,3,12,sich,sich,PROPN,PERSON_I
text1,3,13,gerade,gerade,NOUN,
text1,3,14,.,.,PUNCT,
text3,1,1,In,in,ADP,
text3,1,2,mehreren,mehreren,NOUN,
text3,1,3,Staaten,Staaten,PROPN,PRODUCT_B
text3,1,4,arbeiten,arbeiten,VERB,
text3,1,5,Regierungen,Regierungen,PROPN,PERSON_B
text3,1,6,an,an,PRON,
text3,1,7,Gesetzen,Gesetzen,PROPN,GPE_B
text3,1,8,",",",",PUNCT,
text3,1,9,die,die,VERB,
text3,1,10,vorschreiben,vorschreiben,NOUN,
text3,1,11,:,:,PUNCT,
text3,1,12,Alle,Alle,PROPN,PERSON_B
text3,1,13,Menschen,Menschen,PROPN,PERSON_I
text3,1,14,sollen,sollen,NOUN,
text3,1,15,erst,erst,VERB,
text3,1,16,einmal,einmal,ADJ,
text3,1,17,ihren,ihren,NOUN,
text3,1,18,Ausweis,Ausweis,PROPN,PRODUCT_B
text3,1,19,zücken,zücken,PROPN,
text3,1,20,",",",",PUNCT,
text3,1,21,bevor,bevor,VERB,
text3,1,22,sie,sie,PROPN,
