doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Am,be,AUX,
text1,1,2,Donnerstag,Donnerstag,PROPN,
text1,1,3,haben,haben,NOUN,
text1,1,4,Bundestagsabgeordnete,Bundestagsabgeordnete,PROPN,PERSON_B
text1,1,5,in,in,ADP,
text1,1,6,einer,einer,NOUN,
text1,1,7,sogenannten,sogenannten,VERB,
text1,1,8,Aktuellen,Aktuellen,PROPN,PERSON_B
text1,1,9,Stunde,Stunde,PROPN,PERSON_I
text1,1,10,über,über,NOUN,
text1,1,11,ihre,ihre,ADJ,
text1,1,12,Position,Position,PROPN,ORG_B
text1,1,13,zur,zur,NOUN,
text1,1,14,Chatkontrolle,Chatkontrolle,PROPN,ORG_B
text1,1,15,debattiert,debattiert,NOUN,
text1,1,16,.,.,PUNCT,
text3,1,1,Bei,Bei,PROPN,
text3,1,2,der,der,NOUN,
text3,1,3,Chatkontrolle,Chatkontrolle,PROPN,PERSON_B
text3,1,4,handelt,handelt,VERB,
text3,1,5,es,es,X,
text3,1,6,sich,sich,X,
text3,1,7,um,um,INTJ,
text3,1,8,einen,einen,NOUN,
text3,1,9,viel,viel,NOUN,PERSON_B
text3,1,10,kritisierten,kritisierten,ADJ,PERSON_I
text3,1,11,Bestandteil,Bestandteil,PROPN,PERSON_I
text3,1,12,einer,einer,NOUN,
text3,1,13,EU,EU,PROPN,ORG_B
text3,1,14,-,-,PUNCT,ORG_I
text3,1,15,Verordnung,Verordnung,PROPN,ORG_I
text3,1,16,",",",",PUNCT,
text3,1,17,über,über,NOUN,
text3,1,18,die,die,NOUN,
text3,1,19,seit,seit,NOUN,
text3,1,20,Jahren,Jahren,PROPN,PERSON_B
text3,1,21,die,die,VERB,
text3,1,22,Mitgliedstaaten,Mitgliedstaaten,PROPN,GPE_B
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,EU,EU,PROPN,PERSON_B
text3,2,4,-,-,PUNCT,PERSON_I
text3,2,5,Rat,Rat,PROPN,PERSON_I
text3,2,6,verhandeln,verhandeln,NOUN,
text3,2,7,.,.,PUNCT,
text3,3,1,Damit,Damit,PROPN,
text3,3,2,könnten,könnten,VERB,PERSON_B
text3,3,3,Anbieter,Anbieter,PROPN,PERSON_I
text3,3,4,von,von,PROPN,PERSON_I
text3,3,5,Kommunikationsdiensten,Kommunikationsdiensten,PROPN,PERSON_I
text3,3,6,auf,auf,PROPN,
text3,3,7,Anordnung,Anordnung,PROPN,PERSON_B
text3,3,8,verpflichtet,verpflichtet,NOUN,
text3,3,9,werden,werden,PROPN,
text3,3,10,",",",",PUNCT,
text3,3,11,die,die,VERB,
text3,3,12,Kommunikation,Kommunikation,PROPN,
text3,3,13,ihrer,ihrer,NOUN,
text3,3,14,Nutzer,Nutzer,PROPN,
text3,3,15,:,:,PUNCT,
text3,3,16,innen,innen,NOUN,
text3,3,17,zu,zu,NOUN,
text3,3,18,scannen,scannen,NOUN,
text3,3,19,–,–,PUNCT,
text3,3,20,auch,auch,ADJ,
text3,3,21,ohne,ohne,NOUN,
text3,3,22,konkreten,konkreten,NOUN,
text3,3,23,Verdacht,Verdacht,PROPN,ORG_B
text3,3,24,und,und,NOUN,
text3,3,25,auch,auch,ADJ,
text3,3,26,bei,bei,NOUN,
text3,3,27,verschlüsselten,verschlüsselten,VERB,
text3,3,28,Nachrichten,Nachrichten,PROPN,
text3,3,29,.,.,PUNCT,
text3,4,1,Ziel,Ziel,PROPN,PERSON_B
text3,4,2,ist,ist,VERB,
text3,4,3,es,es,PROPN,
text3,4,4,",",",",PUNCT,
text3,4,5,nach,nach,PROPN,
text3,4,6,Darstellungen,Darstellungen,PROPN,ORG_B
text3,4,7,von,von,PROPN,
text3,4,8,sexualisierter,sexualisierter,NOUN,
text3,4,9,Gewalt,Gewalt,PROPN,PERSON_B
text3,4,10,gegen,gegen,NOUN,
text3,4,11,Kinder,Kinder,PROPN,
text3,4,12,zu,zu,PROPN,
text3,4,13,suchen,suchen,PROPN,
text3,4,14,",",",",PUNCT,
text3,4,15,damit,damit,PROPN,
text3,4,16,Treffer,Treffer,PROPN,ORG_B
text3,4,17,letztlich,letztlich,VERB,
text3,4,18,an,an,DET,
text3,4,19,die,die,ADJ,
text3,4,20,Polizei,Polizei,PROPN,
text3,4,21,weitergeleitet,weitergeleitet,NOUN,
text3,4,22,werden,werden,PROPN,
text3,4,23,.,.,PUNCT,
text5,1,1,Bislang,Bislang,PROPN,PERSON_B
text5,1,2,hatte,hatte,NOUN,PERSON_B
text5,1,3,Deutschland,Deutschland,PROPN,PERSON_I
text5,1,4,",",",",PUNCT,
text5,1,5,vertreten,vertreten,NOUN,
text5,1,6,durch,durch,NOUN,
text5,1,7,die,die,NOUN,
text5,1,8,inzwischen,inzwischen,VERB,
text5,1,9,abgelöste,abgelöste,PROPN,
text5,1,10,Ampelregierung,Ampelregierung,PROPN,PERSON_B
text5,1,11,",",",",PUNCT,
text5,1,12,die,die,VERB,
text5,1,13,brisanten,brisanten,ADJ,
text5,1,14,Vorschläge,Vorschläge,PROPN,
text5,1,15,auf,auf,PROPN,
text5,1,16,EU,EU,PROPN,ORG_B
text5,1,17,-,-,PUNCT,ORG_I
text5,1,18,Ebene,Ebene,PROPN,ORG_I
text5,1,19,nicht,nicht,NOUN,
text5,1,20,abgenickt,abgenickt,VERB,
text5,1,21,.,.,PUNCT,
text5,2,1,Nach,Nach,PROPN,
text5,2,2,langer,langer,NOUN,
text5,2,3,Unklarheit,Unklarheit,PROPN,PERSON_B
text5,2,4,verkündete,verkündete,NOUN,
text5,2,5,die,die,VERB,
text5,2,6,nunmehrige,nunmehrige,PROPN,PERSON_B
text5,2,7,schwarz,schwarz,PROPN,PERSON_I
text5,2,8,-,-,PUNCT,PERSON_I
text5,2,9,schwarz,schwarz,NOUN,PERSON_I
text5,2,10,-,-,PUNCT,
text5,2,11,rote,rote,NOUN,
text5,2,12,Bundesregierung,Bundesregierung,PROPN,ORG_B
text5,2,13,am,be,AUX,ORG_I
text5,2,14,Mittwoch,Mittwoch,PROPN,ORG_I
text5,2,15,",",",",PUNCT,
text5,2,16,sie,sie,PROPN,
text5,2,17,werde,werde,PROPN,
text5,2,18,einer,einer,PROPN,
text5,2,19,„,„,PUNCT,
text5,2,20,anlasslosen,anlasslosen,NOUN,
text5,2,21,“,"""",PUNCT,
text5,2,22,Chatkontrolle,Chatkontrolle,PROPN,WORK_OF_ART_B
text5,2,23,gemäß,gemäß,NOUN,
text5,2,24,einem,einem,PROPN,
text5,2,25,Vorschlag,Vorschlag,PROPN,ORG_B
text5,2,26,der,der,PROPN,
text5,2,27,dänischen,dänischen,NOUN,
text5,2,28,Ratspräsidentschaft,Ratspräsidentschaft,PROPN,PERSON_B
text5,2,29,nicht,nicht,PROPN,
text5,2,30,zustimmen,zustimman,NOUN,
text5,2,31,.,.,PUNCT,
text5,3,1,Aber,Aber,PROPN,PERSON_B
text5,3,2,zu,zu,PROPN,PERSON_I
text5,3,3,welchen,welchen,PROPN,
text5,3,4,Kompromissen,Kompromissen,PROPN,ORG_B
text5,3,5,sie,sie,VERB,
text5,4,1,i,I,PRON,
text5,4,2,m,m,VERB,
text5,4,3,EU,EU,PROPN,PERSON_B
text5,4,4,-,-,PUNCT,PERSON_I
text5,4,5,Rat,Rat,PROPN,PERSON_I
text5,4,6,bereit,bereit,NOUN,
text5,4,7,wäre,wäre,NOUN,
text5,4,8,und,und,PROPN,
text5,4,9,ob,ob,PROPN,
text5,4,10,es,es,PROPN,
text5,4,11,rote,rote,PROPN,
text5,4,12,Linien,Linien,PROPN,ORG_B
text5,4,13,bei,bei,PROPN,
text5,4,14,der,der,PROPN,PERSON_B
text5,4,15,deutschen,deutschen,PROPN,PERSON_I
text5,4,16,Position,Position,PROPN,PERSON_I
text5,4,17,gibt,gibt,PROPN,
text5,4,18,",",",",PUNCT,
text5,4,19,ist,ist,PROPN,
text5,4,20,bislang,bislang,PROPN,PERSON_B
text5,4,21,nicht,nicht,PROPN,PERSON_I
text5,4,22,bekannt,bekannt,PROPN,PERSON_I
text5,4,23,.,.,PUNCT,
text5,5,1,Darum,darum,NOUN,
text5,5,2,drehten,drehten,VERB,
text5,5,3,sich,sich,ADJ,
text5,5,4,auch,auch,ADJ,
text5,5,5,viele,viele,PROPN,
text5,5,6,Wortbeiträge,Wortbeiträge,PROPN,ORG_B
text5,5,7,der,der,PROPN,
text5,5,8,Abgeordneten,Abgeordneten,PROPN,PERSON_B
text5,5,9,.,.,PUNCT,
text7,1,1,#,#,SYM,
text7,1,2,#,#,NOUN,MONEY_B
text7,1,3,„,„,NOUN,
text7,1,4,Auf,Auf,PROPN,
text7,1,5,einmal,einmal,ADJ,
text7,1,6,reagiert,reagiert,NOUN,
text7,1,7,das,das,PROPN,PERSON_B
text7,1,8,Kabinett,Kabinett,PROPN,PERSON_I
text7,1,9,“,"""",PUNCT,PERSON_I
text9,1,1,Donata,Donata,PROPN,PERSON_B
text9,1,2,Vogtschmidt,Vogtschmidt,PROPN,PERSON_I
text9,1,3,von,von,PROPN,PERSON_I
text9,1,4,den,den,VERB,PERSON_I
text9,1,5,Linken,Linken,PROPN,PERSON_B
text9,1,6,etwa,etwa,NOUN,
text9,1,7,warf,warf,NOUN,
text9,1,8,der,der,NOUN,PERSON_B
text9,1,9,Bundesregierung,Bundesregierung,PROPN,PERSON_I
text9,1,10,ihr,ihr,NOUN,
text9,1,11,langes,lange,VERB,
text9,1,12,Schweigen,Schweigen,PROPN,PERSON_B
text9,1,13,vor,vor,NOUN,
text9,1,14,.,.,PUNCT,
text9,2,1,Wer,wer,ADJ,
text9,2,2,wenige,wenige,NOUN,
text9,2,3,Tage,Tage,PROPN,
text9,2,4,vor,vor,VERB,
text9,2,5,einer,einer,NOUN,
text9,2,6,entscheidenden,entscheidenden,NOUN,
text9,2,7,Abstimmung,Abstimmung,PROPN,ORG_B
text9,2,8,nicht,nicht,NOUN,
text9,2,9,das,das,PROPN,PERSON_B
text9,2,10,Rückgrat,Rückgrat,PROPN,PERSON_I
text9,2,11,für,für,PROPN,
text9,2,12,eine,eine,NOUN,
text9,2,13,Positionierung,Positionierung,PROPN,ORG_B
text9,2,14,mitbringe,mitbringe,NOUN,
text9,2,15,",",",",PUNCT,
text9,2,16,verdiene,verdiene,NOUN,
text9,2,17,kein,kein,PROPN,PERSON_B
text9,2,18,Vertrauen,Vertrauen,PROPN,PERSON_I
text9,2,19,",",",",PUNCT,
text9,2,20,so,so,ADV,
text9,2,21,die,die,VERB,
text9,2,22,Obfrau,Obfrau,PROPN,ORG_B
text9,2,23,der,der,PROPN,ORG_I
text9,2,24,Fraktion,Fraktion,PROPN,ORG_I
text9,2,25,i,I,PRON,
text9,2,26,m,m,VERB,
text9,2,27,Digitalausschuss,digitalausschuss,ADJ,PERSON_B
text9,2,28,.,.,PUNCT,
text9,3,1,Erst,erst,ADJ,
text9,3,2,nach,nach,NOUN,
text9,3,3,viel,viel,NOUN,
text9,3,4,Protest,Protest,PROPN,
text9,3,5,habe,habe,NOUN,
text9,3,6,sich,sich,PROPN,
text9,3,7,etwas,etwas,AUX,
text9,3,8,bewegt,bewegt,ADJ,
text9,3,9,–,–,PUNCT,
text9,3,10,„,„,PUNCT,
text9,3,11,auf,auf,PROPN,
text9,3,12,einmal,einmal,ADJ,
text9,3,13,reagiert,reagiert,NOUN,
text9,3,14,das,das,PROPN,PERSON_B
text9,3,15,Kabinett,Kabinett,PROPN,PERSON_I
text9,3,16,“,"""",PUNCT,
text9,3,17,.,.,PUNCT,
text11,1,1,Besonders,besonder,NOUN,
text11,1,2,kritisierte,kritisierte,NOUN,PERSON_B
text11,1,3,sie,sie,PROPN,
