doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,Markéta,markéta,VERB,PERSON_B
text1,1,2,Gregorová,Gregorová,PROPN,PERSON_I
text1,1,3,sitzt,sitzt,NOUN,
text1,1,4,seit,seit,NOUN,
text1,1,5,2019,2019,NUM,DATE_B
text1,1,6,für,für,ADV,
text1,1,7,die,die,VERB,
text1,1,8,tschechische,tschechische,NOUN,
text1,1,9,Piratenpartei,Piratenpartei,PROPN,
text1,2,1,i,I,PRON,
text1,2,2,m,m,VERB,
text1,2,3,Europäischen,Europäischen,PROPN,PERSON_B
text1,2,4,Parlament,Parlament,PROPN,PERSON_I
text1,2,5,.,.,PUNCT,
text1,3,1,Die,die,AUX,
text1,3,2,Piraten,piraten,VERB,
text1,3,3,haben,haben,NOUN,
text1,3,4,bei,bei,NOUN,
text1,3,5,der,der,PROPN,
text1,3,6,Europawahl,Europawahl,PROPN,PERSON_B
text1,3,7,vor,vor,NOUN,
text1,3,8,einigen,einigen,NOUN,
text1,3,9,Monaten,monaten,NOUN,
text1,3,10,drei,drei,NOUN,
text1,3,11,ihrer,ihrer,NOUN,
text1,3,12,vier,vier,NOUN,
text1,3,13,Sitze,Sitze,PROPN,PERSON_B
text1,3,14,verloren,verloren,PROPN,
text1,3,15,",",",",PUNCT,
text1,3,16,darunter,darunter,ADJ,
text1,3,17,den,den,NOUN,
text1,3,18,einzigen,einzigen,NOUN,
text1,3,19,deutschen,deutschen,NOUN,
text1,3,20,.,.,PUNCT,
text1,4,1,Nur,Nur,PROPN,PERSON_B
text1,4,2,Gregorová,Gregorová,PROPN,PERSON_I
text1,4,3,zog,zog,DET,
text1,4,4,wieder,wieder,NOUN,
text1,4,5,ins,in,VERB,
text1,4,6,Parlament,Parlament,PROPN,
text1,4,7,ein,ein,NOUN,
text1,4,8,",",",",PUNCT,
text1,4,9,wo,will,AUX,
text1,4,10,sie,sie,VERB,
text1,4,11,wieder,wieder,NOUN,
text1,4,12,in,in,ADP,
text1,4,13,der,der,PROPN,
text1,4,14,Fraktion,Fraktion,PROPN,ORG_B
text1,4,15,der,der,NOUN,
text1,4,16,Grünen,Grünen,PROPN,PERSON_B
text1,4,17,sitzen,sitzen,PROPN,
text1,4,18,wird,wird,NOUN,
text1,4,19,.,.,PUNCT,
text3,1,1,*,*,PUNCT,
text3,1,2,*,*,PUNCT,
text3,1,3,netzpolitik.org,netzpolitik.org,X,
text3,1,4,:*,:*,PROPN,
text3,1,5,*,*,PUNCT,
text3,1,6,Wie,wie,NOUN,
text3,1,7,fühlt,fühlt,NOUN,
text3,1,8,es,es,X,
text3,1,9,sich,sich,PROPN,
text3,1,10,an,an,PRON,
text3,1,11,",",",",PUNCT,
text3,1,12,die,die,VERB,
text3,1,13,derzeit,derzeit,ADJ,
text3,1,14,einzige,einzige,ADJ,
text3,1,15,Piratin,Piratin,PROPN,ORG_B
text3,2,1,i,I,PRON,
text3,2,2,m,m,VERB,
text3,2,3,Parlament,Parlament,PROPN,
text3,2,4,zu,zu,PROPN,
text3,2,5,sein,sein,PROPN,
text3,2,6,?,?,PUNCT,
text5,1,1,*,*,PUNCT,
text5,1,2,*,*,PUNCT,
text5,1,3,Markéta,markéta,VERB,
text5,1,4,Gregorová,Gregorová,PROPN,
text5,1,5,:*,:*,PROPN,
text5,1,6,*,*,PUNCT,
text5,1,7,Natürlich,Natürlich,PROPN,
text5,1,8,ist,ist,VERB,
text5,1,9,es,es,PROPN,
text5,1,10,ein,ein,PROPN,
text5,1,11,bisschen,bisschen,PROPN,
text5,1,12,einsam,einsam,PROPN,
text5,1,13,.,.,PUNCT,
text5,2,1,Wir,wir,ADJ,
text5,2,2,haben,haben,NOUN,
text5,2,3,viele,viele,PROPN,
text5,2,4,Entscheidungen,Entscheidungen,PROPN,ORG_B
text5,2,5,mit,mit,NOUN,
text5,2,6,mehreren,mehreren,NOUN,
text5,2,7,Personen,Personen,PROPN,GPE_B
text5,2,8,getroffen,getroffen,PROPN,
text5,2,9,",",",",PUNCT,
text5,2,10,nicht,nicht,PROPN,
text5,2,11,nur,nur,AUX,
text5,2,12,mit,mit,VERB,
text5,2,13,Abgeordneten,abgeordneten,ADJ,PRODUCT_B
text5,2,14,",",",",PUNCT,
text5,2,15,sondern,sondern,ADJ,
text5,2,16,auch,auch,NOUN,
text5,2,17,mit,mit,NOUN,
text5,2,18,ihren,ihren,PROPN,
